"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",18.2426666666667,"Up",1.204e+09,-9.85e+08,2.19e+08,-1.11e+08,-8.3e+07,-2.8e+07,1.08e+08,-7.5e+07,-8.1e+07,6e+06,3.3e+07,-1e+06,3.2e+07,-1e+07,2.2e+07,2.2e+07,2.2e+07,2.2e+07,8.7e+07,8.7e+07,4.55e+08,4.55e+08,5.35e+08,1.56e+08,4.2e+07,1.233e+09,1.216e+09,2.657e+09,2.636e+09,2.1e+07,3.873e+09,5.106e+09,6.06e+08,3.06e+08,3e+08,4e+07,6.46e+08,4.429e+09,4.81e+08,3.15e+08,1.66e+08,4.91e+09,5.556e+09,1.32e+08,-5.61e+08,-4.7e+07,-4.76e+08,-4.5e+08,5.106e+09,2.2e+07,9.2e+07,2e+07,6.7e+07,2.01e+08,-6.3e+07,-4.2e+07,-1.11e+08,0,83434794.3694784,-1.11e+08,4.8e+07,4.8e+07,1e+06,4.9e+07,2e+08,4.469e+09,2.14e+08,0.18189,0.0897,0.01827,-0.04889,0.00431,9.72727,1.90867,-12.34667,0.87524,0.26437,0.22904,14.46837,-5.72005,2.57162,0.00489,0.04756,21.91,40.57407
"2","2013_Q2",20.3796875,"Up",1.072e+09,-8.95e+08,1.77e+08,-1.04e+08,-7.7e+07,-2.7e+07,7.3e+07,-6.7e+07,-7e+07,3e+06,6e+06,-2.1e+07,-1.5e+07,5e+06,-1e+07,-1e+07,-1e+07,-1e+07,3.2e+07,3.2e+07,3.96e+08,3.96e+08,5.51e+08,2.16e+08,3.1e+07,1.195e+09,1.223e+09,2.632e+09,2.62e+09,1.2e+07,3.855e+09,5.05e+09,6.7e+08,2.85e+08,3.85e+08,4.3e+07,7.13e+08,3.93e+09,7.18e+08,3.81e+08,3.37e+08,4.648e+09,5.361e+09,3.01e+08,-5.71e+08,-4.4e+07,-3.14e+08,-3.11e+08,5.05e+09,-1e+07,8.7e+07,2.1e+07,-1.1e+07,8.7e+07,-4.5e+07,-6.3e+07,-8.3e+07,4e+06,4e+06,-7.9e+07,-5.5e+07,-5.5e+07,-2.3283064365387e-10,-5.5e+07,1.6e+08,3.973e+09,9.9e+07,0.16511,0.0681,-0.00933,0.03215,-0.00198,-9.90000000000001,1.67602,-17.23794,0.78673,-0.0898100000000001,-0.08981,9.62713,-2.81989,0.88907,-0.00228,0.0226,24.63125,53.9863
"3","2013_Q3",22.57453125,"Up",1.15e+09,-9.36e+08,2.14e+08,-1.02e+08,-7.5e+07,-2.7e+07,1.12e+08,-6e+07,-6.1e+07,1e+06,5.2e+07,-4.9e+07,3e+06,-2e+06,1e+06,1e+06,1e+06,1e+06,1.6e+07,1.6e+07,4.58e+08,4.58e+08,6.1e+08,1.65e+08,3.5e+07,1.249e+09,1.242e+09,2.591e+09,2.579e+09,1.2e+07,3.833e+09,5.082e+09,6.75e+08,3.75e+08,3e+08,5.7e+07,7.32e+08,3.941e+09,7.23e+08,3.3e+08,3.93e+08,4.664e+09,5.396e+09,3.02e+08,-5.7e+08,-4.9e+07,-3.17e+08,-3.14e+08,5.082e+09,1e+06,8.5e+07,5e+07,-5.8e+07,7.8e+07,-6.2e+07,-6.2e+07,6e+06,0,-3.72529029846191e-09,-3.2e+07,-1.6e+07,-1.6e+07,0,-1.6e+07,1.97e+08,3.998e+09,7.9e+07,0.18609,0.09739,0.00087,-0.00318,2e-04,79,1.70628,-17.18471,0.7867,0.00885,0.00885,10.17393,-2.80447,0.6989,0.00023,0.01793,20.2132,35.55357
"4","2013_Q4",20.62671875,"Down",1.221e+09,-9.98e+08,2.23e+08,-1.05e+08,-7.8e+07,-2.7e+07,1.18e+08,-5.5e+07,-5.7e+07,2e+06,6.3e+07,-1e+06,6.2e+07,-2.2e+07,4e+07,4e+07,4e+07,4e+07,1.42e+08,1.42e+08,4.49e+08,4.49e+08,5.75e+08,1.71e+08,3.2e+07,1.337e+09,1.266e+09,2.532e+09,2.52e+09,1.2e+07,3.798e+09,5.135e+09,6.13e+08,3.37e+08,2.76e+08,7.1e+07,6.84e+08,3.875e+09,7.72e+08,3.85e+08,3.87e+08,4.647e+09,5.331e+09,3.23e+08,-5.04e+08,-1.8e+07,-1.99e+08,-1.96e+08,5.135e+09,4e+07,8.6e+07,3.8e+07,-3.2e+07,1.32e+08,-7.2e+07,-7.3e+07,-6.7e+07,1.7e+07,1.7e+07,-4.9e+07,1e+07,1e+07,-1e+06,8999999.99999999,2.04e+08,3.946e+09,1.22e+08,0.18264,0.09664,0.03276,-0.20408,0.00779,3.05,1.95468,-27.19898,0.76845,0.35047,0.30363,10.69823,-1.74361,1.06895,0.00885,0.02698,18.64706,32.23729
"5","2014_Q1",23.2055737704918,"Up",1.204e+09,-1.006e+09,1.98e+08,-1.01e+08,-7.7e+07,-2.4e+07,9.7e+07,-5.5e+07,-5.6e+07,1e+06,4.2e+07,-7e+06,3.5e+07,-9e+06,2.6e+07,2.6e+07,2.6e+07,2.6e+07,1.42e+08,1.42e+08,4.49e+08,4.49e+08,5.75e+08,1.71e+08,3.2e+07,1.337e+09,1.266e+09,2.532e+09,2.52e+09,1.2e+07,3.798e+09,5.135e+09,6.13e+08,3.37e+08,2.76e+08,7.1e+07,6.84e+08,3.875e+09,7.72e+08,3.85e+08,3.87e+08,4.647e+09,5.331e+09,3.23e+08,-5.04e+08,-1.8e+07,-1.99e+08,-1.96e+08,5.135e+09,2.6e+07,8.3e+07,2.3e+07,3.5e+07,1.67e+08,-6e+07,-4.7e+07,-1e+07,6e+06,6e+06,-4e+06,1.16e+08,1.16e+08,1e+06,1.17e+08,1.8e+08,3.946e+09,1.64e+08,0.16445,0.08056,0.02159,-0.13265,0.00506,6.30769,1.95468,-27.19898,0.76845,0.22514,0.21333,10.42578,-1.7232,1.42012,0.00575,0.03627,21.13333,39.21649
"6","2014_Q4",27.15421875,"Up",1.298e+09,-1.089e+09,2.09e+08,-1.11e+08,-8.5e+07,-2.6e+07,9.8e+07,-5.4e+07,-5.6e+07,2e+06,4.4e+07,-4.8e+07,-4e+06,1.9e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.29e+08,1.29e+08,4.91e+08,4.91e+08,6.04e+08,2.08e+08,4.2e+07,1.432e+09,1.364e+09,2.472e+09,2.471e+09,1e+06,3.836e+09,5.268e+09,7.09e+08,3.95e+08,3.14e+08,5.8e+07,7.67e+08,3.86e+09,7.42e+08,3.86e+08,3.56e+08,4.602e+09,5.369e+09,3.68e+08,-4.42e+08,-4.3e+07,-1.17e+08,-1.01e+08,5.268e+09,1.5e+07,9.1e+07,1.5e+07,-1000000.00000001,1.2e+08,-5.8e+07,-1.83e+08,1.3e+07,3e+06,3e+06,-1.7e+07,-8e+07,-8e+07,-1e+06,-8.1e+07,1.89e+08,3.918e+09,1.11e+08,0.16102,0.0755,0.01156,-0.14851,0.00285,7.4,1.86701,-53.15842,0.74374,0.12799,0.12356,11.07509,-0.99829,0.9471,0.00329,0.02435,20.04762,38.66327
"7","2015_Q1",34.0877049180328,"Up",1.31e+09,-1.114e+09,1.96e+08,-1.01e+08,-7.6e+07,-2.5e+07,9.5e+07,-4.9e+07,-5.3e+07,4e+06,4.6e+07,-2e+06,4.4e+07,-1.4e+07,3e+07,3e+07,3.1e+07,3.1e+07,1.29e+08,1.29e+08,4.91e+08,4.91e+08,6.04e+08,2.08e+08,4.2e+07,1.432e+09,1.364e+09,2.456e+09,2.455e+09,1e+06,3.82e+09,5.252e+09,7.09e+08,3.95e+08,3.14e+08,5.8e+07,7.67e+08,3.844e+09,7.42e+08,3.86e+08,3.56e+08,4.586e+09,5.353e+09,3.68e+08,-4.42e+08,-4.3e+07,-1.17e+08,-1.01e+08,5.252e+09,3e+07,9.7e+07,1.4e+07,2e+07,1.61e+08,-4.3e+07,-3e+07,-4.9e+07,4e+06,4e+06,-4.5e+07,8.6e+07,8.6e+07,-1e+06,8.5e+07,1.92e+08,3.902e+09,1.83e+08,0.14962,0.07252,0.02366,-0.30693,0.0059,5.90323,1.86701,-53,0.74296,0.26316,0.25081,11.12054,-0.99321,1.55348,0.00682,0.04028,19.65104,39.71579
"8","2015_Q2",34.0877777777778,"Up",1.22e+09,-1.037e+09,1.83e+08,-1.1e+08,-8.5e+07,-2.5e+07,7.3e+07,-5.2e+07,-5.3e+07,1e+06,2.1e+07,-4999999.99999999,1.6e+07,-3000000.00000001,1.3e+07,1.3e+07,1.3e+07,1.3e+07,147933594.325947,147933594.325947,479722296.543499,479722296.543499,607264920.099157,256042851.893159,34339820.1034836,1490963662.86176,1318355653.04725,2414858862.8897,2413350920.37799,1507942.51170678,3733214515.93695,5224178178.79871,695630460.467426,374839673.001317,320790787.466109,51322113.0001844,746952573.48703,3782358352.29991,786229122.658151,450575346.122777,335653776.520188,4568587474.95806,5315540048.44509,375757375.651344,-414408945.621573,-67787265.8822195,-106438835.852448,-91361869.6463767,5224178178.79871,1.3e+07,9.1e+07,1.2e+07,-1.6e+07,1e+08,-3.5e+07,-2.5e+07,-1.55e+08,7e+06,7e+06,-1.48e+08,-7.3e+07,-7.3e+07,-3e+06,-7.6e+07,1.64e+08,4.76837158203125e-07,1.16e+08,0.15,0.05984,0.01066,-0.702958924303923,0.0108274714572931,8.92308,1.99717524060351,-62.1786885131693,0.734371202323065,0.10998,0.10578,10.32149,-0.900278713880103,0.98139,0.0124781419231048,0.0403869788986291,19.2429207456866,36.5683807385367
"9","2015_Q3",31.24828125,"Down",1.224e+09,-9.97e+08,2.27e+08,-1.12e+08,-8.9e+07,-2.3e+07,1.15e+08,-5.3e+07,-5.2e+07,-1e+06,6.2e+07,-3e+06,5.9e+07,-2.1e+07,3.8e+07,3.8e+07,3.8e+07,3.8e+07,1.19e+08,1.19e+08,4.81e+08,4.81e+08,6.09e+08,2.79e+08,3.3e+07,1.488e+09,1.315e+09,2.411e+09,2.41e+09,1e+06,3.726e+09,5.214e+09,6.87e+08,3.65e+08,3.22e+08,4.3e+07,7.3e+08,3.767e+09,7.9e+08,4.8e+08,3.1e+08,4.557e+09,5.287e+09,3.93e+08,-3.91e+08,-9.1e+07,-8.9e+07,-7.3e+07,5.214e+09,3.8e+07,8.5e+07,2.6e+07,-3.7e+07,1.12e+08,-4.4e+07,-4.1e+07,-9e+06,6e+06,6e+06,-3e+06,6.8e+07,6.8e+07,-2e+06,6.6e+07,2e+08,3.81e+09,1.4e+08,0.18546,0.09395,0.03105,-0.52055,0.00729,3.68421,2.03836,-72.42466,0.73072,0.31879,0.3067,10.26846,-0.74664,1.1745,0.00839,0.03093,18.455,32.09565
"10","2015_Q4",34.40671875,"Up",1.241e+09,-1.003e+09,2.38e+08,-1.14e+08,-9.2e+07,-2.2e+07,1.24e+08,-4.9e+07,-4.7e+07,-2e+06,7.5e+07,-9.7e+07,-2.2e+07,9e+06,-1.3e+07,-1.3e+07,-1.3e+07,-1.3e+07,6.2e+07,6.2e+07,4.73e+08,4.73e+08,5.74e+08,2.19e+08,3.8e+07,1.328e+09,1.301e+09,2.382e+09,2.381e+09,1e+06,3.683e+09,5.011e+09,6.55e+08,3.53e+08,3.02e+08,3.9e+07,6.94e+08,3.669e+09,7.22e+08,4.06e+08,3.16e+08,4.391e+09,5.085e+09,4.01e+08,-4.04e+08,-8.7e+07,-9e+07,-7.4e+07,5.011e+09,-1.3e+07,8.7e+07,9.5e+07,1.1e+07,1.8e+08,-4.5e+07,-4e+07,-1.13e+08,3e+06,3e+06,-1.97e+08,-5.7e+07,-5.7e+07,2.3283064365387e-10,-5.7e+07,2.11e+08,3.708e+09,1.68e+08,0.19178,0.09992,-0.01048,0.17568,-0.00259,-12.92308,1.91354,-68.71622,0.73997,-0.10897,-0.10459,10.40235,-0.7544,1.40821,-0.00298,0.03857,17.27962,29.40323
