"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",33.734375,"Up",-42541000,-11130000,-31411000,-42541000,89000,-1860000,1949000,-42452000,-2851000,-45303000,-45303000,-45303000,-45303000,-45303000,172492589.571073,161300680.391107,9012818.47383738,9012818.4779534,187267548.47118,196244264.890361,-1263644.53564783,-1263644.53564783,194980620.354713,382248168.825893,-15670195.0769462,419190.207556699,-16089385.2845029,-15899885.7417978,-1371117728.20658,-1371117728.20614,-1161864665.73057,-1177764551.47237,1559831224.02589,1560012720.29826,1560012720.29826,382248168.825893,-45303000,4309000,3535000,2611000,-34848000,-1555000,445000,-2035000,103973000,69570000,69570000,69570000,-38232000,0,-0.00733934919867017,0.0536677697026381,11.9344130659159,-0.757252033098987,0.356394706543194,-1.25247,-1.25247,43.1178675119809,0.102938609880192,-6.97702355501618,-5.29207916985879
"2","2011_Q1",25.6117741935484,"Down",-32093000,-7876000,-24217000,-32093000,-3440000,-2813000,-626999.999999999,-35533000,-2773000,-38306000,-38306000,-38306000,-38306000,-38306000,70431000,66061000,2849000,2849000,73954000,202356000,946000,946000,203302000,277256000,18134000,3294000,14840000,18134000,-1539423000,-1539423000,-1330088000,-1311954000,1589136000,1589210000,1589210000,277256000,-38306000,4408000,2089000,-7163000,-38972000,-3935000,-8113000,-55000.0000000002,15218000,-31867000,-31867000,-31867000,-27685000,209335000,-0.0241,-0.13816,4.0782,-0.82554,0.75502,-1.05903,-1.05903,43.93603,-0.14783,-5.0173,-4.32817
"3","2011_Q2",19.6690476190476,"Down",-38051000,-11762000,-26289000,-38001000,-1048000,-2398000,1350000,-39049000,-2476000,-41525000,-41525000,-41525000,-41525000,-41525000,29453970.1429756,28191273.2029644,1004977.17538754,1004977.17401553,29778400.5096066,203065828.36988,1495131.51188261,1495131.51188261,204560959.881762,234339360.391369,26477565.0256487,3071436.5974811,23406128.4281676,26554128.5805993,-1607623257.26447,-1607623257.26462,-1398046361.42314,-1371492232.84254,1605799258.65804,1605831593.23391,1605831593.23391,234339360.391369,-41525000,4119000,2613000,4089000,-30704000,-1993000,1835000,-26000,9720000,-19149000,-19149000,-19149000,-33882000,0,-0.0292818836004433,-0.203788423234213,1.21547981136136,-0.853959322300338,0.907874264485602,-1.14802,-1.14802,44.399211662673,-0.230236203293398,-4.63878548166127,-4.24313611004707
"4","2011_Q3",15.96484375,"Down",-39186000,-8890000,-30296000,-39186000,-2785000,-2832000,46999.9999999998,-41971000,-2509000,-44480000,-44480000,-44480000,-44480000,-44480000,25267000,24770000,1593000,1593000,26860000,200383000,1115000,1115000,201498000,228358000,21558000,1600000,19958000,21558000,-1618544000,-1618544000,-1408565000,-1387007000,1615327000,1615365000,1615365000,228358000,-44480000,3904000,2452000,1381000,-36743000,-4053000,-4053000,-24000.0000000001,18654000,-22142000,-22142000,-22142000,-35282000,209979000,-0.02754,-0.19478,1.24594,-0.85863,0.91952,-1.22971,-1.22971,44.65912,-0.21509,-5.2353,-4.71372
"5","2011_Q4",15.1952380952381,"Down",-32773000,-9641000,-23132000,-32773000,-2765000,-2844000,79000,-35538000,-2864000,-38402000,-38402000,-38402000,-38402000,-38402000,23299000,22786000,2960000,2960000,27024000,196374000,616000,616000,196990000,224014000,17313000,1598000,15715000,17313000,-1621946000,-1621946000,-1411638000,-1394325000,1618294000,1618339000,1618339000,224014000,-38402000,4074000,3047000,-4754000,-36035000,-594000,-594000,-475000,34645000,-1984000,-1984000,-1984000,-28699000,210308000,-0.02373,-0.17143,1.56091,-0.86158,0.93882,-1.06168,-1.06168,44.74134,-0.18579,-6.51622,-5.70619
"6","2012_Q1",12.3391935483871,"Down",-30579000,-10337000,-20242000,-30579000,-2784000,-2849000,65000,-33363000,-3034000,-36397000,-36397000,-36397000,-36397000,-36397000,2681000,2681000,3140000,3140000,5821000,193029000,703000,703000,193732000,199553000,25360000,4624000,20736000,25360000,-1658343000,-1658343000,-1447701000,-1422341000,1621850000,1621894000,1621894000,199553000,-36397000,3815000,3915000,8312000,-20355000,-125000,-125000,-21999.9999999999,375000.000000007,-20105000,-20105000,-20105000,-26764000,210642000,-0.02244,-0.18239,0.22953,-0.87696,1.05557,-1.00625,-1.00625,44.83962,-0.20895,-7.77018,-6.80078
"7","2012_Q2",10.0092063492063,"Down",-33933000,-9777000,-24156000,-33933000,-1192000,-2574000,1382000,-35125000,-3048000,-38173000,-38173000,-38173000,-38173000,-38173000,56705000,56355000,3004000,3004000,59709000,190916000,795000,795000,191711000,251420000,34407000,2661000,31746000,34407000,-1690266000,-1690266000,-1479320000,-1444913000,1696336000,1696333000,1696333000,251420000,-38173000,3696000,3039000,-1048000,-32486000,-291000,-291000,-397000,86451000,53674000,53674000,53674000,-30237000,210946000,-0.0225,-0.15183,1.73537,-0.85179,0.83902,-1.05535,-1.05535,46.8976,-0.1759,-5.10107,-4.54546
"8","2012_Q3",12.777619047619,"Up",-44054000,-17416000,-26638000,-44054000,10504000,-2843000,13347000,-33550000,-3028000,-36578000,-36578000,-36578000,-36578000,-36578000,31989000,31639000,18356000,18356000,50345000,189159000,888000,888000,190047000,240392000,55441000,5817000,49624000,55441000,-1792156000,-1792156000,-1580972000,-1525531000,1765932000,1765923000,1765923000,240392000,-36578000,3647000,-62000,7975000,-25018000,-84000,-84000,-8000,386000,-24716000,-24716000,-24716000,-40407000,211184000,-0.02071,-0.15216,0.90808,-0.86387,0.8785,-1.01125,-1.01125,48.82151,-0.19777,-4.43475,-4.06762
"9","2012_Q4",10.8462903225806,"Down",-35522000,-10069000,-25453000,-35487000,-5510000,-2859000,-2651000,-40997000,-2245000,-43242000,-42834000,-42834000,-42834000,-42834000,2115000,1765000,21082000,21082000,23197000,186611000,523000,523000,187134000,210331000,51764000,3166000,48598000,51764000,-1829989000,-1829989000,-1618316000,-1566552000,1776891000,1776883000,1776883000,210331000,-42834000,3586000,6446000,-1456000,-34258000,-124000,-124000,-482000,4508000,-29874000,-29874000,-29874000,-31901000,211673000,-0.02411,-0.20365,0.44813,-0.88163,1.00638,-1.18421,-1.18421,49.12452,-0.27013,-6.56901,-5.9052
"10","2013_Q1",13.7645,"Up",-33486000,-8211000,-25275000,-33486000,-16125000,-2856000,-13269000,-49611000,-2170000,-51781000,-51781000,-51781000,-51781000,-51781000,61840000,61840000,4520000,4520000,66810000,183961000,543000,543000,184504000,251314000,30332000,4555000,25777000,144775000,-1985277000,-1985277000,-1887694000,-1742919000,1994239000,1994233000,1994233000,251314000,-51781000,3473000,4259000,15951000,-28098000,-60999.9999999999,-61000.0000000001,-19000,88234000,60075000,60075000,60075000,-30013000,212026000,-0.02597,-0.20604,0.46147,-0.87398,0.84367,-1.43156,-1.43156,55.13348,-0.23432,-5.00403,-4.48504
