"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",23.53515625,"Up",2.366e+09,2.879e+09,3.123e+09,-2.44e+08,-5.13e+08,6.8e+07,-5.81e+08,-6.75e+08,1.691e+09,-8.12e+08,-1.49e+08,-6.63e+08,8.79e+08,8.79e+08,8.79e+08,-3.31e+08,5.48e+08,5.48e+08,5.48e+08,5.48e+08,1.4808e+10,1.818e+09,5.3665e+10,-3.102e+09,5.6767e+10,9.49e+08,4.49e+08,1.78e+09,7.3469e+10,3.2689e+10,3.248e+10,2.09e+08,2.7584e+10,3.255e+09,6.3528e+10,9.402e+09,5.48e+08,-9e+06,9.941e+09,9.941e+09,7.3469e+10,5.48e+08,3.3e+07,6.75e+08,-1.55e+08,1.94e+08,1.295e+09,-3.7e+07,-2.593e+09,-2.66e+08,-2.896e+09,7.053e+09,4e+08,2.227e+09,-5.3e+07,9.627e+09,8.026e+09,8.026e+09,8.026e+09,9.12e+08,2.7584e+10,0.37151,0.23161,0.05513,0.00746,6.3905,0.37545,0.70077,0.70077,3.02558,12.71228,0.00746,14.00877,14.5347
"2","2015_Q1",26.4949180327869,"Up",2.533e+09,2.978e+09,3.26e+09,-2.82e+08,-4.45e+08,6.7e+07,-5.12e+08,-7.97e+08,1.736e+09,-8.83e+08,-1.39e+08,-7.44e+08,8.53e+08,8.53e+08,8.53e+08,-3.22e+08,5.31e+08,5.31e+08,5.31e+08,5.31e+08,1.1828e+10,1.93e+09,5.805e+10,-3.236e+09,6.1286e+10,9.49e+08,5.19e+08,2.431e+09,7.5707e+10,3.4955e+10,3.4847e+10,1.08e+08,2.746e+10,2.814e+09,6.5229e+10,9.409e+09,1.079e+09,-1e+07,1.0478e+10,1.0478e+10,7.5707e+10,5.31e+08,3.5e+07,7.97e+08,1e+07,-3.27e+08,1.046e+09,-1.276e+09,-4.048e+09,-8.33e+08,-6.157e+09,-1.567e+09,1.37e+09,2.222e+09,1.06e+08,2.131e+09,-2.98e+09,-2.98e+09,-2.98e+09,8.88e+08,2.746e+10,0.33675,0.20963,0.05068,0.00701,6.22533,0.36271,0.63395,0.63335,3.02412,12.50955,0.00701,17.6036,18.32591
"3","2015_Q2",27.1180952380952,"Up",2.394e+09,2.875e+09,3.15e+09,-2.75e+08,-4.81e+08,6.5e+07,-5.46e+08,-6.87e+08,1.707e+09,-8.24e+08,-1.62e+08,-6.62e+08,8.83e+08,8.83e+08,8.83e+08,-3.31e+08,5.52e+08,5.52e+08,5.52e+08,5.52e+08,1.1218e+10,3.48e+09,5.4993e+10,-3.255e+09,5.8248e+10,9.49e+08,5.57e+08,1.524e+09,7.2721e+10,3.495e+10,3.4788e+10,1.62e+08,2.406e+10,2.675e+09,6.1685e+10,9.419e+09,1.631e+09,-1.4e+07,1.1036e+10,1.1036e+10,7.2721e+10,5.52e+08,3.7e+07,6.87e+08,8.6e+07,3.03e+08,1.665e+09,-1.839e+09,2.441e+09,7.48e+08,1.35e+09,-4.156e+09,7.45e+08,-2.14e+08,72004019.1333802,-3.625e+09,-6.1e+08,-6.1e+08,-6.1e+08,9.2e+08,2.406e+10,0.36884,0.23058,0.05002,0.00759,5.58943,0.33085,0.66187,0.66108,2.8705,13.23261,0.00759,13.9587,14.5436
"4","2015_Q3",28.16578125,"Up",2.5e+09,2.907e+09,3.177e+09,-2.7e+08,-4.07e+08,6.1e+07,-4.68e+08,-7.4e+08,1.76e+09,-8.99e+08,-1.56e+08,-7.43e+08,8.61e+08,8.61e+08,8.61e+08,-3.2e+08,5.41e+08,5.41e+08,5.41e+08,5.41e+08,1.0621e+10,3.682e+09,5.8129e+10,-3.302e+09,6.1431e+10,9.49e+08,5.75e+08,1.794e+09,7.575e+10,3.7772e+10,3.7629e+10,1.43e+08,2.3692e+10,2.708e+09,6.4172e+10,9.423e+09,2.172e+09,-1.7e+07,1.1578e+10,1.1578e+10,7.575e+10,5.41e+08,4.4e+07,7.4e+08,-6.1e+07,4.9e+07,1.313e+09,-2.215e+09,-1.981e+09,-1.45e+08,-4.341e+09,-1.794e+09,1.422e+09,2.803e+09,0,2.431e+09,-5.97e+08,-5.97e+08,-5.97e+08,9.05e+08,2.3692e+10,0.3444,0.2164,0.04673,0.00714,5.54258,0.31277,0.64868,0.6479,2.9976,13.88249,0.00714,14.44309,15.18118
"5","2015_Q4",26.59703125,"Down",2.586e+09,3.103e+09,3.392e+09,-2.89e+08,-5.17e+08,6.1e+07,-5.78e+08,-7.02e+08,1.884e+09,-9.65e+08,-1.62e+08,-8.03e+08,9.19e+08,9.19e+08,9.19e+08,-3.45e+08,5.74e+08,5.74e+08,5.74e+08,5.74e+08,1.2271e+10,3.596e+09,6.0149e+10,-3.371e+09,6.352e+10,9.49e+08,6.46e+08,1.831e+09,7.9442e+10,4.0548e+10,4.0408e+10,1.4e+08,2.3881e+10,2.855e+09,6.7284e+10,9.432e+09,2.746e+09,-2e+07,1.2158e+10,1.2158e+10,7.9442e+10,5.74e+08,4.6e+07,7.02e+08,-5.7e+07,5.2e+07,1.317e+09,-1.749e+09,-7.54e+08,-1.16e+08,-2.619e+09,-4.48e+08,6.26e+08,2.775e+09,-1e+06,2.952e+09,1.65e+09,1.65e+09,1.65e+09,9.65e+08,2.3881e+10,0.35538,0.22196,0.04721,0.00723,5.53413,0.30061,0.68825,0.6866,3.10072,14.57794,0.00723,12.03109,12.6333
"6","2016_Q1",23.5829508196721,"Down",2.686e+09,3.208e+09,3.509e+09,-3.01e+08,-5.22e+08,6.2e+07,-5.84e+08,-8.23e+08,1.863e+09,-9.95e+08,-1.65e+08,-8.3e+08,8.68e+08,8.68e+08,8.68e+08,-3.21e+08,5.47e+08,5.47e+08,5.47e+08,5.47e+08,1.2325e+10,3.142e+09,6.4793e+10,-3.497e+09,6.829e+10,9.49e+08,7.01e+08,2.08e+09,8.399e+10,4.3367e+10,4.3215e+10,1.52e+08,2.4279e+10,3.74e+09,7.1386e+10,9.352e+09,3.293e+09,-4.1e+07,1.2604e+10,1.2604e+10,8.399e+10,5.47e+08,4.7e+07,8.23e+08,-2.63e+08,7.35e+08,1.889e+09,-3.5e+08,-4.628e+09,-2.15e+08,-5.193e+09,-6.17e+08,1.075e+09,2.897e+09,3e+06,3.358e+09,53999999.9999998,53999999.9999998,53999999.9999998,9.15e+08,2.4279e+10,0.32316,0.20365,0.0434,0.00651,5.66376,0.28907,0.65651,0.65431,3.22372,15.12722,0.00651,13.06448,13.77189
"7","2016_Q2",24.71359375,"Up",2.741e+09,3.209e+09,3.52e+09,-3.11e+08,-4.68e+08,6.4e+07,-5.32e+08,-9.03e+08,1.838e+09,-9.1e+08,-1.46e+08,-7.64e+08,9.28e+08,9.28e+08,9.28e+08,-3.46e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,1.25e+10,2.949e+09,6.2229e+10,-3.62e+09,6.5849e+10,9.49e+08,7.02e+08,2.327e+09,8.1656e+10,4.4977e+10,4.4721e+10,2.56e+08,2.0476e+10,2.999e+09,6.8452e+10,9.36e+09,3.875e+09,-3.1e+07,1.3204e+10,1.3204e+10,8.1656e+10,5.82e+08,5.4e+07,9.03e+08,1.75e+08,-2.14e+08,1.5e+09,-6.7e+07,1.771e+09,-5.03e+08,1.201e+09,-4.566e+09,7.48e+08,1.292e+09,1357162.97079225,-2.526e+09,1.75e+08,1.75e+08,1.75e+08,9.82e+08,2.0476e+10,0.33856,0.21233,0.04408,0.00713,5.18419,0.25076,0.69801,0.69659,3.28736,15.83593,0.00713,8.1222,8.59483
"8","2016_Q3",23.384375,"Down",2.766e+09,3.212e+09,3.515e+09,-3.03e+08,-4.46e+08,6.3e+07,-5.09e+08,-1.021e+09,1.745e+09,-9.74e+08,-1.54e+08,-8.2e+08,7.71e+08,7.71e+08,7.71e+08,-2.82e+08,4.89e+08,4.89e+08,4.89e+08,4.89e+08,1.1787e+10,2.723e+09,6.4388e+10,-3.894e+09,6.8282e+10,9.49e+08,7.04e+08,1.833e+09,8.2384e+10,4.6427e+10,4.622e+10,2.07e+08,1.9295e+10,2.947e+09,6.8669e+10,9.371e+09,4.364e+09,-2e+07,1.3715e+10,1.3715e+10,8.2384e+10,4.89e+08,5.4e+07,1.021e+09,-7.8e+07,-1.4e+07,1.472e+09,-5.52e+08,-2.388e+09,5.04e+08,-2.436e+09,-2.611e+09,1.419e+09,1.445e+09,-2e+06,2.51e+08,-7.13e+08,-7.13e+08,-7.13e+08,8.25e+08,1.9295e+10,0.27874,0.17679,0.03565,0.00594,5.00685,0.23421,0.5864,0.58479,3.31694,16.44682,0.00594,9.10061,9.738
"9","2016_Q4",27.3184126984127,"Up",2.953e+09,3.481e+09,3.796e+09,-3.15e+08,-5.28e+08,6.7e+07,-5.95e+08,-9.86e+08,1.967e+09,-1.004e+09,-1.74e+08,-8.3e+08,9.63e+08,9.63e+08,9.63e+08,-3.59e+08,6.04e+08,6.04e+08,6.04e+08,6.04e+08,1.3588e+10,3.356e+09,6.6529e+10,-4.115e+09,7.0644e+10,9.49e+08,7.33e+08,2.004e+09,8.7159e+10,4.9815e+10,4.9611e+10,2.04e+08,2.0167e+10,3.196e+09,7.3178e+10,9.382e+09,4.861e+09,-2.4e+07,1.3981e+10,1.3981e+10,8.7159e+10,6.04e+08,5.6e+07,9.86e+08,-5e+07,2.19e+08,1.815e+09,-6.76e+08,-3.118e+09,-1.22e+08,-3.916e+09,-7.3e+08,1.361e+09,3.382e+09,-4e+06,3.902e+09,1.801e+09,1.801e+09,1.801e+09,1.019e+09,2.0167e+10,0.32611,0.20454,0.0432,0.00693,5.2341,0.23138,0.72947,0.72684,3.56643,16.88527,0.00816,6.45633,6.83178
"10","2017_Q1",30.8158064516129,"Up",3.059e+09,3.628e+09,3.947e+09,-3.19e+08,-5.69e+08,6.8e+07,-6.37e+08,-1.076e+09,1.983e+09,-1.075e+09,-1.64e+08,-9.11e+08,9.08e+08,9.08e+08,9.08e+08,-3.32e+08,5.76e+08,5.76e+08,5.76e+08,5.76e+08,9.321e+09,5.11e+09,7.1993e+10,-4.344e+09,7.6337e+10,9.49e+08,7.12e+08,2.122e+09,9.0207e+10,5.2055e+10,5.1896e+10,1.59e+08,2.0147e+10,3.809e+09,7.6011e+10,9.394e+09,5.33e+09,-5.3e+07,1.4196e+10,1.4196e+10,9.0207e+10,5.76e+08,5.5e+07,1.076e+09,3.42e+08,-3.25e+08,1.724e+09,-2.139e+09,-5.977e+09,-9.7e+07,-8.213e+09,-5e+07,-2.13e+08,2.547e+09,1e+06,2.178e+09,-4.311e+09,-4.311e+09,-4.311e+09,9.63e+08,2.0147e+10,0.29683,0.1883,0.04057,0.00639,5.3544,0.22334,0.7015,0.69962,3.72549,17.289,0.00757,11.24195,11.92291
