"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",31.3,"Down",23345000,-2115000,21230000,-15725000,-15725000,5505000,-745000,-744000,-1000,4760000,4760000,-4564000,196000,1860000,1860000,1860000,25987000,25987000,52637000,52637000,51634000,25263000,11985000,155521000,64357000,172382000,88727000,67757000,15898000,236739000,392260000,31002000,9912000,21090000,561000,31563000,89121000,13566000,1746000,11820000,102687000,134250000,31753000,0,233955000,-7698000,258010000,258010000,392260000,196000,1860000,1465000,7316000,-9702000,3048000,-3256000,-10543000,-16640000,96000,0,-16552000,-24047000,-24047000,729000,-23318000,6970000,89682000,-1424000,0.9094,0.23581,0.07967,0.00721,0.00474,-0.76559,4.92732,0.52033,0.22863,0.11869,0.11971,1.48969,16.46417,-0.09087,0.00515,-0.00394,9.13845,11.57039
"2","2016_Q2",31.8353125,"Up",84107000,-45904000,38203000,-30793000,-30793000,7410000,-210000,-748000,538000,7200000,7200000,-3104000,4096000,4096000,4096000,4096000,21710000,21710000,58825000,58825000,50695000,24558000,11375000,155788000,63519000,170206000,86827000,67440000,15939000,233725000,389513000,27997000,10946000,17051000,561000,28558000,83981000,14231000,1605000,12626000,98212000,126770000,34483000,-556000,238051000,-9235000,262743000,262743000,389513000,4096000,4096000,2141000,5772000,-8158000,3851000,-2772000,-2559000,-5140000,-556000,-556000,-5696000,-4404000,-4404000,127000,-4277000,9551000,84542000,1725000,0.45422,0.0881,0.0487,0.01559,0.01052,0.421140000000008,5.45514,0.48249,0.21705,0.26061,0.2596,5.35134,16.71712,0.10975,0.01133,0.00477,6.57858,8.47935
"3","2016_Q3",32.08453125,"Up",80131000,-44468000,35663000,-28695000,-28695000,6968000,11000,-742000,753000,6979000,6979000,-3138000,3841000,3841000,3841000,3841000,24624000,24624000,58295000,58295000,49414000,22871000,12498000,155204000,63524000,165649000,82386000,67375000,15888000,229173000,384377000,30461000,10203000,20258000,561000,31022000,71841000,15139000,1505000,13634000,86980000,118002000,34741000,-569000,241892000,-9689000,266375000,266375000,384377000,3841000,3841000,2067000,4137000,5075000,15120000,-1914000,554000,-12141000,-13000,-13000,-12154000,3520000,3520000,-606000,2914000,9035000,72402000,15334000,0.44506,0.08696,0.04793,0.01442,0.00999,3.99219,5.00303,0.44299,0.18836,0.24473,0.24367,5.10551,16.97197,0.977,0.01085,0.04333,5.2881,6.85677
"4","2016_Q4",33.1363492063492,"Up",46797000,-22215000,24582000,-12231000,-12231000,12351000,-1e+05,-673000,573000,12251000,12251000,-5711000,6540000,406000,406000,406000,20414000,20414000,49758000,49758000,53080000,14886000,13133000,138138000,62996000,163643000,80418000,67147000,16078000,226639000,364777000,36281000,12664000,23617000,561000,36842000,46286000,13005000,1300000,11705000,59291000,96133000,37760000,-972000,242298000,-10442000,268644000,268644000,364777000,6540000,406000,1159000,-3104000,10181000,13702000,-723000,8135000,-25554000,1766000,-403000,-23788000,-1951000,-1951000,-897000,-2848000,13510000,46847000,28679000,0.52529,0.26393,0.00867999999999999,0.00151,0.00111,70.63793,3.74947,0.35785,0.12843,0.02564,0.02554,2.95585,16.96842,1.81146,0.00124,0.0873,1.95655,2.14015
"5","2017_Q1",35.623064516129,"Up",76425000,-45942000,30483000,-24086000,-24086000,6397000,-667000,-532000,-135000,5730000,5730000,-2407000,3323000,2728000,2728000,2728000,23146000,23146000,59831000,59831000,43665000,20404000,6722000,147046000,56812000,194569000,59312000,80863000,16011000,251381000,398427000,32754000,10372000,22382000,561000,38499000,72646000,14844000,1464000,13380000,87490000,125989000,38858000,-1011000,245026000,-10435000,272438000,272438000,398427000,3323000,2728000,2103000,4951000,-4763000,6363000,-855000,-29605000,26359000,-39000,-39000,26320000,3078000,3078000,785000,3863000,8500000,73207000,5289000,0.39886,0.0837,0.0357,0.01001,0.00685,1.93878,3.81948,0.46245,0.18374,0.17214,0.17135,4.82238,17.19069,0.33373,0.00757,0.01467,5.88953,7.8257
"6","2017_Q2",35.2071428571429,"Down",98027000,-55658000,42369000,-28106000,-28106000,14263000,-944000,-631000,-313000,13319000,13319000,-4805000,8514000,8514000,8514000,8514000,25926000,25926000,71270000,71270000,51194000,8767000,6938000,157157000,64048000,186345000,88894000,81286000,16165000,250393000,407550000,48392000,17563000,30829000,561000,48953000,66630000,8382000,1252000,7130000,75012000,123965000,39369000,-1021000,254046000,-8809000,283585000,283585000,407550000,8514000,8514000,2017000,3020000,-3102000,10449000,-2300000,-2348999.99999999,-6015000.00000001,-10000,-9999.99999999988,-6025000,2075000,2075000,705000,2780000,16280000,67191000,15683000,0.43222,0.1455,0.08685,0.03002,0.02089,1.84202,3.21037,0.43714,0.16487,0.5373,0.5347,6.18623,17.89631,0.98971,0.02371,0.04367,2.53471,2.89315
"7","2017_Q3",39.591746031746,"Up",75694000,-36529000,39165000,-22205000,-22205000,16960000,261000,-671000,932000,17221000,17221000,-6298000,10923000,7302000,7302000,7302000,26483000,26483000,66449000,66449000,52344000,8431000,6522000,153707000,64010000,185302000,87239000,81766000,16297000,249312000,403019000,48704000,16661000,32043000,561000,49265000,52615000,6970000,1027000,5943000,59585000,108850000,40716000,-1037000,261348000,-6858000,294169000,294169000,403019000,10923000,7302000,1713000,3149000,5649000,15007000,-653000,-138000,-14016000,313000,-16000,-14104000,765000,765000,675000,1440000,18673000,53176000,29967000,0.51741,0.22406,0.09647,0.02482,0.01812,4.10394,3.12,0.37003,0.13194,0.46061,0.45795,4.77474,18.55605,1.8903,0.02061,0.08458,1.4295,1.57388
"8","2017_Q4",46.0190476190476,"Up",69036000,-38845000,30191000,-21234000,-21234000,8957000,-1182000,-540000,-642000,7775000,7775000,-5140000,2635000,-34037000,-34037000,-34037000,26542000,26542000,51407000,51407000,45487000,9187000,6164000,132623000,55235000,160602000,54947000,81870000,23785000,215837000,348460000,39654000,14946000,24708000,561000,43828000,39600000,4597000,809000,3788000,44197000,88025000,42009000,-2008000,227311000,-6877000,260435000,260435000,348460000,2635000,-34037000,1967000,1331000,9234000,13303000,-1288000,632000,-13015000,-972000,-971000,-14008000,-72999.9999999995,-72999.9999999995,74000.0000000001,1000.00000000093,10924000,40161000,24010000,0.43732,0.12974,-0.49303,-0.13069,-0.09768,-0.705409999999999,3.02599,0.33799,0.11525,-2.16879,-2.16879,4.39888,16.59456,1.52988,-0.11153,0.07867,1.2467,1.52049
"9","2018_Q1",45.3967213114754,"Down",83465000,-47274000,36191000,-25657000,-25657000,10534000,-602000,-475000,-127000,9932000,9932000,678000,10610000,6339000,6339000,6339000,11706000,11706000,63383000,63383000,42974000,9504000,7077000,127567000,54473000,158776000,53054000,81764000,23958000,213249000,340816000,40327000,16826000,23501000,561000,44854000,23459000,6738000,2017000,4721000,30197000,75051000,42842000,-3252000,233650000,-7475000,265765000,265765000,340816000,10610000,6339000,1954000,4229000,-6459000,4397000,-1201000,-1180000,-16141000,-1244000,-1244000,-17384000,-14167000,-14167000,16000,-14151000,12488000,24020000,4150000,0.43361,0.12621,0.07595,0.02385,0.0186,0.65468,2.84405,0.2824,0.07048,0.41456,0.41919,5.45844,17.38049,0.2714,0.02138,0.014,0.98607,1.16898
"10","2018_Q2",46.32375,"Up",89578000,-47490000,42088000,-24344000,-24344000,17744000,354000,-384000,738000,18098000,18098000,-4091000,14007000,11676000,11676000,11676000,7689013.26711708,7689013.26711708,65894310.756952,65894310.756952,47170061.8184536,11319327.0549944,10327499.7487354,132072712.897517,53170816.5530403,149211730.185877,51536534.830453,81211761.6117657,16271025.8899522,202382546.738917,334455259.636434,41585418.3129467,15896220.0380428,25689198.2749039,561000,43357078.9333905,18108730.0917721,7638025.03626953,2228345.35358782,4729234.70786777,25746755.1280416,69103834.0614321,44316494.2535984,-26415644.4033941,255965217.99644,-8514635.97655613,265351431.870088,265351425.575002,334455259.636434,14007000,11676000,1925000,423999.999999998,-4515000,8947000,1741000,2019000,-4140000,-7502000,-7502000,-11642000,-676000.000000004,-676000.000000004,-344000,-1020000,19669000,3.72529029846191e-09,20986000,0.46985,0.19808,0.13034,0.100834173900438,0.0776230824733193,1.79736,3.05325244362614,0.259412547648501,0.0556580624350013,0.73791,0.73286,5.66125,17.2491467329552,1.3263,0.0886764957325712,0.0129975156259037,0.545336983038285,0.592558128708965
"11","2018_Q3",53.2101587301587,"Up",91612000,-49402000,42210000,-25005000,-25005000,17205000,-339000,-421000,82000,16866000,16866000,-4443000,12423000,15154000,15154000,15154000,11213000,11213000,61617000,61617000,48769000,11898000,11232000,133497000,52368000,145059000,49266000,81340000,14453000,197427000,330924000,41031000,14766000,26265000,561000,41996000,21179000,7448000,1892000,4577000,28627000,70623000,44636000,-34249000,258557000,-8643000,260301000,260301000,330924000,12423000,15154000,1825000,11203000,-4778000,15993000,-1214000,-1214000,1859000,-23495000,-23495000,-21636000,-6857000,-6857000,233000,-6624000,19030000,21740000,17481000,0.46075,0.1878,0.16542,0.05822,0.04579,1.15356,3.1788,0.27131,0.06569,0.97617,0.96837,5.90131,16.76765,1.12606,0.05235,0.06039,0.55318,0.61186
"12","2018_Q4",48.478253968254,"Down",77488000,-43261000,34227000,-24807000,-24807000,9420000,47999.9999999999,-289000,337000,9468000,9468000,-3471000,5997000,4981000,4981000,4981000,11706000,11706000,63383000,63383000,42974000,9504000,7077000,127567000,54473000,158776000,53054000,81764000,23958000,213249000,340816000,40327000,16826000,23501000,561000,44854000,23459000,6738000,2017000,4721000,30197000,75051000,42842000,-3252000,233650000,-7475000,265765000,265765000,340816000,5997000,4981000,1849000,4088000,13833000,24940000,-2002000,-178000,-10140000,-10758000,-10758000,-20898000,3864000,3864000,-658000,3206000,11269000,24020000,26571000,0.44171,0.12157,0.06428,0.01874,0.01461,5.33447,2.84405,0.2824,0.07048,0.3269,0.32441,5.08552,17.44208,1.74385,0.0168,0.08961,1.09273,1.30722
