"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",1.55126984126984,"Down",4470876,-2564767,1906109,-1761790,-1361657,-400133,144319,-44743,-31585,-13158,99576,99576,-5000,94576,94576,94576,94576,-1512880.14150177,-1512880.14150177,673845.588199206,673845.588199206,800092.850717465,634364.364622089,-38941.7025850974,1205845.38772381,-1765101.70149037,3874500.73664617,-2264100.22037003,1155892.2856367,-559256.313766567,-598198.016351663,3058797.9308938,-43292.4154107786,3102090.34630458,-6956114.08475838,-2123093.84691727,-2254559.25122375,-6020410.00078185,-2100988.3021129,-1149206.21659116,-7169616.21737301,35451393.8508271,-28879976.761352,6571418.20102135,6571418.20102135,-598198.016351663,94576,94576,842072,121382,-485478,572552,-145178,-664189,-809367,305591,321713,84898,84898,84898,986391,0,360735,0.42634,0.03228,0.02115,-0.449585821533306,-0.168340750544018,3.81423,1.28314773596567,-0.678778355744098,-0.0892768175454165,0.00992,0.00991,0.46884,0.718745627132201,0.03783,-0.376633678047388,-0.36004101488777,11.0106137814738,-258.191107325011
"2","2012_Q1",1.73725806451613,"Up",4914622,-3518136,1396486,-2163336,-1841093,-322243,-766850,-24019,-28471,4452,-790869,-790869,-1002000,-1792869,-1792869,-1792869,-1792869,1403949,1403949,2620756,2620756,1913710,1746710,5938415,1525825,8551182,7575064,0,976118,10077007,16015422,2209517,565252,1644265,183637,5766795,5766795,8159949,61034,1261034,9420983,37073807,-30479368,6594439,6594439,16015422,-1792869,-1792869,-1700395,4435914,1893965,2836615,-82964,-763163,-846127,-1249639,-1252011,738477,738477,738477,-2467245,1383637,345756,0.28415,-0.15603,-0.3648,-0.27188,-0.11195,-0.192850000000002,0.72775,1.42863,0.08639,-0.18862,-0.18862,0.51706,0.69379,0.03638,-0.22302,0.04301,0.00823,0.02649
"3","2012_Q2",2.2968253968254,"Up",4140022,-2311246,1828776,-2082435,-1664661,-417774,-253659,-24797,-19842,-4955,-278456,-278456,-2315,-280771,-280771,-280771,-280771,1568452.46383392,1568452.46383392,2750278.22060026,2750278.22060026,2134975.88309418,1967552.04512597,6453706.56752837,1517013.20409206,10618067.7338301,8418725.67111794,1561485.33222202,949303.154787767,12135080.9379222,18588787.5054506,1748390.0230354,766195.38847026,982194.63456514,1483606.27825279,7056658.03230575,7100479.83374125,10288654.333594,471513.350704302,1662585.98886372,11951240.3224577,37599869.7997243,-30962322.246216,6637547.18299288,6637547.18299288,18588787.5054506,-280771,-280771,691345,196967,-835754,-228213,-157681,-785000,-942681,248662,248662,-922232,-922232,-922232,437686,0,-553434,0.44173,-0.06127,-0.06782,-0.117353892822231,-0.051740583151994,1.97112,0.590169921344776,1.73025778524803,0.117599772515139,-0.0291,-0.0291,0.42902,0.6837989576226,-0.05735,-0.0942104406508708,0.145696171629257,-1.79376126049127,71.6665232750038
"4","2012_Q3",4.2184126984127,"Up",4145933,-2201085,1944848,-1924689,-1582532,-342157,20159,-22102,-21791,-311,-1943,-1943,-5000,-6943.00000000023,-6943.00000000023,-6943.00000000023,-6943,577885,577885,2151458,2151458,1886758,1719758,4616101,1344469,8978249,7965127,2623380.97629602,1013122,10322718,14938819,1613272,752454,860818,132298.999999999,5093616,5093616,6839187,54464,1304464,8143651,37562250,-30767082,6795168,6795168,14938819,-6943.00000000023,-6943.00000000023,700477,238765,5672.99999999977,937972,-78515,-606000,-684515,-250000,-157289,96167.9999999998,96167.9999999998,96167.9999999998,720636,1382299,652794,0.4691,0.00486,-0.00166999999999999,-0.00102000000000002,-0.000460000000000016,-94.02189,0.67495,1.19845,0.0925300000000001,-0.000710000000000002,-0.000700000000000006,0.42232,0.69218,0.0665,-0.00083999999999998,0.0793,1.11626,39.9034700000001
"5","2012_Q4",5.50838709677419,"Up",4312091,-2149678,2162413,-1798863,-1494891,-303972,363550,-62785,-25896,-36889,300765,300765,-5000,295765,295765,295765,295765,300438,300438,2423203,2423203,1594640,1427640,4318281,1190970,9212372,8090082,3388712.13222202,1122290,10403342,14721623,1806968,726861,1080107,27017,3862154,3862154,5696139,51179,1801179,7497318,37695622,-30471317,7224305,7224305,14721623,295765,295765,616610,133372,-1129845,-84098,-9066,-579000,-588066,394717,394717,-277447,-277447,-277447,980160,1777017,-153751,0.50148,0.08431,0.06859,0.04094,0.02009,-0.51984,0.75811,1.03779,0.12071,0.02974,0.02985,0.43364,0.7265,-0.01546,0.03267,-0.01698,1.50647,4.06156
"6","2013_Q1",5.82516666666667,"Up",4518162,-2221993,2296169,-2179863,-1835017,-344846,116306,-99783,-110995,11212,16523.0000000001,16522.9999999999,-12000,4522.99999999988,4523,4523,4523,2243054,2243054,4484605,4484605,1680584,1513584,8408243,1215669,15517146,10247841,4060504,1208801,16732815,25141058,2245683,879027,1366656,4120000,6496938,6496938,12862621,1279913,4279913,17142534,38465318,-30466794,7998524,7998524,25141058,4522.99999999988,4523,-1278304,2469228,1074967,2270414,-162802,-630000,-2917281,2342984,2589483,1942616,1942616,1942616,-1161998,7120000,-237833,0.50821,0.02574,0.00100000000000003,0.000570000000000015,0.000180000000000003,-52.58302,0.6537,2.14321,0.2832,0.000449999999999985,0.000449999999999999,0.44556,0.78878,-0.02345,0.000280000000000002,-0.0145,-4.19703,41.93202
"7","2013_Q2",6.52875,"Up",5445133,-2646597,2798536,-2126123,-1669760,-456363,672413,-171785,-207830,36045,500628,500628,-9000,491628,491628,491628,491628,3133991,3133991,2797571,2797571,2157592,1990592,8089154,1263995,15286555,10108662,4060504,1117389,16550550,24639704,2199652,1033137,1166515,4120000,6606966,5374246,12926618,44611,3044611,15971229,38643641,-29975166,8668475,8668475,24639704,491628,491628,270748,752994,110445,1625815,-227878,-507000,-734878,7970161.5268703,0,890937,890937,890937,943161,7120000,834728,0.51395,0.12349,0.09029,0.05671,0.01995,1.69789,0.62577,1.84245,0.28896,0.0477,0.0477,0.52829,0.84103,0.08099,0.03105,0.05272,4.22622,5.92792
"8","2013_Q3",7.28984375,"Up",5049054,-2358300,2690754,-2715047,-2204205,-510842,-24293,-414976,-391188,-23788,-439269,-439269,-23999.9999999999,-463269,-463269,-463269,-463269,4071522,4071522,2190052,2190052,2065288,1898288,8326862,1301806,15447349,9970129,4060504,1416716,16749155,25076017,2747365,711029,2036336,4120000,6601458,5368738,13468823,41870,41869.9999999991,13510693,42003759,-30438435,11565324,11565324,25076017,-463269,-463269,117201,908736,979731,1542399,-220890,-463000,-683890,12710334.3931151,79022.0000000009,937531,937531,937531,92908.0000000005,4120000,875749,0.53292,-0.00481,-0.0917499999999999,-0.04006,-0.01847,-1.89037000000001,0.61823,1.16821,0.1643,-0.04094,-0.04094,0.44619,1.02203,0.07739,-0.02946,0.05568,0.521779999999996,-1.99555
"9","2013_Q4",7.3253125,"Up",6534363,-3042522,3491841,-3793489,-2926829,-866660,-301648,-851595,-895143,43548,-1153243,-1153243,3552879,2399636,2399636,2399636,2260503,10528695,10528695,3389738,3389738,2264858,2264858,16183291,1348182,35395454,21636438,12038226,1720790,36743636,52926927,3809319,832657,2976662,1.4e+07,7582519,6262960,25391838,7219406,11096728,36488566,44477160,-28038799,16438361,16438361,52926927,2399636,2399636,415381,-2281495,-1232696,-699174,-97293,-601420,-12860347,9880000,20016694,6457173,6457173,6457173,113733,17877322,-4769135,0.53438,-0.04616,0.34594,0.13751,0.04271,-2.10977,0.63734,2.21972,0.33777,0.1824,0.14712,0.52726,1.32642,-0.38482,0.05442,-0.11482,64.61297,-24.3616
"10","2014_Q1",6.1983606557377,"Down",6738253,-3545533,3192720,-4374123,-3259675,-1114448,-1181403,-23977,-462849,438872,-1205380,-7175382,-631342,-7806724,-7806724,-7806724,-7843639,7500256,7500256,8685017,8685017,3692505,3692505,19877778,1198805,34189995,21004617,12133304,1052074,35388800,55266578,4909802,1495913,3413889,13687501,11165620,9810442,29762923,12044353,12044353,41807276,49304825,-35845523,13459302,13459302,55266578,-7806724,-7806724,506611,7287684,-2571743,-2584172,-30675,-428256,-458911,-312500,14643.9999999963,-3028439,-3028439,-3028439,-674792,13687501,-2645868,0.47382,-0.17533,-1.16405,-0.58277,-0.14192,0.33733,0.66787,3.1062,0.24766,-0.62638,-0.82131,0.53811,1.07484,-0.21129,-0.20014,-0.06751,-9.16911,-5.2372
