"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",38.2606349206349,"Up",91594000,-39921000,51673000,-51865000,-53239000,-192000,-583000,-583000,-775000,-775000,6774000,5999000,5999000,5999000,5999000,67109735.5811423,67109735.5896608,-3463517.98261938,-3463517.98261938,44555821.9635529,24901126.37977,11658149.875084,133103165.941846,40394940.6005536,4581643.02917269,4581643.81351025,44976583.6298051,178079749.571651,25851350.5252663,-28903223.6175607,33765697.6058768,25935389.4618127,7361833.052268,957012.80108126,111442265.999107,137377655.46092,71669875.8060232,-31042343.934349,713691.002664834,40702094.1107309,40702094.1107309,178079749.571651,5999000,2062000,9516000,-4347000,13230000,-2508000,-1008000,-113727000,-13941000,-1719000,-1719000,-3125244.39962358,-1719000,1870000,0,-11759000,0.56415,-0.0021,0.0655,0.162403626451678,0.012353550948593,-1.96016,5.14010002834626,2.66246645460725,0.537834376311866,0.16626,0.16564,2.53847,1.02652228612633,-0.32589,0.0158363387700016,0.85490401640363,1.84317417682335,2.16075509452372
"2","2012_Q1",34.5946774193548,"Down",109385000,-47548000,61837000,-35290000,-37229000,26547000,-398000,-398000,26149000,26149000,-11914000,14235000,14235000,14235000,14235000,13953000,13953000,34300000,34300000,96717000,15497000,6754000,160467000,42984000,2588000,2588000,45572000,206039000,68465000,30012000,28443000,68548000,6235000,2935000,73169000,141717000,71923000,-7601000,282345.501332417,64322000,64322000,206039000,14235000,2218000,1388000,4344000,22185000,-4062000,-4062000,0,-10043000,8080000,8080000,-1254122.19981179,8079999.99999999,28765000,67017000,40961000,0.56532,0.24269,0.13014,0.22131,0.06909,2.87749,2.34094,2.20324,0.32526,0.35333,0.35317,2.71504,1.59653,1.01669,0.10347,0.29774,1.84474,1.99887
"3","2012_Q2",24.7649206349206,"Down",101390000,-44946000,56444000,-37384000,-39989000,19060000,-316000,-316000,18744000,18744000,-7520000,11224000,11224000,11224000,11224000,-3054661.86038076,-3054661.86322025,47062755.9942065,47062755.9942065,117564892.678816,14214291.2067433,5904700.04163868,175787278.019385,44053519.7998155,1524952.3236091,1524952.06216325,45578472.1233983,221365750.142783,71800133.1582446,42807074.5391869,25638934.1313744,71884120.1793958,7072805.649244,4132495.73297291,70397744.6669642,142281864.84636,72262291.3979923,6802364.644783,98448.5004441389,79083885.296423,79083885.296423,221365750.142783,11224000,2110000,128000,-15473000,-2011000,-2680000,-2680000,76000,-4944000,-9635000,-9635000,-273707.399937263,-9635000,21170000,0,10537000,0.5567,0.18799,0.1107,0.203371291182774,0.0761729830171357,0.93879,2.16034249055125,1.83859368179758,0.286016041229378,0.27709,0.27692,2.50304,1.95444423795789,0.26013,0.110159553743333,0.0500786611987901,2.36122527439222,2.55038746849209
"4","2012_Q3",22.708253968254,"Down",103789000,-44161000,59628000,-36702000,-39120000,22926000,-329000,-329000,22597000,22597000,-8964000,13633000,13633000,13633000,13633000,788000.000000007,788000.000000007,44719000,44719000,118105000,16985000,7246000,180597000,45049000,1084000,1084000,46133000,226730000,56223000,30924000,24894000,56309000,8840000,4869000,80430000,136739000,72661000,17256000,74000,89991000,89991000,226730000,13633000,2351000,284000,-26035000,-9767000,-3846000,-3846000,328999.999999998,10009000,-3604000,-3604000,74000,-3530000,25277000,71676000,4360000,0.57451,0.22089,0.13135,0.15149,0.06013,0.31981,3.20725,1.51947,0.31613,0.33656,0.33627,2.56223,2.2216,0.10763,0.07996,0.02557,2.80445,3.09204
"5","2012_Q4",26.8772580645161,"Up",121149000,-55471000,65678000,-44159000,-45365000,21519000,-288000,-288000,21231000,21231000,-8269000,12962000,12962000,12962000,12962000,8342000,8342000,38591000,38591000,111099000,18968000,8651000,1.77e+08,47308000,967000,967000,48275000,225275000,45932000,18949000,26983000,46020000,10233000,5413000,75801000,121821000,73115000,30218000,121000,103454000,103454000,225275000,12962000,2531000,1025000,2129000,18647000,-4790000,-4790000,-329000,-6350000,7507000,7507000,47000,7554000,24050000,65656000,29658000,0.54213,0.17762,0.10699,0.12529,0.05754,2.28807,3.84615,1.17754,0.29145,0.31999,0.31973,2.99082,2.55398,0.73217,0.07227,0.16537,2.38312,2.66341
"6","2013_Q1",24.5311666666667,"Down",134515000,-58642000,75873000,-43207000,-44953000,32666000,-214000,-214000,32452000,32452000,-12350000,20102000,20102000,20102000,20102000,4922000,4922000,38097000,38097000,106967000,16353000,8343000,166339000,52312000,862000,862000,53174000,219513000,60016000,27276000,31035000,60105000,10306000,6101000,35401000,95506000,73590000,50320000,97000,124007000,124007000,219513000,20102000,2465000,2396000,19684000,44647000,-7520000,-7520000,0,-40472000,-3345000,-3345000,-75000,-3420000,35131000,25184000,59645000,0.56405,0.24284,0.14944,0.1621,0.09158,2.96712,2.76747,0.77017,0.11473,0.49626,0.49568,3.32078,3.06137,1.47246,0.12603,0.37396,0.57676,0.62028
"7","2013_Q2",22.2521875,"Down",117201000,-51899000,65302000,-44492000,-47191000,20810000,-191000,-191000,20619000,20619000,-7993000,12626000,12626000,12626000,12626000,6022000,6022000,36109000,36109000,98231000,16650000,8447000,157012000,61535000,766000,766000,62301000,219313000,63229000,31195000,24660000,63319000,11862000,7619000,19184000,82503000,73950000,62946000,-86000,136810000,136810000,219313000,12626000,2268000,686000,15103000,30683000,-11512000,-11512000,-265000,-18037000,1134000,1134000,-34000,1100000,23078000,7412000,34662000,0.55718,0.17756,0.10773,0.09229,0.05757,2.74529,2.4797,0.60305,0.0338,0.31164,0.31139,2.89278,3.37677,0.85553,0.08089,0.22207,0.06023,0.06679
"8","2013_Q3",21.36359375,"Down",123037000,-54425000,68612000,-46813000,-47833000,21799000,-152000,-152000,21647000,21647000,-8274000,13373000,13373000,13373000,13373000,7612000,7612000,49279000,49279000,117895000,16573000,8177000,191359000,70220000,1669000,1669000,71889000,263248000,73918000,45016000,28902000,74008000,12788000,8474000,38089000,112097000,74752000,76319000,80000,151151000,151151000,263248000,13373000,2491000,840000,-21926000,-5222000,-11192000,-11192000,-47000.0000000001,17975000,1561000,1561000,29000,1590000,24290000,25391000,-554000,0.55765,0.17717,0.10869,0.08847,0.0508,-0.0414300000000001,2.58565,0.74162,0.09645,0.32993,0.32965,3.03548,3.72908,-0.01367,0.07063,-0.00293000000000002,0.73195,0.81559
"9","2013_Q4",22.919375,"Up",138346000,-58118000,80228000,-52657000,-53598000,27571000,-172000,-172000,27399000,27399000,-9657000,17742000,17742000,17742000,17742000,4468000,4468000,46866000,46866000,135311000,18542000,9758000,205187000,76941000,1844000,1844000,78785000,283972000,66761000,36683000,30020000,66834000,12779000,8408000,48073000,114907000,75113000,94061000,-109000,169065000,169065000,283972000,17742000,2665000,519000,-24150000,-3224000,-9410000,-9410000,-490000,9510000,-3124000,-3124000,-20000,-3144000,30236000,35367000,6333000,0.57991,0.19929,0.12824,0.10494,0.06248,0.35695,3.0701,0.67966,0.12454,0.43771,0.43728,3.41309,4.17094,0.15624,0.08168,0.02916,1.02193,1.12071
"10","2014_Q1",25.6104918032787,"Up",157083000,-66693000,90390000,-46900000,-48517000,43490000,-164000,-164000,43326000,43326000,-14673000,28653000,25129000,25129000,25129000,9603000,9603000,34811000,34811000,131562000,22364000,11016000,198340000,77211000,1768000,1768000,78979000,277319000,52641000,14853000,30694000,52699000,15328000,9250000,30365000,83064000,75675000,119190000,-610000,194255000,194255000,277319000,25129000,3410000,-109000,825000,29255000,-3779000,-3779000,64000,-20275000,5201000,5201000,-66000,5135000,46900000,15095000,58619000,0.57543,0.27686,0.15997,0.12936,0.09061,2.33272,3.76364,0.4276,0.05443,0.61952,0.619,3.87266,4.78909,1.44517,0.11184,0.2609,0.1171,0.12628
