"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",4.3896875,"Up",5501000,5500000,8431000,-2931000,1000,5501000,-2120000,-2120000,3381000,3381000,-1025000,2356000,2356000,2356000,2356000,2356000,171345120.895182,574580726.317434,112872243.899127,869112261.346272,151343013.234424,-4649719.98325165,406306213.821236,459883634.169676,462806047.525036,462806047.525036,869112261.346272,2356000,2770000,-304000,4822000,-23512000,-168110000,-3734000,-6118000,207775000,44487000,44487000,44487000,0,0.61462,0.42829,-0.0373297450131823,-0.00975298798442676,0.380601563376701,0.475783068622305,0.18582,0.18582,0.43386,35.0732063583984,0.2945,-0.00372545292745859,1.58489,108.421211112064
"2","2011_Q1",4.54532258064516,"Up",7319000,7312000,10733000,-3421000,7000,7319000,-2518000,-2518000,4801000,4801000,-835000,3966000,3966000,3966000,3966000,3966000,37894000,702156000,112544000,858147000,242728000,20247000,560309000,291479000,297838000,297838000,858147000,3966000,3354000,-2027000,5293000,127000,-127828000,-7021000,-506000,101651000,-20884000,-20884000,-20884000,540062000,0.65596,0.54188,0.01332,0.00462,1.88125,0.62934,0.31279,0.31279,0.57724,23.49014,0.55374,0.0128,1.7703,104.59654
"3","2011_Q2",4.52507936507936,"Down",7604000,7599000,10938000,-3339000,5000,7604000,-2468000,-2468000,5136000,5136000,44000,5180000,5180000,5180000,5180000,5180000,4097959.70160591,753476091.227522,111976002.033624,874966162.884576,287390828.921859,26051406.6610839,615547845.392921,253793288.610108,259418317.491655,259418317.491655,874966162.884576,5180000,2222000,-1637000,5765000,-8606000,-35217000,-7142000,-994000,39633000,10181000,10181000,10181000,0,0.67543,0.68122,0.0276590816710608,0.00864349599480892,2.29627947887443,0.673458977125898,0.29314,0.29314,0.43031,18.0163745472005,0.40417,0.0170284843091529,1.37876,92.8435971293119
"4","2011_Q3",4.3253125,"Down",9686000,9682000,13464000,-3782000,4000,9686000,-2513000,-2513000,7173000,7173000,-653000,6520000,6520000,6520000,6520000,6520000,24481000,752148000,111475000,895533000,301871000,20899000,602995000,289696000,292538000,292538000,895533000,6520000,2965000,733000,10218000,-31034000,-20979000,-7021000,-77000,-12833000,-23594000,-23594000,-23594000,582096000,0.74055,0.67314,0.02229,0.00728,2.06125,0.65,0.36867,0.36867,0.5477,16.5416,0.397,0.01512,1.07684,77.73805
"5","2011_Q4",3.98587301587302,"Down",10238000,10237000,13952000,-3715000,1000,10238000,-2538000,-2538000,7700000,7700000,-2188000,5512000,5512000,5512000,5512000,5512000,44450000,745983000,111035000,910611000,296805000,13660000,574566000,335558000,336045000,336045000,910611000,5512000,4339000,-1289000,8562000,-24689000,762000,-7024000,-11121000,10645000,19969000,19969000,19969000,560906000,0.7521,0.53839,0.0164,0.00605,1.70979,0.61597,0.27606,0.27606,0.51276,16.83036,0.35179,0.01377,1.27431,67.07221
"6","2012_Q1",4.55016129032258,"Up",10949000,10946000,14564000,-3618000,3000,10949000,-2861000,-2861000,8088000,8088000,582000,8670000,8670000,8670000,8670000,8670000,21568000,750520000,111067000,891230000,290700000,12225000,554252000,336415000,336978000,336978000,891230000,8670000,1882000,359000,10911000,-24803000,-5443999.99999999,-8225000,-1245000,-28349000,-22882000,-22882000,-22882000,542027000,0.7387,0.79185,0.02573,0.00973,1.64477,0.60818,0.4326,0.41215,0.54632,16.81406,0.4104,0.01896,0.94867,64.34953
"7","2012_Q2",4.98777777777778,"Up",11188000,11187000,14429000,-3242000,1000,11188000,-3325000,-3325000,7863000,7863000,1230000,9093000,9093000,9093000,9093000,9093000,31452000,557671000,110139000,705221000,355257000,11587000,366844000,337995000,338377000,338377000,705221000,9093000,1736000,937000,11766000,-29634000,193930000,-8542000,-5e+05,-195812000,9884000,9884000,9884000,355257000,0.70281,0.81275,0.02687,0.01289,1.08413,0.50375,0.44224,0.43369,0.54414,16.4572,0.41545,0.02501,0.9394,41.18085
"8","2012_Q3",5.48761904761905,"Up",11951000,11951000,13880000,-1929000,0,11951000,-4054000,-4054000,7897000,7897000,2013000,9910000,9910000,9910000,9910000,9910000,11959000,575868000,104492000,703514000,350696000,11500000,362196000,338129000,341318000,341318000,703514000,9910000,-951000,-5302000,3657000,6299000,-9833000,-8224000,-532000,-13317000.0000001,-19493000,-19493000,-19493000,350696000,0.66078,0.82922,0.02903,0.01409,1.06117,0.49849,0.48176,0.4721,0.58097,16.5925,0.39979,0.02578,0.82987,42.89439
"9","2012_Q4",5.42064516129032,"Down",13237000,13237000,15005000,-1768000,0,13237000,-3949000,-3949000,9288000,9288000,2923000,12211000,12211000,12211000,12211000,10992000,67994000,506742000,105398000,684241000,242970000,13850000,256820000,422479000,427421000,427421000,684241000,12211000,-2384000,7410000,17237000,-16161000,71651000,-8229000,-3148000,-32853000,56035000,56035000,56035000,242970000,0.70167,0.8304,0.02572,0.01606,0.60086,0.35509,0.53433,0.52362,0.64346,20.77566,0.40002,0.02809,0.74864,18.83893
"10","2013_Q1",5.81316666666667,"Up",12308000,12302000,13765000,-1463000,6000,12308000,-3354000,-3354000,8954000,8954000,13000,8967000,8967000,8967000,8967000,7107000,108619000,674653000,881000,788430000,225158000,16348000,241506000,546345000,546924000,546924000,788430000,8967000,-1067000,-456000,7444000,-87609000,-62815000,-10424000,-241000,95996000,40625000,40625000,40625000,225158000,0.72749,0.57743,0.01299,0.00901,0.44157,0.28558,0.26,0.25708,0.45027,20.00734,0.38135,0.02224,1.46672,13.0153
