"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",37.3624590163934,"Up",34156000,-9931000,24225000,-44177000,-33037000,-24109000,-8928000,-11140000,-19952000,164000,-21000,185000,-19788000,-19788000,92000,-19696000,-19696000,-19696000,-19987000,123721000,123721000,14270000,14270000,11518000,3516000,8002000,149509000,11381000,13968000,4522000,9330000,116000,25349000,174858000,18413000,2800000,15613000,40915000,40805000,59428000,78000,4653000,5e+05,4153000,4731000,64159000,265145000,-154301000,-145000,110699000,110699000,174858000,-19696000,890000,12334000,4720000,-1752000,-1374000,0,-704000,-2078000,-18024000,131507000,131507000,1990000,115473000,111643000,111643000,-301000,111342000,-19062000,178000,-15808000,0.70925,-0.58414,-0.58517,-0.18055,-0.1143,0.79091,2.5158,0.57958,0.00102,-0.68658,-0.68658,1.1733,3.80265,-0.54302,-0.173,-0.13683,6.48111,6.19201
"2","2015_Q2",45.8839682539683,"Up",38166000,-10465000,27701000,-39113000,-31612000,-23897000,-7715000,-7501000,-11412000,606000,-22000,628000,-10806000,-10806000,-52000,-10858000,-10858000,-10858000,-10858000,136092000,129375000,15458000,15458000,12626000,4555000,8071000,164176000,11561000,14297000,4404000,9773000,120000,44896000,209072000,18297000,1544000,16753000,46899000,46534000,65297000,53000,4514000,462000,4052000,4567000,69864000,304747000,-165159000,-380000,139208000,139208000,209072000,-10858000,1747000,4890000,3406000,-815000,-1025000,-25784000,-770000,-28179000,-24000,35080000,35080000,-11359285.7219404,35056000,6062000,6062000,-408000,5654000,-9665000,154000,-7232000,0.7258,-0.29901,-0.28449,-0.078,-0.05193,0.66605,2.5143,0.50187,0.00074,-0.34322,-0.34322,1.20641,4.4003,-0.2286,-0.07547,-0.05027,14.06498,11.91185
"3","2015_Q3",48.9434375,"Up",42941000,-11273000,31668000,-42988000,-34831000,-26291000,-8540000,-8157000,-11320000,-35000,21000,-56000,-11355000,-11355000,-37000,-11392000,-11392000,-11392000,-11392000,109826000,74235000,16217000,16217000,14717000,6570000,8147000,140760000,11337000,14418000,4386000,9773000,259000,68097000,208857000,23205000,2415000,20790000,50274000,49712000,73714000,141000,4683000,534000,4149000,4824000,78538000,307328000,-176551000,-458000,130319000,130319000,208857000,-11392000,1818000,6014000,5138000,1578000,-158000,-52499000,-1022000,-53679000,-25000,4788000,4788000,-7852000,-3089000,-55190000,-55190000,50000,-55140000,-9502000,376000,-4485000,0.73748,-0.26362,-0.26529,-0.08742,-0.05454,0.3937,1.90954,0.60266,0.0018,-0.34305,-0.34305,1.29309,3.92433,-0.13506,-0.08415,-0.03313,11.51863,9.66873
"4","2015_Q4",52.8925,"Up",47710000,-12478000,35232000,-48525000,-40396000,-30869000,-9527000,-8129000,-13293000,-82999.9999999999,102000,-185000,-13376000,-13376000,-176000,-13552000,-13552000,-13552000,-13552000,104506000,58809000,19769000,19769000,13048000,4598000,8450000,137323000,11840000,15176000,4594000,9773000,809000,70514000,207837000,23206000,2577000,20629000,54477000,54390000,78080000,216000,5367000,608000,4759000,5583000,83663000,314821000,-190103000,-544000,124174000,124174000,207837000,-13552000,1946000,4844000,2936000,-3826000,-999000,-11586000,-1721000,-14306000,-57999.9999999998,3057000,3057000,-365000,2634000,-15498000,-15498000,72000,-15426000,-11347000,613000,-9234000,0.73846,-0.27862,-0.28405,-0.10914,-0.0652,0.68138,1.75875,0.67376,0.00295,-0.40072,-0.40072,1.41075,3.67172,-0.27304,-0.10412,-0.07095,9.15599,7.81562
"5","2016_Q1",43.004262295082,"Down",53126000,-13707000,39419000,-49868000,-41198000,-31572000,-9626000,-8670000,-10449000,345000,104000,241000,-10104000,-10104000,-147000,-10251000,-10251000,-10251000,-10251000,104552000,55580000,25142000,25142000,16060000,4899000,11161000,145754000,18161000,15898000,4755000,9773000,1370000,74625000,220379000,26272000,2588000,23684000,64493000,64407000,91307000,277000,7087000,732000,6355000,7364000,98671000,322867000,-200354000,-805000,121708000,121708000,220379000,-10251000,1832000,7645000,3414000,2640000,-6245000,-728000,-967000,-7940000,-99000,2827000,2827000,-390000,2338000,-2962000,-2962000,-267000,-3229000,-8617000,819000,-11301000,0.74199,-0.19668,-0.19296,-0.08423,-0.04652,1.10243,1.59631,0.81072,0.00372,-0.29952,-0.29952,1.55226,3.55611,-0.3302,-0.07909,-0.08719,12.03818,9.92755
"6","2016_Q2",45.376875,"Up",58960000,-13971000,44989000,-54850000,-45046000,-35198000,-9848000,-9804000,-9861000,-241000,92000,-333000,-10102000,-10102000,-52000,-10154000,-10154000,-10154000,-10154000,107652000,53019000,25072000,25072000,19014000,8030000,10984000,151738000,26897000,16244000,5162000,9773000,1309000,78254000,229992000,26587000,2674000,23913000,73436000,73262000,100672000,285000,8083000,692000,7391000,8368000,109040000,331765000,-210508000,-305000,120952000,120952000,229992000,-10154000,2201000,7315000,3816000,3178000,-6641000,-93999.9999999999,-1434000,-8169000,-142000,2992000,2992000,-958000,1892000,-3099000,-3099000,538000,-2561000,-7660000,934000,-10433000,0.76304,-0.16725,-0.17222,-0.08395,-0.04415,1.02748,1.50725,0.90151,0.00406,-0.29269,-0.29269,1.69953,3.48645,-0.30073,-0.07813,-0.08027,13.93185,10.82223
"7","2016_Q3",54.26546875,"Up",64974000,-15195000,49779000,-60809000,-49531000,-39140000,-10391000,-11278000,-11030000,-94000,108000,-202000,-11124000,-11124000,60000,-11064000,-11064000,-11064000,-11064000,117492000,58661000,25643000,25643000,18558000,9206000,9352000,161693000,28034000,16300000,5046000,9773000,1481000,74841000,236534000,29555000,2707000,26848000,76701000,76507000,106970000,259000,8853000,675000,8178000,9112000,116082000,342470000,-221572000,-446000,120452000,120452000,236534000,-11064000,3022000,9522000,7163000,8643000,-4628000,326000,-1078000,-5380000,-177000,3176000,3176000,-384000,2615000,5878000,5878000,-236000,5642000,-8008000,973000,-5533000,0.76614,-0.16976,-0.17028,-0.09185,-0.04678,0.50009,1.51157,0.96372,0.00411,-0.31591,-0.31591,1.85518,3.43923,-0.15798,-0.08493,-0.04247,14.55032,10.56383
"8","2016_Q4",52.9492063492063,"Down",70589000,-15812000,54777000,-64728000,-52628000,-41193000,-11435000,-12100000,-9951000,-238000,127000,-365000,-10189000,-10189000,-326000,-10515000,-10515000,-10515000,-10515000,113994000,61439000,30436000,30436000,19632000,10187000,9445000,164062000,29041000,17014000,5876000,9773000,1365000,83724000,247786000,30671000,3004000,27667000,83535000,83328000,114970000,247000.000000004,10411000,918000,9493000,10658000,125628000,354778000,-232087000,-533000,122158000,122158000,247786000,-10515000,2769000,9493000,3525000,5272000,-2081000,-1167000,-1661000,-4909000,-209000.000000001,2977000,2977000,-478000,2290000,2653000,2653000,125000,2778000,-7182000,1011000,-5412000,0.776,-0.14097,-0.14896,-0.08608,-0.04244,0.51469,1.427,1.02841,0.00408,-0.29709,-0.29709,1.99443,3.45147,-0.15291,-0.07872,-0.04052,15.73141,11.35393
"9","2017_Q1",56.6459677419355,"Up",76444000,-16887000,59557000,-73377000,-60562000,-47116000,-13446000,-12815000,-13820000,206000,262000,-56000,-13614000,-13614000,-215000,-13829000,-13829000,-13829000,-13829000,114350000,59702000,38984000,38984000,22919000,8433000,14486000,176253000,30201000,17583000,6539000,9773000,1271000,83502000,259755000,31957000,4350000,27607000,95426000,95426000,127383000,-70544180.3017214,13672000,1171000,12501000,13672000,141055000,365480000,-245916000,-864000,118700000,118700000,259755000,-13829000,3185000,10908000,2009000,2273000,-2439000,-356000,-1576000,-4371000,-215000,2439000,2439000,-548000,1676000,-422000,-422000,-1187000,-1609000,-10635000,0,-10850000,0.77909,-0.18079,-0.1809,-0.1165,-0.05324,0.78458,1.38365,1.18833,0,-0.38758,-0.38758,2.14249,3.32679,-0.30409,-0.10447,-0.08197,10.75223,8.27424
"10","2017_Q2",67.5365079365079,"Up",82252000,-17072000,65180000,-73180000,-59810000,-46672000,-13138000,-13370000,-8e+06,123000,251000,-128000,-7877000,-7877000,-198000,-8075000,-8075000,-8075000,-8075000,122787000,69786000,34935000,34935000,22047000,10263000,11784000,179769000,34697000,22969000,7072000,9773000,6124000,95512000,275281000,30161000,3257000,26904000,104681000,104432000,135632000,288000,15018000,1139000,13879000,15306000,150938000,379495000,-254444000,-708000,124343000,124343000,275281000,-8075000,3329000,10974000,12864000,19092000,-5835000,-507000,-1610000,-7952000.00000001,-239999.99999997,4340000,4340000,-1153000,2946999.99999999,14087000,14087000,454000,14541000,-4671000,1078000,2556000,0.79244,-0.09726,-0.09817,-0.06494,-0.02933,-0.31653,1.32542,1.21388,0.00391999999999998,-0.22304,-0.22304,2.27184,3.43442,0.0705999999999999,-0.0575,0.0182,26.0563,15.21362
