"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.47453125,"Up",5106262,-2080214,3026048,-1689661,-1573127,-116534,1336387,4940,4940,1341327,1341327,-523959,817368,817368,817368,817368,-304716.21623249,5014753.5495388,9211668.37123965,9211668.37123965,-67067.0140333825,759713.028786684,8839885.14097378,956051.741162477,705543.046039424,705543.046039424,1661594.7872019,10501479.9281757,435103.839566243,-470285.999171238,905389.838744168,418037.41039322,-245536.770400287,-245542.475191435,-216039.058846244,27870762.3135329,-10140697.1871826,-7012546.13932844,10717518.9870219,10717518.9870219,10501479.9281757,817368,80713,58762,40585,997428,-171963,-1329,-173292,-625540,0,-625540,198596,198596,198596,1417100,0,1809681,0.59262,0.26172,0.16007,0.0370188911346804,0.0425162666929226,2.21403,9.12909818807188,-0.00391316971966729,1.61292619765589e-08,0.1568,0.15633,0.97956,2.06381496407793,0.34716,0.12,0.102612381896524,-0.505307209264136,0.76531,-4.61477461236837,-4.97526818098091
"2","2011_Q1",5.55806451612903,"Up",5116237,-2034136,3082101,-2404338,-2287350,-116988,677763,3669,3669,681432,681432,-264443,416989,416989,416989,416989,5738940,3720488,3905821,3905821,700822,629036,10345583,1066870,426025,426025,1492895,11838478,2002203,699833,1302370,2018808,72157,72157,2090965,27794379,-10059398,-7987468,9747513,9747513,11838478,416989,79164,344741,1049285,1890179,-410066,-1045,-411111,-625506,0,-631540,847528,847528,847528,756927,0,1660589,0.60242,0.13247,0.0815,0.04278,0.03522,3.98233,5.1246,0.21451,0,0.08008,0.07978,0.98252,1.87191,0.3189,0.12012,0.10616,0.16911,1.50005,-7.58189,-8.46747
"3","2011_Q2",6.38984126984127,"Up",5999739,-2383026,3616713,-2126632,-1984181,-142451,1490081,2205,2205,1492286,1492286,-633798,858488,858488,858488,858488,6488958.15541083,2865850.40015373,3327021.95958678,3327021.95958678,916596.088011127,704255.323737772,10732576.2030087,1231180.16961251,395485.984653525,395485.984653525,1626666.15426603,12359242.3572748,2290738.63681125,801801.416390413,1488937.22041861,2312511.19653559,283291.562240172,283294.985114861,2481409.35294875,27813799.4788224,-10041627.8542725,-7894338.62022385,9877833.00432602,9877833.00432602,12359242.3572748,858488,84522,57024,-1146774,-146740,-228230,-898,-229128,-625441,-69738.7833937063,-625441,-1001309,-1001309,-1001309,1574603,0,833397,0.60281,0.24836,0.14309,0.0727728696217732,0.0584920777690258,0.97077,4.42051310397604,0.244694389906556,-5.37642065885297e-09,0.16471,0.16375,1.15114,1.89137501197402,0.1599,0.12,0.134129206034492,0.317051569754712,0.72854,-5.86312762921054,-6.49913477300636
"4","2011_Q3",5.4575,"Down",6227785,-2489193,3738592,-1980626,-1859573,-121053,1757966,1812,1812,1759778,1759778,-666556,1093222,1093222,1093222,1093222,4638544,2618313,5055636,5055636,839790,839790,10533970,1444541,495656,495656,1940197,12474167,1913794,411632,1502162,1925224,408385.21632023,408389.780153148,1925224,27898126,-10059398,-7289785,10548943,10548943,12474167,1093222,86038,57315,-235593,1000982,-316788,-69482,-386270,-628586,-86992,-715578,-100866,-100866,-100866,1844004,1.38777878078145e-17,1958179,0.60031,0.28228,0.17554,0.10363,0.08764,1.7912,5.47156,0.1825,0,0.2089,0.20857,1.19005,2.01577,0.37418,0.12012,0.16322,0.18563,0.57498,-2.51547,-2.63859
"5","2011_Q4",5.75825396825397,"Up",6315142,-2371255,3943887,-2136445,-2000164,-136281,1807442,773,773,1808215,1808215,-708830,1099385,1099385,1099385,1099385,3501525,3501525,6197433,6197433,836069,836069,10535027,1726034,584877,584877,2310911,12845938,1734916,293930,1440986,1734916,467956.262240172,467959.685114861,1734916,28011795,-10081789,-6818984,11111022,11111022,12845938,1099385,88148,67747,-1328384,-73104,-367602,1974893,1607291,-628584,0,-650975,883212,883212,883212,1895590,0,908434,0.62451,0.28621,0.17409,0.09895,0.08558,0.82631,6.07236,0.15614,0,0.2099,0.20977,1.20573,2.12139,0.17344,0.12001,0.15552,0.08176,0.57176,-1.8472,-1.93728
"6","2012_Q1",6.44258064516129,"Up",5546942,-2373511,3173431,-2428470,-2220847,-207623,744961,556,556,745517,745517,-307329,438188,438188,438188,438188,5564233,5564233,4490976,4490976,1129591,565508,11184800,2063377,552675,552675,2616052,13800852,2283700,961844,1321856,2283700,482523,482523,2766223,28125464,-10081789,-7009046,11034629,11034629,13800852,438188,111312,642844,1961719,3154063,-446170,-16935,-463105,-628250,0,-628250,2062708,2062708,2062708,856273,2.22044604925031e-16,2679151,0.5721,0.1343,0.079,0.03971,0.03175,6.11416,4.89767,0.25069,-6.61744490042422e-24,0.08369,0.08396,1.05943,2.10755,0.5117,0.11999,0.0926,0.23262,1.43375,-6.4982,-7.46916
"7","2012_Q2",6.61603174603175,"Up",6243855,-2578735,3665120,-2288314,-2120266,-168048,1376806,510,510,1377316,1377316,-549825,827491,827491,827491,827491,4725808,4725808,4799119,4799119,745073,692937,10270000,2127322,617637,617637,2744959,13014959,1341960,600257,741703,1341960,482523,482523,1824483,28239133,-10081789,-6966868,11190476,11190476,13014959,827491,137062,67746,-865365,166934,-68173,-151873,-220046,-785313,-74849.4150611157,-785313,-838425,-838425,-838425,1513868,0,1130155,0.587,0.22051,0.13253,0.07395,0.06358,1.36576,7.65299,0.16304,0,0.15806,0.1578,1.19262,2.13745,0.21587,0.15,0.13817,0.09682,0.94903,-3.12168,-3.43244
"8","2012_Q3",7.66253968253968,"Up",6861720,-2758334,4103386,-2439236,-2225342,-213894,1664150,485,485,1664635,1664635,-663591,1001044,1001044,1001044,1001044,4761857,4761857,5351587,5351587,998185,998185,11111629,2339432,670126,670126,3009558,14121187,2228937,1130727,1098210,2228937,482523,482523,2711460,28246893,-10081789,-6755377,11409727,11409727,14121187,1001044,142142,60983.0000000001,81396.9999999995,1285566,-222563,-142842,-365405,-789553,-94559,-884112,36048.9999999995,36048.9999999995,36049,1806292,-1.77635683940025e-15,2328717,0.59801,0.24253,0.14589,0.08774,0.07089,2.32629,4.98517,0.23764,-1.05879118406788e-22,0.1903,0.19008,1.30439,2.16896,0.44268,0.15009,0.15057,0.19582,0.78873,-2.63626,-2.86143
"9","2012_Q4",7.90193548387097,"Up",6459775,-2742072,3717703,-2286749,-1989660,-297089,1430954,447,447,1431401,1431401,-552920,878481,878481,878481,878481,3663499,3663499,5343338,5343338,1093408,1093408,10100245,3490382,761398,761398,4251780,14352025,2251068,1266603,984465,2251068,482523,482523,2733591,28367983,-10081789,-6667760,11618434,11618434,14352025,878481,140337,72169,-64843,1026144,-890050,-443589,-1333639,-790864,0,-790864,-1098359,-1098359,-1098359,1571291,0,1169318,0.57552,0.22152,0.13599,0.07561,0.06121,1.33107,4.48687,0.23528,0,0.16662,0.16607,1.2252,2.20362,0.22178,0.15,0.13795,0.09663,0.90026,-2.33152,-2.56018
"10","2013_Q1",8.23816666666667,"Up",5658184,-2892745,2765439,-2301661,-2155174,-146487,463778,446.999999999996,446.999999999996,464225,464225,-191612,272613,272613,272613,272613,3065785,3065785,4620768,4620768,1677486,823274,9364039,4201409,555170,555170,4756579,14120618,2083330,669789,1413541,2083330,814619,814619,2897949,28490467,-10081789,-7186009,11222669,11222669,14120618,272613,167427,694989,-526942,608087,-1033262,616929,-416333,-790862,1395,-789467,-597713,-597713,-597713,631205,0,-737387,0.48875,0.08197,0.04818,0.02429,0.01931,-2.70489,4.49475,0.25822,0,0.0517,0.05154,1.07305,2.12834,-0.13984,0.14998,0.08835,-0.06126,2.90104,-4.85704,-6.61046
