"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",232.753968253968,"Down",16052000,-16564000,-512000,-7958000,-6436000,-1522000,-8470000,-306000,-310000,-310000,4000,-8776000,468000,-76000,392000,392000,392000,392000,26814000,26814000,24490000,24490000,20063000,1411000,1411000,72778000,7867000,12830000,8475000,20697000,93475000,20798000,14659000,6139000,136000,24637000,1125000,45571000,113000,292000,405000,45976000,722326000,-1041000,-673786000,47499000,47499000,93475000,392000,965000,-8205000,-6600000,-13448000,-350000,-5350000,-1658000,-1658000,-20456000,-20456000,-20456000,-7505000,249000,-14379000,-0.0319,-0.52766,0.02442,0.00825,0.00419,-36.68112,1.59702,0.96794,0.00266,0.32361,0.32273,13.25133,39.21162,-11.87023,5,0.00816,-0.29931,3.53964,3.13636
"2","2010_Q3",161.904375,"Down",18922000,-18803000,119000,-8651000,-6611000,-2040000,-8532000,-194000,-194000,-196000,0,-8726000,-1789000,-136000,-1925000,-1925000,-1925000,-1925000,20270000,20270000,24690000,24690000,18496000,2725000,2725000,66181000,6998000,13009000,8910000,20007000,86188000,16754000,14456000,2298000,124000,19581000,1522000,36459000,82000,303000,385000,36844000,726096000,-1041000,-675711000,49344000,49344000,86188000,-1925000,995000,-5537000,-1245000,-7712000,-266000,-266000,1434000,1434000,-6544000,-6544000,-6544000,-7537000,206000,-8912000,0.00629,-0.4509,-0.10173,-0.03901,-0.02233,4.62961,1.81522,0.74668,0.00239,-1.56816,-1.56816,15.41444,40.19714,-7.25999,5,-0.03861,-0.17877,2.66207,2.35162
"3","2010_Q4",165.1171875,"Up",24159000,-23233000,926000,-7383000,-5959000,-1424000,-6457000,-218000,-218000,-219000,0,-6675000,-7869000,-229000,-8098000,-8098000,-8098000,-8098000,27470000,27470000,22638000,22638000,15245000,3037000,3037000,68390000,6641000,9729000,5836000,16370000,84760000,20107000,17303000,2804000,504000,21981000,1882000,42592000,34000,294000,328000,42920000,726743000,-1094000,-683809000,41840000,41840000,84760000,-8098000,871000,2338000,9150000,4261000,-283000,2217000,722000,722000,7200000,7200000,7200000,-5586000,538000,3510000,0.03833,-0.26727,-0.3352,-0.19355,-0.09554,-0.43344,1.6057,1.02581,0.00635,-6.58987,-6.58987,19.65976,34.04796,2.85632,7,-0.18977,0.08226,4.82134,4.17098
"4","2011_Q1",291.377741935484,"Up",22757000,-23827000,-1070000,-9197000,-7197000,-2e+06,-10267000,-119000,-147000,-148000,28000,-10386000,-29040000,201000,-28839000,-28839000,-28839000,-28839000,33456000,33456000,19329000,19329000,19267000,2369000,2369000,74421000,5939000,6659000,3085000,12598000,87019000,22928000,20292000,2636000,214000,29005000,1153000,52147000,83000,309000,392000,52539000,748222000,-1094000,-712648000,34480000,34480000,87019000,-28839000,992000,21393000,1454000,-5e+06,-148000,1102000,-1398000,9884000,5986000,5986000,5986000,-9275000,297000,-8170000,-0.04702,-0.45116,-1.26726,-0.8364,-0.33141,0.2833,1.42714,1.52375,0.00341,-23.05156,-23.05156,18.1901,27.56052,-6.53044,4,-0.82195,-0.23286,3.57509,3.22967
"5","2011_Q2",344.619047619048,"Up",24282000,-23775000,507000,-8802000,-6640000,-2162000,-8295000,-227000,-231000,-231000,4000,-8522000,-2896000,421074.460545561,-2896000,-2896000,-2896000,-2896000,22105000,22105000,19943000,19943000,22654000,2073000,2073000,66775000,5604000,4950000,1575000,10554000,77329000,20538000,16917000,3621000,36000,22790000,1898000,43364000,75000,307000,382000,43746000,750268000,-1141000,-715544000,33583000,33583000,77329000,-2896000,832000,-3449000,-6835000,-12348000,-312000,938000,59000,59000,-11351000,-11351000,-11351000,-7463000,111000,-10238232.3340948,0.02088,-0.34161,-0.11927,-0.08623,-0.03745,1.578185708707,1.53987,1.30262,0.00144,-2.23314,-2.23314,18.72412,25.89622,-8.77768835292411,3,-0.08517,-0.317655197359725,2.94707,2.65148
"6","2011_Q3",254.296875,"Down",27473000,-25804000,1669000,-8829000,-6584000,-2245000,-7160000,-170000,-172000,-173000,2000,-7330000,1264000,326858.599480227,1264000,1264000,1264000,1264000,20335000,20335000,23212000,23212000,23460000,1877000,1877000,68884000,5307000,4900000,1725000,10207000,79091000,22841000,19750000,3091000,33000,20394000,2205000,43268000,67000,298000,365000,43633000,750879000,-1141000,-714280000,35458000,35458000,79091000,1264000,847000,-6703000,-2850000,-7442000,-377000,-377000,6049000,6049000,-1770000,-1770000,-1770000,-6313000,1e+05,-1097234.33926367,0.06075,-0.26062,0.0460099999999999,0.03565,0.01598,0.632279307868977,1.59203,1.23055,0.00126,0.974510000000003,0.967030000000002,21.18098,27.33721,-2.17027064567386,5,0.03525,-0.121574929001731,3.20529,2.82612
"7","2011_Q4",215.502222222222,"Down",27483000,-25143000,2340000,-10134000,-8311000,-1823000,-7794000,-241000,-237000,-237000,-4000,-8035000,-8818000,72963.438674779,-8818000,-8818000,-8818000,-8818000,22871000,22871000,25753000,25753000,25227000,2069000,2069000,75920000,5007000,4925000,1949000,9932000,85852000,27116000,24034000,3082000,543000,17088000,2814000,44747000,59000,282000,341000,45088000,765011000,-1149000,-723098000,40764000,40764000,85852000,-8818000,816000,4337000,-2512000,-6177000,-176000,-176000,8889000,8889000,2536000,2536000,2536000,-6978000,602000,7694630.82519924,0.08514,-0.28359,-0.32085,-0.21632,-0.10271,-0.69663174690354,1.69665,1.10607,0.00701,-6.62898,-6.62898,20.66049,30.64456,4.69880238441332,4,-0.21173,0.0963803038571286,3.19132,2.8572
"8","2012_Q1",232.645161290323,"Up",30133000,-29222000,911000,-9399000,-7392000,-2007000,-8488000,-186000,-215000,-216000,29000,-8674000,-8128000,-186000,-8314000,-8314000,-8314000,-8314000,49952000,49952000,18576000,18576000,18881000,2974000,2974000,90383000,4833000,4576000,1765000,9409000,99792000,26271000,23061000,3210000,363000,14217000,2995000,40851000,70000,254000,324000,41175000,791201000,-1172000,-731412000,58617000,58617000,99792000,-8314000,909000,-592000,12526000,4529000,-554000,-554000,-11443000,23106000,27081000,27081000,27081000,-7579000,433000,4578999.99999999,0.03023,-0.28168,-0.27591,-0.14184,-0.08331,-0.550760000000001,2.2125,0.70244,0.00434,-5.87649,-5.87649,21.29857,41.43159,3.23651999999999,7,-0.14019,0.0772100000000003,6.53371,5.834
"9","2012_Q2",204.52253968254,"Down",28812000,-26643000,2169000,-9652000,-7448000,-2204000,-7483000,-169000,-191000,-191000,22000,-7652000,-7503000,-272000,-7775000,-7775000,-7775000,-7775000,45117000,45117000,18453000,18453000,20086000,2483000,2483000,86139000,4439000,5588000,2908000,10027000,96166000,27922000,23455000,4467000,190000,16522000,2870000,44634000,145000,226000,371000,45005000,791550000,-1202000,-739187000,51161000,51161000,96166000,-7775000,740000,2798000,-2789000,-7026000,-271000,-271000,2462000,2462000,-4835000,-4835000,-4835000,-6743000,335000,-9531000,0.07528,-0.25972,-0.26985,-0.15197,-0.08085,1.22585,1.9299,0.87967,0.00348,-5.19313,-5.19313,19.24431,34.1718,-6.36601,4,-0.15032,-0.18427,6.64126,5.9845
"10","2012_Q3",206.586349206349,"Up",30118000,-27512000,2606000,-8841000,-6428000,-2413000,-6235000,-124000,-128000,-128000,4000,-6359000,-6057000,-124000,-6181000,-6181000,-6181000,-6181000,45217000,45217000,15146000,15146000,19400000,2724000,2724000,82487000,4120000,6449000,3892000,10569000,93056000,27795000,23789000,4006000,61000,15292000,3012000,43148000,130000,191000,321000,43469000,796157000,-1202000,-745368000,49587000,49587000,93056000,-6181000,734000,1984000,910000,-2553000,-382000,-382000,3035000,3035000,99999.9999999963,99999.9999999963,99999.9999999963,-5501000,191000,-4849000,0.08653,-0.20702,-0.20523,-0.12465,-0.06642,0.7845,1.91172,0.87662,0.00205,-4.11718,-4.11718,20.06168,33.03003,-3.22993,4,-0.1237,-0.09704,8.18506,7.22149
