"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.1528571428571,"Up",884768000,-720167000,164601000,-137409000,-137409000,27192000,-1304000,-1312000,8000,25888000,25888000,-10355000,15533000,15533000,15533000,15533000,167882756.790749,167882756.790749,-588251707.635225,-588251707.635225,-2145895257.4705,195194354.265158,173586900.683562,-2371069854.04982,191693517.23295,-24967090.7648901,-191280139.720675,154466661.044386,11846387.9113992,166726426.46806,-2204343427.58176,-3391175966.20172,-2116498668.57469,-1274677297.62703,34436472.3297053,-3356739493.87201,22642981.3119481,3278917874.35034,3252370149.60293,3301560855.66229,-55178638.209725,-2485866917.54325,360503683.722383,-23047473.6376717,-2149164789.37203,-2149164789.37203,-2204343427.58176,15533000,15533000,6650000,2600000,-7300000,17483000,-9679000,-9679000,-2671000,14000,14000,-562000,-3219000,4585000,4585000,4585000,33842000,0,27218000,0.18604,0.03073,0.01756,0.11278501273259,0.0386351315185306,1.75227,21.4287443427322,3.70342256611069,0.147019877589581,0.36138,0.35947,20.58462,-12.6787960732508,0.63324,0.00438755368376862,0.963281353329825,-0.768769329568888,-1.04267725288141
"2","2010_Q3",34.114375,"Up",898217000,-731611000,166606000,-139002000,-139002000,27604000,-1505000,-1516000,11000,26099000,26099000,-10440000,15659000,15659000,15659000,15659000,83172378.3953747,83172378.3953747,-158150353.817612,-158150353.817612,-751746128.73525,111347177.132579,90263450.3417812,-715376927.024909,241011758.616475,124291454.617555,-62970069.8603376,171571330.522193,15690193.9556996,365303213.23403,-350073713.790879,-1360673483.10086,-836173334.287343,-524500148.813517,19731236.1648526,-1340942246.93601,36169990.655974,1650017437.17517,1626214074.80146,1686187427.83114,345245180.895137,-1080532958.77163,396788341.861191,-10843236.8188359,-695318894.686017,-695318894.686017,-350073713.790879,15659000,15659000,6706000,1519000,-15227000,8657000,-6122000,-6316000,-10571000,1789000,1789000,-367000,-9149000,-6808000,-6808000,-6808000,34310000,0,23401000,0.18549,0.03073,0.01743,0.070032506366295,0.0263425657592653,1.49441,10.7740021713661,2.33817628305534,0.0917899387947906,0.36396,0.36151,20.87712,1.56003696337459,0.54391,0.0138437768418843,0.475740676664912,0.394030335215556,0.467551373559293
"3","2010_Q4",36.72703125,"Up",985694000,-803287000,182407000,-148565000,-148565000,33842000,-1361000,-1402000,41000,32481000,32481000,-12992000,19489000,19489000,19489000,19489000,34884792.7984582,34884792.7984582,95122215.3941292,95122215.3941292,60174623.7549166,63441392.3775263,42706816.7805937,253623024.32503,268074586.205492,213899484.872518,13156643.3798875,181784776.840731,18958064.6518999,481974071.07801,735597095.40304,-218282494.366953,-111443778.095781,-106838716.271172,9930745.38828421,-208351748.978669,44765996.8853247,715869145.725057,694174691.600488,760635142.610381,552283393.631712,-234997652.923875,423471447.287064,-4444412.27294529,183313701.771328,183313701.771328,735597095.40304,19489000,19489000,6863000,2777000,-22139000,6990000,-15091000,-15132000,7782000,1948000,1948000,49000,9779000,1637000,1637000,1637000,40705000,0,16467000,0.18505,0.03433,0.01977,0.0428708354554317,0.0184408552530884,0.84494,4.92454739045537,1.47010876101845,0.0589466462649302,0.45066,0.44765,22.79325,10.1096889877915,0.38078,0.0177445922806281,0.176540225554971,0.997510111738518,1.25903379118643
"4","2011_Q1",40.39,"Up",988460000,-805143000,183317000,-157053000,-157053000,26264000,1270000,-1368000,2638000,27534000,27534000,-9894000,17640000,17640000,17640000,17640000,13802000,13802000,217097000,217097000,439702000,42353000,21793000,712954000,279255000,258590000,50201000,186925000,21464000,537845000,1250799000,274272000,205202000,69070000,5033000,279305000,48433000,292614000,272016000,341047000,620352000,189162000,443861000,-1868000,630447000,630447000,1250799000,17640000,17640000,7264000,2903000,5194999.99999999,33002000,-24037000,-87544000,52600000,4730000,4730000,1296000,58626000,4084000,4084000,4119000,33528000,53466000,24580000,0.18546,0.02657,0.01785,0.02798,0.0141,1.39342,2.5526,0.98399,0.04275,0.40566,0.40423,22.73106,14.49803,0.56525,0.01806,0.02517,1.18301,1.5102
"5","2011_Q2",42.5403174603175,"Up",1052967000,-860635000,192332000,-162676000,-162676000,29656000,-1125000,-1178000,53000,28531000,28531000,-11127000,17404000,17404000,17404000,17404000,10706000,10706000,253305000,253305000,536671000,38958000,18398000,839640000,280926000,273096000,61264000,188810000,23022000,554022000,1393662000,355265000,261276000,93989000,5036000,360301000,47173000,196393000,175502000,243566000,603867000,330369000,461265000,-1131000,789795000,789795000,1393662000,17404000,17404000,8355000,2552000,-61215000,-32904000,-7529000,-29371000,58949000,1910000,1910000,-1665000,59194000,-3081000,-3081000,-3096000,38011000,52209000,-19606000,0.18266,0.02816,0.01653,0.02204,0.01249,-1.12652,2.33038,0.76459,0.03746,0.35815,0.35599,21.66866,16.25293,-0.40347,0.01676,-0.01888,1.09187,1.39948
"6","2011_Q3",40.368125,"Down",1114449000,-915817000,198632000,-166690000,-166690000,31942000,-1039000,-1241000,202000,30903000,30703000,-11974000,18729000,18729000,18729000,18729000,17284000,17284000,258979000,258979000,523575000,41088000,20528000,840926000,280003000,273738000,60484000,189397000,23857000,553741000,1394667000,291980000,223867000,68113000,5040000,297020000,45911000,236312000,215254000,282223000,579243000,335665000,479994000,473000,815424000,815424000,1394667000,18729000,18729000,8887000,2473000,-48901000,-18812000,-6675000,-6743999.99999999,29011000,3204000,3204000,-79999.9999999995,32135000,6579000,6579000,6578000,40829000,50951000,-2773000,0.17823,0.02866,0.01681,0.02297,0.01343,-0.14806,2.83121,0.71036,0.03653,0.384,0.38208,22.84924,16.71842,-0.0568500000000001,0.01698,-0.00251,0.82459,1.054
"7","2011_Q4",36.9949206349206,"Down",1203983000,-985439000,218544000,-179638000,-179638000,38906000,31000,-396000,427000,38937000,38937000,-15575000,23362000,23362000,23362000,23362000,24318000,24318000,279650000,279650000,550249000,39619000,19059000,893836000,282859000,275249000,60962000,190504000,23783000,558108000,1451944000,322692000,240487000,82205000,5043000,327735000,44649000,228512000,207036000,273161000,600896000,343473000,503356000,4927000,851048000,851048000,1451944000,23362000,23362000,9656000,1697000,-15831000,18884000,-10170000,-10243000,-6779000,4647000,4647000,599000,-1533000,7108000,7108000,7034000,48562000,49692000,38136000,0.18152,0.03231,0.0194,0.02745,0.01609,1.63239,2.72731,0.70607,0.03422,0.47826,0.47477,24.64754,17.42237,0.78071,0.02069,0.03377,0.52251,0.65219
"8","2012_Q1",44.9390322580645,"Up",1158616000,-943314000,215302000,-179855000,-179855000,35447000,-1113000,-959000,-154000,34334000,28264000,-11086000,17178000,17178000,17178000,17178000,16867000,16867000,257116000,257116000,514506000,56003000,33980000,844492000,285151000,271345000,58336000,191943000,21066000,556496000,1400988000,300974000,217074000,83900000,47447000,348421000,986000,181914000,143363000,182900000,531321000,345521000,520534000,4320000,869667000,869667000,1400988000,17178000,17178000,8398000,23313000,33787000,82676000,-16308000,-16385000,-73744000,401000,401000,-117000,-73460000,-7169000,-7169000,-7451000,43845000,48433000,72410000,0.18583,0.03059,0.01483,0.01975,0.01226,4.21528,2.42377,0.61095,0.03457,0.39381,0.38913,26.56158,19.93735,1.66002,0.01562,0.06583,0.71995,0.89051
"9","2012_Q2",49.9253968253968,"Up",1217428000,-1000315000,217113000,-185713000,-185713000,31400000,-1044000,-903000,-141000,30356000,25011000,-9854000,15157000,15157000,15157000,15157000,17016000,17016000,309541000,309541000,649026000,49203000,27319000,1024786000,281573000,274238000,54132000,193836000,26270000,555811000,1580597000,393188000,300408000,92780000,46272000,439460000,9e+05,253046000,214507000,253946000,693406000,350181000,535691000,1770000,887191000,887191000,1580597000,15157000,15157000,9592000,4493000,-122705000,-93463000,-7524000,-7555000,100228000,1756000,1756000,-748000,101236000,218000,218000,149000,40992000,47172000,-79383000,0.17834,0.02579,0.01245,0.01708,0.00959,-5.23738,2.33192,0.78157,0.02984,0.30843,0.30568,24.77368,18.05362,-1.61538,0.01276,-0.06685,0.73566,0.96038
"10","2012_Q3",55.8884126984127,"Up",1286910000,-1063763000,223147000,-185760000,-185760000,37387000,-1190000,-1163000,-27000,36197000,36323000,-14312000,22011000,22011000,22011000,22011000,26736000,26736000,322818000,322818000,595429000,51512000,29755000,996495000,277733000,272595000,55237000,193576000,23782000,550328000,1546823000,330593000,240534000,90059000,45098000,375691000,813000,258583000,220048000,259396000,635087000,353253000,557702000,1232000,911736000,911736000,1546823000,22011000,22011000,9598000,3025000,1024000.00000003,35658000,-5073000,-7492000,-18899000,752000,752000,-203000,-18350000,9816000,9816000,9720000,46985000,45911000,57248000,0.1734,0.02905,0.0171,0.02414,0.01423,2.60088,2.65243,0.69657,0.02968,0.44657,0.44393,26.10948,18.49776,1.16148,0.0181,0.04707,0.40811,0.51288
