"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.4969841269841,"Up",1.316e+09,-1.073e+09,2.43e+08,-1.82e+08,-1e+08,-2.7e+07,-5.5e+07,6.1e+07,-3.3e+07,-3.2e+07,-1e+06,2.8e+07,-1e+06,2.7e+07,-1.5e+07,1.2e+07,1.2e+07,-5e+06,7e+06,7e+06,-123952531.004042,-123952531.004042,-2375038993.8343,-1472092779.33346,-139791943.935056,335084673.997232,-572638358.747834,-4110876248.10685,1575671867.44182,599084056.322903,3808372.07915808,276794759.183398,198318758.88485,120162166.175497,2174755923.76473,-1936120324.34212,-1414296165.65304,-1628155964.70452,-110764796.589826,850225340.571051,-3724041447.44936,-4697538295.3424,1661705325.58775,748754471.471243,442059996.709666,154871622.413058,151822852.34852,2410459797.05899,-2287078498.28341,3034886132.40657,-482523761.780673,-2411003841.38873,618320236.223986,759678765.461158,-408720591.159743,350958174.301414,-1936120323.982,1.2e+07,5.5e+07,2e+06,-1.26e+08,-5.7e+07,-3.7e+07,-1e+06,-3.8e+07,-9e+06,1.27e+08,1.18e+08,2.3e+07,2.3e+07,3e+06,2.6e+07,1.16e+08,0,-3.2e+07,0.18465,0.04635,0.00532,-16.137915624028,-0.291789147433767,-4.57143,2.18303766454949,605.199991204289,0.0215678078585817,0.11875,0.11511,22.32463,12.5140846995458,-0.54285,-0.523336980714408,6.0291646614691,-7.08250668964322,35.4631995157747
"2","2010_Q3",24.49015625,"Up",1.502e+09,-1.222e+09,2.8e+08,-1.84e+08,-9.8e+07,-3.3e+07,-5.3e+07,9.6e+07,-3.4e+07,-3.2e+07,-2e+06,6.2e+07,-1e+06,6.1e+07,-1.5e+07,4.6e+07,4.6e+07,-6e+06,4e+07,4e+07,115523734.497979,115523734.497979,-792519496.917149,-400546389.666728,21604028.0324722,206542336.998616,-247319179.373917,-1055938124.05343,1244835933.72091,435042028.161452,17904186.039579,165397379.591699,137659379.442425,114081083.087748,1679877961.88236,623939837.828938,-19148082.8265181,-244577982.352261,-26882398.2949129,476112670.285526,-1628020723.72468,-1414269147.6712,1346352662.79387,608877235.735622,374029998.354833,95935811.2065288,138911426.17426,1955229898.5295,540960750.858295,3019443066.20329,-344261880.890337,-2520001920.69436,77660118.1119928,232839382.730579,-149860295.579872,82979087.1507072,623939838.009002,4.6e+07,5.3e+07,8e+06,-3e+06,1.04e+08,-3.4e+07,-5e+06,-3.9e+07,2.9e+07,-1.27e+08,-9.8e+07,-3.3e+07,-3.3e+07,-1.4e+07,-4.7e+07,1.49e+08,1.19209289550781e-07,1.27e+08,0.18642,0.06391,0.02663,-7.76554781201399,-0.146039573716883,3.175,1.61855383227475,337.224450602145,0.241323903929291,0.67661,0.65601,25.40661,3.81444234977289,2.14823,-0.262213490357204,2.80150233073455,3.04075165517839,28.7786197578873
"3","2010_Q4",34.38953125,"Up",1.542e+09,-1.28e+09,2.62e+08,-1.94e+08,-1.09e+08,-3e+07,-5.5e+07,6.8e+07,-3.6e+07,-3.6e+07,0,3.2e+07,-1e+06,3.1e+07,-1.5e+07,1.6e+07,1.6e+07,-6e+06,1e+07,1e+07,219841244.83266,219841244.83266,225160167.694284,236817870.111091,137868009.344157,151847445.666205,-58106393.124639,819687291.982191,1088611977.90697,353014009.387151,26968062.013193,108465793.197233,104886459.814142,112693694.362583,1441625987.29412,2261313279.27631,861283972.391161,606140672.549246,24705867.235029,287037556.761842,-447006907.908226,530576950.776266,1196450887.59796,528292411.911874,332009999.451611,65978603.7355096,130303808.724753,1724743299.50983,2255320250.2861,3011481022.06776,-269087293.630112,-2554000640.23145,-175113293.962669,13279794.2435263,-7286765.19329056,5993029.05023573,2261313279.33633,1.6e+07,5.5e+07,-4e+06,-5e+07,1.7e+07,-3.1e+07,-4e+06,-3.5e+07,-1.1e+07,5.5e+07,4.4e+07,2.6e+07,2.6e+07,1.2e+07,3.8e+07,1.23e+08,0,5.7e+07,0.16991,0.0441,0.00649,-2.801595937338,-0.0547331912389611,5.7,1.32287127742491,163.945556867382,0.35192796797643,0.16881,0.1645,26.03002,0.200837449924298,0.9622,-0.0984178301190681,0.95335411024485,7.68894055172613,22.0146499192958
"4","2011_Q1",39.9322580645161,"Up",1.577e+09,-1.325e+09,2.52e+08,-1.9e+08,-1.1e+08,-2.7e+07,-5.3e+07,6.2e+07,-4.9e+07,-4.9e+07,0,1.3e+07,0,1.3e+07,-2.4e+07,-1.1e+07,-1.1e+07,-7e+06,-1.8e+07,-1.8e+07,2.33e+08,2.33e+08,7.96e+08,5.47e+08,2.14e+08,1.46e+08,3e+07,1.79e+09,1.05e+09,3.27e+08,3.2e+07,8.9e+07,9.2e+07,1.14e+08,1.377e+09,3.167e+09,1.339e+09,1.048e+09,5.1e+07,2.27e+08,6.3e+07,1.468e+09,1.16e+09,4.92e+08,3.11e+08,5.6e+07,1.25e+08,1.652e+09,3.12e+09,3.009e+09,-2.4e+08,-2.536e+09,-2.37e+08,-4e+06,5.1e+07,4.7e+07,3.167e+09,-1.1e+07,5.3e+07,1e+07,1.28e+08,1.8e+08,-4.6e+07,1e+06,-4.5e+07,9000000.00000001,-1.03e+08,-9.4e+07,4.1e+07,4.1e+07,8e+06,4.9e+07,1.15e+08,1.223e+09,2.21e+08,0.1598,0.03932,-0.01141,-0.38298,-0.00568,-12.27778,1.21935,66.38298,0.38617,-0.30239,-0.29308,26.4925,-0.0672,3.71265,-0.01022,0.12543,8.6087,15.96774
"5","2011_Q2",39.4971428571429,"Down",1.76e+09,-1.466e+09,2.94e+08,-1.95e+08,-1.09e+08,-3.5e+07,-5.1e+07,9.9e+07,-3.2e+07,-2.8e+07,-4e+06,6.7e+07,-1e+06,6.6e+07,-1.4e+07,5.2e+07,5.2e+07,-5e+06,4.7e+07,4.7e+07,1.99e+08,1.99e+08,1.038e+09,6.37e+08,2.55e+08,1.64e+08,5.2e+07,2.129e+09,1.072e+09,3.31e+08,3.4e+07,9e+07,9.1e+07,1.16e+08,1.403e+09,3.532e+09,1.526e+09,1.205e+09,5.9e+07,2.4e+08,1.46e+08,1.729e+09,1.185e+09,4.85e+08,3.06e+08,5.7e+07,1.22e+08,1.67e+09,3.399e+09,3.01e+09,-2.4e+08,-2.489e+09,-2.05e+08,7.6e+07,5.7e+07,1.33e+08,3.532e+09,5.2e+07,5.1e+07,-3e+06,-2.03e+08,-1.03e+08,-4.2e+07,-3e+06,-4.5e+07,-1.5e+07,1.29e+08,1.14e+08,-3.4e+07,-3.4e+07,11547111.4826078,-3.4e+07,1.5e+08,1.331e+09,-8.1e+07,0.16705,0.05625,0.0267,0.35338,0.01331,-1.7234,1.23135,25.55639,0.37684,0.78531,0.75715,29.40721,1.26986,-1.3534,0.02411,-0.04156,7.54667,11.43434
"6","2011_Q3",33.1553125,"Down",1.888e+09,-1.565e+09,3.23e+08,-2.07e+08,-1.18e+08,-3.5e+07,-5.4e+07,1.16e+08,-2.7e+07,-2.6e+07,-1e+06,8.9e+07,-2e+06,8.7e+07,-3e+07,5.7e+07,5.7e+07,-7e+06,5e+07,5e+07,1.61e+08,1.61e+08,1.091e+09,6.26e+08,2.64e+08,1.77e+08,4.5e+07,2.142e+09,1.083e+09,3.33e+08,3.4e+07,9.1e+07,9.2e+07,1.16e+08,1.416e+09,3.558e+09,1.541e+09,1.208e+09,5.5e+07,2.65e+08,6.7e+07,1.67e+09,1.227e+09,4.76e+08,2.97e+08,5.8e+07,1.21e+08,1.703e+09,3.373e+09,3.012e+09,-2.51e+08,-2.439e+09,-1.82e+08,1.4e+08,4.5e+07,1.85e+08,3.558e+09,5.7e+07,5.4e+07,3e+06,-46999999.9999999,6.7e+07,-4.9e+07,-2e+06,-5.1e+07,3999999.99999999,-5.2e+07,-59000000.0000001,-4.3e+07,-4.3e+07,5e+06,-3.8e+07,1.7e+08,1.294e+09,1.04e+08,0.17108,0.06144,0.02648,0.27027,0.01405,2.08,1.28263,18.23243,0.36369,0.83396,0.80731,31.4905,2.3351,1.73465,0.02558,0.0532,6.66471,9.76724
"7","2011_Q4",28.3238095238095,"Down",1.773e+09,-1.492e+09,2.81e+08,-1.84e+08,-1.01e+08,-3.2e+07,-5.1e+07,9.7e+07,-2.8e+07,-2.7e+07,-1e+06,6.9e+07,-1.2e+07,5.7e+07,-2.1e+07,3.6e+07,3.6e+07,-6e+06,3e+07,3e+07,1.63e+08,1.63e+08,1.073e+09,6.21e+08,2.46e+08,1.6e+08,4.4e+07,2.103e+09,1.026e+09,3.07e+08,3.3e+07,7.5e+07,8.7e+07,1.12e+08,1.333e+09,3.436e+09,1.496e+09,1.181e+09,4.6e+07,2.46e+08,7e+07,1.622e+09,1.234e+09,4.5e+08,2.79e+08,5e+07,1.21e+08,1.684e+09,3.306e+09,3.013e+09,-2.56e+08,-2.409e+09,-2.65e+08,8.3e+07,4.7e+07,1.3e+08,3.436e+09,3.6e+07,5.1e+07,1.7e+07,-2.4e+07,8e+07,-5e+07,-4e+06,-5.4e+07,-4e+06,6e+06,-3e+06,2.3e+07,2.3e+07,-2.1e+07,2e+06,1.48e+08,1.304e+09,9.5e+07,0.15849,0.05471,0.01692,0.23077,0.00873,3.16667,1.29655,25.43077,0.37951,0.5017,0.48861,29.65067,1.38805,1.58873,0.01592,0.05042,7.70946,11.76289
"8","2012_Q1",34.0906451612903,"Up",1.784e+09,-1.514e+09,2.7e+08,-1.82e+08,-1e+08,-3.1e+07,-5.1e+07,8.8e+07,-2.6e+07,-2.7e+07,1e+06,6.2e+07,-1e+06,6.1e+07,-2.3e+07,3.8e+07,3.8e+07,-8e+06,3e+07,3e+07,2.14e+08,2.14e+08,9.36e+08,5.92e+08,2.37e+08,1.53e+08,4.4e+07,1.979e+09,1.047e+09,3.11e+08,3.2e+07,7.4e+07,9.2e+07,1.13e+08,1.358e+09,3.337e+09,1.454e+09,1.171e+09,4.4e+07,2.26e+08,6.6e+07,1.57e+09,1.158e+09,5.54e+08,3.85e+08,5.1e+07,1.18e+08,1.712e+09,3.282e+09,3.017e+09,-2.56e+08,-2.379e+09,-3.82e+08,0,5.5e+07,5.5e+07,3.337e+09,3.8e+07,5.1e+07,1e+06,1.11e+08,2.01e+08,-6.8e+07,-5e+06,-7.3e+07,-1e+06,-7.8e+07,-7.9e+07,4.9e+07,4.9e+07,2e+06,5.1e+07,1.39e+08,1.224e+09,2.05e+08,0.15135,0.04933,0.01682,0.54545,0.00899,6.83333,1.26051,59.67273,0.3668,0.50053,0.49445,29.76488,0,3.42029,0.01637,0.11184,7.26619,11.47727
"9","2012_Q2",28.8355555555556,"Down",1.912e+09,-1.607e+09,3.05e+08,-2.05e+08,-1.18e+08,-3.8e+07,-4.9e+07,1e+08,-4.5e+07,-4.2e+07,-3e+06,5.5e+07,-1e+06,5.4e+07,-1.8e+07,3.6e+07,3.6e+07,-6e+06,3e+07,3e+07,1.93e+08,1.93e+08,1.135e+09,6.79e+08,2.52e+08,1.72e+08,3.7e+07,2.259e+09,1.077e+09,3.15e+08,3.2e+07,7.5e+07,8.9e+07,1.19e+08,1.392e+09,3.651e+09,1.577e+09,1.27e+09,4.3e+07,2.5e+08,9.4e+07,1.713e+09,1.264e+09,5.54e+08,3.77e+08,5e+07,1.27e+08,1.818e+09,3.531e+09,3.02e+09,-2.56e+08,-2.349e+09,-3.53e+08,6.2e+07,5.8e+07,1.2e+08,3.651e+09,3.6e+07,4.9e+07,0,-1.7e+08,-8.5e+07,-6.4e+07,-4e+06,-6.8e+07,-1.29e+08,2.51e+08,1.22e+08,-3.1e+07,-3.1e+07,1e+07,-2.1e+07,1.49e+08,1.358e+09,-6.7e+07,0.15952,0.0523,0.01569,0.25,0.00822,-2.23333,1.31874,29.425,0.37195,0.49837,0.48594,31.76268,1.02996,-1.11302,0.01476,-0.03297,7.81879,11.65
"10","2012_Q3",27.6853968253968,"Down",1.92e+09,-1.595e+09,3.25e+08,-1.87e+08,-1.09e+08,-2.8e+07,-5e+07,1.38e+08,-2.1e+07,-2.1e+07,0,1.17e+08,-1e+06,1.16e+08,-2.1e+07,9.5e+07,9.5e+07,-8e+06,8.7e+07,8.7e+07,1.81e+08,1.81e+08,1.144e+09,6.68e+08,2.71e+08,1.9e+08,3.7e+07,2.264e+09,1.06e+09,3.03e+08,3.1e+07,7.2e+07,8.5e+07,1.15e+08,1.363e+09,3.627e+09,1.551e+09,1.231e+09,5.8e+07,2.52e+08,1.32e+08,1.724e+09,1.234e+09,5.27e+08,3.64e+08,4.4e+07,1.19e+08,1.761e+09,3.485e+09,3.023e+09,-2.74e+08,-2.262e+09,-3.91e+08,9.6e+07,4.6e+07,1.42e+08,3.627e+09,9.5e+07,5e+07,2e+06,-6.1e+07,86000000.0000001,-6e+07,-2e+06,-6.2e+07,-2.4e+07,1.4e+07,-2.8e+07,-3999999.99999999,-3999999.99999999,-8e+06,-1.2e+07,1.88e+08,1.366e+09,8.8e+07,0.16927,0.07187,0.04531,0.61268,0.02399,1.01149,1.31323,24.54225,0.37662,1.4515,1.42146,32.03311,1.60166,1.46818,0.04275,0.04324,6.30319,8.58696
