"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",8.36063492063492,"Up",309767000,-252392000,57375000,-53035000,-49151000,-5679000,2520000,4340000,4781000,-1241000,6022000,9121000,9121000,4052000,13173000,15839000,-191000,15648000,15648000,1716364878.98565,1716673084.99002,398740.581864754,470640809.984168,470640809.984168,1543244779.1948,75500266.5810013,184717991.981465,3730250468.16461,102963963.157385,-71553491.0406256,82085030.5020363,10249443.6370497,46425938.3829707,113495502.618796,3843745970.78341,681533991.88201,271744953.581424,354309002.459095,256520087.653276,240747323.532204,15772764.121072,946746056.199009,130691983.004308,160414990.541,160326353.760457,1107072409.95947,3015389893.62123,-102298395.690212,-13079269.1287444,-50604308.2011651,2849407920.60111,-112734359.777165,2736673560.82394,3843745970.78341,13173000,5679000,-6199000,-9065000,3588000,-7605000,6215000,2371000,-1590000,-39672005.1391095,-33988261.6642499,-550000,-2140000,3819000,4330000,805000,5135000,10019000,0,-10703000,0.18522,0.01401,0.05052,4.16026302703735,0.759299728579543,-0.68399,9.89862759930099,-49.5921511676644,-0.38875730530976,0.76168,0.69926,15.07822,138.706296143382,-0.52098,1.54656778026322,12.0147651182545,-3649.86937673665,623.301332408367
"2","2011_Q3",6.93,"Down",340867000,-282746000,58121000,-51251000,-50339000,-5504000,4869000,6870000,-2086000,-978000,-1108000,4784000,3731000,592000,4323000,3190000,746000,3936000,3936000,946358439.492823,946415542.495011,296370.290932377,261265904.992084,261265904.992084,786259389.597399,48446133.2905006,95687995.9907326,1993883734.08231,97873481.5786927,-24643245.5203128,62443515.2510182,13050221.8185249,35258469.1914853,135673751.309398,2129557485.3917,427508495.941005,143467476.790712,258027501.229547,192390043.826638,152700661.766102,39689382.060536,626018528.099505,64914991.5021541,75669995.2705001,94485676.8802286,720504204.979733,1703325946.81061,-98199697.8451058,-121108134.564372,-18449154.1005826,1465568960.30055,-56515679.8885825,1409053280.41197,2129557485.3917,4323000,5504000,2175000,14657000,26659000,-3546000,1112000,3880000,-1266000,442000,0,-550000,-11335000,19204000,25423000,-255000,25168000,12374000,-1.86264514923096e-09,22893000,0.17051,0.02015,0.01155,1.85305651351867,0.339369864289772,5.81631,5.36746879965049,-22.7907805838322,-0.15447365265488,0.1914,0.17524,16.57591,71.310913071691,1.11326,0.700153890131612,5.34066255912723,-1771.23035836833,350.189766204184
"3","2011_Q4",6.40619047619048,"Down",340188000,-282598000,57590000,-57271000,-51068000,-5239000,0,319000,-662000,-895000,233000,-343000,-343000,5501000,5158000,5822000,1179000,7001000,7001000,470373813.164274,470263180.83167,228456.763644126,146874968.330695,146874968.330695,332066463.199133,31329044.4301669,44398331.9969109,949315244.694102,93723160.5262309,-41081.840104267,49198505.0836727,14509407.2728416,28138489.7304951,142880583.769799,1092195828.4639,279141831.980335,71530492.2635706,198148167.076516,143644347.942213,101864220.588701,41780127.353512,426772509.366502,28507663.8340514,28833331.7568334,58055892.2934095,484828401.659911,914874982.270205,-95887232.6150353,-186964378.188124,-2144051.36686086,629879320.100184,-22511893.2961942,607367426.80399,1092195828.4639,5158000,5239000,1476000,153000,12026000,-3391000,42000,-3218000,-1342000,1212000,0,-525000,-655000,8153000,15953000,1246000,17199000,5558000,0,-3181000,0.16929,0.00094,0.02058,0.552962171172891,0.101793288096591,-0.45436,2.66220626655016,-6.50127352794407,-0.0137912175516266,0.33943,0.31,16.49316,30.641471023897,-0.15422,0.222264630043871,1.61201751970908,-662.434836122775,168.800042068061
"4","2012_Q1",5.21661290322581,"Down",360594000,-301870000,58724000,-61815000,-51852000,-4530000,-4565000,-3091000,-1819000,-584000,-1235000,-4910000,-4910000,3243000,-1667000,-1480000,1707000,227000,227000,220624000,220426000,198000,100146000,100146000,106450000,21920000,21390000,427220000,90471000,8721000,41754000,15012000,24081000,140946000,568166000,209676000,40802000,166617000,109432000,78852000,30580000,321420000,13392000,9611000,42956000,364376000,521001000,-94941000,-219992000,3027000,209095000,-5305000,203790000,568166000,-1667000,4530000,-8130000,13443000,8176000,-3921000,-2207000,-10640000,-5225000,-7684000,-7704000,-384999.999999996,-18511000,-20975000,-24670000,-284000,-24954000,1439000,31876000,7718000,0.16285,-0.00857,0.000629999999999999,0.00111,4e-04,34,1.32916,1.788,0.0561,0.01106,0.0100899999999999,17.56767,10.18684,0.37601,0.02186,0.03099,-131.16609,61.06373
"5","2012_Q2",5.02047619047619,"Down",376777000,-319352000,57425000,-68487000,-51783000,-4442000,-11252000,-11062000,-289000,-478000,189000,-11351000,-11351000,3263000,-8088000,-5073000,747000,-4326000,-4326000,129322000,129114000,208000,93757000,93757000,35194000,17990000,17204000,258273000,88075000,8111000,39514000,14943000,22101000,135700000,393973000,192353000,36150000,155380000,88902000,74278000,14624000,282373000,11490000,7709000,41105000,323478000,392668000,-94941000,-229535000,1780000,69972000,523000,70495000,393973000,-8088000,4442000,1051000,-10764000,-13359000,-1926000,343000,901000,-1252000,0,9.31322574615479e-10,-92701000,-99170000,-111628000,-114565000,-622000,-115187000,-6620000,30733000,-22573000,0.15241,-0.02936,-0.01148,-0.06137,-0.01098,5.21798,0.91465,4.58867,0.07801,-0.21242,-0.21242,18.5012,3.43589,-1.10842,0.0079,-0.20026,14.8925999999999,8.9124
"6","2012_Q3",5.9415873015873,"Up",365449000,-306365000,59084000,-55052000,-51552000,-4231000,1850000,4032000,-1779000,-1350000,-429000,2253000,2253000,676000,2929000,2929000,-273000,2656000,2656000,130563000,130392000,171000,93958000,93958000,38510000,16986000,21524000,263031000,86475000,5455000,37898000,14785000,20834000,129828000,392859000,200712000,41310000,157524000,80578000,77888000,2690000,281803000,12409000,10409000,42073000,323876000,393523000,-95151000,-229847000,-242000,68283000,7e+05,68983000,392859000,2929000,4231000,1320000,11421000,19901000,-2513000,2674000,-1377000,-744000,-210000,-210000,-12059000,-15981000,2542999.99999999,2543000.00000001,-1265000,1278000,8263000,30177000,16495000,0.16168,0.01103,0.00727,0.0385,0.00676,6.21047,0.93339,4.69501,0.07681,0.12961,0.12961,17.83287,3.33202,0.80491,0.05041,0.14785,-12.14886,-24.89732
"7","2012_Q4",5.9858064516129,"Up",379719000,-319811000,59908000,-57746000,-51254000,-4163000,-1138000,2162000,-998000,-434000,-564000,1164000,1164000,2285000,3449000,3449000,-460000,2989000,2989000,156560000,156470000,90000,73427000,73427000,42182000,16679000,24891000,272169000,85629000,7221000,36310000,14923000,19295000,129160000,401329000,207995000,41150000,164995000,83609000,80296000,3313000,292122000,8071000,7417000,37779000,329901000,394530000,-95151000,-230272000,1677000,70784000,644000,71428000,401329000,3449000,4163000,-5782000,22596000,24426000,3811000,148000,5835000,-58000,0,-2.3283064365387e-10,-530000,-4002000,26259000,26259000,-181000,26078000,6325000,30226000,30447000,0.15777,0.00569,0.00787,0.04185,0.00745,10.18635,0.9317,4.61865,0.07531,0.14206,0.14206,18.04662,3.3641,1.44703,0.05835,0.27748,-19.97375,-58.43386
"8","2013_Q1",6.57533333333333,"Up",384338000,-323858000,60480000,-62708000,-52317000,-3812000,-5330000,-2228000,-1686000,-723000,-963000,-3914000,-3914000,36558000,32644000,37480000,-151000,37329000,37329000,148905000,148905000,805053.777341614,83017000,83017000,56736000,18792000,30158000,288658000,85567000,7133000,69756000,14614000,21491000,162456000,451114000,201265000,39844000,160104000,99540000,84364000,15176000,301365000,17308000,17308000,47024000,348389000,396143000,-97757000,-196358000,202000,102230000,495000,102725000,451114000,32644000,3812000,-37981000,5080000,3555000,-10202000,4000,-9720000,-59000,-2606000,-2606000,-399999.999999996,-6480000,-12645000,-6700000,-267000,-6967000,1584000,30276000,-40096000,0.15736,-0.0058,0.09713,0.36339,0.08275,-1.07412,0.95784,3.39147,0.06711,1.7802,1.41714,18.32887,4.87529,-1.91216,0.27107,-0.26676,-74.89205,53.24461
"9","2013_Q2",10.26484375,"Up",400117000,-335251000,64866000,-58182000,-53315000,-3135000,-350000,6684000,990000,105000,885000,7674000,7674000,-2054000,5620000,4168000,-554000,3614000,3614000,166223000,166141000,81999.9999999995,70613000,70613000,55362000,19363000,32176000,292198000,85577000,7496000,70444000,14837000,23728000,163517000,455715000,211210000,37955000,159082000,106320000,85065000,21255000,318133000,15465000,15465000,45187000,363320000,398180000,-98583000,-209869000,1838000,91566000,829000,92395000,455715000,5620000,3135000,-281000,11976000,20450000,-3550000,-67000,-2867000,-58000,-826000,-826000,-4e+05,-4709000,12874000,12636000,2001000,14637000,9819000,30325000,20299000,0.16212,0.01671,0.00903,0.0391100000000001,0.00793000000000002,5.61677,0.91848,3.93225,0.06654,0.17369,0.16365,19.22992,4.40073,0.97559,0.05094,0.1469,-13.84031,-20.33184
"10","2013_Q3",12.6478125,"Up",411456000,-344486000,66970000,-61315000,-55631000,-3865000,0,5655000,1358000,-457000,1815000,7013000,7013000,-3105000,3908000,3495000,-542000,2953000,2953000,150712000,150634000,78000,72244000,72244000,58217000,19517000,35077000,281173000,85842000,8757000,65345000,14880000,21282000,159944000,441117000,192209000,33798000,157646000,112493000,88155000,24338000,305356000,10371000,10371000,38746000,344102000,398134000,-98836000,-206915000,3522000,95905000,1110000,97015000,441117000,3908000,3865000,-2695000,1114000,6192000,-3912000,-2707000,-6619000,-60000,-252000,-252000,-271000,-14282000,-14709000,-15585000,78000,-15507000,9520000,29029000,9826999.99999999,0.16276,0.01374,0.00718000000000001,0.03044,0.00669,3.3278,0.9208,3.54689,0.06581,0.14177,0.13368,19.754,4.6044,0.47179,0.12207,0.07204,-12.78183,-21.51777
