"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.2631746031746,"Up",1660888000,-1472172000,188716000,-167743000,-167743000,20973000,-178820000,-178820000,-788796978.652066,-157847000,-157847000,11020000,-146827000,-146827000,-150405000,-150405000,800749000,800749000,1446373000,1446373000,504854000,2844909000,10562448000,2871008000,2580697000,290311000,13433456000,16278365000,2253538000,1223859000,1029679000,2520555000,10387856000,1429919000,1429919000,11817775000,14338330000,3151095000,-1212723000,-16233000,1922139000,1940035000,16278365000,-146827000,56002000,547921000,-172426000,284670000,-2259078000,-509025000,80356000,1300000,1300000,-9507000,72149000,-152206000,-152206000,-32687000,-184893000,76975000,10387856000,-2365549000,0.11362,0.01263,-0.09056,-0.07753,-0.00924,15.72786,1.12868,7.39076,0.63814,-0.36618,-0.36618,4.04365,4.6797,-5.75924,-0.01093,-0.17194,124.54832,457.11663
"2","2010_Q3",9.96671875,"Down",1879586000,-1531757000,347829000,-171985000,-171985000,175844000,-182082000,-182082000,-214659992.884022,-6238000,-6238000,-14210000,-20448000,-20448000,-25121000,-25121000,896848000,896848000,1400306000,1400306000,1047731000,3433690000,11567878000,2854259000,2563709000,290550000,14422137000,17855827000,2541079000,1467148000,1073931000,2802221000,11693823000,1446099000,1446099000,13139922000,15942143000,3164398000,-1237844000,-30783000,1895771000,1913684000,17855827000,-20448000,55269000,474970000,221763000,731554000,-3135044000,-1826998000,1261174000,2172000,2172000,-28654000,1234692000,139248000,139248000,-43149000,96099000,231113000,11693823000,-2667958000,0.18506,0.09355,-0.01337,-0.01313,-0.00141,106.20429,1.22535,8.3306,0.6549,-0.0609999999999999,-0.0609999999999999,4.56387,4.60317,-6.47814,-0.00167,-0.17723,46.7173,61.4008699999999
"3","2010_Q4",11.89875,"Up",2186304000,-1661338000,524966000,-168717000,-168717000,356249000,-200803000,-200742000,-61000,155446000,155446000,4124000,159570000,159570000,154906000,154906000,1483320000,1483320000,1674946000,1674946000,1068715000,4314596000,10961280000,2850754000,2554929000,295825000,13812034000,18126630000,2244490000,928108000,1316382000,2531026000,12046930000,1405290000,1405290000,13452220000,15983246000,3174884000,-1081203000,32094000,2125775000,2143384000,18126630000,159570000,53957000,527595000,-27790000,713332000,-1828366000,-126402000,-11982000,1540000,1540000,-31513000,-41955000,544975000,544975000,41497000,586472000,410206000,12046930000,-1450074000,0.24012,0.16295,0.07085,0.07227,0.00855,-9.36099,1.70468,7.45701,0.6646,0.37582,0.35992,5.30426,5.15741,-3.51807,0.00993,-0.09298,25.75196,29.65232
"4","2011_Q1",14.7632258064516,"Up",1835756000,-1486274000,349482000,-156067000,-156067000,193415000,-199412000,-199468000,56000,-5997000,-5997000,-17596000,-23593000,-23593000,-28061000,-28061000,2374170000,2374170000,1356553000,1356553000,560358000,4378510000,10087321000,2879119000,2550559000,328560000,12966440000,17344950000,1694066000,954261000,739805000,1972751000,11306429000,1947319000,1508102000,13253748000,15226499000,3187360000,-1123234000,37823000,2101949000,2118451000,17344950000,-23593000,53516000,477269000,-28069000,479123000,-1358688000,1518857000,-1102457000,5831000,5831000,-34506000,-1131132000,866848000,866848000,24002000,890850000,246931000,11306429000,-1122230000,0.19037,0.10536,-0.01529,-0.01325,-0.00162,39.99252,2.21949,7.18756,0.65186,-0.06794,-0.07108,4.44488,5.0894,-2.71723,-0.00183,-0.073,36.1731,46.18183
"5","2011_Q2",15.6644444444444,"Up",1780003000,-1509754000,270249000,-182221000,-182221000,88028000,-246910000,-195034000,-51876000,-158882000,-158882000,29940000,-128942000,-128942000,-132615000,-132615000,1365759000,1365759000,1311755000,1311755000,619765000,3394751000,10587769000,2845065000,2535570000,309495000,13432834000,16827585000,2309949000,1204927000,1105022000,2592076000,10750019000,1450797000,1450797000,12200816000,14792892000,3188645000,-1242975000,68873000,2014543000,2034693000,16827585000,-128942000,54479000,452886000,-212783000,165640000,-2006133000,-303945000,-819638000,2599000,2599000,-74754000,-891793000,-1030098000,-1030098000,21687000,-1008411000,142507000,10750019000,-2106349000,0.15183,0.04945,-0.0745,-0.06518,-0.00788,15.88319,1.30966,7.27033,0.63883,-0.32028,-0.32028,4.29885,4.86528,-5.087,-0.00932,-0.14796,65.85122,106.6054
"6","2011_Q3",11.8128125,"Down",2072293000,-1606975000,465318000,-195591000,-195591000,269727000,-175081000,-164280000,-10801000,94646000,94646000,-34561000,60085000,60085000,54998000,54998000,747582000,747582000,1447170000,1447170000,739236000,3033987000,12443895000,2829752000,2522540000,307212000,15273647000,18307634000,2739191000,1560856000,1178335000,3025209000,11693593000,1457194000,1457194000,13150787000,16175996000,3207616000,-1187977000,97262000,2116901000,2131638000,18307634000,60085000,56340000,461594000,-56752000,521267000,-3557705000,-1873800000,742190000,10698000,10698000,-28447000,724441000,-628092000,-628092000,9915000,-618177000,326067000,11693593000,-3253829000,0.22454,0.13016,0.02654,0.0258,0.003,-59.16268,1.0029,7.58853,0.63873,0.13222,0.12173,4.98211,5.08935,-7.8227,0.0036,-0.21291,33.56982,40.58181
"7","2011_Q4",10.7844444444444,"Down",2432266000,-1770900000,661366000,-197557000,-197557000,463809000,-168119000,-168090000,-29000,295690000,295690000,-83181000,212509000,212509000,206738000,206738000,385788000,385788000,1996038000,1996038000,773879000,3250181000,12880579000,2959206000,2579345000,379861000,15839785000,19089966000,2389196000,997287000,1391909000,2678626000,12506251000,1639482000,1639482000,14145733000,16824359000,3217368000,-994113000,21845000,2245100000,2265607000,19089966000,212509000,58193000,576812000,114123000,961637000,-2454914000,-1287227000,-13983000,1685000,1685000,-6291000,-18589000,-344179000,-344179000,-17615000,-361794000,522002000,12506251000,-1735608000,0.27191,0.19069,0.085,0.09125,0.01083,-8.39521,1.21338,7.42598,0.65512,0.4962,0.46889,5.8378,5.38857,-4.16572,0.0126,-0.10576,23.21919,26.13244
"8","2012_Q1",13.7946774193548,"Up",2014738000,-1581671000,433067000,-192331000,-192331000,240736000,-166590000,-166796000,206000,74146000,74146000,-33998000,40148000,40148000,35079000,35079000,931779000,931779000,1616382000,1616382000,729797000,3361936000,11357263000,2954328000,2562234000,392094000,14311591000,17673527000,2151750000,897489000,1254261000,2433284000,11317090000,1688478000,1688478000,13005568000,15438852000,3210134000,-947064000,-28414000,2234656000,2234675000,17673527000,40148000,58988000,506708000,-43288000,562556000,-1641048000,1294372000,-1285869000,1718000,1718000,-16508000,-1300659000,556269000,556269000,-10287000,545982000,299724000,11317090000,-1350614000,0.21495,0.11949,0.01741,0.0157,0.00198,-38.50207,1.38165,6.90877,0.64034,0.0841300000000001,0.07426,4.83212,5.35957,-3.23929,0.0023,-0.08862,34.64958,43.13983
"9","2012_Q2",13.574126984127,"Down",1960925000,-1629264000,331661000,-207752000,-207752000,123909000,-160718000,-161175000,457000,-36809000,-36809000,-19524000,-56333000,-56333000,-56333000,-56333000,594701000,594701000,1398702000,1398702000,620432000,2713362000,12531095000,3035652000,2564222000,471430000,15566747000,18280109000,2663879000,1320805000,1343074000,2944926000,11425702000,1703987000,1703987000,13129689000,16074615000,3204947000,-1003395000,3922000,2205474000,2205494000,18280109000,-56333000,63215000,533077000,-47958000,492001000,-2675286000,-715765000,-66059000,5499000,5499000,-60707000,-121267000,-345031000,-345031000,7953000,-337078000,187124000,11425702000,-2516596000,0.16913,0.06319,-0.02873,-0.02554,-0.00308,44.67357,0.92137,7.28844,0.62503,-0.13474,-0.13474,4.69036,5.27529,-6.01947,-0.00367,-0.16411,57.88141,87.41093
"10","2012_Q3",12.7892063492063,"Down",2225175000,-1708736000,516439000,-206548000,-206548000,309891000,-151182000,-151725000,542999.999999999,158709000,158709000,-65776000,92933000,92933000,92933000,92933000,586201000,586201000,1448271000,1448271000,594658000,2730842000,13702228000,2996419000,2544011000,452408000,16698647000,19429489000,2717072000,1487086000,1229986000,2987712000,12467873000,1707966000,1707966000,14175839000,17163551000,3214484000,-910508000,-38057000,2265919000,2265938000,19429489000,92933000,61285000,563923000,-39642000,678499000,-3116514000,-1500035000,827759000,2201000,2201000,-4192999.99999999,825767000,4231000,4231000,-12753000,-8521999.99999976,371176000,12467873000,-2719204000,0.23209,0.13927,0.04176,0.04101,0.00478,-29.25983,0.91402,7.57459,0.6417,0.22127,0.20772,5.29804,5.39505,-6.4743,0.00565,-0.16538,32.01088,38.34146
"11","2012_Q4",14.6301612903226,"Up",2516200000,-1801600000,714600000,-2.01e+08,-2.01e+08,513600000,-144700000,-154200000,9500000,368900000,368900000,-1.26e+08,242900000,242900000,242900000,242900000,453361000,453361000,1731795000,1731795000,760852000,3051990000,13500930000,2986185000,2531522000,454663000,16487115000,19539105000,2200618000,975098000,1225520000,2480373000,12720908000,1795513000,1795513000,14516421000,16996794000,3224709000,-667588000,-14829000,2542292000,2542311000,19539105000,242900000,61300000,643500000,1.3e+07,960700000,-2048900000,-1041200000,-54100000,2700000,2700000,-6800000,-58200000,-138700000,-138700000,5900000,-132800000,574900000,12720908000,-1.335e+09,0.284,0.20412,0.09653,0.09554,0.01243,-5.49609,1.23046,6.68557,0.65105,0.57751,0.54523,5.98241,6.04444,-3.17404,0.01424,-0.07826,21.33858,23.88541
"12","2013_Q1",18.8051666666667,"Up",2310700000,-1849400000,461300000,-362700000,-362700000,98600000,-224400000,-179900000,-44500000,-125800000,-125800000,30300000,-95500000,-95500000,-95500000,-95500000,5.41e+08,5.41e+08,1.787e+09,1.787e+09,1.034e+09,3.464e+09,1.4151e+10,5.513e+09,4.18e+09,1.333e+09,1.9664e+10,2.3128e+10,2.396e+09,1.036e+09,1.36e+09,2.729e+09,1.5449e+10,2.619e+09,2.619e+09,1.8068e+10,2.0797e+10,3.238e+09,-8.84e+08,-2.3e+07,2.331e+09,2.331e+09,2.3128e+10,-95500000,75200000,616500000,-14400000,581800000,-1943300000,-1.464e+09,1009400000,-10400000,-10400000,-21300000,977700000,95500000,95500000,4900000,100400000,173800000,1.5449e+10,-1814200000,0.19964,0.04267,-0.04133,-0.04097,-0.00413,18.99686,1.26933,8.92192,0.66798,-0.22667,-0.19853,5.48438,5.53256,-4.30595,-0.00468,-0.08894,85.77675,151.19675
"13","2013_Q2",23.86265625,"Up",2436508000,-1938217000,498291000,-251709000,-251709000,246582000,-174350000,-174948000,598000,72232000,72232000,-54269000,17963000,17963000,17963000,17963000,653783000,653783000,1555520000,1555520000,975831000,3295087000,15426421000,5354740000,4002046000,1352694000,20781161000,24076248000,2662345000,1304849000,1357496000,2983348000,16316982000,2738756000,2738756000,19055738000,22039086000,3241578000,-686022000,-51165000,2037143000,2037162000,24076248000,17963000,81823000,643188000,580000,743554000,-3309584000,-932317000,804424000,-461831000,5417000,-25744000,316849000,128086000,128086000,-7558000,120528000,328405000,16316982000,-2926330000,0.20451,0.1012,0.00737,0.00882,0.00075,-162.90876,1.10449,10.81852,0.67772,0.04318,0.03897,5.85699,4.89698,-7.03445,0.00085,-0.13874,47.69476,63.52126
"14","2013_Q3",25.03875,"Up",2714692000,-2046983000,667709000,-274991000,-274991000,392718000,-180750000,-181852000,1102000,211968000,211968000,-90531000,121437000,121437000,121437000,121437000,483100000,483100000,1.656e+09,1.656e+09,1158500000,3425900000,17171600000,5334800000,3968500000,1366300000,22506400000,25932300000,2803800000,1484500000,1319300000,3131300000,1.7842e+10,2794800000,2794800000,20636800000,23768100000,3269300000,-564600000,-73300000,2164200000,2164200000,25932300000,121437000,80677000,719412000,-206480000,715046000,-3641516000,-2331783000,1437576000,15631000,15583000,-6556000,1446651000,-170086000,-170086000,-642000,-170728000,473395000,1.7842e+10,-3284070000,0.24596,0.14466,0.04473,0.05611,0.00468,-27.04341,1.09408,10.9824,0.68802,0.30284,0.26115,6.76981,5.39701,-8.1897,0.00533,-0.14403,36.66896,44.20195
"15","2013_Q4",23.3296875,"Down",3069400000,-2202200000,867200000,-276800000,-276800000,590400000,-262200000,-178800000,-83400000,328200000,328200000,-113500000,214700000,214700000,214700000,214700000,548700000,548700000,1700900000,1700900000,1198300000,3554600000,16706200000,5.311e+09,3944700000,1366300000,22017200000,25571800000,2409300000,952400000,1456900000,2755900000,17136200000,2858800000,2858800000,1.9995e+10,22750900000,3222200000,-349900000,-51400000,2820900000,2820900000,25571800000,214700000,78100000,835600000,264600000,1.393e+09,-2.574e+09,-771500000,-561500000,4400000,4400000,-5300000,-562400000,59100000,59100000,6500000,65600000,668500000,17136200000,-1527400000,0.28253,0.19235,0.06995,0.07611,0.0084,-7.11411,1.28981,8.06512,0.67012,0.50518,0.46172,7.22212,6.63741,-3.59388,0.00941,-0.06694,24.81301,28.09536
"16","2014_Q1",26.3219672131148,"Up",2554400000,-2122600000,431800000,-249500000,-249500000,182300000,-191700000,-171400000,-20300000,-9400000,-9400000,-42700000,-52099999.9999999,-52099999.9999999,-52100000,-52100000,4.11e+08,4.11e+08,1.397e+09,1.397e+09,1.576e+09,3.471e+09,1.5476e+10,5.476e+09,4.124e+09,1.352e+09,2.0952e+10,2.4423e+10,2.339e+09,1.022e+09,1.317e+09,2.69e+09,1.6309e+10,2.857e+09,2.857e+09,1.9166e+10,2.1856e+10,3.23e+09,-5.82e+08,6e+06,2.567e+09,2.567e+09,2.4423e+10,-52099999.9999999,98400000,727800000,-32699999.9999999,741400000,-1009900000,398600000,-964500000,-113200000,-25400000,-209400000,-1287100000,-147100000,-147100000,1700000,-145400000,280700000,1.6309e+10,-719200000,0.16904,0.07137,-0.0204,-0.0203,-0.00213,13.80422,1.29033,8.51422,0.66777,-0.11682,-0.11204,5.72735,5.75561,-1.61256,-0.0024,-0.03309,56.63698,87.2079
