"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",5.175625,"Down",1.486e+09,-1.222e+09,2.64e+08,-3.84e+08,-1.57e+08,-2.02e+08,-1.2e+08,1.3e+07,-5.1e+07,7e+06,5.7e+07,-1.07e+08,-1.07e+08,7.8e+07,-2.9e+07,-2.9e+07,-2.9e+07,-2.9e+07,2.15e+08,2.15e+08,1.102e+09,9.93e+08,1.71e+08,1.2e+08,2.481e+09,3.17e+09,9.043e+09,-5.873e+09,6.46e+08,4.66e+08,3.97e+09,6.451e+09,1.453e+09,1.009e+09,4.44e+08,3.8e+07,1.505e+09,3.924e+09,9.32e+08,3.79e+08,5.53e+08,4.856e+09,6.361e+09,6.47e+08,-3e+07,-5.31e+08,8.6e+07,4e+06,9e+07,6.451e+09,-2.9e+07,7e+07,1.47e+08,-7.5e+07,1.13e+08,-1.05e+08,7.3e+07,-3.2e+07,-1e+08,-6e+06,-2e+06,-1.08e+08,-2.7e+07,-2.7e+07,-5e+06,-3.2e+07,-5e+07,3.962e+09,-3.08e+08,0.17766,-0.08075,-0.01952,-0.32222,-0.0045,10.62069,1.6485,70.67778,0.61417,-0.16025,-0.16025,8.21139,0.47522,-1.70196,0.55258,0.01425,-0.0618,-3.44828,-74.94,-31.225
"2","2016_Q1",4.08524590163934,"Down",1.36e+09,-1.147e+09,2.13e+08,-2.68e+08,-1.51e+08,-1.17e+08,-5.5e+07,-6.6e+07,-5.3e+07,4e+06,-1.7e+07,-1.21e+08,-1.21e+08,3.5e+07,-8.6e+07,-8.6e+07,-86000000.0000001,-86000000.0000001,3.66e+08,3.66e+08,8.59e+08,9.72e+08,1.04e+08,1.04e+08,2.301e+09,3.177e+09,9.015e+09,-5.838e+09,6.84e+08,5.08e+08,3.997e+09,6.298e+09,1.427e+09,9.73e+08,4.54e+08,3.9e+07,1.466e+09,3.915e+09,7.87e+08,2.34e+08,5.53e+08,4.702e+09,6.168e+09,7.77e+08,-1.15e+08,-5.36e+08,1.26e+08,4e+06,1.3e+08,6.298e+09,-8.6e+07,6.6e+07,-7.7e+07,3.99e+08,3.02e+08,-1.23e+08,-1.9e+07,-1.42e+08,-5000000.00000001,-3e+06,0,-7999999.99999999,1.52e+08,1.52e+08,-1e+06,1.51e+08,1.1e+07,3.954e+09,2.52e+08,0.15662,-0.04044,-0.06324,-0.661539999999999,-0.01366,-2.93023,1.56958,47.44615,0.62782,-0.47495,-0.47495,7.51079,0.69585,1.39171,0.02761,-0.01663,0.05173,-0.0581399999999999,326.18182,-65.23636
"3","2016_Q2",7.2775,"Up",1.297e+09,-1.095e+09,2.02e+08,-1.73e+08,-1.33e+08,-4e+07,2.9e+07,4.1e+07,-5.7e+07,5e+06,9.3e+07,7e+07,7e+07,-1.9e+07,5.1e+07,5.1e+07,5.1e+07,5.1e+07,4.35e+08,4.35e+08,9.06e+08,9.48e+08,8.2e+07,8.2e+07,2.371e+09,3.199e+09,9.092e+09,-5.893e+09,6.66e+08,4.91e+08,4.009e+09,6.38e+09,1.453e+09,8.42e+08,6.11e+08,3.4e+07,1.487e+09,3.92e+09,7.81e+08,2.39e+08,5.42e+08,4.701e+09,6.188e+09,7.77e+08,-6.4e+07,-5.25e+08,1.88e+08,4e+06,1.92e+08,6.38e+09,5.1e+07,6.6e+07,-6.3e+07,-1.8e+07,3.6e+07,5.1e+07,-1e+06,5e+07,-5e+06,-9e+06,-2e+06,-1.6e+07,7e+07,7e+07,-1e+06,6.9e+07,9.5e+07,3.954e+09,1.47e+08,0.15574,0.02236,0.03932,0.26562,0.00799,2.88235,1.59449,32.22917,0.61975,0.28133,0.28099,7.15463,1.03706,0.8109,0.02758,0.01137,0.02984,0.09804,37.04211,121.34483
"4","2016_Q3",9.35625,"Up",1.383e+09,-1.117e+09,2.66e+08,-2.59e+08,-1.74e+08,-8.5e+07,7e+06,-4.9e+07,-4.9e+07,4e+06,-4e+06,-41999999.9999999,-41999999.9999999,2.4e+07,-1.8e+07,-1.8e+07,-1.8e+07,-1.8e+07,3.83e+08,3.83e+08,9.39e+08,8.92e+08,7.8e+07,5.2e+07,2.292e+09,2.89e+09,8.334e+09,-5.444e+09,8.82e+08,7.21e+08,3.929e+09,6.221e+09,1.408e+09,8.75e+08,5.33e+08,3.6e+07,1.444e+09,3.823e+09,7.85e+08,2.02e+08,5.83e+08,4.608e+09,6.052e+09,7.76e+08,-8.2e+07,-5.29e+08,1.65e+08,4e+06,1.69e+08,6.221e+09,-1.8e+07,7.3e+07,1.8e+07,1.7e+07,9e+07,-68999999.9999999,1e+06,-6.8e+07,-6e+06,-8.6e+07,0,-9.2e+07,-7e+07,-7e+07,1.8e+07,-5.2e+07,8e+07,3.859e+09,4000000.00000006,0.19234,0.00506,-0.01302,-0.10651,-0.00288999999999999,-0.22222,1.58726,35.81065,0.62032,-0.0991899999999999,-0.09919,7.62077,0.9092,0.0220400000000001,0.03306,-0.00248999999999999,0.000830000000000004,-0.33333,43.4500000000001,496.57143
"5","2016_Q4",16.8469841269841,"Up",1.398e+09,-1.055e+09,3.43e+08,-2.27e+08,-1.47e+08,-8e+07,1.16e+08,1.18e+08,-5.1e+07,8e+06,1.61e+08,2.34e+08,2.34e+08,-3e+07,2.04e+08,2.04e+08,2.04e+08,2.04e+08,9.57e+08,9.57e+08,8.81e+08,8.46e+08,7.3e+07,7.3e+07,2.757e+09,2.825e+09,8.218e+09,-5.393e+09,5.38e+08,3.67e+08,3.532e+09,6.289e+09,1.404e+09,8.35e+08,5.69e+08,3.2e+07,1.436e+09,3.713e+09,7.59e+08,2.01e+08,5.58e+08,4.472e+09,5.908e+09,7.83e+08,1.17e+08,-5.23e+08,3.77e+08,4e+06,3.81e+08,6.289e+09,2.04e+08,7.3e+07,-1.02e+08,2.3e+07,1.98e+08,4.9e+08,-1e+06,4.87e+08,-5e+06,-1.17e+08,0,-1.22e+08,5.63e+08,5.63e+08,1.1e+07,5.74e+08,1.89e+08,3.745e+09,7.32e+08,0.24535,0.08298,0.14592,0.53543,0.03244,3.58824,1.91992,15.50656,0.59548,1.12337,1.11154,7.6984,2.07604,4.03092,0.02753,0.04278,0.14985,0.02451,14.75132,24.03448
"6","2017_Q1",24.721935483871,"Up",1.322e+09,-1.03e+09,2.92e+08,-5.38e+08,-4.92e+08,-4.6e+07,-2.46e+08,-3.3e+07,-6.2e+07,1.2e+07,1.7e+07,-2.79e+08,-2.73e+08,4.3e+07,-2.3e+08,-2.3e+08,-2.3e+08,-2.3e+08,9.02e+08,9.02e+08,8.07e+08,7.67e+08,7.7e+07,7.7e+07,2.553e+09,2.784e+09,7.997e+09,-5.213e+09,5.87e+08,4.17e+08,3.507e+09,6.06e+09,1.756e+09,8.84e+08,8.72e+08,1.5e+07,1.771e+09,3.529e+09,6.56e+08,1.32e+08,5.24e+08,4.185e+09,5.956e+09,7.91e+08,-1.14e+08,-5.77e+08,1e+08,4e+06,1.04e+08,6.06e+09,-2.3e+08,7.2e+07,-3.4e+07,4.62e+08,2.7e+08,-1.02e+08,-1.1e+07,-1.12e+08,-6e+06,-1.69e+08,-2e+06,-1.66e+08,-8e+06,-8e+06,-4.7e+07,-5.5e+07,-1.74e+08,3.544e+09,1.43e+08,0.22088,-0.18608,-0.17398,-2.21154,-0.03795,-0.621740000000002,1.44156,57.26923,0.58482,-1.26283,-1.22892,7.25852,0.54906,0.78515,0.03294,-0.05204,0.03322,-0.02609,-15.18391,-10.73984
"7","2017_Q2",32.4271428571429,"Up",1.437e+09,-1.081e+09,3.56e+08,-1.81e+08,-1.5e+08,-3.1e+07,1.75e+08,-2e+06,-5.1e+07,7e+06,4.2e+07,1.73e+08,1.73e+08,-2.2e+07,1.51e+08,1.51e+08,1.5e+08,1.5e+08,8.98e+08,8.98e+08,9.21e+08,8.22e+08,7e+07,7e+07,2.711e+09,2.833e+09,8.123e+09,-5.29e+09,5.89e+08,4.2e+08,3.571e+09,6.282e+09,1.721e+09,9.41e+08,7.8e+08,1.4e+07,1.735e+09,3.538e+09,6.51e+08,1.4e+08,5.11e+08,4.189e+09,5.924e+09,8.1e+08,3.1e+07,-4.88e+08,3.53e+08,5e+06,3.58e+08,6.282e+09,1.51e+08,7.1e+07,-5e+06,-1.76e+08,4.1e+07,-6e+07,-3e+06,-6.3e+07,-5e+06,-4e+06,0,1.1e+07,-1.1e+07,-1.1e+07,7e+06,-4e+06,2.46e+08,3.552e+09,3.2e+07,0.24774,0.12178,0.10438,0.41899,0.02388,0.21333,1.56254,16.54749,0.56543,0.81785,0.79302,7.83498,1.92467,0.17447,0.02726,0.03398,0.00702,0.03333,10.78862,15.16571
"8","2017_Q3",38.8069841269841,"Up",1.587e+09,-1.149e+09,4.38e+08,-1.91e+08,-1.63e+08,-2.8e+07,2.47e+08,-2e+07,-5.4e+07,1e+07,2.4e+07,2.27e+08,2.26e+08,-6.5e+07,1.61e+08,1.61e+08,1.61e+08,1.61e+08,1.529e+09,1.529e+09,9.94e+08,8.48e+08,6.9e+07,6.9e+07,3.44e+09,2.902e+09,8.288e+09,-5.386e+09,5.52e+08,3.84e+08,3.612e+09,7.052e+09,1.736e+09,9.85e+08,7.51e+08,1.4e+07,1.75e+09,4.056e+09,6.74e+08,1.59e+08,5.15e+08,4.73e+09,6.48e+09,8.22e+08,1.86e+08,-4.41e+08,5.67e+08,5e+06,5.72e+08,7.052e+09,1.61e+08,7.1e+07,3.5e+07,-8.3e+07,1.84e+08,-4e+07,5e+06,-3.5e+07,-6e+06,4.78e+08,-7e+06,4.71e+08,6.2e+08,6.2e+08,1.1e+07,6.31e+08,3.18e+08,4.07e+09,2.6e+08,0.27599,0.15564,0.10145,0.28147,0.02283,1.61491,1.96571,11.32867,0.57714,0.86994,0.84237,8.57516,3.06371,1.40488,0.03242,0.03141,0.04891,0.03727,7.99057,10.28745
"9","2017_Q4",43.1119047619048,"Up",1.584e+09,-1.117e+09,4.67e+08,-1.82e+08,-1.48e+08,-3.4e+07,2.85e+08,-3.5e+07,-5.5e+07,9e+06,1.1e+07,2.5e+08,2.5e+08,-4.3e+07,2.07e+08,2.07e+08,2.07e+08,2.07e+08,1.535e+09,1.535e+09,9.42e+08,8.77e+08,7.9e+07,7.9e+07,3.433e+09,2.95e+09,8.412e+09,-5.462e+09,5.71e+08,4.04e+08,3.687e+09,7.12e+09,1.556e+09,1.01e+09,5.46e+08,1.4e+07,1.57e+09,4.081e+09,6.64e+08,1.75e+08,4.89e+08,4.745e+09,6.315e+09,8.32e+08,3.88e+08,-4.2e+08,8e+08,5e+06,8.05e+08,7.12e+09,2.07e+08,6.2e+07,2.3e+07,-1.8e+08,1.12e+08,-1.07e+08,3e+06,-1.04e+08,-5e+06,-4e+06,-1e+07,-1.5e+07,-7e+06,-7e+06,1.3e+07,6e+06,3.47e+08,4.095e+09,1.03e+08,0.29482,0.17992,0.13068,0.25714,0.02907,0.49758,2.18662,7.84472,0.57514,1.11632,1.08016,8.54226,4.31427,0.55546,0.02696,0.0381,0.01851,0.02415,7.37752,8.98246
"10","2018_Q1",41.2291803278689,"Down",1.575e+09,-1.091e+09,4.84e+08,-2.1e+08,-1.65e+08,-4.5e+07,2.74e+08,-1.1e+07,-5.4e+07,7e+06,3.6e+07,2.63e+08,2.63e+08,-3.5e+07,2.28e+08,2.28e+08,2.28e+08,2.28e+08,1.556e+09,1.556e+09,9.19e+08,9.35e+08,8.3e+07,8.3e+07,3.493e+09,3.008e+09,8.511e+09,-5.503e+09,6.19e+08,4.53e+08,3.8e+09,7.293e+09,1.633e+09,1.075e+09,5.58e+08,1.5e+07,1.648e+09,4.097e+09,6.83e+08,2.08e+08,4.75e+08,4.78e+09,6.428e+09,8.39e+08,5.79e+08,-4.42e+08,8.6e+08,5e+06,8.65e+08,7.293e+09,2.28e+08,6.9e+07,3.3e+07,-2.7e+07,3.03e+08,-1.65e+08,-3e+06,-1.68e+08,-6e+06,-2e+06,-2e+06,-1.15e+08,2e+07,2e+07,1e+06,21000000.0000001,3.43e+08,4.112e+09,1.86e+08,0.3073,0.17397,0.14476,0.26358,0.03126,0.81579,2.11954,7.43121,0.56383,1.22932,1.18737,8.49205,4.63693,1.00287,0.03235,0.04134,0.03286,0.02632,7.4519,9.32847
