"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",24.32984375,"Up",41330000,-42148000,-818000,-6503000,-6503000,-7321000,-562000,-562000,-7883000,-7134769.4696589,-7883000,3178000,-4705000,-4705000,-4696000,-4696000,74498168.7655812,74584363.4173011,-358429673.609093,-358429673.609093,122554945.022687,22524155.8201772,12022928.0230398,-138852404.000647,42981259.8858259,102855748.087205,80774059.2748753,145837007.973031,6984603.9723838,58372416.9517775,37146032.2135618,21226384.738344,-306651994.496188,-306651994.496184,-248279577.544411,79194376.1811756,72288953.3088841,14222143.7546215,6905422.87229156,79194376.1811756,-169085201.363235,99476089.3163179,129613605.41754,-15376003.0458674,176121008.374894,176069805.335619,6984603.9723838,-4705000,1671000,-1489000,-32033000,-36556000,1595000,40636000,42231000,-108000,-108000,5567000,5567000,5567000,-5650000,0,-39266000,-0.01979,-0.17714,-0.11362,-0.18975840209866,-0.110928489092131,8.36158,9.56833304453857,-0.81414514334782,-8.12272271104548e-20,-0.39441,-0.39441,3.47124,14.7922470962867,-3.29789,-0.135400271404621,0.0363393616635138,-494.418250310542,-246.083518930594
"2","2011_Q1",27.1627419354839,"Up",51030000,-51059000,-29000,-6570000,-6570000,-6599000,350000,-49000.0000000001,-6249000,0,-6249000,2713000,-3536000,-3536000,-3476000,-3476000,61780000,61780000,4106000,4106000,64399000,20191000,9387000,150476000,40503000,119664000,71409000,160167000,310643000,30290000,12882000,17408000,8391000,8391000,38681000,79382000,75598000,15689000,3784000,79382000,118063000,98849000,150274000,-2e+07,192584000,192580000,310643000,-3536000,2051000,-1470000,-6543000,-9498000,111000,-1212000,-24420000,-13000,-13000,-33931000,-33931000,-33931000,-4548000,0,-13693000,-0.000570000000000001,-0.12932,-0.06812,-0.01805,-0.01119,3.9393,3.89018,0.61306,0,-0.29194,-0.29194,4.28592,16.1748,-1.15005,-0.01278,-0.05035,13.58399,9.36202
"3","2011_Q2",25.2447619047619,"Down",72240000,-69998000,2242000,-5997000,-5997000,-3755000,-63000,-63000,-3818000,1902756.4898863,-3818000,2546000,-1272000,-1272000,-1290000,-1290000,52033277.0781396,52004545.5275663,114455141.203031,114455141.203031,59069184.9924376,18239114.7266076,7378690.65898674,243796718.000216,38826330.038058,122216583.970932,66219063.5750416,161042914.00899,404839632.009205,31156027.6827408,15165322.5954794,15990705.0872187,100640081.498729,100640081.498728,131796109.18147,77225124.6062748,74184265.5637053,14216368.7484595,3040859.04256948,77225124.6062748,209021233.787745,98807303.5612274,153746714.86082,-20743998.9847108,195806997.208369,195818398.22146,404839632.009205,-1272000,2125000,-1931000,-9854000,-10932000,-112000,18000,-260000,-21000,-21000,-11213000,-11213000,-11213000,-1630000,0,-14142000,0.03104,-0.05198,-0.01786,0.0242753006995535,0.0137094963640438,10.96279,1.85506898515381,1.07284088111594,2.70757423701516e-20,-0.10833,-0.10833,6.0665,16.4408126345711,-1.1876,0.0173567571348735,-0.0570047872211713,156.289414270181,68.1207338101981
"4","2011_Q3",18.4034375,"Down",97583000,-93618000,3965000,-6870000,-6870000,-2905000,-54000,-54000,-2959000,975000,-1984000,2162000,178000,178000,184000,184000,51069000,51069000,77798000,77798000,79169000,17264000,6460000,225300000,37701000,116389000,63333000,154090000,379390000,46445000,30188000,16257000,65489000,65488999.9999999,111934000,74665000,71034000,11821000,3631000,74665000,186599000,99150000,149168000,-19723000,192783000,192791000,379390000,178000,2333000,-2475000,-5867000,-5831000,6276000,-65000.0000000009,6377000,-44000,-44000,502000,502000,502000,-572000,8.07793566946316e-28,-2325000,0.04063,-0.02977,0.00189,0.000950000000000017,0.000479999999999986,-12.63587,2.01279,0.96788,0,0.01544,0.01544,8.18998,16.17996,-0.19513,0.00069000000000001,-0.00868999999999997,89.28147,17.57969
"5","2011_Q4",18.0892063492063,"Down",130103000,-120986000,9117000,-7306000,-7306000,1811000,-49000,-49000,1762000,0,1762000,-4211000,-2449000,-2449000,-2441000,-2441000,65875000,65875000,9042000,9042000,92354000,15907000,5103000,183178000,36832000,110343000,61602000,147175000,330353000,55819000,38476000,17343000,8999000,8999000,64818000,74517000,70116000,11222000,4401000,74517000,139335000,99731000,146727000,-19598000,191018000,191018000,330353000,-2449000,2242000,4812000,8120000,12725000,796000,1293000,2089000,-8000,-8000,14806000,14806000,14806000,4053000,0,17180000,0.07008,0.01392,-0.01876,-0.01278,-0.00739,-7.0381,2.82604,0.72943,0,-0.20478,-0.20478,10.91478,16.02514,1.44129,-0.00919,0.0647,-16.25339,-36.37493
"6","2012_Q1",21.7582258064516,"Up",187060000,-170438000,16622000,-8487000,-8487000,8135000,-54000,-60000,8081000,1252000,9333000,-851000,8482000,8482000,8482000,8482000,101870000,101870000,10125000,10125000,72877000,15415000,4433000,200287000,35984000,109192000,58914000,145176000,345463000,46690000,28110000,18580000,23008000,23008000,69698000,78431000,74089000,14202000,4342000,78431000,148129000,100331000,155209000,-22302000,197334000,197334000,345463000,8482000,2121000,-1123000,24527000,34007000,2892000,-739000,1987000,1000,1000,35995000,35995000,35995000,10256000,0,38526000,0.08886,0.04349,0.04534,0.04298,0.02455,4.54209,2.87364,0.75065,2.40741243048404e-35,0.71144,0.70065,15.68988,16.55162,3.23141,0.03076,0.13971,-9.93272,-12.52243
"7","2012_Q2",19.5934920634921,"Down",219066000,-195335000,23731000,-8693000,-8693000,15038000,-90000,-90000,14948000,948000,15896000,-6162000,9734000,9734000,9734000,9734000,128389000,128389000,12326000,12326000,77753000,34504000,23522000,252972000,35743000,92038000,48336000,127781000,380753000,72049000,51947000,20102000,25087000,25087000,97136000,76653000,72367000,13021000,4286000,76653000,173789000,100138000,164225000,-22129000,206964000,206964000,380753000,9734000,2097000,6187000,14402000,32420000,9213000,-14379000,-5166000,-17000,-735000,26519000,26519000,26519000,17135000,0,46912000,0.10833,0.06865,0.04443,0.04703,0.02557,4.8194,2.60431,0.83971,0,0.81631,0.81254,18.37121,17.35632,3.93411,0.03685,0.16541,-7.49279,-8.53764
"8","2012_Q3",18.2101587301587,"Down",181206000,-164163000,17043000,-7642000,-7642000,9401000,-96000,-96000,9305000,14000,9319000,-3756000,5563000,5563000,5563000,5563000,107442000,107442000,7249000,7249000,95653000,34042000,23060000,244386000,36848000,89020000,47825000,125868000,370254000,55762000,37663000,18099000,26483000,26483000,82245000,75561000,71265000,12371000,4296000,75561000,157806000,99952000,169069000,-21957000,212448000,212448000,370254000,5563000,2068000,3280000,-28459000,-17548000,-1844000,-810000,-2654000,-26000,-745000,-20947000,-20947000,-20947000,11469000,-1.03397576569128e-25,-15078000,0.09405,0.05188,0.0307,0.02619,0.01502,-2.71041,2.97144,0.7428,-3.85185988877447e-34,0.46624,0.46336,15.18711,17.80554,-1.26371,0.02181,-0.05235,-9.36804,-11.42878
"9","2012_Q4",18.4533870967742,"Up",160598000,-144506000,16092000,-8230000,-8230000,7862000,-99000,-104000,7763000,14000,7777000,-3020000,4757000,4757000,4757000,4757000,128672000,128672000,14385000,14385000,63794000,31065000,20083000,237916000,38710000,86730000,47571000,125440000,363356000,48220000,29350000,18870000,23481000,23481000,71701000,74544000,70204000,11721000,4340000,74544000,146245000,100294000,173108000,-21785000,217111000,217111000,363356000,4757000,2005000,2912000,13982000,23656000,-3177000,1474000,-1703000,-5000,-723000,21230000,21230000,21230000,9867000,0,23692000,0.1002,0.04895,0.02962,0.02191,0.01309,4.98045,3.31817,0.6736,0,0.39851,0.3983,13.45397,18.18831,1.98478,0.01877,0.08123,-13.04064,-16.36632
"10","2013_Q1",21.3753333333333,"Up",116579000,-108459000,8120000,-8171000,-8171000,-51000,-88000,-94000,-139000,13000,-125999.999999999,-833000,-959000,-959000,-959000.000000001,-959000.000000001,140487000,98509000,12987000,12987000,73842000,33909000,21830000,261225000,39343000,87997000,46929000,127340000,388565000,52604000,33453000,19151000,43972000,43972000,96576000,80658000,76515000,12193000,4143000,80658000,177234000,100529000,171429000,-26139000,211331000,211331000,388565000,-959000,2228000,-864000,14069000,14474000,-2754000,-41148000,-43902000,-14999.9999999998,-735000,-30163000,-30163000,-30163000,2177000,0,14325000,0.06965,-0.000439999999999996,-0.00823000000000001,-0.00454,-0.00247,-14.93743,2.70486,0.83866,6.16297582203915e-33,-0.0803300000000001,-0.08026,9.76466,17.70108,1.19986,-0.000820000000000001,0.04906,-64.53238,2754.64706
