"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q4",11.2034375,"Up",94747000,-61608000,33139000,-48316000,-4249000,-37580000,-15177000,-11743000,-11708000,-35000,-26920000,-285000,-27205000,-6379000,-33584000,-33584000,0,-33584000,-33584000,29917000,29917000,62231000,62231000,7161000,6017000,99309000,96024000,761258000,502495000,219897000,10459000,857282000,956591000,44920000,7845000,18496000,18579000,6539000,6539000,52740000,529141000,36318000,35355000,963000,565459000,618199000,350957000,-13476000,337481000,911000,338392000,956591000,-33584000,49741000,10435000,26592000,-6469000,203000,-9639000,-122735000,-10154000,-34732000,-17779000,-17779000,-17779000,530422000,0.34976,-0.16018,-0.35446,-0.09925,-0.03511,1.88299,1.82687,0.55449,-2.79564,-2.79564,7.88704,28.09298,-0.0371,-32.97786
"2","2015_Q1",11.6691803278689,"Up",93717000,-62102000,31615000,-11496000,-3911000,-7.45058059692383e-09,20119000,-10631000,-10592000,-39000,9488000,-139999.999999998,9348000,-4311000,5037000.00000001,5037000,0,5037000,5037000,24462000,24462000,61151000,61151000,6416000,6416000,92029000,96247000,749036000,505839000,242300000,413000,845283000,937312000,37331000,6747000,9245000,21339000,14299000,14299000,52923000,528747000,11480000,10507000,973000,540227000,593150000,352158000,-8439000,343719000,443000,344162000,937312000,5037000,8979000,-3971000.00000001,10045000,-2744000,6000,-24592000,9676999.99999997,-585000,9092000,-5455000,-5455000,-5455000,530040000,0.33735,0.21468,0.05375,0.01464,0.00536999999999999,1.73892,1.72346,0.56549,0.419300000000001,0.419300000000001,7.8013,28.61225,0.00569000000000001,25.12938
"3","2015_Q2",11.8834920634921,"Up",81118000,-61329000,19789000,-8911000,-3671000,0,10878000,-10609000,-10561000,-48000,269000,-40000,229000,-98000,131000,131000,-35000,96000,96000,38213000,38213000,52640000,52640000,9262000,9262000,100115000,96375000,761128000,505774000,245473000,9397000,857503000,957618000,38614000,7076000,18923000,12615000,22902000,22902000,62811000,537635000,13001000,11743000,1258000,550636000,613447000,352059000,-8343000,343716000,455000,344171000,957618000,131000,3553000,16297000,19981000,-3165000,53000,-5785000,-323000,-122000,-445000,13751000,13751000,13751000,538930000,0.24395,0.1341,0.00118,0.00028,1e-04,1.59391,1.78239,0.56278,0.00553,0.00284,4.66893,19.78335,0.00011,46.03024
"4","2015_Q3",10.796875,"Down",117516000,-82274000,35242000,-11642000,-3613000,-1403000,23600000,-8282000,-8246000,-36000,15318000,-30163000,-14845000,6111000,-8734000,-8734000,-398000,-9132000,-9132000,30383000,30383000,62685000,62685000,10462000,10462000,103530000,96204000,765129000,505762000,249109000,9774000,861333000,964863000,28921000,8501000,4907000,15513000,17597000,17597000,49430000,571732000,6896000,5631000,1265000,578628000,628058000,353462000,-17475000,335987000,818000,336805000,964863000,-8734000,1925000,-27570000,-34379000,-2679000,477000,-6135000,42494000,-9810000,32684000,-7830000,-7830000,-7830000,574644000,0.29989,0.20082,-0.07771,-0.02711,-0.00946,2.09448,1.86475,0.59557,-0.52561,-0.52561,6.7639,19.33849,-0.00994,23.06191
"5","2015_Q4",9.7634375,"Down",129568000,-89728000,39840000,-13778000,-4784000,-2875000,26062000,-8560000,-8527000,-33000,17502000,10496000,27998000,-11543000,16455000,16455000,-1000,16454000,16454000,28059000,28059000,66310000,66310000,11253000,11253000,105622000,129827000,834813000,522855000,293202000,17943000,964640000,1070262000,49753000,10663000,9785000,29305000,13842000,13842000,63759000,598641000,46205000,34708000,11497000,644846000,708605000,361858000,-1021000,360763000,894000,361657000,1070262000,16455000,7779000,4204000,28438000,-4423000,18873000,-53093000,24159000,-1716000,22457000,-2198000,-2198000,-2324000,598805000,0.30748,0.20115,0.12699,0.0455,0.01537,1.65658,1.95933,0.55949,0.93851,0.59594,7.39037,20.5774,0.01635,21.89955
"6","2016_Q1",9.28213114754098,"Down",113020000,-84458000,28562000,-12982000,-5509000,0,15580000,-8804000,-8645000,-159000,6776000,-1988000.00000001,4788000,-2394000,2394000,2394000,18000,2412000,2412000,33298000,33298000,60143000,60143000,9766000,9766000,103207000,133943000,823561000,517979000,292953000,7580000,957504000,1060711000,44417000,9549000,4910000,29958000,17496000,17496000,62084000,588657000,46530000,35233000,11297000,635187000,697271000,361365000,1391000,362800000,640000,363440000,1060711000,2394000,5664000,3845000,11903000,-4834000,134000,-6763999.99999999,-41000,-281999.999999998,-265000,4874000,4874000,5239000,588828000,0.25272,0.13785,0.02134,0.00664,0.00227,1.66238,1.91853,0.55513,0.13499,0.07503,6.32527,20.30445,0.00241,35.65661
"7","2016_Q2",8.53015625,"Down",94432000,-76905000,17527000,-11932000,-6123000,-252000,5595000,-8116000,-8565000,449000,-2521000,231000,-2290000,907000,-1383000,-1383000,-78000,-1461000,-1461000,30820000,30820000,52382000,52382000,17722000,17722000,100924000,135210000,822202000,516750000,292953000,7450000,957412000,1058336000,38324000,6699000,9763000,21862000,24195000,24195000,62692000,588314000,45407000,34387000,11020000,633721000,696413000,361617000,-70000,361234000,689000,361923000,1058336000,-1383000,6058000,-734000,3941000,-6496000,1293000,-5203000,-688000,-29000,-717000,-1979000,-1979000,-2478000,588487000,0.1856,0.05925,-0.01547,-0.00404,-0.00138,1.60984,1.9242,0.55605,-0.08179,-0.08179,5.28646,20.22247,-0.00147,99.67239
"8","2016_Q3",7.9084375,"Down",137157000,-105593000,31564000,-12521000,-6003000,-205000,19043000,-8927000,-8881000,-46000,10116000,-833000,9283000,-3683000,5600000,5600000,-132000,5468000,5468000,17608000,17608000,62214000,62214000,16153000,16153000,95975000,137848000,819783000,514384000,292953000,7397000,957631000,1053606000,45849000,15376000,4619000,25854000,18642000,18642000,65191000,571795000,48891000,38071000,10820000,620686000,685877000,361822000,5398000,366917000,812000,367729000,1053606000,5600000,11973000,-8100000,9473000,-5920000,320000,-5973000,-16856000,-9000,-16865000,-13365000,-13365000,-13212000,572495000,0.23013,0.13884,0.03987,0.01487,0.00519,1.47221,1.86517,0.54337,0.29774,0.19929,7.46839,19.97915,0.00553,29.13863
"9","2016_Q4",8.26650793650794,"Up",165756000,-114646000,51110000,-12342000,-5686000,-206000,38768000,-8346000,-8294000,-52000,30422000,-4066000,26356000,-10493000,15863000,15863000,-47000,15816000,15816000,38413000,38413000,65420000,65420000,13551000,13551000,117384000,139329000,819169000,514560000,292953000,7343000,958498000,1075882000,45727000,12192000,9203000,24332000,14498000,14498000,60883000,572187000,59171000,48551000,10620000,631358000,692241000,362028000,21214000,382832000,809000,383641000,1075882000,15863000,13637000,-2754000,26746000,-4410000,464000,-5514000,-43000,-50000,-93000,21139000,21139000,20805000,572845000,0.30834,0.23389,0.09542,0.04123,0.0147,1.92803,1.8044,0.53244,0.8598,0.57782,9.01093,20.81174,0.01557,13.78539
"10","2017_Q1",9.83354838709677,"Up",24236000,-2200000.00000003,22036000,-9879000,761000.000000001,-3590000,12157000,-8455000,-8332000,-123000,3702000,-86999.9999999991,3615000,-2865000,750000.000000002,3213000,-13000,3200000,3200000,51540000,51540000,59580000,59580000,11507000,11253000,122627000,139408000,818670000,513915000,292953000,7489000,958078000,1080705000,40972000,10602000,4622000,25748000,17338000,17208000,65211000,564315000,61128000,50907000,10221000,625443000,690654000,365618000,24450000,389346000,705000,390051000,1080705000,750000.000000002,2970000,11725000,18214000,1779000,-53999.9999999999,-4274000,-1959000,-6000.00000000003,-2040000,11900000,11900000,11703000,571216000,0.90923,0.50161,0.13203,0.0082,0.00296,1.88046,1.77068,0.52856,0.17394,0.08748,1.31739,21.16356,0.00313,42.74706
