"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",16.7590163934426,"Down",24508205,-12529687,11978518,-11090591,-11090591,887927,-17316924,-1368926,-15947998,-16428997,-16428997,-17753,-16446750,-16446750,-16446750,-16446750,36259252,36259252,5360400,5360400,7314151,1291379,1291379,50225182,57825961,4410717,4410717,62236678,112461860,9069161,5423905,3645256,9069161,9069161,288250350,-184857651,103392699,103392699,112461860,-16446750,1679956,17307169,-7082510,-4542135,-3624068,-3624068,0,42667253,34501050,34501050,34501050,2567883,0,-8120942,0.48876,0.03623,-0.67107,-0.15907,-0.14624,0.49377,5.53802,0.08772,0,-1.02565,-1.02565,1.52838,6.44777,-0.50644,-0.15907,-0.07854,-14.12029,-40.83585
"2","2015_Q2",20.9033333333333,"Up",27054674,-13801655,13253019,-15677598,-15677598,-2424579,-147495,-37537.9999999998,-109957,-2572074,-2572074,-15000,-2587074,-2587074,-2587074,-2587074,32417713,24918508,6533594,6533594,7427084,719257,719257,47097648,61953765,3943115,3943115,65896880,112994528,10286123,7238095,3048028,10286123,10286123,290153130,-187444725,102708405,102708405,112994528,-2587074,1754905,2023323,-83126,1108028,-4964527,-12463732,14960,14959.9999999851,-11340744,-11340744,-11340744,-669674,0,-5702327,0.48986,-0.08962,-0.09562,-0.02519,-0.0229,2.20416,4.57876,0.10015,0,-0.0773,-0.0772999999999999,0.80833,3.06869,-0.17037,-0.02519,-0.05552,48.4082,13.37045
"3","2015_Q3",14.47,"Down",28359404,-14699240,13660164,-15738247,-15738247,-2078083,-135567,-110680,-24887,-2213650,-2213650,-15000,-2228650,-2228650,-2228650,-2228650,23546130,16046925,6297531,6297531,7811256,689654,689654,38344571,69183959,5349289,5349289,74533248,112877819,10338427,7154534,3183893,10338427,10338427,292212767,-189673375,102539392,102539392,112877819,-2228650,1869377,1881913,-571204,951436,-5070805,-10050515,227496,227496,-8871583,-8871583,-8871583,-208706,0,-5835715,0.48168,-0.07328,-0.07859,-0.02173,-0.01974,2.6185,3.70894,0.10082,0,-0.06656,-0.06656,0.84693,3.06225,-0.17428,-0.02173,-0.05691,112.81961,11.3307
"4","2015_Q4",8.69296875,"Down",30570505,-16523960,14046545,-16060244,-16060244,-2013699,353349,-113820,467169,-1660350,-1660350,-15000,-1675350,-1675350,-1675350,-1675350,18999957,15250752,7029355,7029355,6802023,295556,295556,33126891,73882133,4947348,4947348,78829481,111956372,9189545,6715779,2473766,9189545,9189545,294115552,-191348725,102766827,102766827,111956372,-1675350,1918749,1402147,1264558,2910104,-7500780,-3755571,49294,49294,-796173,-796173,-796173,-94949.9999999998,0,-6316172,0.45948,-0.06587,-0.0548,-0.0163,-0.01496,3.77006,3.60485,0.08942,-1.0842021724855e-19,-0.05,-0.05,0.9123,3.06681,-0.18849,-0.0163,-0.06146,200.10487,9.43535
"5","2016_Q1",6.9755737704918,"Down",30201789,-16512375,13689414,-10820725,-10820725,2868689,-75911,-192529,116618,2792778,2792778,-12516,2780262,2780262,2780262,2780262,11279413,8029413,7030719,7030719,6853447,229631,229631,25393210,82793007,4911357,4911357,87704364,113097574,9147514,6668643,2478871,9147514,9147514,292518523,-188568463,103950060,103950060,113097574,2780262,2030504,-1740767,-1300750,1769249,-9448043,-8990587,-1,-1,-7221339,-7221339,-7221339,4899193,0,-5837084,0.45327,0.09498,0.09206,0.02675,0.02458,-2.09947,2.77597,0.088,0,0.08292,0.08292,0.9008,3.10042,-0.1741,0.02675,-0.05615,-2.3023,-3.93191
"6","2016_Q2",8.6334375,"Up",31453700,-16565813,14887887,-16487082,-16487082,-1599195,-157607,-116738,-40868.9999999999,-1756802,-1756802,-15000,-1771802,-1771802,-1771802,-1771802,266129,266128.999999999,7133456,7133456,8183496,1204530,1204530,16787611,92671432,4821631,4821631,97493063,114280674,11072759,7245531,3827228,11072759,11072759,293548180,-190340265,103207915,103207915,114280674,-1771802,2071272,1268211,447510,2015191,-13039445,-9789445,10970,10969.9999999995,-7763284,-7763284,-7763284,472076.999999998,2.3283064365387e-10,-12104858,0.47333,-0.05084,-0.05633,-0.01717,-0.0155,6.83195,1.51612,0.10729,-1.73472347597681e-18,-0.05283,-0.05283,0.93787,3.07741,-0.36094,-0.01717,-0.11729,-0.563739999999965,0.166409999999999
"7","2016_Q3",9.85125,"Up",33002210,-18090405,14911805,-17886747,-17886747,-2974942,-253060,-159292,-93768,-3228002,-3228002,-15000,-3243002,-3243002,-3243002,-3243002,1719089,1719089,8226216,8226216,7864626,792129,792129,18602060,99119154,4741076,4741076,103860230,122462290,12590801,7397999,5192802,20590801,20590801,295454756,-193583267,101871489,101871489,122462290,-3243002,2166405,1800578,705101,1429082,-8198308,-8198308,222186,8222186,1452960,1452960,1452960,-808537,8e+06,-8286744,0.45184,-0.09014,-0.09827,-0.03183,-0.02648,2.55527,0.90342,0.20213,0.06533,-0.09665,-0.09665,0.98354,3.03601,-0.24696,-0.02952,-0.07542,-7.76824,-2.11127
"8","2016_Q4",9.05380952380952,"Down",34536150,-19185274,15350876,-14542680,-14542680,808196,-172466,-214067,41601,635730,635730,-15000,620730,620730,620730,620730,3496313,3496313,8669359,8669359,6320806,780023,780023,19266501,100006113,5330554,5330554,105336667,124603168,10575362,5669788,4905574,19575362,19575362,297990341,-192962535,105027806,105027806,124603168,620730,2720436,757207,-223231,3875142,-4845828,-4845828,1747910,2747910,1777224,1777224,1777224,3528632,9e+06,-1525427,0.44449,0.0234,0.01797,0.00591,0.00498,-2.45747,0.98422,0.18638,0.07223,0.01841,0.01817,1.02427,3.11492,-0.04524,0.00544,-0.01338,1.55972,6.80984
"9","2017_Q1",10.7983870967742,"Up",30714553,-15494238,15220315,-13669324,-13669324,1550991,-296836,-208022,-88814,1254155,1254155,-20754,1233401,1233401,1233401,1233401,3908177,3908177,8886790,8886790,5402735,1045651,741091,19243353,101493080,5714783,5714783,107207863,126451216,11668685,6884155,4784530,18668685,18668685,299511667,-191729136,107782531,107782531,126451216,1233401,2929055,633266,684726,5480448,-3855513,-3855513,786929,-1213071,411864,411864,411864,4480046,7e+06,1330013,0.49554,0.0505,0.04016,0.01144,0.00975,1.07833,1.03078,0.17321,0.05536,0.0364,0.03689,0.90635,3.18052,0.03925,0.01075,0.01159,0.69013,1.99345
"10","2017_Q2",13.7809523809524,"Up",33677572,-17874295,15803277,-18543748,-18543748,-2740471,-118300,-175977,57677.0000000001,-2858771,-2858771,-20754,-2879525,-2879525,-2879525,-2879525,2023788,2023788,8718873,8718873,7607293,769940,769940,19119894,101712630,5971875,5971875,107684505,126804399,14668015,10728553,3939462,20418015,20418015,300995045,-194608661,106386384,106386384,126804399,-2879525,3049127,1027886,879565,2077053,-3264663,-3264663,553221,-696779,-1884389,-1884389,-1884389,308656,5750000,-2055688,0.46925,-0.08137,-0.0855,-0.02707,-0.02271,0.713900000000001,0.93642,0.19192,0.04535,-0.08579,-0.08579,1.00341,3.16974,-0.06125,-0.02568,-0.01833,12.07238,-1.3597
