"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.505873015873,"Up",191091000,-43242000,147849000,-128327000,-89781000,-38546000,19522000,-50000,348000,19472000,19472000,-1119000,18353000,18353000,18353000,18353000,235760202.241251,-13394252.4265094,249154454.66776,92752480.7794572,92752480.7794572,111516120.398066,51133697.6512571,37425151.0084539,491162501.070031,172257687.59663,166597122.542902,61749324.1959353,75417493.5428304,29430304.8041361,338854810.139531,830017311.209563,-2569222.20321605,13764900.5808868,-16334122.7841029,83182518.7218224,83182518.7218224,80613296.5186064,68263743.7957308,40478310.9154605,27669587.6570341,68263743.7952819,148877040.313888,387321337.593386,341109512.245753,-47290578.9434656,681140270.895674,681140270.895674,830017311.209563,18353000,9442000,10374000,3432000,41601000,-5814000,-3404000,-38195000,-10072000,-8594000,22341000,-20253000,-16847000,-16847000,-16847000,28964000,0,27701000,0.77371,0.10216,0.09604,0.0752864214266595,0.0601240270936251,1.50934,4.91456754034381,0.216597770016814,-3.22583049007863e-13,0.15812,0.15599,1.64634,5.88725151196932,0.23866,0.08678,0.0805428060131164,-0.0963866206456387,0.54879,2.47362306136182,5.30400567317033
"2","2010_Q3",15.46984375,"Down",211717000,-48639000,163078000,-132595000,-96200000,-36395000,30483000,-1370000,462000,29113000,29113000,-4511000,24602000,24602000,24602000,24602000,316275000,185418000,130857000,111008000,111008000,95983000,54739000,41928000,578005000,150905000,139260000,53132000,68569000,17559000,290165000,868170000,85407000,28786000,56621000,64447000,64447000,149854000,42340000,24700000,17640000,42340000,192194000,380250000,299871000,-4145000,675976000,675976000,868170000,24602000,9546000,21951000,-25980000,30119000,-5891000,-7617000,-30383000,-10153000,10209000,10209000,1064000,8e+05,8e+05,799999.999999993,40029000,0,12669000,0.77026,0.14398,0.1162,0.03639,0.02834,0.51496,3.85712,0.28432,0,0.21046,0.20763,1.81113,5.78261,0.10838,0.08685,0.04838,0.01764,0.41269,-7.90115,-10.37546
"3","2010_Q4",17.54984375,"Up",220449000,-51903000,168546000,-136857000,-96886000,-39971000,31689000,966000,160000,32655000,32655000,-4522000,28133000,28133000,28133000,28133000,338747000,226844000,111903000,121503000,121503000,101532000,57581000,42132000,619363000,151667000,141205000,52553000,69383000,19269000,292872000,912235000,105717000,33005000,72712000,63940000,63940000,169657000,41558000,24725000,16833000,41558000,211215000,389282000,308535000,3203000,701020000,701020000,912235000,28133000,9232000,17580000,-8921000,46024000,-4952000,-3279000,10723000,-10192000,-5109000,5818000,-15321000,41426000,41426000,41426000,40921000,0,31570000,0.76456,0.14375,0.12762,0.04013,0.03084,1.12217,3.65068,0.3013,0,0.23989,0.23706,1.87975,5.97752,0.26919,0.08691,0.05161,0.04251,0.36228,-8.27807,-10.68973
"4","2011_Q1",22.4753225806452,"Up",249963000,-56299000,193664000,-147045000,-103808000,-43237000,46619000,253000,23000,46872000,46872000,-8844000,38028000,38028000,38028000,38028000,350662000,219447000,131215000,127214000,127214000,117765000,55077000,36239000,650718000,160410000,148554000,52816000,70278000,25460000,308964000,959682000,94662000,33544000,61118000,71650000,71650000,166312000,48825000,29477000,19348000,48825000,215137000,408892000,336363000,-710000,744545000,744545000,959682000,38028000,9652000,-1609000,-18757000,27314000,-15891000,-1459000,-38689000,-10201000,13484000,13484000,3978000,-7396999.99999999,-7396999.99999999,-7397000,56271000,-2.71050543121376e-20,30467000,0.77477,0.1865,0.15213,0.05108,0.03963,0.80117,3.91263,0.28895,0,0.32324,0.3183,2.12467,6.32858,0.25897,0.08671,0.06079,0.0384,0.26825,-6.23166,-7.52187
"5","2011_Q2",22.5077777777778,"Up",237850000,-52476000,185374000,-148862000,-105994000,-42868000,36512000,564000,446000,37076000,37076000,-6615000,30461000,30461000,30461000,30461000,385054000,254594000,130460000,132148000,132148000,134408000,45251000,25459000,696861000,164288000,150280000,51928000,70768000,27584000,314568000,1011429000,88453000,36615000,51838000,77787000,77787000,166240000,50807000,29697000,21110000,50807000,217047000,432916000,354956000,6510000,794382000,794382000,1011429000,30461000,10973000,-2431000,2627000,41630000,-10016000,-3731000,-12992000,-11868000,17050000,17050000,6509000,35147000,35147000,35147000,47485000,0,46711000,0.77937,0.15351,0.12807,0.03835,0.03012,1.53347,4.1919,0.27323,-1.0097419586829e-28,0.25664,0.25291,2.00391,6.69275,0.39354,0.09999,0.05008,0.05527,0.38961,-8.10896,-10.54596
"6","2011_Q3",19.55484375,"Down",253284000,-55886000,197398000,-164456000,-117429000,-47027000,32942000,-713000,-571000,32229000,32229000,-5681000,26548000,26548000,26548000,26548000,319708000,207367000,112341000,148939000,148939000,141571000,55926000,42007000,666144000,171506000,251920000,93971000,132011000,25938000,423426000,1089570000,110244000,36475000,73769000,80172000,80172000,190416000,72693000,37476000,35217000,72693000,263109000,448608000,369512000,8341000,826461000,826461000,1089570000,26548000,12417000,20388000,-27687000,31666000,-14793000,-5660000,-74948000,-11992000,4339000,4339000,-3945000,-47227000,-47227000,-47227000,45359000,0,8560000,0.77935,0.13006,0.10482,0.03212,0.02437,0.32243,3.49836,0.31836,0,0.22171,0.21908,2.11523,6.90196,0.07149,0.10015,0.04286,0.00952,0.45171,-7.04839,-9.70518
"7","2011_Q4",19.5757142857143,"Up",254988000,-65215000,189773000,-179017000,-124343000,-54674000,10756000,-449000,-95000,10307000,10307000,2429000,12736000,12736000,12736000,12736000,335883000,196511000,139372000,158608000,158608000,132554000,62190000,46068000,689235000,182300000,244144000,90142000,131353000,22649000,426444000,1115679000,135501000,39650000,95851000,83336000,83336000,218837000,70044000,36413000,33631000,70044000,288881000,460690000,370211000,-4103000,826798000,826798000,1115679000,12736000,12355000,23611000,-5498000,43204000,-18746000,-2021000,-47798000,-12037000,5763000,5763000,-6262000,-10856000,-10856000,-10856000,23111000,0,-3562000,0.74424,0.04218,0.04995,0.0154,0.01142,-0.27968,3.14954,0.3494,1.61558713389263e-27,0.10585,0.10486,2.11927,6.87172,-0.0296,0.10004,0.02762,-0.00397,0.94512,-14.53347,-31.2275
"8","2012_Q1",20.5906451612903,"Up",278051000,-67387000,210664000,-178162000,-123660000,-54502000,32502000,-980000,78000,31522000,31522000,-7195000,24327000,24327000,24327000,24327000,366112000,142608000,223504000,157056000,157056000,131995000,64386000,38082000,719549000,190148000,244597000,83866000,130747000,29984000,434745000,1154294000,132846000,41111000,91735000,80059000,80059000,212905000,89378000,43186000,36177000,89378000,302283000,473037000,382474000,-3500000,852011000,852011000,1154294000,24327000,14152000,-3040000,17960000,53399000,-16310000,-653000,-101095000,-12064000,5753000,5753000,-6207000,-53903000,-53903000,-53903000,46654000,6.93889390390723e-18,55499000,0.75765,0.11689,0.08749,0.02855,0.02108,2.28137,3.37967,0.35479,0,0.20173,0.19973,2.30577,7.06541,0.46023,0.10004,0.03866,0.05895,0.49591,-7.84739,-11.26429
"9","2012_Q2",20.3685714285714,"Down",261133000,-61348000,199785000,-175441000,-121426000,-54015000,24344000,-554000,104000,23790000,23790000,-5148000,18642000,18642000,18642000,18642000,377406000,238510000,138896000,155386000,155386000,140408000,60678000,32911000,733878000,192944000,243933000,81042000,130975000,31916000,436877000,1170755000,120951000,41629000,79322000,95448000,95448000,216399000,79042000,43058000,35984000,79042000,295441000,487199000,384147000,3968000,875314000,875314000,1170755000,18642000,14115000,-7871000,8618000,33504000,-9387000,-3740000,71481000,-16934000,7605000,7605000,-9083000,95902000,95902000,95902000,38459000,0,42838000,0.76507,0.09322,0.07139,0.0213,0.01592,2.29793,3.39132,0.33753,0,0.15418,0.15284,2.15977,7.2395,0.3543,0.14006,0.03728,0.04489,0.90838,-9.8132,-15.50304
"10","2012_Q3",20.4642857142857,"Up",292259000,-70851000,221408000,-186544000,-132258000,-54286000,34864000,-733000,151000,34131000,34131000,-7690000,26441000,26441000,26441000,26441000,350727000,271402000,79325000,188258000,188258000,148989000,75677000,56089000,763651000,205754000,244226000,80679000,128963000,34584000,449980000,1213631000,129233000,51707000,77526000,89497000,89497000,218730000,98573000,43128000,36957000,98573000,317303000,503107000,393502000,-281000,896328000,896328000,1213631000,26441000,13201000,14588000,-45933000,8297000,-20632000,-5924000,33015000,-17085000,6817000,6817000,-8420000,32892000,32892000,32892000,48065000,-1.11022302462516e-16,-10810000,0.75757,0.11929,0.09047,0.0295,0.02179,-0.40883,3.4913,0.354,0,0.21706,0.21535,2.39926,7.35829,-0.08874,0.14026,0.04375,-0.01087,0.64616,-7.29693,-10.05986
