"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.7168253968254,"Up",937200000,-794400000,142800000,-7.1e+07,-1300000,71800000,-4700000,67100000,67100000,-22200000,44900000,44900000,-1500000,43400000,43400000,-7576787933.17972,-7576785121.52589,1258646755.96779,1258646755.96779,892674946.58527,171722792.267838,68623759.1021437,-5253743438.35882,3372948665.27654,2640374256.20903,612268296.393541,221364028.456287,68654290.673993,6029986097.40204,776242659.04322,1288811042.38376,1288811042.38376,216076477.137123,1501684307.47943,-3214793899.94364,921270300.588714,437171398.469036,484098902.119678,-2293523599.35492,-791839291.875488,1129439487.52904,-18612316.0009705,861647505.124556,-442375002.170876,1523574900.45875,44507050.4599577,1568081950.91871,776242659.04322,44900000,3.5e+07,4e+06,-2.7e+07,56900000,-2.1e+07,-2.1e+07,-2.1e+07,-1.2e+07,1.14e+08,1.09e+08,144900000,144900000,1e+06,145900000,106800000,0,8.1e+07,0.15237,0.07661,0.04631,-0.0128890405668005,0.00410219021128613,1.86636,-12.4349736374202,-0.375412789341355,-0.583298337402169,0.57636,0.56806,12.44622,20.0170828761595,1.0757,0.15936,0.0127268315215291,0.0600270913936665,0.2765,35.0192340815352,53.7744256779977
"2","2010_Q3",25.86578125,"Up",1003100000,-839200000,163900000,-66600000,6700000,97300000,-6800000,90500000,69700000,-30800000,38900000,38900000,-2e+06,36900000,36900000,3.26e+08,3.26e+08,4.72e+08,4.72e+08,3.99e+08,5.7e+07,3.2e+07,1.254e+09,1.515e+09,3.26e+08,2.43e+08,2e+06,8.1e+07,1.852e+09,3.106e+09,4.76e+08,4.76e+08,1e+08,5.76e+08,4.99e+08,2.59e+08,1.11e+08,1.48e+08,7.58e+08,1.334e+09,1.102e+09,-6e+06,9.79e+08,-3.32e+08,1.743e+09,2.9e+07,1.772e+09,3.106e+09,38900000,3.5e+07,1.6e+07,3.8e+07,127900000,-3.5e+07,-3.5e+07,-3.5e+07,-1.1e+07,-5.5e+07,-8.5e+07,7900000,7900000,-3e+06,4900000,132300000,5.99e+08,166100000,0.16339,0.097,0.03679,0.02082,0.01188,4.50136,2.17708,0.75282,0.19285,0.48874,0.48172,13.28609,23.08609,2.2,0.1457,0.01821,0.06316,0.2981,2.06349,2.80576
"3","2010_Q4",32.91984375,"Up",1019500000,-8.48e+08,171500000,-79700000,1800000,91800000,-30200000,61600000,58400000,-19600000,38800000,38800000,-1900000,36900000,36900000,1.587e+09,1.587e+09,4.78e+08,4.78e+08,4.19e+08,3.2e+07,1.9e+07,2.516e+09,1.551e+09,3.47e+08,2.46e+08,2e+06,9.9e+07,1.909e+09,4.425e+09,5e+08,5e+08,7e+07,5.7e+08,1.705e+09,2.6e+08,1.2e+08,1.4e+08,1.965e+09,2.535e+09,1.104e+09,-462561.333009837,1.005e+09,-2.49e+08,1.86e+09,3e+07,1.89e+09,4.425e+09,39200000,3.5e+07,1.1e+07,5.5e+07,140200000,-3.4e+07,-3.4e+07,-3.5e+07,-1.2e+07,1.172e+09,1.15e+09,1255200000,1255200000,6e+06,1261200000,126800000,1.775e+09,167400000,0.16822,0.09004,0.03619,0.01952,0.00834,4.53659,4.41404,1.34127,0.40113,0.4881,0.4811,13.48545,24.60317,2.21429,0.15873,0.01246,0.04265,0.3252,1.48265,2.04793
"4","2011_Q1",36.5109677419355,"Up",1407200000,-1161400000,245800000,-142700000,2800000,103100000,-22300000,80800000,79800000,-26400000,53400000,53400000,-1600000,51800000,51800000,3.02e+08,3.02e+08,7.63e+08,7.63e+08,6.45e+08,4.4e+07,2e+07,1.754e+09,2.156e+09,1.118e+09,3.64e+08,6.9e+07,1.13e+08,3.286e+09,5.04e+09,7.8e+08,7.8e+08,8.8e+07,8.73e+08,1.681e+09,4.76e+08,2.36e+08,2.4e+08,2.157e+09,3.03e+09,1.12e+09,-1e+06,1.046e+09,-1.9e+08,1.975e+09,3.5e+07,2.01e+09,5.04e+09,5.3e+07,5e+07,-1.3e+07,-2.1e+07,6.9e+07,-6.6e+07,-6.9e+07,-1.337e+09,-1e+07,-1.9e+07,-1.9e+07,-1.287e+09,-1.287e+09,2e+06,-1.285e+09,153100000,1.769e+09,92500000,0.17467,0.07327,0.03681,0.02577,0.01028,1.78571,2.00916,1.50746,0.35099,0.68158,0.66839,18.51579,25.98684,1.21711,0.13158,0.01452,0.02174,0.19305,9.58197,14.2289
"5","2011_Q2",41.3519047619048,"Up",1459500000,-1161300000,298200000,-70800000,60200000,227400000,-26600000,200800000,200800000,-45300000,155500000,155500000,-1900000,153600000,153600000,2.67e+08,2.67e+08,8.44e+08,8.44e+08,7.89e+08,4.3e+07,2.5e+07,1.943e+09,2.127e+09,1.181e+09,3.62e+08,6.4e+07,1.15e+08,3.318e+09,5.261e+09,7.8e+08,7.8e+08,1.15e+08,9.15e+08,1.64e+09,4.96e+08,2.49e+08,2.47e+08,2.136e+09,3.051e+09,1.135e+09,-2e+06,1.189e+09,-1.45e+08,2.177e+09,3.3e+07,2.21e+09,5.261e+09,1.55e+08,4.9e+07,1e+07,-1.93e+08,2.1e+07,-3.3e+07,-3.3e+07,-3.3e+07,-1.2e+07,-2e+07,-2.4e+07,-3.6e+07,-3.6e+07,4351906.39213194,-3.6e+07,276400000,1.755e+09,95700000,0.20432,0.15581,0.10524,0.0695,0.0292,0.62305,2.1235,1.38054,0.33359,2.01047,1.96671,19.1034,28.49476,1.25262,0.15707,0.03712,0.02145,0.07812,5.3835,6.54354
"6","2011_Q3",37.288125,"Down",1584500000,-1312700000,271800000,-134400000,3099999.99999999,137400000,-1.9e+07,118400000,115900000,-34900000,8.1e+07,8.1e+07,-1700000,79300000,79300000,2.73e+08,2.73e+08,8.01e+08,8.01e+08,8.61e+08,4.1e+07,2.4e+07,1.976e+09,2.158e+09,1.17e+09,3.61e+08,6.4e+07,1.22e+08,3.338e+09,5.314e+09,7.23e+08,7.23e+08,1.15e+08,8.48e+08,1.653e+09,4.99e+08,2.49e+08,2.5e+08,2.152e+09,3e+09,1.144e+09,-4e+06,1.256e+09,-1.17e+08,2.279e+09,3.5e+07,2.314e+09,5.314e+09,8.1e+07,5.4e+07,1.2e+07,-6.7e+07,8e+07,-5.6e+07,-5.6e+07,-7.1e+07,-1.2e+07,4e+06,-3999999.99999997,5e+06,5e+06,1e+06,5999999.99999976,191400000,1.768e+09,103300000,0.17154,0.08672,0.05005,0.03427,0.01492,1.30265,2.33019,1.29646,0.33271,1.03255,1.00891,20.63151,29.67448,1.34505,0.15625,0.01993,0.02255,0.15132,7.81087,10.88064
"7","2011_Q4",37.4192063492063,"Up",1627800000,-1351800000,2.76e+08,-129800000,1400000,146200000,-12700000,133500000,129700000,-40200000,89500000,89500000,-1700000,87800000,87800000,2.79e+08,2.79e+08,7.8e+08,7.8e+08,7.8e+08,7.5e+07,2.6e+07,1.914e+09,2.102e+09,1.119e+09,3.51e+08,5.8e+07,1.29e+08,3.23e+09,5.144e+09,7.12e+08,7.12e+08,1.22e+08,8.34e+08,1.751e+09,4.5e+08,2.36e+08,2.14e+08,2.201e+09,3.035e+09,1.149e+09,-4.9e+07,1.332e+09,-3.61e+08,2.071e+09,3.8e+07,2.109e+09,5.144e+09,9e+07,5.3e+07,-1.9e+07,-7.8e+07,4.6e+07,-6.9e+07,-6.9e+07,-7e+07,-1.3e+07,1.01e+08,4.5e+07,2.1e+07,2.1e+07,-1.4e+07,7e+06,199200000,1.873e+09,92400000,0.16955,0.08981,0.05394,0.04163,0.01707,1.05239,2.29496,1.43907,0.36411,1.14771,1.1242,21.27843,27.0719,1.20784,0.16993,0.02274,0.02085,0.14806,8.00201,10.90287
"8","2012_Q1",43.1033870967742,"Up",1547200000,-1267200000,2.8e+08,-1.1e+08,33300000,1.7e+08,-19700000,150300000,146600000,-49600000,9.7e+07,9.7e+07,-1700000,95300000,95300000,4.01e+08,4.01e+08,8.37e+08,8.37e+08,7.69e+08,9.5e+07,2.4e+07,2.102e+09,2.156e+09,1.049e+09,3.47e+08,1.9e+07,1.21e+08,3.215e+09,5.317e+09,7.78e+08,7.78e+08,1.48e+08,9.26e+08,1.801e+09,4.42e+08,1.99e+08,2.43e+08,2.243e+09,3.169e+09,1.147e+09,-4.2e+07,1.412e+09,-4.13e+08,2.104e+09,4.4e+07,2.148e+09,5.317e+09,9.7e+07,5.5e+07,-3e+06,4000000.00000001,1.53e+08,-1.02e+08,-1.05e+08,-9.9e+07,-1.3e+07,7.5e+07,6.9e+07,1.23e+08,1.23e+08,-1e+06,1.22e+08,2.25e+08,1.949e+09,176600000,0.18097,0.10988,0.0616,0.04437,0.01792,1.8531,2.26998,1.47533,0.36656,1.2556,1.22179,20.38472,27.72069,2.32675,0.17128,0.02386,0.03891,0.13641,6.88,9.10588
"9","2012_Q2",41.4519047619048,"Down",1574200000,-1278300000,295900000,-131100000,5100000,164800000,-19500000,145300000,141500000,-45800000,95700000,95700000,-1500000,94200000,94200000,3.35e+08,3.35e+08,8.85e+08,8.85e+08,8.19e+08,1.01e+08,2.5e+07,2.14e+09,2.181e+09,1.051e+09,3.44e+08,2e+07,1.21e+08,3.242e+09,5.382e+09,7.53e+08,7.53e+08,1.41e+08,8.94e+08,1.779e+09,4.62e+08,2.08e+08,2.54e+08,2.241e+09,3.135e+09,1.14e+09,-2.2e+07,1.491e+09,-4.01e+08,2.208e+09,3.9e+07,2.247e+09,5.382e+09,95700000,5.4e+07,3.3e+07,-1.54e+08,28700000,-5.9e+07,-5.9e+07,-5.9e+07,-1.7e+07,-3.2e+07,-4e+07,-70300000,-70300000,4e+06,-66300000,218800000,1.92e+09,51600000,0.18797,0.10469,0.05984,0.04192,0.0175,0.54777,2.39374,1.39519,0.35674,1.23298,1.20769,20.60471,28.90052,0.67539,0.22251,0.02402,0.01115,0.18047,7.24406,9.61772
"10","2012_Q3",40.5366666666667,"Down",1.635e+09,-1339800000,295200000,-128800000,2700000,166400000,-17200000,149200000,135600000,-2.5e+07,110600000,110600000,-1500000,109100000,109100000,4.4e+08,4.4e+08,8.43e+08,8.43e+08,7.79e+08,8.5e+07,2e+07,2.147e+09,2.129e+09,1.043e+09,3.38e+08,3.1e+07,1.17e+08,3.182e+09,5.329e+09,7.34e+08,7.34e+08,6.3e+07,8.08e+08,1.776e+09,4.45e+08,2.01e+08,2.44e+08,2.221e+09,3.029e+09,1.14e+09,-3.1e+07,1.585e+09,-4.35e+08,2.259e+09,4.1e+07,2.3e+09,5.329e+09,110600000,5.3e+07,1.9e+07,1.07e+08,289600000,-6.9e+07,-6.9e+07,-6.9e+07,-1.6e+07,-7.9e+07,-1.06e+08,114600000,114600000,-9e+06,105600000,219400000,1.839e+09,282400000,0.18055,0.10177,0.06673,0.04743,0.02047,2.58845,2.65718,1.31696,0.34509,1.42428,1.40051,21.34465,29.49086,3.68668,0.20888,0.02729,0.06161,0.14665,6.37648,8.40745
