"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",29.32109375,"Up",4.329e+09,-1.153e+09,3.176e+09,-1.871e+09,-1.237e+09,-6.34e+08,1.305e+09,-6.6e+07,-6.6e+07,-1.5e+07,1.5e+07,1.239e+09,1.239e+09,-2.71e+08,9.68e+08,9.68e+08,9.68e+08,9.68e+08,7.479e+09,6.979e+09,5e+08,4.299e+09,4.299e+09,1.037e+09,2.108e+09,7.11e+08,1.4923e+10,2.2e+09,1.18e+08,9.928e+09,2.153e+09,6.06e+09,1.715e+09,1.2246e+10,2.7169e+10,6.33e+09,4.36e+08,6.766e+09,1.4601e+10,2.845e+09,2.845e+09,1.7446e+10,2.4212e+10,3.961e+09,-9.7e+07,3.3e+08,-1.237e+09,2.957e+09,2.957e+09,2.7169e+10,9.68e+08,2.27e+08,1.01e+08,-1.09e+08,1.187e+09,-8.8e+07,1.575e+09,1.487e+09,-6.36e+08,-6e+06,-3.39e+08,-1.582e+09,1.092e+09,1.092e+09,-1.4e+07,1.078e+09,1.532e+09,1.5037e+10,1.606e+09,0.73366,0.30146,0.22361,0.32736,0.03563,1.65909,2.20559,8.18803,0.55346,0.60957,0.60312,2.72607,1.86209,1.01134,0.4005,0.07697,0.07707,0.65702,4.93342,5.79157
"2","2013_Q3",29.99328125,"Up",4.692e+09,-1.054e+09,3.638e+09,-2.115e+09,-1.406e+09,-7.09e+08,1.523e+09,-8.5e+07,-7.5e+07,-1.4e+07,4e+06,1.438e+09,1.368e+09,-3e+08,1.068e+09,1.068e+09,1.068e+09,1.068e+09,8.754e+09,8.743e+09,1.1e+07,3.755e+09,3.755e+09,1.085e+09,2.068e+09,6.26e+08,1.5662e+10,2.213e+09,1.21e+08,9.914e+09,2.101e+09,6.12e+09,1.693e+09,1.2248e+10,2.791e+10,6.373e+09,4.32e+08,6.805e+09,1.4326e+10,3.221e+09,3.221e+09,1.7547e+10,2.4352e+10,4.09e+09,-1.21e+08,7.58e+08,-1.169e+09,3.558e+09,3.558e+09,2.791e+10,1.068e+09,2.36e+08,1.35e+08,5.98e+08,2.037e+09,-1.19e+08,4.86e+08,2.33e+08,-6.38e+08,7.5e+07,66000000.0000001,-5e+08,1.77e+09,1.77e+09,-6e+06,1.764e+09,1.759e+09,1.4758e+10,2.538e+09,0.77536,0.3246,0.22762,0.30017,0.03827,2.3764,2.30154,6.84429,0.52877,0.67212,0.66377,2.9528,2.23914,1.59723,0.40151,0.07921,0.11784,0.59738,3.4133,3.94222
"3","2013_Q4",33.548125,"Up",4.658e+09,-1.092e+09,3.566e+09,-1.975e+09,-1.261e+09,-7.14e+08,1.591e+09,-8.5e+07,-6.9e+07,-1.1e+07,-5e+06,1.506e+09,1.286e+09,-3.22e+08,9.64e+08,9.64e+08,9.64e+08,9.64e+08,9.596e+09,8.975e+09,6.21e+08,3.798e+09,3.798e+09,1.172e+09,1.977e+09,5.58e+08,1.6543e+10,2.244e+09,1.23e+08,9.342e+09,1.993e+09,6.199e+09,1.15e+09,1.1709e+10,2.8252e+10,6.441e+09,4.34e+08,6.875e+09,1.4375e+10,3.425e+09,3.425e+09,1.78e+10,2.4675e+10,3.596e+09,-1.19e+08,1.081e+09,-9.81e+08,3.577e+09,3.577e+09,2.8252e+10,9.64e+08,2.34e+08,2.57e+08,3.43e+08,1.798e+09,-1.33e+08,-6.07e+08,-9.64e+08,-6.4e+08,5.6e+07,-3e+07,-6.13e+08,2.21e+08,2.21e+08,1.1e+07,2.32e+08,1.825e+09,1.4809e+10,2.357e+09,0.76556,0.34156,0.20696,0.2695,0.03412,2.44502,2.40625,6.89824,0.52418,0.60744,0.60553,2.9351,2.25394,1.48519,0.40328,0.07354,0.10806,0.6639,2.85644,3.27656
"4","2014_Q1",34.774262295082,"Up",5.111e+09,-1.282e+09,3.829e+09,-2.246e+09,-1.448e+09,-7.98e+08,1.583e+09,-9.6e+07,-6.8e+07,-1.5e+07,-1.3e+07,1.487e+09,1.439e+09,-3.11e+08,1.128e+09,1.128e+09,1.128e+09,1.128e+09,9.895e+09,9.595e+09,3e+08,3.854e+09,3.854e+09,1.15e+09,2.949e+09,1.234e+09,1.7848e+10,2.298e+09,1.18e+08,8.934e+09,1.89e+09,6.277e+09,7.67e+08,1.135e+10,2.9198e+10,6.448e+09,4.31e+08,6.879e+09,1.4292e+10,3.535e+09,3.535e+09,1.7827e+10,2.4706e+10,3.687e+09,-3.2e+08,1.567e+09,-4.42e+08,4.492e+09,4.492e+09,2.9198e+10,1.128e+09,2e+08,9.1e+07,-1.74e+08,1.245e+09,-1.51e+08,3.21e+08,1.23e+08,-6.41e+08,-9.8e+07,-1e+07,-7.47e+08,6.21e+08,6.21e+08,-1e+06,6.2e+08,1.783e+09,1.4723e+10,1.769e+09,0.74917,0.30972,0.2207,0.25111,0.03863,1.56826,2.59456,5.5,0.50425,0.70854,0.70062,3.21043,2.82161,1.11118,0.40264,0.07776,0.07776,0.56826,2.7078,3.04991
"5","2014_Q2",36.4155555555556,"Up",4.563e+09,-1.1e+09,3.463e+09,-2.112e+09,-1.34e+09,-7.72e+08,1.351e+09,-6.5e+07,-6.5e+07,-3e+06,3e+06,1.286e+09,1.286e+09,-3.06e+08,9.8e+08,9.8e+08,9.8e+08,9.8e+08,9.1e+09,8.14e+09,9.6e+08,3.65e+09,3.65e+09,1.104e+09,3.475e+09,1.46e+09,1.7329e+10,2.333e+09,1.19e+08,8.876e+09,1.802e+09,6.271e+09,8.03e+08,1.1328e+10,2.8657e+10,6.196e+09,2e+07,6.216e+09,1.4386e+10,3.358e+09,3.358e+09,1.7744e+10,2.396e+10,3.921e+09,-6.72e+08,1.874e+09,-4.26e+08,4.697e+09,4.697e+09,2.8657e+10,9.8e+08,1.99e+08,5.9e+07,-6.14e+08,6.24e+08,-1.37e+08,-6.6e+08,-7.97e+08,-6.41e+08,-2.44e+08,1.8e+07,-1.277e+09,-1.45e+09,-1.45e+09,-5e+06,-1.455e+09,1.55e+09,1.4406e+10,1.105e+09,0.75893,0.29608,0.21477,0.20864,0.0342,1.12755,2.78781,5.10113,0.5027,0.61442,0.60907,2.86082,2.94483,0.69279,0.40188,0.07217,0.0492,0.65408,3.42323,3.92746
"6","2014_Q3",38.84296875,"Up",4.926e+09,-1.113e+09,3.813e+09,-2.282e+09,-1.448e+09,-8.34e+08,1.531e+09,-8.2e+07,-6.9e+07,-5e+06,-8e+06,1.449e+09,1.433e+09,-3.35e+08,1.098e+09,1.098e+09,1.098e+09,1.098e+09,1.0246e+10,9.086e+09,1.16e+09,3.684e+09,3.684e+09,1.048e+09,2.816e+09,1.585e+09,1.7794e+10,2.387e+09,1.3e+08,8.734e+09,1.695e+09,6.244e+09,7.95e+08,1.1251e+10,2.9045e+10,6.046e+09,2.71e+08,6.317e+09,1.447e+10,3.04e+09,3.04e+09,1.751e+10,2.3827e+10,4.012e+09,-6.73e+08,2.299e+09,-4.2e+08,5.218e+09,5.218e+09,2.9045e+10,1.098e+09,2.02e+08,5.1e+07,3.66e+08,1.717e+09,-1.42e+08,-2e+08,-3.59e+08,-6.73e+08,1.8e+07,-8e+06,-4.15e+08,9.43e+08,9.43e+08,3e+06,9.46e+08,1.733e+09,1.4741e+10,2.292e+09,0.77406,0.3108,0.2229,0.21043,0.0378,2.08743,2.81684,4.56631,0.50752,0.68927,0.68326,3.09228,3.27558,1.43879,0.42247,0.077,0.09966,0.61293,2.59377,2.93599
"7","2014_Q4",44.4490625,"Up",5.019e+09,-1.094e+09,3.925e+09,-2.407e+09,-1.595e+09,-8.12e+08,1.518e+09,-5.23e+08,-1.28e+08,-1.74e+08,-2.21e+08,9.95e+08,6.87e+08,-1.81e+08,5.06e+08,5.06e+08,5.06e+08,5.06e+08,7.728e+09,7.719e+09,9e+06,3.592e+09,3.592e+09,1.008e+09,5.227e+09,1.705e+09,1.7555e+10,2.432e+09,1.24e+08,8.343e+09,1.54e+09,6.002e+09,8.01e+08,1.0899e+10,2.8454e+10,6.312e+09,3.23e+08,6.635e+09,1.4469e+10,2.705e+09,2.705e+09,1.7174e+10,2.3809e+10,4.099e+09,-6.72e+08,2.131e+09,-9.13e+08,4.645e+09,4.645e+09,2.8454e+10,5.06e+08,1.92e+08,9.86e+08,1.02e+08,1.786e+09,-1.8e+08,1.151e+09,-2.284e+09,-6.73e+08,3.8e+07,-1.34e+08,-7.19e+08,-1.217e+09,-1.217e+09,-1.5e+08,-1.367e+09,1.71e+09,1.4792e+10,1.813e+09,0.78203,0.30245,0.10082,0.10893,0.01778,3.583,2.64582,5.12573,0.51986,0.31684,0.31409,3.14277,2.90858,1.13525,0.42142,0.05325,0.08188,1.33004,4.13099,4.65349
"8","2015_Q1",42.9137704918033,"Down",5.452e+09,-1.119e+09,4.333e+09,-4.22e+09,-3.341e+09,-8.79e+08,1.13e+08,-1.122e+09,-1.29e+08,-4.96e+08,-4.97e+08,-1.009e+09,-1.037e+09,2.27e+08,-8.1e+08,-8.1e+08,-8.1e+08,-8.1e+08,8.374e+09,8.348e+09,26000000.0000002,3.735e+09,3.735e+09,1.124e+09,2.848e+09,1.952e+09,1.6081e+10,2.485e+09,9.2e+07,8.855e+09,1.513e+09,5.862e+09,1.48e+09,1.1432e+10,2.7513e+10,6.954e+09,4.439e+09,1.1393e+10,1.0538e+10,3.84e+09,3.681e+09,1.4378e+10,2.5771e+10,4.21e+09,-9.72e+08,5.35e+08,-2.031e+09,1.742e+09,1.742e+09,2.7513e+10,-8.1e+08,1.93e+08,6.81e+08,-6.42e+08,-5.78e+08,-1.53e+08,16999999.9999998,2.514e+09,-6.74e+08,-2.45e+08,-7e+07,-8.82e+08,1.054e+09,1.054e+09,-4.25e+08,6.29e+08,3.06e+08,1.4977e+10,-7.16e+08,0.79475,0.02073,-0.14857,-0.46498,-0.02944,0.88395,1.41148,14.79392,0.54436,-0.50784,-0.50217,3.41818,1.09216,-0.4489,0.42257,-0.00661999999999999,-0.03483,-0.8321,21.57843,58.43363
"9","2015_Q2",46.7673015873016,"Up",5.04e+09,-9.42e+08,4.098e+09,-2.284e+09,-1.473e+09,-8.11e+08,1.814e+09,-2.91e+08,-1.26e+08,-1.64e+08,-1e+06,1.523e+09,1.396e+09,-3.74e+08,1.022e+09,1.022e+09,1.022e+09,1.022e+09,7.924e+09,7.906e+09,1.8e+07,4.214e+09,4.214e+09,1.022e+09,2.248e+09,1.05e+09,1.5408e+10,2.431e+09,9.3e+07,8.767e+09,1.478e+09,5.534e+09,1.755e+09,1.1291e+10,2.6699e+10,6.46e+09,4.59e+09,1.105e+10,1.0683e+10,3.589e+09,3.589e+09,1.4272e+10,2.5322e+10,4.419e+09,-1.314e+09,7.39e+08,-2.467e+09,1.377e+09,1.377e+09,2.6699e+10,1.022e+09,1.58e+08,4.95e+08,-9e+07,1.585e+09,-1.45e+08,8e+06,-8.73e+08,-7.86e+08,-2.95e+08,7e+06,-9.3e+08,-2.18e+08,-2.18e+08,-2.24e+08,-4.42e+08,1.972e+09,1.5273e+10,2.111e+09,0.8131,0.35992,0.20278,0.74219,0.03828,2.06556,1.39439,18.38925,0.57204,0.64075,0.63557,3.15987,0.86332,1.32351,0.49279,0.08933,0.1043,0.76908,3.72667,4.05127
"10","2015_Q3",46.971875,"Up",5.475e+09,-9.16e+08,4.559e+09,-2.684e+09,-1.703e+09,-9.81e+08,1.875e+09,-1.74e+08,-1.64e+08,-14000000.0000001,4000000.00000006,1.701e+09,1.678e+09,-3.12e+08,1.366e+09,1.366e+09,1.366e+09,1.366e+09,8.279e+09,7.4e+09,8.79e+08,4.367e+09,4.367e+09,1.623e+09,2.608e+09,1.381e+09,1.6877e+10,2.517e+09,1.34e+08,3.4327e+10,1.9937e+10,1.3209e+10,1.181e+09,3.6978e+10,5.3855e+10,7.251e+09,4.007e+09,1.1258e+10,2.7116e+10,9.977e+09,3.918e+09,3.7093e+10,4.8351e+10,1.2438e+10,-5.816e+09,1.256e+09,-2.374e+09,5.504e+09,5.504e+09,5.3855e+10,1.366e+09,1.9e+08,2.24e+08,5.2e+07,1.832e+09,-1.15e+08,-8.5e+08,-1.2511e+10,-8.18e+08,-4.948e+09,-1.4e+08,1.0169e+10,-5.1e+08,-5.1e+08,3999999.99999997,-5.06e+08,2.065e+09,3.1123e+10,2.314e+09,0.83269,0.34247,0.2495,0.24818,0.02536,1.694,1.49911,8.7847,0.5779,0.84269,0.83599,3.37754,3.39543,1.42751,0.50463,0.04686,0.04965,0.59883,11.06247,12.18347
