"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",28.0175,"Up",49157000,-18794000,30363000,-27405000,-21730000,-12022000,-9708000,-5675000,2958000,-50000,-50000,2908000,2908000,26112000,29020000,29020000,29020000,28738000,102096000,102096000,1738000,1738000,22141000,2008000,125975000,5255000,15884000,1040000,1423000,13239000,182000,21139000,147114000,18212000,2606000,15606000,45079000,37934000,7145000,69291000,889000,889000,889000,70180000,48617000,28317000,76934000,76934000,147114000,29020000,752000,-23255000,6129000,12646000,-540000,-540000,-61000,-235000,-836000,-2432000,61493000,73303000,73303000,73303000,3710000,6e+06,-16813000,0.61767,0.06017,0.58462,0.37354,0.19535,-0.58504,1.81806,0.91221,0.04078,0.88171,0.87655,1.50819,2.36041,-0.51584,0.48361,-0.20058,-25.90189,-32.48682
"2","2013_Q2",41.68859375,"Up",51117000,-19821000,31296000,-21313000,-16758000,-11978000,-4780000,-4555000,9983000,-12000,-12000,9971000,9971000,-4406000,5565000,5565000,5565000,5546000,107013000,107013000,2618000,2618000,25114000,2095000,134745000,5660000,17305000,984000,1423000,12890000,2008000,22965000,157710000,21788000,2792000,14370000,51503000,43336000,8167000,73291000,871000,871000,871000,74162000,49666000,33882000,83548000,83548000,157710000,5565000,779000,-447000,7893000,13790000,-1127000,-1127000,-32701316.9440359,-1779000,-2906000,-20000,-5967000,4917000,4917000,4917000,10762000,0,21934000,0.61224,0.1953,0.1085,0.06638,0.03517,3.95492,1.83849,0.88766,6.93889390390723e-18,0.16605,0.16383,1.5305,2.50153,0.65673,0.0656999999999999,0.25982,-9.9436,-10.71952
"3","2013_Q3",51.881875,"Up",56809000,-21768000,35041000,-24108000,-19048000,-13314000,-5734000,-5060000,10933000,20000,20000,10953000,10953000,-4090000,6863000,6863000,6863000,6841000,112803000,112803000,4435000,4435000,31380000,6598000,148618000,6778000,17152000,928000,1423000,12786000,2015000,23930000,172548000,20070000,3213000,16857000,55036000,46736000,8300000,75106000,1840000,1840000,1840000,76946000,54857000,40745000,95602000,95602000,172548000,6863000,946000,-730000,-3055000,4024000,-1859000,-1859000,-43847261.1303395,-12000,-1871000,1009000,3637000,5790000,5790000,5790000,11879000,0,11055000,0.61682,0.19245,0.12042,0.07156,0.03965,1.61599,1.97878,0.80486,0,0.20438,0.20096,1.69723,2.85621,0.33028,0.07021,0.11345,-9.496,-10.31766
"4","2013_Q4",67.3128125,"Up",59558000,-22936000,36622000,-26709000,-21024000,-14948000,-6076000,-5685000,9913000,21000,21000,9934000,9934000,-3742000,6192000,6192000,6192000,6174000,195519000,195519000,5450000,5450000,32477000,25604000,233446000,8634000,16876000,871000,1423000,12566000,2016000,25510000,258956000,24912000,5248000,19664000,59135000,49929000,9206000,84047000,1709000,1709000,1709000,85756000,126263000,46937000,173200000,173200000,258956000,6192000,1013000,18133000,-10691000,14647000,-1802000,-1802000,-39672546.8446252,-30000,-1832000,1619000,69901000,82716000,82716000,82716000,10926000,5.82076609134674e-11,2175000,0.6149,0.16644,0.10366,0.03565,0.02384,0.35228,2.77756,0.49513,-4.33680868994202e-19,0.18324,0.1801,1.76767,5.14055,0.06455,0.0353,0.01244,-17.89484,-19.72349
"5","2014_Q1",76.7755737704918,"Up",68031000,-26102000,41929000,-29440000,-22976000,-16498000,-6478000,-6464000,12489000,28000,28000,12517000,12517000,-4658000,7859000,7859000,7859000,7838000,209784000,155355000,6081000,6081000,27323000,19809000,243188000,20256000,15044000,853000,1423000,10720000,2048000,35300000,278488000,27802000,4164000,23638000,64126000,52100000,12026000,91928000,3961000,3961000,3961000,95889000,127794000,54796000,182599000,182599000,278488000,7859000,1132000,4758000,10163000,23912000,-9280000,-9280000,-26350888.3726073,227000,-63477000,-2234000,-602000,-40167000,-40167000,-40164000,13621000,0,19162000,0.61632,0.18358,0.11521,0.04292,0.02814,2.44476,2.64542,0.52513,0,0.22427,0.2206,1.9466,5.22478,0.54829,0.04201,0.10271,-15.40151,-16.7975
"6","2014_Q2",65.9579365079365,"Down",72777000,-29108000,43669000,-34599000,-26822000,-19276000,-7546000,-7777000,9070000,50000,50000,9120000,9120000,-4202000,4918000,4918000,4918000,4907000,212972000,157978000,8143000,8143000,29432000,22472000,250547000,25798000,30415000,4717000,10186000,13417000,2095000,56213000,306760000,24445000,5446000,18999000,73642000,60855000,12787000,98087000,9552000,9552000,9552000,107639000,139387000,59714000,199121000,199121000,306760000,4918000,1551000,-3136000,12296000,15629000,-10881000,-10881000,-10056000,-48999.9999999999,-21543000,6345000,8533000,2619000,2619000,2623000,10621000,0,16238000,0.60004,0.12463,0.06743,0.02464,0.016,3.30915,2.55433,0.54057,-2.71050543121376e-20,0.14009,0.13692,2.07774,5.68479,0.46359,0.02352,0.07782,-20.05197,-23.48093
"7","2014_Q3",69.02875,"Up",80239000,-32051000,48188000,-39773000,-30498000,-20492000,-10006000,-9275000,8415000,-4000,-4000,8411000,8411000,-3551000,4860000,4860000,4860000,4850000,235848000,180851000,11119000,11119000,27057000,19819000,274024000,27575000,31720000,4546000,10186000,15097000,1891000,59295000,333319000,27956000,5483000,22473000,78104000,66437000,11667000,106060000,11794000,11794000,11794000,117854000,150848000,64573000,215465000,215465000,333319000,4860000,2081000,2035000,12182000,21158000,-3899000,-3899000,0,-27000,-3922000,2376000,5619000,22855000,22855000,22873000,10496000,0,22330000,0.60056,0.10487,0.06044,0.02251,0.01455,4.60412,2.58367,0.54698,0,0.13798,0.13519,2.28282,6.13005,0.6353,0.02134,0.09826,-22.47027,-28.02709
"8","2014_Q4",65.91953125,"Down",83729000,-33260000,50469000,-41256000,-31386000,-21122000,-10264000,-9870000,9213000,-373000,-373000,8840000,8840000,-3562000,5278000,5278000,5278000,5269000,260480000,210760000,12938000,12938000,23171000,14462000,296589000,26422000,32992000,4710000,10186000,16193000,1903000,59414000,356003000,28080000,5686000,22394000,85990000,71850000,14140000,114070000,11700000,11700000,11700000,125770000,160453000,69852000,230233000,230233000,356003000,5278000,2125000,3587000,11722000,22712000,-1554000,-1554000,-331000,221000,3622000,1503000,3690000,30024000,30024000,29909000,11338000,0,25068000,0.60277,0.11003,0.06293,0.02289,0.0148,4.75764,2.60006,0.54627,0,0.14925,0.14664,2.37166,6.52144,0.71006,0.02178,0.10362,-22.97407,-28.27309
"9","2015_Q1",55.1970491803279,"Down",91226000,-35603000,55623000,-43285000,-31906000,-21235000,-10671000,-11379000,12338000,-532000,-532000,11806000,11806000,-4773000,7033000,7033000,7033000,7021000,288297000,233453000,15251000,15251000,19982000,12141000,323530000,26744000,33503000,4934000,10186000,16484000,1899000,60247000,383777000,30407000,5334000,24982000,89920000,75789000,14131000,120327000,12017000,12017000,12017000,132344000,175177000,76885000,251433000,251433000,383777000,7033000,2160000,4615000,9552000,23360000,-1616000,-1616000,-390000,-48000,-7170000,2913000,7101000,23291000,23291000,22693000,14498000,0,27207000,0.60973,0.13525,0.07696,0.02792,0.01829,3.87509,2.68876,0.52636,0,0.198,0.19499,2.57265,7.09061,0.76726,0.02665,0.10327,-19.88529,-23.36659
"10","2015_Q2",59.408253968254,"Up",97522000,-39525000,57997000,-49761000,-39077000,-25105000,-13972000,-10684000,8236000,-2562000,-2562000,5674000,5674000,-2431000,3243000,3243000,3243000,3241000,245471000,190479000,22714000,22714000,21557000,12722000,289742000,27143000,103883000,31595000,53508000,16841000,1939000,131026000,420768000,36958000,8949000,27064000,104416000,83685000,20731000,141374000,17580000,13441000,17580000,158954000,185406000,80127000,261814000,261814000,420768000,3243000,2995000,8405000,6827000,21470000,-2182000,-2182000,-63228000,-67000,-65614000,-99000,2948000,-41196000,-41196000,-42973000,11231000,0,18307000,0.59471,0.08445,0.03323,0.01238,0.0077,5.64857,2.04947,0.60713,2.11758236813575e-22,0.09095,0.08955,2.73669,7.3471,0.51374,0.0116,0.06552,-21.85656,-29.80464
