"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","premium_reserve_unearned","life_policy_benefits","other_insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",17.6098412698413,"Down",5.065e+09,4.348e+09,7.26e+08,-9e+06,-4.6e+07,3.7e+07,-2.857e+09,-1.164e+09,1.007e+09,-3.3e+07,-3.3e+07,9.74e+08,9.74e+08,-3.38e+08,6.36e+08,6.36e+08,6.36e+08,6.36e+08,7.2387e+10,2.4e+07,7.529e+09,1.611e+09,6.71e+08,8.522e+09,1.987e+09,8.5178e+10,6.9504e+10,9.37e+08,6.4828e+10,3.739e+09,2.115e+09,1.988e+09,7.6191e+10,1.314e+09,6.6e+07,1.248e+09,-5.31e+09,1.289e+10,9.3e+07,8.987e+09,8.987e+09,8.5178e+10,6.36e+08,-1.51e+08,-1.51e+08,7.93e+08,1.278e+09,-1.978e+09,9.17e+08,9e+06,-1.969e+09,-1.31e+08,-1e+06,2e+06,7e+06,-5e+06,1.07e+08,-2.3e+07,-7.14e+08,-7.14e+08,2e+06,-7.12e+08,2.584e+09,0.19882,0.12557,0.07077,0.00747,8.47791,0.03034,0.67959,0.67309,5.41218,9.60301,0.13998,0.00923,0.20597,0.96624
"2","2010_Q3",18.2153125,"Up",4.979e+09,4.333e+09,7.27e+08,-8.1e+07,-88999999.9999999,8e+06,-2.884e+09,-1.134e+09,9.22e+08,-3.3e+07,-3.3e+07,8.89e+08,8.89e+08,-3.08e+08,5.81e+08,5.81e+08,5.81e+08,5.81e+08,7.7348e+10,2.3e+07,1.12e+08,2.184e+09,6.59e+08,8.941e+09,2.107e+09,9.1239e+10,7.381e+10,1.002e+09,6.8617e+10,4.191e+09,2.6e+09,2.146e+09,8.1209e+10,1.337e+09,6.6e+07,1.271e+09,-5.276e+09,1.334e+10,6.29e+08,1.003e+10,1.003e+10,9.1239e+10,5.81e+08,4.4e+07,4.4e+07,1.12e+09,1.745e+09,-1.321e+09,1.362e+09,1.14e+08,-1.207e+09,-1.31e+08,-1000000.00000006,2.9e+07,2.9e+07,0,1.19e+08,1.6e+07,5.54e+08,5.54e+08,1.9e+07,5.73e+08,2.653e+09,0.18518,0.11669,0.05793,0.00637,8.09661,0.02908,0.61963,0.61476,5.31005,10.69689,0.13971,0.00803,0.22547,0.50868
"3","2010_Q4",20.50046875,"Up",5.394e+09,4.607e+09,7.65e+08,2.2e+07,8e+06,1.4e+07,-3.102e+09,-1.16e+09,1.094e+09,-3.9e+07,-3.9e+07,1.055e+09,1.055e+09,-3.65e+08,6.9e+08,6.9e+08,6.9e+08,6.9e+08,8.3151e+10,2.4e+07,7.577e+09,2.434e+09,6.4e+08,9.418e+09,2.2e+09,9.7843e+10,7.8913e+10,1.118e+09,7.2991e+10,4.804e+09,2.293e+09,2.496e+09,8.671e+10,1.355e+09,6.6e+07,1.289e+09,-5.274e+09,1.3758e+10,1.294e+09,1.1133e+10,1.1133e+10,9.7843e+10,6.9e+08,1.78e+08,1.78e+08,9.78e+08,1.846e+09,-1.414e+09,1.123e+09,-4.9e+08,-1.904e+09,-1.33e+08,2.94e+08,3e+06,3e+06,0,1.09e+08,2.73e+08,2.15e+08,2.15e+08,3.5e+07,2.5e+08,3.008e+09,0.20282,0.12792,0.06198,0.00705,7.78856,0.03074,0.73422,0.72849,5.73969,11.84649,0.14152,0.00861,0.19275,0.52468
"4","2011_Q1",21.0335483870968,"Up",5.294e+09,4.785e+09,7.89e+08,-2.8e+08,-2.95e+08,1.5e+07,-3.263e+09,-1.296e+09,6.87e+08,-4.4e+07,-4.4e+07,6.43e+08,6.43e+08,-2.22e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,8.6109e+10,2.3e+07,7.647e+09,2.121e+09,6.61e+08,9.734e+09,2.414e+09,1.01039e+11,8.2456e+10,1.197e+09,7.5822e+10,5.437e+09,2.16e+09,2.329e+09,8.9983e+10,1.386e+09,6.6e+07,1.32e+09,-5.386e+09,1.4194e+10,8.62e+08,1.1056e+10,1.1056e+10,1.01039e+11,4.21e+08,2.54e+08,2.54e+08,1.445e+09,2.12e+09,-2.379e+09,1.789e+09,26999999.9999999,-2.352e+09,-1.4e+08,5e+06,-1.1e+08,6e+06,-1.16e+08,1.4e+08,-1.05e+08,-3.37e+08,-3.37e+08,2.4e+07,-3.13e+08,3.038e+09,0.12977,0.07952,0.03808,0.00417,8.13884,0.03007,0.44834,0.44431,5.63777,11.77393,0.14909,0.00567,0.33254,1.33479
"5","2011_Q2",18.977619047619,"Down",5.117e+09,4.872e+09,7.94e+08,-5.49e+08,-5.79e+08,3e+07,-3.222e+09,-1.217e+09,6.36e+08,-4.5e+07,-4.5e+07,5.91e+08,5.91e+08,-2.02e+08,3.89e+08,3.89e+08,3.89e+08,3.89e+08,8.6353e+10,2.4e+07,7.506e+09,2.088e+09,7.38e+08,9.689e+09,2.277e+09,1.01145e+11,8.2491e+10,1.232e+09,7.5339e+10,5.92e+09,2.121e+09,2.493e+09,9.0122e+10,1.416e+09,6.6e+07,1.35e+09,-5.556e+09,1.4448e+10,7.15e+08,1.1023e+10,1.1023e+10,1.01145e+11,3.89e+08,6.17e+08,6.17e+08,1.161e+09,2.167e+09,-2.048e+09,1.635e+09,3.5e+07,-2.013e+09,-1.35e+08,-1e+06,-1.68e+08,1.6e+07,-1.84e+08,1.33e+08,-1.71e+08,-1.7e+07,-1.7e+07,-1.6e+07,-3.3e+07,3.017e+09,0.12429,0.07602,0.03529,0.00385,8.17581,0.02983,0.41559,0.41199,5.46674,11.77641,0.14423,0.00529,0.34704,1.46069
"6","2011_Q3",14.9196875,"Down",5.087e+09,4.956e+09,7.85e+08,-6.54e+08,-6.68e+08,1.4e+07,-3.31e+09,-1.241e+09,4.92e+08,-4.7e+07,-4.7e+07,4.45e+08,4.45e+08,-1.71e+08,2.74e+08,2.74e+08,2.74e+08,2.74e+08,9.1693e+10,2.3e+07,7.256e+09,1.291e+09,8.79e+08,1.0028e+10,2.341e+09,1.06232e+11,8.6366e+10,1.306e+09,7.8327e+10,6.733e+09,2.524e+09,2.313e+09,9.4251e+10,1.438e+09,6.6e+07,1.372e+09,-5.591e+09,1.4587e+10,1.547e+09,1.1981e+10,1.1981e+10,1.06232e+11,2.74e+08,5.43e+08,5.43e+08,1.394e+09,2.211e+09,-3.104e+09,1.519e+09,8.3e+07,-3.021e+09,-1.25e+08,1.49011611938477e-08,-2.8e+07,1e+07,-3.8e+07,1.49e+08,-4e+06,-8.14e+08,-8.14e+08,1.7e+07,-7.97e+08,3.048e+09,0.09672,0.05386,0.02287,0.00258,7.86671,0.02869,0.29368,0.29157,5.45233,12.84143,0.13398,0.00385,0.4562,3.57114
"7","2011_Q4",16.0963492063492,"Up",5.988e+09,5.209e+09,8.43e+08,-6.4e+07,-8.3e+07,1.9e+07,-3.517e+09,-1.282e+09,1.144e+09,-5.1e+07,-5.1e+07,1.093e+09,1.093e+09,-3.57e+08,7.36e+08,7.36e+08,7.36e+08,7.36e+08,9.8946e+10,2.4e+07,6.696e+09,1.862e+09,1.028e+09,1.0575e+10,2.309e+09,1.1472e+11,9.2992e+10,1.554e+09,8.3152e+10,8.286e+09,3.07e+09,2.643e+09,1.02006e+11,1.454e+09,6.6e+07,1.388e+09,-5.613e+09,1.5191e+10,1.682e+09,1.2714e+10,1.2714e+10,1.1472e+11,7.36e+08,9.6e+07,9.6e+07,2.276e+09,3.108e+09,-3.263e+09,6.099e+09,5.18e+08,-2.745e+09,-1.44e+08,1.63e+08,-5.4e+07,-8e+06,-4.6e+07,1.95e+08,1.6e+08,5.23e+08,5.23e+08,4.8e+07,5.71e+08,3.301e+09,0.19105,0.12291,0.05789,0.00642,8.02312,0.02877,0.78985,0.78667,6.42613,13.64427,0.15454,0.00788,0.19565,1.25787
"8","2012_Q1",18.0224193548387,"Up",5.979e+09,5.325e+09,8.58e+08,-2.04e+08,-2.22e+08,1.8e+07,-3.7e+09,-1.354e+09,8.74e+08,-5.3e+07,-5.3e+07,8.21e+08,8.21e+08,-2.83e+08,5.38e+08,5.38e+08,5.38e+08,5.38e+08,1.01213e+11,2.5e+07,6.607e+09,2.249e+09,6.8e+08,9.789e+09,2.306e+09,1.16237e+11,9.4593e+10,1.704e+09,8.3259e+10,9.63e+09,3.146e+09,2.267e+09,1.03291e+11,1.474e+09,6.6e+07,1.408e+09,-5.641e+09,1.5148e+10,1.965e+09,1.2946e+10,1.2946e+10,1.16237e+11,5.38e+08,4.61e+08,4.61e+08,2.357e+09,3.356e+09,-2.999e+09,6.72e+09,-5.1e+07,-3.05e+09,-1.48e+08,-4e+06,-3.2e+07,8e+06,-4e+07,2.63e+08,7.9e+07,3.85e+08,3.85e+08,2e+06,3.87e+08,3.285e+09,0.14618,0.08998,0.04156,0.00463,7.9786,0.02826,0.57768,0.57515,6.41998,13.90082,0.15892,0.00607,0.27509,1.18535
"9","2012_Q2",16.2949206349206,"Down",6.24e+09,5.378e+09,8.82e+08,-2e+07,-4.5e+07,2.5e+07,-3.646e+09,-1.286e+09,1.259e+09,-5.7e+07,-5.7e+07,1.202e+09,1.202e+09,-4.17e+08,7.85e+08,7.85e+08,7.85e+08,7.85e+08,1.00894e+11,2.5e+07,5.513e+09,2.21e+09,7.44e+08,9.542e+09,2.162e+09,1.15552e+11,9.3004e+10,1.854e+09,8.0217e+10,1.0933e+10,2.792e+09,2.149e+09,1.01909e+11,1.499e+09,6.6e+07,1.433e+09,-5.635e+09,1.5779e+10,2e+09,1.3643e+10,1.3643e+10,1.15552e+11,7.85e+08,2.1e+07,2.1e+07,2.75e+09,3.556e+09,-3.761e+09,2.397e+09,-6.75e+08,-4.436e+09,-1.48e+08,7.48e+08,-5e+06,5e+06,-1e+07,3.06e+08,9.01e+08,2.1e+07,2.1e+07,-6e+07,-3.9e+07,3.964e+09,0.20176,0.1258,0.05754,0.00679,7.46969,0.0343,0.84248,0.83772,6.6969,14.64196,0.15884,0.00827,0.18854,1.39317
"10","2012_Q3",17.7580952380952,"Up",5.902e+09,5.467e+09,8.46e+08,-4.11e+08,-4.18e+08,7e+06,-3.763e+09,-1.288e+09,8.03e+08,-6.2e+07,-6.2e+07,7.41e+08,7.41e+08,-2.58e+08,4.83e+08,4.83e+08,4.83e+08,4.83e+08,1.07125e+11,2.3e+07,4.908e+09,2.13e+09,7.47e+08,9.961e+09,2.246e+09,1.22209e+11,9.9413e+10,2.068e+09,8.4135e+10,1.321e+10,2.827e+09,2.118e+09,1.0803e+11,1.519e+09,6.6e+07,1.453e+09,-5.619e+09,1.6108e+10,2.171e+09,1.4179e+10,1.4179e+10,1.22209e+11,4.83e+08,2.88e+08,2.88e+08,2.918e+09,3.689e+09,-3.671e+09,1.854e+09,4.9e+07,-3.622e+09,-1.48e+08,-3.38e+08,6e+06,6e+06,-1.86264514923096e-09,3.04e+08,-1.76e+08,-1.09e+08,-1.09e+08,2.9e+07,-80000000.0000001,3.672e+09,0.13606,0.08184,0.03406,0.00395,7.61901,0.03005,0.51737,0.51538,6.32193,15.18784,0.15853,0.00529,0.30642,1.9203
