"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda"
"1","2012_Q2",22.0571428571429,"Up",4.34e+08,-2.77e+08,1.57e+08,-4.4e+07,-4.4e+07,1.13e+08,-9e+06,-8e+06,-1e+06,1.04e+08,4052067708.74107,1.04e+08,-1.8e+07,8.6e+07,8.6e+07,40241215.3187628,8.6e+07,8.6e+07,-12391766132.6831,-12391766132.6831,694372394.291461,694372394.291461,-398724263.773763,1780688234.89488,410289802.569937,-10315429767.2705,3298255227.50357,-1114624796.66246,421253414.259041,-417364369.333475,2183630430.84111,-8131799336.42941,633582127.885586,-302816414.619852,-281788254.737737,1218186797.24318,604690478.157667,1139318113.12729,-13803679994.0578,189908920.55948,218092396.463546,-128826117.876345,-13613771073.4983,-12474452960.371,1419601745.12749,2738746740.6836,-32007815.461783,4126340670.34931,215312953.592316,4341653623.94162,-8132799336.42941,8.6e+07,8.6e+07,2.2e+07,1.2e+07,-1.46e+08,-2.6e+07,-2.1e+07,-2.1e+07,-64514229.6903591,1.29e+08,-1.8e+07,1.11e+08,6.4e+07,6.4e+07,5e+06,6.9e+07,1.35e+08,0,-1.4e+07,0.36175,0.26037,0.19816,0.369725035664265,0.114829031945992,-0.16279,-28.6882928066996,-4.93741944221654,-1.42017581862903,1.14073,1.09324,5.75673,34.703988769569,-0.1857,0.374335925411844,0.127510754537396,0.415491845940659,-3671.23962322302
"2","2012_Q3",16.5966666666667,"Down",4.29e+08,-3.04e+08,1.25e+08,-1.03e+08,-1.03e+08,2.2e+07,-1.7e+07,-1.4e+07,-3e+06,5e+06,1.055e+09,1.06e+09,8.4e+07,1.144e+09,1.144e+09,0,1.144e+09,1.144e+09,-5468383066.34155,-5468383066.34155,485186197.145731,485186197.145731,412637868.113118,929844117.44744,208144901.284968,-3640714883.63526,3146627613.75179,-290312398.331232,372626707.12952,-164182184.666738,2856315215.42055,-784399668.214707,569791063.942793,7591792.69007409,-100894127.368869,663093398.621588,303845239.078834,834659056.563644,-5695839997.0289,414454460.27974,193546198.231773,42586941.0618276,-5281385536.74916,-4446726480.18552,1420300872.56374,1987373370.3418,13496092.2691085,3421170335.17465,240156476.796158,3661326811.97081,-785399668.214706,1.144e+09,1.144e+09,3.1e+07,-1.057e+09,-1.39e+08,-2.1e+07,-2.7e+07,8.7e+07,-42504743.2301197,9.4e+07,-1.95e+08,-1.03e+08,-3.7e+07,-3.7e+07,9.31322574615479e-10,-37000000.0000002,5.3e+07,-1.19209289550781e-07,-1.97e+08,0.29138,0.05128,2.66667,0.127607517832133,0.0319045159729958,-0.172200000000001,-11.8401064033498,-1.86864972110827,-0.527972909314513,13.53366,13.09269,5.07512,29.3517143847845,-2.33053,0.295615308470615,0.0395753772686981,0.175830922970329,-1815.56108661151
"3","2012_Q4",12.7848387096774,"Down",4.87e+08,-4.44e+08,4.3e+07,-6e+07,-6e+07,-1.7e+07,-1.8e+07,-1.8e+07,0,-3.5e+07,0,-3.5e+07,3.4e+07,-1e+06,-1e+06,-2e+06,-3e+06,-3e+06,-1332127688.78052,-1332127688.78052,399062065.715244,399062065.715244,809212622.704373,412948039.149147,91048300.4283228,289095038.788246,2999875871.2506,214895867.222923,342542235.70984,-14060728.2222459,3214771738.47352,3503866777.26176,495597021.314264,154530597.563358,-7631375.78962287,348697799.540529,125948413.026278,614553018.854548,-825946665.676301,525484820.093247,180848732.743924,130195647.020609,-300461845.583055,314091173.271494,1423766957.52125,1539791123.44727,-18167969.2436305,2945390111.72488,243385492.265386,3188775603.99027,3502866777.26176,-1e+06,-1e+06,7.1e+07,5.6e+07,-4e+06,1.22e+08,-4.3e+07,-4.3e+07,-3.2e+07,8.84e+08,-1.4e+07,5.14e+08,5.93e+08,5.93e+08,-5e+06,5.88e+08,5.4e+07,0,-2.7e+07,0.0883,-0.03491,-0.00616,0.0054558392773775,-0.00754182800900141,9,-1.19855213444994,-0.0197665737027565,0.0169023635618289,-0.02452,-0.02452,3.98032,25.6697747949282,-0.22067,0.26154,-0.00243487424376729,0.0444169743234432,-704.920538870504
"4","2013_Q1",13.6885,"Up",4.82e+08,-5.43e+08,-6.1e+07,-3.2e+07,-3.2e+07,-9.3e+07,-2.8e+07,-2.5e+07,-3e+06,-1.21e+08,0,-1.21e+08,2.5e+07,-9.6e+07,-9.6e+07,3e+06,-93000000.0000001,-93000000.0000001,7.16e+08,7.16e+08,3.91e+08,3.91e+08,9.14e+08,1.52e+08,3.8e+07,2.173e+09,2.862e+09,4.76e+08,3.26e+08,5.9e+07,3.338e+09,5.511e+09,4.22e+08,1.89e+08,2.4e+07,2.09e+08,4e+07,4.67e+08,1.605e+09,5.57e+08,1.76e+08,1.59e+08,2.162e+09,2.629e+09,1.429e+09,1.314e+09,-9.5e+07,2.648e+09,2.33e+08,2.881e+09,5.51e+09,-95999999.9999999,-9.6e+07,8.7e+07,-11000000.0000001,6.9e+07,4.9e+07,-7.5e+07,-7.5e+07,-2.9e+07,1.5e+07,-1.8e+07,-31999999.9999999,-58000000.0000001,-57999999.9999999,0,-5.8e+07,-5999999.99999999,1.645e+09,-3.7e+07,-0.12656,-0.19295,-0.19295,-0.03228,-0.01688,0.397849999999998,4.6531,0.91253,0.29849,-0.818170000000001,-0.793309999999999,4.24042,23.29591,-0.32551,0.25513,-0.01259,-0.00728,-154.83333
"5","2013_Q2",14.5996875,"Up",4.7e+08,-4.38e+08,3.2e+07,-5.1e+07,-5.1e+07,-1.9e+07,-2.5e+07,-2.7e+07,2e+06,-4.4e+07,37557941.7399622,-4.4e+07,-1e+06,-4.5e+07,-4.5e+07,-1.2e+07,-5.7e+07,-5.7e+07,1.375e+09,1.375e+09,4.16e+08,4.16e+08,8.5e+08,6.9e+07,2.8e+07,2.71e+09,2.737e+09,5.68e+08,3.18e+08,8.1e+07,3.305e+09,6.015e+09,3.6e+08,1.62e+08,2e+07,1.78e+08,1.5e+07,3.8e+08,2.396e+09,5.43e+08,1.75e+08,1.54e+08,2.939e+09,3.319e+09,1.435e+09,1.228e+09,-1.85e+08,2.478e+09,2.17e+08,2.695e+09,6.014e+09,-4.5e+07,-4.5e+07,7.3e+07,2.5e+07,-5.4e+07,-1e+06,-4.5e+07,-4.5e+07,-2.9e+07,7.66e+08,-2.7e+07,7.1e+08,6.64e+08,6.64e+08,-5e+06,6.59e+08,5.4e+07,2.411e+09,-4.4e+07,0.06809,-0.04043,-0.12128,-0.02115,-0.00948,0.77193,7.13158,1.23154,0.40083,-0.50301,-0.50301,4.14766,21.86786,-0.38829,0.25592,-0.00496,-0.00779,19.18519
"6","2013_Q3",15.68234375,"Up",5.25e+08,-4.75e+08,5e+07,-4.1e+07,-4.1e+07,8999999.99999999,-5e+06,-3.5e+07,3e+07,3999999.99999999,-4e+06,0,-1e+06,-1000000.00000001,-999999.999999993,-1.2e+07,-1.3e+07,-1.3e+07,1.389e+09,1.389e+09,4.25e+08,4.25e+08,7.49e+08,9.1e+07,3.7e+07,2.654e+09,2.63e+09,5.63e+08,3.13e+08,8e+07,3.193e+09,5.847e+09,3.17e+08,1.29e+08,8e+06,1.8e+08,1.8e+07,3.36e+08,2.39e+09,5.31e+08,1.77e+08,1.45e+08,2.921e+09,3.257e+09,1.441e+09,1.187e+09,-2.45e+08,2.383e+09,2.06e+08,2.589e+09,5.846e+09,-1000000.00000001,-999999.999999993,7.3e+07,-1.2e+07,2e+07,8e+07,-3.4e+07,-3.4e+07,-2.8e+07,-999999.999999881,0,-2.9e+07,16999999.9999999,1.7e+07,-3e+06,1.4e+07,8.2e+07,2.408e+09,6.9e+07,0.09524,0.01714,-0.02476,-0.00502,-0.00222,-5.30769,7.89881,1.25801,0.41184,-0.11465,-0.11465,4.63,21.01578,0.60851,0.24693,0.00271,0.01248,12.42683
"7","2013_Q4",16.25328125,"Up",4.91e+08,-4.37e+08,5.4e+07,-4.5e+07,-4.5e+07,9e+06,-3.2e+07,-3.2e+07,0,-2.3e+07,-1e+07,-3.3e+07,-8e+06,-4.1e+07,-4.1e+07,-8e+06,-4.9e+07,-4.9e+07,1.457e+09,1.457e+09,3.73e+08,3.73e+08,7.34e+08,1.4e+08,4.4e+07,2.704e+09,2.545e+09,5.36e+08,3.06e+08,8.2e+07,3.081e+09,5.785e+09,3.04e+08,1.41e+08,1.4e+07,1.49e+08,1.8e+07,3.23e+08,2.386e+09,5.55e+08,1.78e+08,1.57e+08,2.941e+09,3.264e+09,1.446e+09,1.109e+09,-2.43e+08,2.312e+09,2.08e+08,2.52e+09,5.784e+09,-4.1e+07,-4.1e+07,9.2e+07,2.7e+07,5.3e+07,1.31e+08,-2.5e+07,-2.5e+07,-2.9e+07,-5e+06,-1e+06,-3.5e+07,7.1e+07,7.1e+07,-3e+06,6.8e+07,1.01e+08,2.404e+09,1.37e+08,0.10998,0.01833,-0.0998,-0.01944,-0.00847,-2.79592,8.37152,1.29524,0.41556,-0.43187,-0.43187,4.32755,20.37741,1.20748,0.2556,-0.00365,0.025,9.37624
"8","2014_Q1",16.5801639344262,"Up",4.36e+08,-3.82e+08,5.4e+07,-5e+07,-5e+07,4e+06,-2.2e+07,-3.6e+07,1.4e+07,-1.8e+07,3.4e+07,1.6e+07,-1.9e+07,-3e+06,-2999999.99999999,-4e+06,-7000000.00000001,-7000000.00000001,1.478e+09,1.478e+09,3.08e+08,3.08e+08,7.59e+08,1.08e+08,6.1e+07,2.653e+09,2.474e+09,5.72e+08,3e+08,8e+07,3.046e+09,5.699e+09,3.38e+08,1.64e+08,2.8e+07,1.46e+08,1.8e+07,3.63e+08,2.395e+09,5.04e+08,1.48e+08,1.52e+08,2.899e+09,3.262e+09,1.448e+09,1.073e+09,-2.84e+08,2.237e+09,1.99e+08,2.436e+09,5.698e+09,-3e+06,-2999999.99999999,9.5e+07,-4.4e+07,7.2e+07,1.2e+08,-6.1e+07,-6e+07,-2.9e+07,-4000000.00000003,999999.999999999,-3.2e+07,2.8e+07,2.8e+07,-7e+06,2.1e+07,9.9e+07,2.413e+09,1.29e+08,0.12385,0.00917,-0.01606,-0.00287,-0.00123,-18.42857,7.30854,1.33908,0.42341,-0.06168,-0.0616800000000001,3.84151,19.70977,1.13659,0.25551,0.00411,0.02409,9.44444
"9","2014_Q2",18.6673015873016,"Up",4.18e+08,-3.93e+08,2.5e+07,-4.6e+07,-4.6e+07,-2.1e+07,-3.4e+07,-3.4e+07,0,-5.5e+07,35128311.1190266,-5.5e+07,1e+06,-5.4e+07,-5.4e+07,-4e+06,-5.8e+07,-5.8e+07,1.403e+09,1.403e+09,3.27e+08,3.27e+08,7.54e+08,8.3e+07,4.8e+07,2.567e+09,2.43e+09,6.09e+08,2.93e+08,7.8e+07,3.039e+09,5.606e+09,3.03e+08,1.61e+08,2.6e+07,1.16e+08,1.9e+07,3.3e+08,2.39e+09,5.31e+08,1.45e+08,1.6e+08,2.921e+09,3.251e+09,1.454e+09,9.86e+08,-2.86e+08,2.154e+09,2e+08,2.354e+09,5.605e+09,-5.4e+07,-5.4e+07,7.3e+07,1.2e+07,-5e+07,-1.9e+07,-2.4e+07,-2.4e+07,-2.9e+07,-5e+06,1e+06,-3.3e+07,-7.6e+07,-7.6e+07,1e+06,-7.5e+07,5.2e+07,2.409e+09,-2.3e+07,0.05981,-0.05024,-0.13876,-0.02464,-0.01035,0.39655,7.77879,1.38105,0.42972,-0.51067,-0.51067,3.68032,18.96511,-0.20251,0.25533,-0.00548,-0.00434,19.34615
"10","2014_Q3",20.3734375,"Up",4.9e+08,-4.3e+08,6e+07,-4.5e+07,-4.5e+07,1.5e+07,-3e+07,-3.3e+07,3e+06,-1.5e+07,-8e+06,-2.3e+07,2.5e+07,2000000.00000001,1999999.99999999,-2e+06,7.45058059692383e-09,7.45058059692383e-09,1.375e+09,1.375e+09,3.7e+08,3.7e+08,7.54e+08,8.1e+07,4.8e+07,2.58e+09,2.373e+09,6.13e+08,2.86e+08,7e+07,2.986e+09,5.566e+09,3.19e+08,1.54e+08,2.7e+07,1.38e+08,1.9e+07,3.52e+08,2.386e+09,5.05e+08,1.41e+08,1.64e+08,2.891e+09,3.243e+09,1.462e+09,9.57e+08,-2.96e+08,2.123e+09,1.99e+08,2.322e+09,5.565e+09,2e+06,2e+06,8.4e+07,-2.6e+07,-6e+06,5.4e+07,-4.3e+07,-4.3e+07,-2.9e+07,-6e+06,-1e+06,-3.6e+07,-2.5e+07,-2.5e+07,-3e+06,-2.8e+07,9.9e+07,2.405e+09,2.5e+07,0.12245,0.03061,5.55111512312578e-17,0,0,5.4735614831687,7.32955,1.39664,0.43209,-1.11022302462516e-16,-2.22044604925031e-16,4.29964,18.62885,0.21937,0.25447,0.00554,0.00478,10.40404
