"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.8195238095238,"Up",319015000,-160018000,158997000,-122882000,-78315000,-35890000,-8677000,36115000,3535000,1000,2474000,314000,39650000,39650000,-11498000,28152000,28152000,-254000,27898000,27898000,422653077.017753,422653077.017759,112032051.985592,112032051.985592,145395371.193486,137723323.823669,48000286.3414094,817803824.0205,37983880.2294712,803235752.169411,637233103.547253,138162246.350693,27840402.2714657,841219632.398883,1659023456.41938,80777636.7800775,39844105.4658609,40933531.3142165,-201154318.607461,74646283.135445,39188995.4878932,35457287.6475519,-45730398.691939,334521792.016946,269506833.685633,14724812.6994192,31371546.6721329,223410474.314081,604028625.702579,558298227.01064,711137543.509339,458389100.263506,-102048466.397,1067478177.37584,1100725229.40874,1659023456.41938,28152000,18268000,3968000,5115000,55503000,-5596000,-24321000,1000,-29916000,-54000,8649000,8649000,482000,9077000,34664000,34664000,-1439000,33225000,54383000,0,65400000,0.4984,0.11321,0.08745,-0.0495777235340678,-0.0351750720926972,2.34425,5.67385341163233,0.503182149541333,0.0830251797828817,0.11551,0.11265,1.32086,4.18392128026719,0.27079,-0.041919137441456,0.344992557841735,-6.4937208767471,-12.9428547832352
"2","2010_Q3",14.981875,"Up",333363000,-169937000,163426000,-122865000,-77812000,-36552000,-8501000,40561000,286000,-167000,3147000,-825000,40847000,40847000,-34076000,6771000,6771000,-418000,6353000,6353000,261660000,261660000,219583000,219583000,159179000,79522000,40828000,719944000,46058000,1014531000,769438000,190803000,54290000,1060589000,1780533000,134980000,70756000,64224000,2004000,113077000,68161000,44916000,250061000,151018000,137046000,13636000,36261000,87149000,288064000,538125000,735861000,472386000,20670000,1228917000,1242408000,1780533000,6771000,18201000,-2402000,17236000,39806000,-5731000,-12976000,-12085000,-30792000,-40000.0000000005,-51292000,9218000,930000,-50402000,-41388000,-41388000,-4025000,-45413000,58762000,153022000,104343000,0.49023,0.12167,0.01906,0.00511,0.00357,16.42421,2.87907,0.43313,0.08594,0.02633,0.0256,1.38148,5.09273,0.43241,0.00415,0.06809,-1.84878,-2.67839
"3","2010_Q4",18.73125,"Up",318210000,-158462000,159748000,-128078000,-82865000,-36897000,-8316000,31670000,6659000,-355000,3404000,3533000,38329000,38329000,-5487000,32842000,32842000,3000,32845000,32845000,211056000,211056000,229746000,229746000,176853000,68445000,38845000,686100000,49525000,1080455000,812564000,203230000,64661000,1129980000,1816080000,147774000,73064000,74710000,1913000,112579000,74392000,38187000,262266000,151180000,83307000,12606000,29388000,41313000,234487000,496753000,754664000,500407000,50689000,1305760000,1319327000,1816080000,32842000,19006000,2741000,-62866000,-8277000,-6460000,-59152000,17183000,-48429000,-373000,675000,14018000,559000,861000,-55845000,-55845000,5241000,-50604000,50676000,153093000,-13163000,0.50202,0.09953,0.10322,0.0249,0.01809,-0.40076,2.61605,0.37652,0.0843,0.13746,0.13366,1.33171,5.46462,-0.05509,0.02111,-0.00845999999999998,-1.1438,-1.83022
"4","2011_Q1",23.153064516129,"Up",323349000,-160019000,163330000,-144074000,-94487000,-40750000,-8837000,19256000,3005000,-148000,2770000,173000,22261000,22261000,13587000,35848000,35848000,716000,36564000,36564000,220788000,220788000,222820000,222820000,192852000,77910000,40986000,714370000,50692000,1101830000,828737000,204948000,68145000,1152522000,1866892000,146193000,72349000,73844000,1993000,103629000,73888000,29741000,251815000,151160000,78218000,10777000,24598000,42843000,229378000,481193000,781779000,536350000,48027000,1366156000,1385699000,1866892000,35848000,20362000,-15072000,-4140000.00000001,36998000,-7409000,-48162000,8334000,-47237000,-31000.0000000019,12663000,12663000,7668000,20300000,10061000,10061000,-329000,9731999.99999999,39618000,153153000,14482000,0.50512,0.05955,0.11308,0.02639,0.01959,0.396069999999998,2.83688,0.34726,0.08204,0.15169,0.14697,1.34147,5.66776,0.0600799999999999,0.02261,0.00896,-1.70718,-3.51241
"5","2011_Q2",21.9906349206349,"Down",384293000,-192763000,191530000,-147855000,-94679000,-43232000,-9944000,43675000,2606000,-211000,2763000,-252000,46281000,46281000,-7409000,38872000,38872000,831000,39703000,39703000,244342000,244342000,265693000,265693000,203014000,82882000,46262000,795931000,51634000,1152139000,863459000,215394000,73286000,1203773000,1999704000,154173000,89357000,64816000,153029000,114478000,81501000,32977000,421680000,271000,88752000,7736000,31447000,49569000,89023000,510703000,826495000,575968000,67826000,1470289000,1489001000,1999704000,38872000,20668000,-2290000,-29323000,27927000,-4286000,-38979000,44000,-43221000,-672000,27785000,27785000,8357000,35470000,20176000,20176000,3378000,23554000,64343000,153300000,38143000,0.4984,0.11365,0.10331,0.02666,0.01985,0.96071,1.88752,0.34298,0.07666,0.16296,0.15773,1.57731,6.03473,0.15656,0.02294,0.02203,-1.41495,-2.08453
"6","2011_Q3",18.2596875,"Down",407169000,-198435000,208734000,-157167000,-100647000,-46292000,-10228000,51567000,8631000,-1031000,3418000,-252000,60198000,60198000,-6020000,54178000,54178000,-5e+05,53678000,53678000,249811000,249811000,257176000,257176000,216080000,89671000,53880000,812738000,53391000,1203676000,894514000,230921000,78241000,1257067000,2069805000,160411000,87608000,72803000,1969000,130204000,91033000,39171000,292584000,125287000,91932000,8612000,37575000,45745000,217219000,509803000,839716000,629576000,72057000,1541349000,1560002000,2069805000,54178000,21148000,2349000,5113999.99999999,82789000,-5602000,-52470000,6832000,-51240000,-32934000,2878000,2878000,2593000,-27463000,4086000,4086000,1383000,5469000,72715000,127256000,78247000,0.51265,0.12665,0.13183,0.03441,0.02593,1.45771,2.77779,0.3268,0.06148,0.2188,0.21268,1.65965,6.28266,0.31894,0.03017,0.04398,-1.68542,-2.37662
"7","2011_Q4",20.4519047619048,"Up",417433000,-205874000,211559000,-179111000,-114750000,-49928000,-14433000,32448000,-2563000,-2942000,4789000,-388000,29885000,29885000,-2689000,27196000,27196000,775000,27971000,27971000,138255000,138255000,287670000,287670000,215681000,99053000,51888000,740659000,61562000,1911177000,1312480000,516176000,82521000,1972739000,2713398000,193284000,105766000,87518000,66873000,134621000,95884000,38737000,394778000,570380000,183783000,10574000,125992000,47217000,754163000,1148941000,861305000,6.57e+08,25804000,1544109000,1564457000,2713398000,27196000,29614000,-1293000,-4412000,51105000,-7780000,-670061000,456000,-677385000,509889000,9519000,9519000,748000,520156000,-106124000,-106124000,-5432000,-111556000,62062000,637253000,52559000,0.50681,0.07773,0.06701,0.01788,0.01031,1.87905,1.87614,0.7344,0.23485,0.11373,0.11109,1.69731,6.27845,0.21371,0.01173,0.02203,8.04031,15.37839
"8","2012_Q1",24.5762903225806,"Up",435170000,-217412000,217758000,-189046000,-115103000,-57555000,-16388000,28712000,2378000,-3093000,4379000,2819000,31090000,31090000,-2427000,28663000,28663000,740000,29403000,29403000,154621000,154621000,275201000,275201000,232063000,71172000,26540000,733057000,62724000,1856694000,1297692000,476791000,82211000,1919418000,2652475000,190294000,97956000,92338000,65918000,155111000,105066000,50045000,411323000,498518000,153732000,13113000,95594000,45025000,652250000,1063573000,878514000,685639000,5140000,1569293000,1588902000,2652475000,28663000,34981000,-14265000,30429000,79808000,-5610000,1773000.00000012,2118000,-1718999.99999988,-792210000,5687000,5687000,722527000,-63996000,14093000,14093000,2273000,16366000,63693000,564436000,90939000,0.5004,0.06598,0.06757,0.01851,0.01109,3.09285,1.78219,0.66938,0.2128,0.11909,0.11613,1.76261,6.35624,0.36834,0.01274,0.03942,6.43422,14.2733
"9","2012_Q2",24.925873015873,"Up",502267000,-243117000,259150000,-199302000,-122910000,-60235000,-16157000,59848000,479000,-3863000,6192000,363000,60327000,60327000,-10255000,50072000,50072000,746000,50818000,50818000,209146000,209146000,324663000,324663000,224656000,75254000,31425000,833719000,66462000,1971891000,1379353000,502013000,90525000,2038353000,2872072000,194304000,103119000,91185000,87929000,183720000,134165000,49555000,465953000,535204000,167359000,16025000,102940000,48394000,702563000,1168516000,921780000,736457000,28821000,1687058000,1703556000,2872072000,50072000,34359000,-3116000,-13657000,67658000,-8399000,-101392000,251000,-109540000,58650000,26682000,26682000,7580000,92912000,51030000,51030000,3495000,54525000,94207000,623133000,82406000,0.51596,0.11916,0.10118,0.02983,0.01769,1.62159,1.78928,0.68593,0.21696,0.2043,0.19888,2.01924,6.78242,0.33129,0.02038,0.03304,4.39444,6.91731
"10","2012_Q3",23.4246031746032,"Down",517560000,-249864000,267696000,-208775000,-127576000,-64305000,-16894000,58921000,4370000,-3773000,7063000,884000,63291000,63291000,-10126000,53165000,53165000,527000,53692000,53692000,121937000,121937000,317280000,317280000,227948000,84276000,39587000,751441000,73597000,2147924000,1522485000,526857000,98582000,2221521000,2972962000,197080000,103497000,93583000,80178000,182398000,134322000,48076000,459656000,617179000,173390000,17377000,107570000,48443000,790569000,1250225000,944901000,784240000,-22375000,1706766000,1722737000,2972962000,53165000,34816000,-4440000,3895000,87436000,-12909000,-236284000,-736000,-249929000,73836999.9999999,480000.000000004,479999.999999993,7674000,81991000,-80502000,-80502000,-6707000,-87209000,93737000,697357000,94849000,0.51723,0.11384,0.10374,0.03117,0.01806,1.76654,1.63479,0.72572,0.23457,0.21414,0.20926,2.0642,6.80713,0.37829,0.0207,0.03657,6.13866,9.76596
"11","2012_Q4",26.4862903225806,"Up",504763000,-241896000,262867000,-199397000,-122203000,-61181000,-16013000,63470000,3352000,-3925000,6453000,650000,66822000,66822000,-13022000,53800000,53800000,-436000,53364000,53364000,141840000,141840000,320904000,320904000,234301000,80980000,37943000,778025000,81653000,2161815000,1551886000,510987000,98942000,2243468000,3021493000,206130000,107719000,98411000,89909000,189027000,127602000,61425000,485066000,553198000,158176000,6346000,99412000,52418000,711374000,1196440000,965035000,836903000,6692000,1808630000,1825053000,3021493000,53800000,37050000,230000,-2280000,88800000,-12818000,-17808000,2133000,-28493000,-54993000,9980000,9980000,1419000,-43594000,16713000,16713000,3190000,19903000,100520000,643107000,98444000,0.52077,0.12574,0.10572,0.02924,0.01766,1.84476,1.60396,0.65556,0.21284,0.21198,0.20784,2.00508,7.18446,0.39105,0.02032,0.03748,4.98674,7.8977
"12","2013_Q1",30.5181666666667,"Up",515523000,-259059000,256464000,-226135000,-136805000,-70737000,-18593000,30329000,8655000,-4796000,5019000,9115000,38984000,38984000,-6305000,32679000,32679000,507000,33186000,33186000,157771000,157771000,323477000,323477000,240529000,94196000,50723000,815973000,96890000,2556241000,1815699000,644419000,96123000,2653131000,3469104000,227662000,124532000,103130000,38092000,202916000,138920000,63996000,468670000,873066000,213844000,7262000,148260000,58322000,1086910000,1555580000,1006818000,868026000,22611000,1897455000,1913524000,3469104000,32679000,43173000,-14669000,35623000,96806000,-21115000,-372630000,17421000,-376324000,264381000,22045000,22045000,8672000,295098000,15580000,15580000,350999.999999998,15931000,73502000,911158000,94315000,0.49748,0.05883,0.06437,0.01734,0.00957,2.84201,1.74104,0.81294,0.26265,0.13101,0.12851,2.03511,7.49053,0.37232,0.01092,0.03104,10.24988,24.84048
"13","2013_Q2",27.6321875,"Down",556111000,-269197000,286914000,-230457000,-135593000,-73608000,-21256000,56457000,-2088000,-5071000,4257000,295000,54369000,54369000,-5437000,48932000,48932000,876000,49808000,49808000,143552000,143552000,388850000,388850000,260596000,96952000,53754000,889950000,105603000,2570168000,1837937000,636696000,95535000,2675771000,3565721000,213935000,120838000,93097000,91117000,251402000,187551000,63851000,556454000,829322000,214077000,10927000,136308000,66842000,1043399000,1599853000,1036779000,916158000,-3144000,1949793000,1965868000,3565721000,48932000,45525000,-11279000,-45790000,37388000,-14927000,-65192000,3714000,-76405000,9019000,14437000,14437000,4784000,28240000,-10777000,-10777000,-3442000,-14219000,101982000,920439000,46702000,0.51593,0.10152,0.08956,0.02534,0.01397,0.93764,1.59932,0.81382,0.25814,0.19519,0.19135,2.17928,7.64082,0.18302,0.01607,0.01506,7.61788,13.76069
"14","2013_Q3",27.3509375,"Down",576293000,-273892000,302401000,-237496000,-138067000,-76555000,-22874000,64905000,3786000,-4255000,7157000,284000.000000001,68691000,68691000,-13738000,54953000,54953000,-372000,54581000,54581000,129072000,129072000,356264000,356264000,258709000,102595000,60730000,846640000,123795000,2663325000,1911578000,648610000,103137000,2787120000,3633760000,207723000,108864000,98859000,109561000,264469000,189915000,74554000,581753000,789626000,221092000,13207000,141057000,66828000,1010718000,1592471000,1057927000,970657000,-4711000,2023873000,2041289000,3633760000,54953000,46424000,-3894000,37172000,134655000,-24504000,-113761000,-458000,-138723000,-22186000,9517000,9517000,2832000,-9837000,-13905000,-13905000,-575000,-14480000,111329000,899187000,137735000,0.52473,0.11263,0.09471,0.02674,0.01502,2.5235,1.45533,0.78013,0.24745,0.21305,0.2095,2.24951,7.90001,0.53764,0.01726,0.04357,6.91747,11.86526
"15","2013_Q4",31.5315625,"Up",556502000,-261449000,295053000,-232024000,-139155000,-71622000,-21247000,63029000,483000,-4122000,4494000,268000,63512000,63512000,-8892000,54620000,54620000,-151000,54469000,54469000,115257000,115257000,361556000,361556000,241509000,110171000,65593000,828493000,136155000,2670524000,1938870000,621675000,109979000,2806679000,3635172000,211092000,105808000,105284000,105202000,252743000,174407000,78336000,569037000,703862000,222120000,16541000,135494000,70085000,925982000,1495019000,1077756000,1025119000,23944000,2126819000,2140153000,3635172000,54620000,48394000,6593000,-3242000,106365000,-18320000,-19019000,-3941000,-41280000,-95698000,13713000,13713000,1187000,-80798000,-15713000,-15713000,1898000,-13815000,111423000,809064000,98753000,0.53019,0.11326,0.09788,0.02545,0.01498,1.81301,1.45596,0.69856,0.22257,0.21191,0.20858,2.16507,8.27437,0.3842,0.01718,0.03114,6.22678,11.00774
