"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",37.76921875,"Up",513400000,-344900000,168500000,-1.17e+08,-1.18e+08,1e+06,51500000,-6500000,-6500000,4.5e+07,4.5e+07,-18100000,26900000,26900000,26900000,-88600000,1.9e+07,1.9e+07,2.28e+08,2.28e+08,323300000,21500000,21500000,591800000,66500000,1.75e+08,102100000,63400000,9500000,241500000,833300000,243200000,174200000,5.9e+07,6700000,249900000,409600000,36700000,27700000,9e+06,446300000,696200000,217100000,-79100000,-9e+05,137100000,137100000,833300000,26900000,3400000,9100000,-37200000,2200000,-2400000,-10500000,-12900000,197400000,-1e+05,0,-181700000,9100000,-1600000,-1600000,1e+05,-1500000,54900000,416300000,33400000,0.3282,0.10031,-0.17257,-0.64624,-0.10632,-0.37698,2.36815,5.07805,0.49958,-3.17852,-3.17852,18.41819,4.91845,1.19822,-0.13913,0.0566,7.23679,7.71456
"2","2016_Q4",33.5568253968254,"Down",444600000,-306100000,138500000,-106600000,-107700000,1100000,31900000,-6300000,-6300000,25600000,25600000,-10700000,14900000,14900000,14900000,14900000,25900000,25900000,224900000,224900000,310400000,29700000,26100000,590900000,67900000,181200000,1.06e+08,66100000,9100000,249100000,8.4e+08,2.01e+08,137200000,63800000,6900000,207900000,438200000,41100000,3e+07,11100000,479300000,687200000,2.18e+08,-64200000,-1e+06,152800000,152800000,8.4e+08,14900000,3500000,7600000,-2.9e+07,-3e+06,-1700000,-14900000,-16600000,26600000,-2.91038304567337e-11,0,-2.98023223876953e-08,26600000,7e+06,7e+06,-1e+05,6899999.99999999,35400000,445100000,15400000,0.31152,0.07175,0.03351,0.09751,0.01774,1.03356,2.84223,4.49738,0.52988,0.37661,0.36333,11.23752,3.86211,0.38924,0.02332,0.0241,11.84181,13.14107
"3","2017_Q1",39.9364516129032,"Up",361700000,-2.5e+08,111700000,-114700000,-116200000,1500000,-3e+06,-6700000,-6700000,-9700000,-9700000,4100000,-5600000,-5600000,-5600000,-5600000,16300000,16300000,1.69e+08,1.69e+08,289600000,15100000,13500000,4.9e+08,69800000,182800000,103300000,70800000,8700000,252600000,742600000,178200000,108300000,69900000,7300000,185500000,379200000,29100000,2e+07,9100000,408300000,593800000,219700000,-69700000,-1200000,148800000,148800000,742600000,-5600000,3900000,-1400000,66800000,63700000,-2600000,-9800000,-12400000,-60400000,2e+05,2e+05,-6e+05,-60800000,-9500000,-9500000,-1e+05,-9600000,9e+05,386500000,6.1e+07,0.30882,-0.00829,-0.01548,-0.03763,-0.00754,-10.89286,2.64151,3.99059,0.52047,-0.1415,-0.14686,9.1393,3.75982,1.54132,-0.00992,0.10808,411.33333,-123.4
"4","2017_Q2",49.8346031746032,"Up",3.35e+08,-234100000,100900000,-112800000,-113700000,9e+05,-11900000,-6200000,-6200000,-18100000,-18100000,7600000,-10500000,-10500000,-10500000,-10500000,15900000,15900000,200200000,200200000,389300000,28100000,19400000,633500000,71600000,229900000,112600000,107900000,9400000,301500000,9.35e+08,256800000,197300000,59500000,7500000,264300000,493800000,3.7e+07,22500000,14500000,530800000,795100000,221200000,-80200000,-1100000,139900000,139900000,9.35e+08,-10500000,4e+06,8e+06,-56200000,-54700000,-2800000,-56200000,-5.9e+07,1.13e+08,3e+05,3e+05,-7437228.1700845,113300000,-399999.999999998,-399999.999999998,0,-4e+05,-7900000,501300000,-74500000,0.30119,-0.03552,-0.03134,-0.07505,-0.01123,7.09524000000001,2.3969,5.68335,0.53615,-0.26502,-0.26502,8.45554,3.53113,-1.88041,-0.01548,-0.10985,-61.44304,-40.78992
"5","2017_Q3",52.3538095238095,"Up",608600000,-406200000,202400000,-125300000,-126600000,1300000,77100000,-6600000,-6600000,70500000,70500000,-26300000,44200000,44200000,44200000,44200000,20200000,20200000,255600000,255600000,392600000,24700000,24700000,693100000,7.3e+07,225500000,113300000,1.03e+08,9200000,298500000,991600000,276600000,192300000,69100000,7800000,284400000,483100000,37200000,24200000,1.3e+07,520300000,804700000,223800000,-3.6e+07,-9e+05,186900000,186900000,991600000,44200000,4200000,9100000,-34500000,2.3e+07,-2700000,-3400000,-6100000,-12300000,7e+05,7e+05,-1100000,-12700000,4200000,4200000,1e+05,4300000,81300000,490900000,70400000,0.33257,0.12668,0.07263,0.23649,0.04457,1.59276,2.43706,4.30551,0.49506,1.11218,1.06956,15.31392,4.70288,1.77144,0.06182,0.09846,5.78967,6.10506
"6","2017_Q4",67.7357142857143,"Up",502400000,-342100000,160300000,-126500000,-128100000,1600000,33800000,-6200000,-6200000,27600000,27600000,-10700000,16900000,16900000,16900000,16900000,24100000,24100000,247300000,247300000,374600000,35800000,33100000,681800000,77800000,225400000,109600000,105800000,1e+07,303200000,9.85e+08,2.45e+08,170100000,71100000,8100000,253100000,484200000,4.2e+07,2.5e+07,1.7e+07,526200000,779300000,225600000,-19200000,-7e+05,205700000,205700000,9.85e+08,16900000,4700000,8600000,-13100000,17100000,-4500000,-7299999.99999999,-11800000,-1799999.99999999,3e+05,3e+05,0,-1500000,3800000,3800000,1e+05,3900000,38500000,492300000,31600000,0.31907,0.06728,0.03364,0.08216,0.01716,1.86982,2.6938,3.78853,0.4998,0.42484,0.40848,12.62951,5.17096,0.79437,0.02284,0.0427,12.16104,13.85207
"7","2018_Q1",73.6790163934426,"Up",415700000,-283800000,131900000,-133100000,-133800000,7e+05,-1200000,-6200000,-6200000,-7400000,-7400000,11400000,4e+06,4e+06,4e+06,4e+06,16700000,16700000,219900000,219900000,338300000,2.7e+07,24300000,601900000,75500000,233300000,112800000,106500000,1.4e+07,308800000,910700000,197400000,124100000,73300000,8400000,205800000,466900000,25200000,8400000,16800000,492100000,697900000,228200000,-15100000,-3e+05,212800000,212800000,910700000,4e+06,4700000,-7e+06,29200000,30900000,-5700000,-1.6e+07,-21700000,-16800000,1400000,1400000,-1200000,-16600000,-7400000,-7400000,0,-7400000,3500000,475300000,15600000,0.3173,-0.00289,0.00962,0.0188,0.00439,3.9,2.92468,3.27961,0.52191,0.10031,0.0861,10.42431,5.33629,0.39119,0.00561,0.02187,131.02857,-382.16667
"8","2018_Q2",79.11078125,"Up",371400000,-262900000,108500000,-129100000,-131700000,2600000,-20600000,-6600000,-6600000,-27200000,-27200000,10200000,-1.7e+07,-1.7e+07,-1.7e+07,-1.7e+07,31700000,31700000,2.33e+08,2.33e+08,464300000,42300000,28400000,771300000,79200000,268100000,127700000,122200000,18200000,347300000,1118600000,302300000,236800000,65500000,8600000,310900000,581600000,2.5e+07,12500000,12500000,606600000,917500000,231200000,-30800000,7e+05,201100000,201100000,1118600000,-1.7e+07,4800000,8400000,-3.7e+07,-40800000,-3700000,-51600000,-55300000,110100000,1400000,1400000,-3e+05,111200000,15100000,15100000,-1e+05,1.5e+07,-15800000,590200000,-66700000,0.29214,-0.05547,-0.04577,-0.08454,-0.0152,3.92353,2.48086,4.56241,0.52762,-0.42424,-0.42424,9.26849,5.01856,-1.66454,-0.02083,-0.08171,-35.3481,-27.11165
"9","2018_Q3",87.7379365079365,"Up",687800000,-457900000,229900000,-144100000,-145200000,1100000,85800000,-8e+06,-8e+06,77800000,77800000,-14700000,63100000,63100000,63100000,63100000,17100000,17100000,325800000,325800000,447500000,32300000,3.1e+07,822700000,82500000,275800000,131800000,125500000,18500000,358300000,1.181e+09,296800000,215400000,81400000,9300000,306100000,578500000,2.7e+07,13400000,13600000,605500000,911600000,2.36e+08,32300000,1100000,269400000,269400000,1.181e+09,63100000,5200000,10600000,-66500000,12400000,-7100000,-15700000,-22800000,-5200000,2500000,2500000,-1500000,-4200000,-14600000,-14600000,0,-14600000,9.1e+07,587800000,32100000,0.33425,0.12475,0.09174,0.23422,0.05343,0.50872,2.68768,3.38382,0.49771,1.56393,1.47973,17.04704,6.67705,0.79559,0.07136,0.0363,6.27143,6.65152
"10","2018_Q4",62.7122222222222,"Down",578500000,-387500000,1.91e+08,-149500000,-151800000,2300000,41500000,-9200000,-9200000,32300000,32300000,-2400000,29900000,29900000,29900000,29900000,23400000,23400000,306300000,306300000,426500000,56900000,45300000,813100000,86800000,310800000,154300000,1.44e+08,12500000,397600000,1210700000,289300000,197400000,91900000,10100000,299400000,579300000,27900000,16300000,11600000,607200000,906600000,240200000,62200000,1700000,304100000,304100000,1210700000,29900000,5700000,12100000,22400000,70100000,-2700000,-5.9e+07,-61700000,399999.999999985,2300000,2300000,-4800000,-2100000.00000001,6300000.00000001,6300000.00000001,0,6300000,47200000,589400000,69300000,0.33016,0.07174,0.05169,0.09832,0.0247,2.31773,2.71576,2.98126,0.48683,0.73529,0.69947,14.22617,7.47827,1.70419,0.03245,0.07521,11.99153,13.63855
