"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.3742857142857,"Down",435170000,-335465000,99705000,-37376000,-37376000,62329000,-1955000,-1538000,565000,-982000,60374000,60374000,-21131000,39243000,39243000,39243000,39243000,508670430.152945,508670430.152945,223981605.624621,223981605.624621,211571773.343137,207895764.800258,207895764.800259,1152119573.92096,619915035.615,1325465794.05509,-705550758.44009,83476536.7595914,50044568.6496245,33431968.1099669,759246245.5871,1911365819.50806,495991184.975909,121886511.962201,328694273.501979,577123671.516428,88037180.6916437,243945223.834372,243945223.834372,244998688.03259,822122359.549019,1089243459.95904,1089243459.95904,1911365819.50806,39243000,39033000,5066000,8871000,92213000,-36183000,-36183000,965000,1658000,57688000,57688000,57688000,101362000,0,95181000,0.22912,0.14323,0.09018,0.0163375820891868,0.00640101859462415,2.42543,2.01942609456108,0.706815292625271,0.0436840086918336,0.35828,0.35658,3.97299,9.68913223089585,0.86898,0.00995964119822087,0.313348720025154,-4.16183809619209,-6.18654721440003
"2","2010_Q3",22.22484375,"Down",464303000,-340800000,123503000,-38129000,-38129000,85374000,-1810000,-3767000,450000,1507000,83564000,83564000,-29247000,54317000,54317000,54317000,54317000,144699000,144699000,435682000,435682000,239334000,68248000,68248000,887963000,758667000,1518742000,-760075000,174777000,123969000,50808000,987784000,1875747000,450406000,1.23e+08,272614000,470406000,44018590.3458219,152090000,152090000,152090000,622496000,1253251000,1253251000,1875747000,54317000,34099000,-3205000,17752000,102963000,-55191000,-53843000,-1e+08,-124460000,-75340000.0000001,-75340000.0000001,-75340000,119473000,2e+07,111281000,0.266,0.18388,0.11699,0.04334,0.02896,2.04873,1.88765,0.4967,0.01066,0.4959,0.49355,4.23897,11.44187,1.01597,0.03811,0.07807,-1.04374,-1.46062
"3","2010_Q4",29.0784375,"Up",516274000,-390655000,125619000,-37564000,-37564000,88055000,428000,6000,702000,-280000,88483000,88483000,-29306000,59177000,59177000,59177000,59177000,148250000,148250000,458258000,458258000,242495000,51292000,51292000,900295000,786058000,1592744000,-806686000,198958000,138855000,60103000,1038041000,1938336000,440051000,101462000,288732000,440051000,14672863.4486073,160750000,160750000,160750000,600801000,1337535000,1337535000,1938336000,59177000,41051000,16653000,-10062000,106819000,-58984000,-58984000,776000,-44284000,3551000,3551000,3551000,129106000,0,89366000,0.24332,0.17056,0.11462,0.04424,0.03053,1.51015,2.04589,0.44919,1.73472347597681e-18,0.54232,0.54026,4.73129,12.25758,0.81898,0.0395,0.05965,-1.14828,-1.68361
"4","2011_Q1",34.8277419354839,"Up",501298000,-383805000,117493000,-43751000,-43751000,73742000,-941000,-131000,361000,-1171000,72801000,72801000,-25007000,47794000,47794000,47794000,47794000,245219000,245219000,424014000,424014000,236517000,77752000,77752000,983502000,786373000,1631109000,-844736000,208811000,143234000,65577000,1047004000,2030506000,439856000,85572000,314410000,439856000,0,200435000,200435000,200435000,640291000,1390215000,1390215000,2030506000,47794000,39468000,30490000,22103000,139855000,-19620000,-42886000,-7.45058059692383e-09,0,96969000,96969000,96969000,113210000,-1.86264514923096e-09,140700000,0.23438,0.1471,0.09534,0.03438,0.02354,2.94388,2.23596,0.46057,0,0.438,0.43634,4.59405,12.74036,1.28942,0.03005,0.08845,-2.16605,-3.32536
"5","2011_Q2",35.6526984126984,"Up",470420000,-371619000,98801000,-37734000,-37734000,61067000,349000,20000,470000,-141000,61416000,61416000,-19346000,42070000,42070000,42070000,42070000,186861000,186861000,455963000,455963000,238332000,75559000,75559000,956715000,835839000,1712805000,-876966000,250266000,178679000,71587000,1136875000,2093590000,429701000,100713000,294518000,429701000,0,208144000,208144000,208144000,637845000,1455745000,1455745000,2093590000,42070000,35437000,9307000,-37929000,48885000,-51865000,-107498000,255000,255000,-58358000,-58358000,-58358000,96504000,0,26056000,0.21003,0.12981,0.08943,0.0289,0.02009,0.61935,2.22647,0.43816,-2.16840434497101e-19,0.38826,0.38596,4.34143,13.43484,0.24047,0.02528,0.01566,-1.9363,-3.05993
"6","2011_Q3",35.8675,"Up",545838000,-419722000,126116000,-44442000,-44442000,81674000,1090000,-123000,1430000,-217000,82764000,82764000,-26071000,56693000,56693000,56693000,56693000,150918000,150918000,500432000,500432000,264488000,79033000,79033000,994871000,864114000,1776755000,-912641000,250709000,170149000,80560000,1165590000,2160461000,438580000,116409000,279899000,438580000,0,215514000,215514000,215514000,654094000,1506367000,1506367000,2160461000,56693000,37708000,2937000,-60734000,36604000,-52342000,-56267000,-16280000,-16280000,-35943000,-35943000,-35943000,119382000,-9.31322574615479e-10,32377000,0.23105,0.14963,0.10386,0.03764,0.02624,0.57109,2.26839,0.43422,0,0.52235,0.51941,5.02919,13.87922,0.29831,0.03293,0.0188,-1.26416,-1.84781
"7","2011_Q4",38.775873015873,"Up",602208000,-449112000,153096000,-43474000,-43474000,109622000,-1114000,-183000,1042000,-1973000,108508000,108508000,-29930000,78578000,78578000,78578000,78578000,166108000,166108000,508287000,508287000,259324000,66052000,66052000,999771000,841100000,1695048000,-853948000,252778000,157239000,95539000,1143191000,2142962000,421561000,106569000,265333000,421561000,3.72529029846191e-09,204719000,204719000,204719000,626280000,1516682000,1516682000,2142962000,78578000,39603000,-26470000,-31008000,60703000,-17137000,-11800000,-16222000,-33713000,15190000,15190000,15190000,149225000,0,131010000,0.25422,0.18203,0.13048,0.05181,0.03667,1.66726,2.37159,0.41293,-3.46944695195361e-18,0.72549,0.71963,5.56004,14.00316,1.20958,0.04565,0.07611,-1.11314,-1.51528
"8","2012_Q1",46.2522580645161,"Up",574197000,-443451000,130746000,-48278000,-48278000,82468000,2729000,78000,859000,1792000,85197000,85197000,-26880000,58317000,58317000,58317000,58317000,106142000,106142000,549812000,549812000,255095000,73073000,73073000,984122000,893308000,1772017000,-878709000,473507000,333471000,140036000,1416422000,2400544000,501375000,111381000,335161000,501375000,1.2e+08,221207000,221207000,341207000,842582000,1557962000,1557962000,2400544000,58317000,38479000,1742000,43842000,142380000,-69810000,-307206000,104860000,104860000,-59966000,-59966000,-59966000,120947000,1.2e+08,121859000,0.2277,0.14362,0.10156,0.03743,0.02429,2.0896,1.96285,0.54082,0.04999,0.53981,0.53668,5.31506,14.4213,1.12799,0.03071,0.06416,0.11458,0.16804
"9","2012_Q2",43.638253968254,"Down",594893000,-471590000,123303000,-47316000,-47316000,75987000,-870000,-201000,804000,-1473000,75117000,75117000,-23662000,51455000,51455000,51455000,51455000,127492000,127492000,519099000,519099000,257052000,69424000,69424000,973067000,948622000,1870038000,-921416000,486184000,339876000,146308000,1481445000,2454512000,525994000,125589000,353675000,525994000,1e+08,216563000,216563000,316563000,842557000,1611955000,1611955000,2454512000,51455000,40588000,2125000,52271000,146439000,-83062000,-92322000,-32767000,-32767000,21350000,21350000,21350000,116575000,1e+08,109446000,0.20727,0.12773,0.08649,0.03192,0.02096,2.12702,1.84996,0.52269,0.04074,0.47575,0.4731,5.50037,14.90412,1.01194,0.02668,0.05675,-0.23583,-0.3618
"10","2012_Q3",47.9920634920635,"Up",672545000,-511387000,161158000,-51111000,-51111000,110047000,-4129000,-1062000,119000,-3186000,105918000,105918000,-33364000,72554000,72554000,72554000,72554000,85588000,85588000,593619000,593619000,290141000,70886000,70886000,1040234000,962403000,1916310000,-953907000,477306000,331987000,145319000,1484630000,2524864000,562226000,136841000,366222000,562226000,1.25e+08,212990000,212990000,337990000,900216000,1624648000,1624648000,2524864000,72554000,41646000,2315000,-76553000,39962000,-68085000,-68085000,5577000.00000001,-13781000,-41904000,-41904000,-41904000,151693000,1.25e+08,40419000,0.23962,0.16363,0.10788,0.04466,0.02874,0.55709,1.85021,0.5541,0.04951,0.67119,0.6677,6.22168,15.02954,0.37391,0.03697,0.02059,0.25981,0.35814
