"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","other_operating_income","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q4",5.22428571428571,"Up",65501000,44543000,18290000,778000,-12019000,-7607000,-1829000,-2583000,29066000,996000,996000,30062000,617000,30679000,-6708000,23971000,23971000,-5662000,18309000,-1888000,16421000,-46382953.9091049,-46382089.4455539,2328269884.25745,-34486719.511366,2362756603.76881,755221860.389836,755221860.389836,3037109712.32678,216504425.052067,121769324.181499,16909229.0028457,77825871.8677227,239268899.340802,3276378611.66759,29855306.7230823,29855306.7230823,29854881.5416242,2445071249.00353,133694154.241939,35516132.7727619,98178017.2189586,2578765403.24547,2608620284.78709,89515120.4394467,491306909.422793,-69990781.3562518,510831177.932497,156927148.947997,667758326.880494,3276378611.66759,0,0.44375,0.2507,0.088219618530317,0.0196348554768515,71.2488813166967,3.6780659520581,0.731729618945512,0.26553,0.19387,1.05916,5.39908376555322,0.0205283636846587,-1.59061188825206
"2","2018_Q2",6.0125,"Up",68509000,47374000,18225000,2878000,-13557000,-8915000,-1846000,-2796000,28336000,746000,746000,29082000,-798000,28284000,8784000,37068000,37068000,-8991000,28077000,-1888000,26189000,102548000,102548000,3025186000,36764000,2988422000,391110000,391110000,3518844000,213249000,120366000,23625000,69258000,229924000,3748768000,67858000,67858000,67858000,2682504000,110536000,31097000,79439000,2793040000,2860898000,89508000,713626000,-88528000,714606000,173264000,887870000,3748768000,2682504000,0.41361,0.38227,0.0295,0.00699,51.85599,3.2222,0.71557,0.42348,0.3092,1.1078,10.10793,0.00711,91.0487
"3","2018_Q3",7.62,"Up",68806000,44430000,21412000,-470000,-13575000,-8874000,-1845000,-2856000,27946000,1386000,1386000,29332000,-221000,29111000,-4499000,24612000,24612000,-5556000,19056000,-1889000,17167000,106968000,106968000,3426627000,50342000,3376285000,440869000,440869000,3974464000,215206000,118965000,24144000,72097000,229856000,4204320000,78159000,78159000,78159000,3067101000,115548000,31402000,84146000,3182649000,3260808000,89508000,767619000,-87128000,769999000,173513000,943512000,4204320000,3067101000,0.40616,0.2495,0.01819,0.00408,50.85101,3.45603,0.72951,0.26136,0.19063,1.04755,10.36022,0.00416,105.92332
"4","2018_Q4",7.85793650793651,"Up",87514000,56911000,27952000,-3982000,-14279000,-9994000,-1848000,-2437000,41478000,-1028000,-1028000,40450000,2356000,42806000,-5381000,37425000,37425000,-7800000,29625000,-1888000,27737000,92598000,92598000,3648490000,50520000,3597970000,559642000,559642000,4300730000,218967000,117565000,22101000,79301000,233530000,4534260000,77006000,77006000,77006000,3355869000,134913000,33405000,101508000,3490782000,3567788000,89508000,786121000,-78316000,797313000,169159000,966472000,4534260000,3355869000,0.47396,0.31694,0.0287,0.00612,55.84928,3.69156,0.74011,0.3708,0.28178,1.16993,9.46231,0.00622,78.67474
"5","2019_Q1",8.4844262295082,"Up",98091000,66160000,30361000,3780000,-13547000,-9291000,-1914000,-2342000,61938000,92000,92000,62030000,-4449000,57581000,-8635000,48946000,48946000,-9838000,39108000,-1889000,37219000,160063000,160063000,3758172000,76363000,3681809000,455663000,455663000,4373898000,223831000,116165000,21580000,86086000,238277000,4612175000,78662000,78662000,78662000,3314869000,153078000,34298000,118780000,3467947000,3546609000,89502000,879869000,-74133000,895238000,170328000,1065566000,4612175000,3314869000,0.63143,0.37943,0.03493,0.00807,55.6037,3.32838,0.71872,0.4741,0.36713,1.24949,10.26354,0.00821,50.9349
"6","2019_Q2",9.27904761904762,"Up",76388000,44173000,29412000,337000.000000002,-14069000,-9761000,-1912000,-2396000,30892000,2151000,2151000,33043000,-3047000,29996000,10000,30006000,30006000,-5468000,24538000,-1888000,22650000,124505000,124505000,3635692000,86036000,3549656000,571479000,571479000,4331676000,251576000,114764000,28444000,108368000,266049000,4597725000,76396000,76396000,76396000,3299433000,144513000,34518000,109995000,3443946000,3520342000,89501000,894331000,-74589000,909243000,168140000,1077383000,4597725000,3299433000,0.40441,0.29651,0.02102,0.00493,56.7003,3.26749,0.71762,0.266,0.20998,0.89708,9.62682,0.01054,102.77509
"7","2019_Q3",9.14734375,"Down",82566000,45532000,33887000,652000,-15080000,-10481000,-1909000,-2690000,39116000,3264000,3264000,42380000,-626000,41754000,-4351000,37403000,37403000,-6598000,30805000,-1889000,28916000,198917000,198917000,4524398000,86017000,4438381000,610089000,610089000,5333404000,254944000,113364000,31159000,110421000,268326000,5601730000,92296000,92296000,92296000,4170823000,152633000,34417000,118216000,4323456000,4415752000,89501000,999839000,-72321000,1017019000,168959000,1185978000,5601730000,4170823000,0.47375,0.35022,0.02438,0.00516,57.78586,3.7233,0.74456,0.32145,0.25449,0.91785,10.31081,0.01043,101.54172
"8","2019_Q4",10.6321875,"Up",99680000,64998000,32445000,325000,-15285000,-10880000,-1842000,-2563000,51859000,3718000,3718000,55577000,-5738000,49839000,-6622000,43217000,43217000,-7363000,35854000,-1888000,33966000,135285000,135285000,4507076000,95181000,4411895000,478745000,478745000,5121106000,261399000,112026000,36698000,112675000,274528000,5395634000,82451000,82451000,82451000,3938253000,176534000,35525000,141009000,4114787000,4197238000,89501000,1004303000,-65790000,1028014000,170382000,1198396000,5395634000,3938253000,0.52025,0.34075,0.02834,0.0063,62.1109,3.50238,0.7299,0.35948,0.28915,1.05496,9.93274,0.01191,73.33284
"9","2020_Q1",9.29629032258064,"Down",91536000,56252000,33797000,-136000,-13625000,-9207000,-1847000,-2571000,49320000,1502000,1502000,50822000,-2137000,48685000,-4073000,44612000,44612000,-7181000,37431000,-1889000,35542000,299687000,299687000,5140019000,88699000,5051320000,507946000,507946000,5947652000,278288000,110700000,41800000,125788000,291508000,6239160000,79148000,79148000,79148000,4621938000,182047000,34648000,147399000,4803985000,4883133000,89501000,1156029000,-60920000,1184610000,171417000,1356027000,6239160000,4621938000,0.5388,0.38828,0.02621,0.0057,75.14595,3.60106,0.74079,0.3491,0.28251,0.89908,10.75633,0.01485,87.63688
"10","2020_Q2",5.95761904761905,"Down",90277000,49541000,38544000,1303000,-15442000,-11052000,-1947000,-2443000,41886000,3992000,3992000,45878000,-128604000,-82726000,14370000,-68356000,-68356000,10934000,-57422000,-1888000,-59310000,222330000,222330000,5714106000,84406000,5629700000,606842000,606842000,6543278000,378102000,109371000,44701000,224030000,391372000,6934650000,81447000,81447000,81447000,5425957000,201196000,70752000,130444000,5627153000,5708600000,89500000,1164267000,-177589000,1076178000,149872000,1226050000,6934650000,5425957000,0.46397,-0.65698,-0.04837,-0.00855,80.33786,4.65609,0.78244,-0.53533,-0.452,0.81483,8.90565,-0.00264,124.23309
