"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",22.6290476190476,"Down",-4834538,-1381776,-3452762,-4618391,18071,-2304,20375,-4600320,-4600320,-4600320,-4600320,-4600320,-4600320,41502899.7451472,41584537.0484726,10412953.2653042,10105605.7164218,95452300.1264525,1886116.66738403,-63053.9299917913,-63053.9299917913,1823062.73739224,97275362.8638447,26021447.3427183,10307744.7524334,15713702.5902849,26397360.2298458,27060056.0527505,50.5567160013563,232093996.464466,-161878740.210012,70215306.8110942,70215306.8110942,97275362.8638447,-4600320,298944,310443,-220435,-4211368,-13630.68480398,0,-18993,40677,-4170691,-4170691,-4170691,-4319447,0,6.71129360080591,5.47534574067768,-84.9009168670735,0.394392288222596,-0.0136661439833926,-9.80435,-9.80435,59.9252518127177,6.68718563842861,-20.1987387160154,-16.7677874146975
"2","2011_Q3",20.8409375,"Down",-2873916,-889476,-1984440,-1831740,31657,-1329,32986,-1800083,-1737893,-1100502,-1100502,-1100502,-1100502,31035522.3725736,31076341.0242363,4443505.6326521,4289831.85821092,54059152.5632262,1739359.83369202,411842.535004104,411842.535004104,2151202.36869612,56210354.9319223,13920866.6713591,4810582.37621668,9110284.29514245,14155588.1149229,14570330.0263753,50.2783580006781,236022936.732233,-194382962.105006,41640024.9055471,41640024.9055471,56210354.9319223,-1100502,294451,65507,-259527,-1000071,1800,1501800,0,-4853,496876,496876,496876,-1537289,0,2.54851180040296,2.18886787033884,-35.3640084335368,0.456496144111298,-0.00364807199169631,-2.32383,-2.32383,34.6418659063589,2.55146781921431,-6.9701393580077,-5.53180870734878
"3","2011_Q4",13.6879365079365,"Down",-2677978,-955546,-1722432,-2616684,17007,-1974,18981,-2599677,-3805878,-3805878,-3805878,-3805878,-3805878,23872355.4575245,23885961.6747454,1334299.21088403,1283074.61940364,30424762.5210754,1540386.27789734,604083.845001368,604083.845001368,2144470.12289871,32569232.6439741,6492313.22378638,1764335.12540556,4727978.09838082,6631999.7049743,6891845.00879175,50.092786000226,238722162.244078,-213044824.701669,25677387.6351824,25677387.6351824,32569232.6439741,-3805878,272112,1284331,-430480,-2679915,3500,1946385,-7203,21034564,20301034,20301034,20301034,-2344572,0,0.496340600134318,0.47568262344628,-6.38680614451226,0.327968714703766,0.00161064266943456,-4.16724,-4.16724,20.2453219687863,0.503305939738102,0.830240213997434,1.10475709755041
"4","2012_Q1",14.2129032258065,"Up",-4742411,-1525026,-3217385,-4586571,21917,-4999,26916,-4564654,-3309229,-3309229,-3309229,-3309229,-3309229,18869639,18869639,261947,261947,19262735,1305331,604787,604787,1910118,21172853,2725009,496908,2228101,2806037,2981078,50,240181832,-221990107,18191775,18191775,21172853,-3309229,272676,-1015098,912771,-3138880,0,-2.3283064365387e-10,1.81898940354586e-12,-24130.0000000037,-3163010,-3163010,-3163010,-4313895,77109,-0.18191,-0.1563,6.86475,0.16387,0.00364,-2.43796,-2.43796,13.40214,-0.17983,4.35628,4.09729
"5","2012_Q2",14.845873015873,"Up",-3393765,-1109382,-2284383,-3366548,12067,-2973,15040,-3354481,-3354481,-3354481,-3354481,-3354481,-3354481,14883613,14883613,403062,403062,15286675,1050329,505069,505069,1555398,16842073,1608176,336206,1271970,1657142,1794506,50,240392105,-225344588,15047567,15047567,16842073,-3354481,255002,210273,-1086564,-3975770,0,0,0,-10256,-3986026,-3986026,-3986026,-3111546,66853,-0.22293,-0.19917,9.22472,0.11926,0.00397,-2.40288,-2.40288,10.77884,-0.22047,4.76186,4.40117
"6","2012_Q3",16.3815873015873,"Up",-3712814,-1019747,-2693067,-3701322,5387,-1847,7234,-3695935,-3692935,-2624702,-2624702,-2624702,-2624702,11898403,11898403,814673,814673,13781309,804244,409512,409512,1213756,14995065,2175106,580569,1594537,2207608,2330153,50,240634152,-227969290,12664912,12664912,14995065,-2624702,246085,239047,-838153,-2977723,3000,3000,0,-10486.9999999991,-2985210,-2985210,-2985210,-3455237,56366,-0.20724,-0.17504,6.24264,0.18398,0.00376,-1.88013,-1.88013,9.0721,-0.20485,3.42727,3.19941
"7","2012_Q4",16.8424193548387,"Up",-6050523,-1344861,-4705662,-6026527,4125,-1830,5955,-6022402,-6020702,-6020702,-6020702,-6020702,-6020702,8770249,8770249,673393,673393,9460242,583211,409233,409233,992444,10452686,3415021,557902,2857119,3436877,3544496,50,240898132,-233989992,6908190,6908190,10452686,-6020702,236033,262280,2416407,-3105982,-13300,-13300,0,-8872,-3128154,-3128154,-3128154,-5790494,47494,-0.87153,-0.576,2.75257,0.51309,0.00454,-4.31275,-4.31275,4.94844,-0.8555,1.50639,1.44739
"8","2013_Q1",15.4881666666667,"Down",-5702015,-1571751,-4130264,-5690984,143,-3761,3904,-5690841,-5253293,-5253293,-5253293,-5253293,-5253293,3827198,3827198,882010,532010,4736839,318653,324992,324992,643645,5380484,3434723,294894,3139829,3457000,3549586,50,241074133,-239243285,1830898,1830898,5380484,-5253293,212422,-261547,-125009,-5427427,-4700,489684,0,-5308,-4943051,-4943051,-4943051,-5478562,42186,-2.86924,-0.97636,1.37022,1.93871,0.00784,-3.76304,-3.76304,1.31147,-2.69987,0.69088,0.66509
"9","2013_Q2",15.3428125,"Down",-3404329,-1061016,-2343313,-3400523,12089,-2282,14371,-3388434,-10452979,-10452979,-10452979,-10452979,-10452979,33461066,33461066,851844,851844,34344347,299735,58748,58748,358483,34702830,1606836,321621,1285215,1629543,1706983,47,282692064,-249696264,32995847,32995847,34702830,-10452979,27467,7240648,-1544588,-4729452,4620,-3930,-34785,34367250,29633868,29633868,29633868,-3373056,36775,-0.316800000000001,-0.30121,21.07606,0.0517299999999996,0.00106,-3.64626,-3.64626,11.50976,-0.31584,9.9092,9.82916
"10","2013_Q3",16.6459375,"Up",-3447308,-1001538,-2445770,-3440753,11656,-1360,13016,-3429097,-3429097,-1675889,-1675889,-1675889,-1675889,32850676,32850676,343912,343912,33232579,285649,58542,58542,344191,33576770,2026544,484815,1541729,2049688,2111872,47,282837004,-251372153,31464898,31464898,33576770,-1675889,27311,149617,911988,-586973,0,-13224,-7.27595761418343e-12,-10193.0000000075,-610390,-610390,-610390,-3413442,31260,-0.05326,-0.04991,16.21348,0.06712,0.00093,-0.39368,-0.393679999999999,7.39136,-0.05312,9.61476,9.53844
"11","2013_Q4",16.64484375,"Down",-4023784,-1079197,-2944587,-4023784,8526,-1104,9630,-4015258,-4015258,-4015258,-4015258,-4015258,-4015258,29535793,23537053,488185,488185,30023978,307020,58337,58337,365357,30389335,2719683,733443,1986240,2743274,2790086,47,282986613,-255387411,27599249,27599249,30389335,-4015258,27582,149158,577758,-3260760,-70727,-6047242,0,-5621,-9313623,-9313623,-9313623,-3996202,25639,-0.14548,-0.13213,10.94458,0.10109,0.000839999999999999,-0.94322,-0.94322,6.48329,-0.14511,7.38455,7.33393
"12","2014_Q1",25.9427868852459,"Up",-4720100,-1925079,-2795021,-4720100,2052,-3665,5717,-4718048,-4718048,-4718048,-4718048,-4718048,-4718048,24417286,19167632,332267,332267,24749553,266415,58131,58131,324546,25074099,1721636,1701727,19909,2060362,2095822,47,283083689,-260105459,22978277,22978277,25074099,-4718048,29484,148788,-532409,-5072185,11120,761120,-52626,-58356,-4369421,-4369421,-4369421,-4690616,338726,-0.20533,-0.18816,12.01224,0.09121,0.01351,-1.1132,-1.1132,5.4216,-0.20204,5.13335,5.10128
"13","2014_Q2",28.6447619047619,"Up",-4492650,-1043510,-3449140,-4492650,3468,-1851,5319,-4489182,-4489182,-4489182,-4489182,-4489182,-4489182,22335019,18585093,251703,251703,22586722,245412,57925,57925,303337,22890059,3182319,990898,2191421,4196387,4222542,47,283262111,-264594641,18667517,18667517,22890059,-4489182,27242,203364,2213332,-2045244,-6239,1493761,-25215,-31056,-582539,-582539,-582539,-4465408,14068,-0.24048,-0.19612,5.38242,0.2262,0.000610000000000001,-1.05271,-1.05271,4.37753,-0.23996,4.99864,4.96833
"14","2014_Q3",24.1021875,"Down",-3610438,-980070,-2630368,-3610438,3977,-954,4931,-3606461,-3606461,-3606461,-3606461,-3606461,-3606461,18181727,16681727,300210,300210,18481937,216086,57718,57718,273804,18755741,2467726,290992,2176734,3475841,3492692,47,283464104,-268201102,15263049,15263049,18755741,-3606461,29326,201919,-772198,-4147414,0,2250000,1.00000000000364,-5952,-1903366,-1903366,-1903366,-3581112,8114.99999999997,-0.23629,-0.19229,5.31726,0.22883,0.00043,-0.84525,-0.84525,3.57722,-0.2359,5.07485,5.03363
"15","2014_Q4",18.429375,"Down",-3363738,-1212513,-2151225,-3363738,4181,-182,4363,-3359557,-3359557,-1512911,-1512911,-1512911,-1512911,16717517,16717517,414607,414607,17132124,188340,57515,57515,245855,17377979,2378881,431767,1947114,3380929,3388476,47,283703469,-269714013,13989503,13989503,17377979,-1512911,27746,202211,-212343,-1495297,0,1499654,0,31433,35790,35790,35790,-3335992,2048,-0.10815,-0.08706,5.06728,0.24222,0.00012,-0.35445,-0.35445,3.27747,-0.10807,5.01064,4.96931
"16","2015_Q1",21.7577049180328,"Up",-4320826,-1724638,-2596188,-4320826,1086,-3224,4310,-4319740,-4319740,-4319740,-4319740,-4319740,-4319740,12184605,12184605,156393,156393,12340998,160748,57308,57308,218056,12559054,1770238,261280,1508958,2770238,2770238,47,283822522,-274033753,9788816,9788816,12559054,-4319740,27592,213846,-441399,-4519701,0,0,-11163,-13211,-4532912,-4532912,-4532912,-4293234,-1.16415321826935e-10,-0.44129,-0.34395,4.45485,0.283,0,-1.01183,-1.01183,2.29287,-0.44129,2.83809,2.81997
"17","2015_Q2",23.9819047619048,"Up",-4038427,-1114461,-2923966,893888,-99214,-1730,3799,794674,794674,794674,794674,794674,794674,17787720,17787720,473643,473643,18261363,133155,57088,57088,190243,18451606,2721768,561361,2160407,7654083,7654083,47,284036555,-273239079,10797523,10797523,18451606,794674,27593,252471,4650445,5725183,0,0,-122068,-122068,5603115,5603115,5603115,921481,0,0.0735999999999999,0.04307,2.38583,0.70887,6.93889390390723e-18,0.18575,0.18404,2.52386,0.0736,-19.3034,-19.89927
