"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2018_Q2",7.269375,"Up",1220333,-627523,592810,-1855489,-1855489,-1262679,-56438,200,-1319117,-1319117,-1319117,-1319117,-1318524,-1318524,1554119,1554119,405601,405601,7889972,735096,383620,1762183,9652155,1111345,909098,202247,297259,18704,1427308,3388237,4815545,24230510,-19410078,4820432,4836610,9652155,-1319117,414286,-1710062,-2547057,-343722,-343722,1858583,1858583,-1032196,-1032196,-1032196,3685496,0.48578,-1.0347,-1.08046,-0.27261,-0.1366,5.52787,0.99564,0.38183,-0.26796,-0.26796,0.24801,0.97966,-0.15472,-1.68798
"2","2018_Q3",7.84984126984127,"Up",1524687,-763768,760919,-2562333,-2562333,-1801414,-104515,2500,-1905929,-1905929,-1905929,-1905929,-1906625,-1906625,2352658,2352658,580978,580978,11462088,746531,407571,2058574,13520662,1055246,720583,334663,437539,986,1493771,7163125,8656896,26164292,-21316007,4848285,4863766,13520662,-1905929,483377,-2932995,-4264438,-353334,-353334,5406622,5416311,798539,798539,798539,7600664,0.49907,-1.1815,-1.2505,-0.39201,-0.14102,7.67326,1.77988,0.56215,-0.36694,-0.36694,0.29343,0.93307,-0.15297,-2.91327
"3","2018_Q4",7.18,"Down",1489047,-886828,602219,-2688426,-2688426,-2086207,-540250,0,-2626457,-2626457,-2626457,-2626457,-2626991,-2626991,4856389,4856389,725091,725091,16232227,780229,453820,2262542,18494769,1492172,1306873,185299,169005,980,1662157,4248108,5910265,36512021,-23942464,12569557,12584504,18494769,-2626457,933065,-1953471,-3543640,-247192,76808,5874308,5970563,2503731,2503731,2503731,4417113,0.40443,-1.40104,-1.76421,-0.20875,-0.14204,9.76576,0.46965,0.23883,-0.419,-0.419,0.2375,2.00483,-0.15451,0.21056
"4","2019_Q1",6.03426229508197,"Down",1889443,-1535190,354253,-3464960,-3464960,-3110707,-85459,-1.81898940354586e-12,-3196166,-3196166,-3196166,-3196166,-3195529,-3195529,10642877,10642877,1064078,1064078,23489560,1110118,796260,2868248,26357808,5304962,1984690,3320272,-5.82076609134674e-11,1728.00000000003,5306690,2300000,7606690,45889748,-27138630,18751118,18751118,26357808,-3196166,344348,-814121,-3563294,-352162,-676162,1346821,10025944,5786488,5786488,5786488,2300000,0.18749,-1.64636,-1.69125,-0.17042,-0.12124,4.42641,0.40567,0.08726,-0.4039,-0.4039,0.23881,2.37004,-0.1518,2.68199
"5","2019_Q2",5.25412698412698,"Down",3496299,-2321298,1175001,-4011030,-4011030,-2836029,-107410,0,-2943439,-2943439,-2943439,-2943439,-2943439,-2943439,4180799,4180799,1867871,1867871,19075204,5259538,2166317,10064123,29139327,5510480,2062039,3448441,580647,760045,6851172,4328049,11179221,48229528,-30269422,17960106,17960106,29139327,-2943439,376910,-1640370,-3877064,-1106027,-2555944,-43070,-29070,-6462078,-6462078,-6462078,4195953,0.33607,-0.81115,-0.84187,-0.16389,-0.10101,2.78422,0.62245,0.144,-0.32348,-0.32348,0.38423,1.97377,-0.12871,-0.00534
"6","2019_Q3",4.58046875,"Down",3895178,-2413240,1481938,-4313317,-4313317,-2831379,-117108,794,-2948487,-2948487,-2948487,-2948487,-2948487,-2948487,768711,768711,2214539,2214539,15576756,5022099,2044834,10669117,26245873,5334044,1840258,3493786,308139,642479,6284662,4428253,10712915,48750867,-33217909,15532958,15532958,26245873,-2948487,667509,-360949,-2300283,-1052943,-1052943,-58862,-58862.0000000009,-3412088,-3412088,-3412088,4146586,0.38045,-0.72689,-0.75696,-0.18982,-0.11234,2.47854,0.68969,0.15799,-0.32366,-0.32366,0.42758,1.70508,-0.14547,-1.19301
"7","2019_Q4",3.7953125,"Down",3990009,-2454726,1535283,-4643345,-4643345,-3108062,-113229,58,-3221291,-3207187,-3207187,-3544299,-3544299,-3544299,446983,446983,2126665,2126665,15440837,16688108,2011383,22297028,37737865,5625758,1872016,3753742,624564,559880,6810202,17131629,23941831,50558242,-36762208,13796034,13796034,37737865,-3207187,285881,1077017,-1765950,-172002,-172002,354824,1617321,-320631,-320631,-320631,4549326,0.38478,-0.77896,-0.88829,-0.25691,-0.09392,2.26731,1.73541,0.12055,-0.38288,-0.38288,0.43103,1.49033,-0.11233,-1.3199
"8","2020_Q1",2.80209677419355,"Down",244514,-377736,-133222,-1059308,-1059308,-1192530,-2840253,-2670852,-4032783,-4031887,-4031887,-7471775,-7471775,-7471775,343000,343000,1324000,1324000,14470000,16709000,2006000,21396000,35866000,3179000,2322000,857000,1819000,1139000,6137000,22396000,28533000,51567000,-44234000,7333000,7333000,35866000,-4031887,3743700,2630302,-1185703,153972,153889,929108,928611,-103203,-103203,-103203,8375000,-0.54484,-4.87714,-30.55766,-1.01892,-0.20832,2.35783,3.89104,0.23351,-0.77535,-0.77535,0.02537,0.76095,-0.23684,-6.73526
"9","2020_Q2",1.56412698412698,"Down",2912000,-2187000,725000,-3669000,-3669000,-2944000,-304000,-2735189.24670016,-3248000,-3249000,-3249000,-3508000,-3508000,-3508000,1255329,1255329,1170444,1170444,13725403,16354162,1779727,20580738,34306141,9500599,2211591,7289008,961664,432753,10895016,19129874,30024890,52023887,-47742636,4281251,4281251,34306141,-3249000,641000,596000,-1328000,-36000,-26000,2267000,2267000,913000,913000,913000,4343198,0.24897,-1.01099,-1.20467,-0.81939,-0.10226,1.25979,7.01311,0.1266,-0.35962,-0.35962,0.29852,0.43888,-0.14393,-1.04887
"10","2020_Q3",1.2409375,"Down",3639000,-2218000,1421000,-3257000,-3257000,-1836000,-319000,-868508.084350255,-2155000,-2135000,-2135000,-2186000,-2186000,-2186000,1915138,1915138,1416281.48676793,1416281.48676793,14309123,15803425,1344945,19445661,33754784,9437892,2120345,7317547,3912668,529003,13879563,17431173,31310736,52373099,-49929051,2444048,2444048,33754784,-2247926,540436,444048,-779712,123439,114439,4324733,1324733,659460,659460,659460,5713417,0.39049,-0.50453,-0.600709999999999,-0.89442,-0.06476,1.03095,12.81102,0.16926,-0.21898,-0.21898,0.36454,0.24483,-0.0919,-2.06878
