"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.61269841269841,"Up",378178000,-131149000,247029000,-238104000,-204345000,-14792000,-18967000,8925000,-17377000,5236000,-8452000,-8452000,-6145000,-14597000,-19324000,619000,-18705000,-18705000,1479509415.76917,287678606.369894,1191830809.39928,83780351.5070486,83780351.5070486,93240925.3412333,93240925.3412333,1656530692.61746,267749677.820334,217350301.067858,861405495.81499,206506798.46408,737789869.009527,-82891171.6586162,1346505474.70318,3003036167.32064,366961214.805944,80253936.557029,286707278.248915,50077361.7801213,50077361.7801213,417003575.121798,95900652.544601,1365713979.34807,1264397455.64655,507392922.956304,1461614631.89267,1878618207.01447,10169384603.6179,-551825241.882142,20973257.9936735,1067258241.55773,57159718.7484397,1124417960.30617,3003036167.32064,-14597000,18967000,48905000,3273000,56548000,-11490000,-83943000,-9759000,-2584000,-107776000,-246154000,7271000,-238883000,-290111000,-290497000,-3228000,-293725000,27892000,0,25820000,0.65321,0.0236,-0.04946,0.151541022153032,0.0937841827557662,-1.38038,3.61913400147339,1.06353394431343,0.0318182980777385,-0.0294,-0.0294,0.59444,-0.494083178044981,0.04059,0.105321134490758,0.104889911649046,-76.3849027167672,-781.538226446274
"2","2010_Q3",4.97046875,"Up",394244000,-140638000,253606000,-228973000,-193223000,-14369000,-21381000,24633000,-3899000,103000,20734000,20734000,-5313000,15421000,12835000,756000,13591000,13591000,1466953000,915169000,551784000,104971000,104971000,153149000,153149000,1725073000,288177000,216281000,1485381000,264270000,1043689000,177422000,1989839000,3714912000,259530000,42981000,216549000,67308000,67308000,326838000,95844000,485367000,684086727.823275,485367000,581211000,908049000,11351958000,-756491000,3098000,2746534000,60329000,2806863000,3714912000,15421000,21381000,16789000,21436000,75027000,-12023000,28525000,-6922000,10461000,20041000,-133354000,4317999.99999999,-129036000,-33968000,-36099000,-1004000,-37103000,46014000,95844000,60740000,0.64327,0.06248,0.03447,0.00484,0.00366,4.46913,5.27807,0.32351,0.0258,0.02709,0.02629,0.7859,5.47505,0.12108,0.00401,0.01793,-29.79765,-55.66147
"3","2010_Q4",5.66296875,"Up",412966000,-147933000,265033000,-227349000,-193557000,-16892000,-16900000,37684000,272000,819000,37956000,37956000,-15516000,22440000,17645000,-136000,17509000,17509000,1373429000,902214000,471215000,113251000,113251000,144898000,144898000,1631578000,282143000,209890000,1488587000,262221000,1047139000,179227000,1980620000,3612198000,245343000,43292000,202051000,72694000,72694000,318037000,95844000,486432000,379546909.274425,486432000,582276000,900313000,11382163000,-738982000,7929000,2651693000,60192000,2711885000,3612198000,22440000,16900000,33493000,3668000,76501000,-7814000,66877000,-653000,1721000,60131000,-158316000,8271000,-150045000,-13413000,-16521000,3566000,-12955000,54584000,95844000,65954000,0.64178,0.09125,0.0424,0.00646000000000001,0.00485,3.76686,5.13015,0.33199,0.02653,0.03698,0.03591,0.87219,5.60038,0.13929,0.00531999999999999,0.02002,-23.40585,-33.90258
"4","2011_Q1",6.07532258064516,"Up",451427000,-174096000,277331000,-270746000,-217581000,-19044000,-34121000,6585000,-6105000,-7591000,480000,113216000,-5105000,108111000,83196000,3768000,86964000,86964000,1306096000,742099000,563997000,119581000,119581000,118308000,118308000,1543985000,267928000,200721000,1316445000,245044000,989493000,81908000,1785094000,3329079000,278698000,56375000,222323000,78175000,78175000,356873000,95844000,766425000,270501000,495924000,862269000,1219142000,11048126000,-652018000,17546000,2050068000,59869000,2109937000,3329079000,-32657000,34121000,50491000,80676000,132631000,-8502000,-80964000,1000,-1027000,-90492000,-1774000,-197472000,-199246000,-157107000,-159027000,-1088000,-160115000,40706000,95844000,117985000,0.61434,0.01459,0.19264,0.04122,0.02612,1.35671,4.32643,0.57781,0.02879,0.17827,0.17827,0.92541,4.20255,0.24186,0.02926,0.0397,-29.73154,-183.78922
"5","2011_Q2",6.98,"Up",460213000,-172718000,287495000,-250159000,-216541000,-17722000,-15896000,37336000,-1127000,752000,36209000,36209000,-16041000,20168000,18220000,-150000,18070000,18070000,1317485000,848595000,468890000,131735000,131735000,118115000,118115000,1567335000,262569000,199179000,1403228000,248431000,1074885000,79912000,1864976000,3432311000,311961000,57943000,254018000,92658000,92658000,404619000,95844000,774656000,276672000,497984000,870500000,1275119000,11076689000,-633948000,20843000,2097075000,60117000,2157192000,3432311000,20168000,15896000,32193000,-14365000,53892000,-8294000,100281000,-48269000,-564000,43154000,-8735240.4542867,8619000,8619000,105665000,104618000,1878000,106496000,53232000,95844000,46614000,0.6247,0.08113,0.03926,0.00837999999999999,0.00526,2.57963,3.87361,0.5911,0.02792,0.04419,0.04202,1.1255,5.12862,0.114,0.00597,0.0154,-22.94937,-32.72019
"6","2011_Q3",7.8234375,"Up",485404000,-181472000,303932000,-245701000,-213771000,-17280000,-14650000,58231000,-3083000,5637000,55148000,55148000,-9518000,45630000,43142000,-718000,42424000,42424000,911863000,622866000,288997000,126887000,126887000,110341000,110341000,1149091000,261118000,255909000,1763744000,245822000,1077476000,440446000,2280771000,3429862000,315080000,47252000,267828000,90412000,90412000,405492000,95844000,781274000,301567000,479707000,877118000,1282610000,11159329000,-591524000,62224000,2090770000,56482000,2147252000,3429862000,45630000,14650000,41681000,1307000,103268000,-11055000,178602000,-31699000,-8167000,127681000,-155241000,-299276000,-454517000,-223568000,-225434000,-295000,-225729000,72881000,95844000,72651000,0.62614,0.11996,0.0874,0.01976,0.01237,1.7125,2.83382,0.59733,0.02794,0.10264,0.09499,1.17433,5.05818,0.17576,0.01403,0.02402,-11.19659,-14.01348
"7","2011_Q4",8.3168253968254,"Up",516884000,-188642000,328242000,-281502000,-237924000,-21556000,-22022000,46740000,-10770000,4308000,35970000,35970000,32003000,67973000,64051000,922000,64973000,64973000,864992000,679311000,185681000,154401000,154401000,104748000,104748000,1124141000,260003000,177627000,1817062000,398040000,1337889000,81132999.9999999,2254692000,3378833000,388434000,59029000,329405000,104844000,104844000,493278000,95844000,750619000,264909000,485710000,846463000,1339741000,11208143000,-526551000,12137000,1925633000,113459000,2039092000,3378833000,67973000,22022000,-20511000,42922000,112406000,-7997000,108590000,-198501000,-87146000,-185054000,-234325000,371881000,137556000,64908000,60442000,-3997000,56445000,68762000,95844000,71684000,0.63504,0.09043,0.1257,0.03186,0.01923,1.10329,2.27892,0.65703,0.02837,0.16729,0.151,1.33085,4.95802,0.18457,0.02252,0.02484,-11.18565,-16.45588
"8","2012_Q1",9.23838709677419,"Up",596943000,-211057000,385886000,-330431000,-270024000,-34199000,-26208000,55455000,-11260000,4793000,44195000,44195000,-2397000.00000001,41798000,46164000,2602000,48766000,48766000,869848000,704153000,165695000,177030000,177030000,112255000,112255000,1159133000,259588000,173752000,1817392000,378107000,1358524000,80761000,2250732000,3409865000,407888000,64398000,343490000,126297000,126297000,534185000,95844000,769347000,302213000,467134000,865191000,1399376000,11280423000,-477785000,-12443000,1905049000,105440000,2010489000,3409865000,41798000,26208000,22575000,12239000,102820000,-12608000,8706000,0,-7065000,-10967000,-118199000,64976000,-63891000,27962000,26924000,-2082000,24842000.0000001,81663000,95844000,83691000,0.64644,0.0929,0.08169,0.02426,0.0143,1.71618,2.16991,0.69604,0.02811,0.12758,0.11477,1.56165,4.98377,0.21894,0.02067,0.0291,-9.47803,-13.95733
"9","2012_Q2",9.52269841269841,"Up",640600000,-223571000,417029000,-354264000,-311626000,-23482000,-19156000,62765000,-4492000,2756000,58273000,58273000,-27120000,31153000,34837000,-359000,34478000,34478000,775645000,624096000,151549000,181804000,181804000,120200000,120200000,1077649000,255701000,206953000,1812175000,372960000,1356183000,83032000,2274829000,3352478000,363027000,58400000,304627000,145916000,145916000,524787000,8e+07,783544000,312209000,471335000,863544000,1388331000,11390915000,-443307000,18453000,1855868000,108279000,1964147000,3352478000,31153000,19156000,32754000,-24013000,59050000,-9633000,16389000,-10267000,-8723000,-12234000,-222863000,105711000,-127725000,-80909000,-81277000,1220000,-80057000,81921000,95844000,75395000,0.651,0.09798,0.05382,0.01755,0.01028,2.18676,2.0535,0.70684,0.02859,0.09071,0.0819,1.68548,4.88296,0.19837,0.01584,0.02651,-8.29825,-10.83089
"10","2012_Q3",10.4098412698413,"Up",680612000,-237033000,443579000,-346103000,-296523000,-31550000,-18030000,97476000,-20741000,-368000,76735000,76735000,-28634000,48101000,43460000,-128000,43332000,43332000,945793000,807196000,138597000,205156000,205156000,128272000,128272000,1279221000,255926000,191607000,1819594000,367207000,1345873000,106514000,2267127000,3546348000,434018000,71592000,362426000,159681000,159681000,609543000,8e+07,808028000,301616000,506412000,888028000,1497571000,11605750000,-399975000,-15560000,1942916000,105861000,2048777000,3546348000,48101000,18030000,27167000,53179000,146477000,-10720000,10884000,-10144000,-10124000,-20104000,-136368000,207477000,59985000,186358000,185997000,-2897000,183100000,115506000,95844000,186599000,0.65174,0.14322,0.06367,0.02115,0.01222,4.30626,2.09866,0.73096,0.02703,0.10955,0.10268,1.72068,4.91196,0.47175,0.01844,0.0632,-7.35848,-8.71957
