"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",12.87171875,"Down",22929000,-7672000,15257000,-16506000,-12544000,-2582000,-1380000,-1249000,-1155000,-1155000,-2404000,-56000,-2460000,34000,-2426000,-2426000,-2426000,-2426000,81020220,81020220,14151304,14151304,18797162,7312223,113968686,25604327,205933721,124803456,24416071,51891210,231538048,345506734,12842974,3881108,8961866,4751730,4751730,27355806,77003931,2178406,2303178.57564932,-89080944.0503446,79182337,106538143,241320813,-938016,1392603,-2806809,238968591,238968591,345506734,-2426000,2582000,6625000,-10220000,-3439000,-454000,81983000,-3800000,-4738000,73806000,73806000,73806000,1333000,86765033,-9375000,0.6654,-0.05447,-0.1058,-0.01015,-0.00702,3.86439,4.16616,0.44582,0.25112,-0.05926,-0.05926,0.56013,5.83776,-0.22902,-0.0074,-0.02859,4.30969,-4.59953
"2","2013_Q4",10.6665625,"Down",23705000,-10290000,13415000,-9305000,-6598000,-2585000,-122000,4110000,-2359000,-2359000,1751000,-1624000,127000,-4112000,-3985000,-3985000,-3985000,-3985000,172940824,172940824,14020884,14020884,14222561,6281437,201184269,25073008,205209040,116481768,36246667,52480605,230282048,431466317,14446330,4084901,10361429,3857264,3857264,20053594,172771288,2371017,2144059.52521644,147016,175142305,195195899,240788671,-938016,-546207.999999999,-3034029,236270418,236270418,431466317,-3985000,2585000,5928000,3765000,8293000,-417000,-416000,87503000,84044000,91921000,91921000,91921000,6695000,174521288,14155000,0.56591,0.17338,-0.16811,-0.01687,-0.00924,-3.55207,10.03233,0.82615,0.40448,-0.09639,-0.09639,0.57339,5.71502,0.34239,-0.00965,0.03426,0.23607,0.384539999999999
"3","2014_Q1",11.4703278688525,"Up",25876000,-10132000,15744000,-10592000,-7107000,-2585000,-9e+05,5152000,-2967000,-2967000,2185000,-131000,2054000,585000,2639000,2639000,2639000,2639000,176622000,176622000,15589000,15589000,15440000,7890000,207651000,24675000,217794000,130794000,34610000,52390000,242469000,450120000,14969000,1566000,13403000,5323000,5323000,22042000,171568000,15722000,2075000,13647000,187290000,209332000,240821000,-938000,1541000,-636000,240788000,240788000,450120000,2639000,2585000,6123000,-6546000,4801000,-682000,-683000,-437000,-437000,3681000,3681000,3681000,7737000,173318000,-76000,0.60844,0.1991,0.10199,0.01096,0.00586,-0.0288,9.4207,0.86936,0.38505,0.0624,0.0624,0.61181,5.6932,-0.0018,0.00614,-0.00018,-0.42704,-0.6413
"4","2014_Q2",11.8138095238095,"Up",20951000,-7598000,13353000,-9708000,-6881000,-2578000,-249000,3645000,-2907000,-2907000,738000,2000.00000000012,740000,-492000,248000,248000,248000,248000,73909000,73909000,13982000,13982000,113399000,109108000,201290000,24416000,216482000,130794000,32973000,52715000,240898000,442188000,9156000,1662000,7494000,13388000,5253000,24294000,171216000,4127000,2087000,2040000,175343000,199637000,242336000,-938000,1789000,-636000,242551000,242551000,442188000,248000,2578000,4231000,-6762000,295000,-680000,-102571000,-438000,-437000.000000007,-102713000,-102713000,-102713000,6223000,172966000,-727000,0.63734,0.17398,0.01184,0.00102,0.00056,-2.93145,8.28558,0.82307,0.39116,0.00588,0.00581999999999996,0.4968,5.75147,-0.01724,0.000589999999999999,-0.00173,15.91789,27.17613
"5","2014_Q3",11.47484375,"Down",29055000,-9292000,19763000,-13135000,-8241000,-4832000,-62000,6628000,-2936000,-2936000,3692000,-16000,3676000,1642000,5318000,5318000,5318000,5318000,74867000,74867000,20086000,20086000,19963000,9831000,114916000,24253000,316722000,164887000,98848000,52987000,340975000,455891000,14729000,2447000,12282000,6405000,6405000,22884000,171047000,13252000,2127000,11125000,184299000,207183000,244144000,-1907000,7107000,-636000,248708000,248708000,455891000,5318000,4832000,1686000,-8766000,3070000,-706000,-706000,-437000,-1406000,958000,958000,958000,11460000,172797000,346000,0.68019,0.22812,0.18303,0.02138,0.01167,0.06506,5.02167,0.83304,0.37903,0.12558,0.12541,0.68613,5.87323,0.00817,0.01223,8e-04,8.54538,14.7752
"6","2014_Q4",12.26671875,"Up",28781000,-9177000,19604000,-13989000,-8351000,-4667000,-971000,5615000,-3028000,-3028000,2587000,-1172000,1415000,-751000,664000,664000,664000,664000,132162000,132162000,19374000,19374000,19827000,7998000,171363000,23857000,314182000,164887000,95134000,54161000,338039000,509402000,16900000,1994000,14906000,4949000,4949000,24099000,220525000,14016000,2186000,11830000,234541000,258640000,245534000,-1907000,7771000,-636000,250762000,250762000,509402000,664000,4667000,6639000,-3367000,8603000,-614000,-613999.999999985,50062000,49306000,57295000,57295000,57295000,10282000,222775000,7052000,0.68114,0.19509,0.02307,0.00265,0.0013,10.62048,7.11079,1.03142,0.43733,0.01567,0.01559,0.67904,5.91629,0.16638,0.00136,0.01446,8.81278,16.13767
"7","2015_Q1",12.7262295081967,"Up",33202000,-10383000,22819000,-12610000,-8135000,-4475000,0,10209000,-3054000,-3054000,7155000,0,7155000,-2828000,4327000,4327000,4327000,4327000,142010000,142010000,24763000,24763000,19068000,6775000,185841000,23867000,308689000,164887000,91611000,52191000,332556000,518397000,20766000,2176000,17663000,5015000,5015000,28031000,219652000,14301000,2631000,11670000,233953000,261984000,246862000,-1961000,12098000,-586000,256413000,256413000,518397000,4327000,4475000,4055000,-1431000,11426000,-961000,-961000,-562000,-617000,9848000,9848000,9848000,14684000,221902000,15120000,0.68728,0.30748,0.13032,0.01688,0.00835,3.49434,6.62984,1.02173,0.42805,0.1021,0.1009,0.78342,6.05019,0.35676,0.00878,0.03069,5.44075,7.82564
"8","2015_Q2",12.4804761904762,"Down",29471000,-9453000,20018000,-12965000,-8584000,-4381000,87840.2764931777,7053000,-2983000,-2983000,4070000,2999.99999999988,4073000,-1611000,2462000,2462000,2462000,2462000,147267000,147267000,21200000,21200000,20027000,9141000,188494000,23224000,306522000,164887000,88178000,53457000,329746000,518240000,15293000,2139000,13154000,5815000,5815000,23358000,220330000,14352000,2682000,11670000,234682000,258040000,248187000,-1961000,14560000,-586000,260200000,260200000,518240000,2462000,4381000,4512000,-5233000,6122000,-302000,-301999.999999999,-562999.999999993,-563000.000000007,5257000,5257000,5257000,11434000,222580000,7510000,0.67924,0.23932,0.08354,0.00946,0.00475,3.05037,8.06978,0.9917,0.42949,0.05807,0.05693,0.69514,6.13737,0.17714,0.00495,0.01511,6.58676,10.67815
"9","2015_Q3",13.25796875,"Up",32618000,-9907000,22711000,-13896000,-9325000,-4265000,-306000,8815000,-3008000,-3008000,5807000,-34000,5773000,-2341000,3432000,3432000,3432000,3432000,159678000,159678000,23882000,23882000,19966000,7064000,203526000,23802000,302902000,164887000,84845000,53170000,326704000,530230000,19720000,1952000,17768000,4713000,4713000,26683000,219549000,14402000,2732000,11670000,233951000,260634000,255230000,-3040000,17992000,-586000,269596000,269596000,530230000,3432000,4265000,5172000,-2681000,10188000,-1543000,-1543000,-562000,3766000,12411000,12411000,12411000,13080000,221799000,11197000,0.69627,0.27025,0.10522,0.01273,0.00647,3.26253,7.62755,0.96676,0.41831,0.08031,0.07928,0.76324,6.30841,0.262,0.00679,0.02214,4.74931,7.04719
"10","2015_Q4",13.9746875,"Up",31465000,-10249000,21216000,-13265000,-8907000,-4283000,-75000,7951000,-3080000,-3080000,4871000,0,4871000,-1960000,2911000,2911000,2911000,2911000,170399000,170399000,23636000,23636000,20364000,6960000,214399000,24870000,299775000,164887000,81531000,53357000,324645000,539044000,26319000,1934000,20714000,5396000,5396000,33965000,218414000,12587000,2698000,9889000,231001000,264966000,256801000,-3040000,20903000,-586000,274078000,274078000,539044000,2911000,4283000,2545000,3423000,13162000,-2037000,-2037000,-563000,-404000,10721000,10721000,10721000,12234000,220664000,15580000,0.67427,0.25269,0.09252,0.01062,0.0054,5.35211,6.31235,0.96675,0.40936,0.06752,0.06593,0.72984,6.35735,0.36138,0.00574,0.03071,4.10863,6.32185
"11","2016_Q1",13.8262295081967,"Down",36236000,-11580000,24656000,-13575000,-9221000,-4289000,-65000,11081000,-3015000,-3015000,8066000,-2000,8064000,-3130000,4934000,4934000,4934000,4934000,179532000,179532000,25519000,25519000,11815000,7274000,216866000,25397000,306633000,164887000,78185000,50281000,332030000,548896000,25964000,2463000,21779000,5608000,5608000,39850000,209756000,20649000,2721000,17928000,230405000,270255000,256555000,-3144000,25837000,-607000,278641000,278641000,548896000,4934000,4289000,4322000,-553000,12992000,-1473000,-1473000,-502000,-2386000,9133000,9133000,9133000,15370000,218034000,16474000,0.68043,0.3058,0.13616,0.01771,0.00899,3.33887,5.44206,0.9699,0.39722,0.11444,0.11083,0.84043,6.46259,0.38209,0.00954,0.03184,2.50501,3.4746
"12","2016_Q2",11.646875,"Down",30971000,-10183000,20788000,-13625000,-9256000,-4356000,-13000,7163000,-2956000,-2956000,4207000,1000,4208000,-1508000,2700000,2700000,2700000,2700000,170123000,170123000,24878000,24878000,13350000,8368000,208351000,25553000,306306000,164887000,74851000,53288000,331859000,540210000,19920000,2887000,15006000,5885000,5885000,25805000,212373000,21040000,2771000,18269000,233413000,259218000,257549000,-4479000,28537000,-615000,280992000,280992000,540210000,2700000,4356000,5059000,-10333000,1782000,-1177000,-1177000,-7858000,-10014000,-9409000,-9409000,-9409000,11519000,212373000,1517000,0.67121,0.23128,0.08718,0.00961,0.005,0.56185,8.07406,0.92251,0.39313,0.06258,0.06072,0.71789,6.51319,0.0351600000000001,0.00525,0.00295,3.66785,5.89837
"13","2016_Q3",12.51953125,"Up",35031000,-10638000,24393000,-13700000,-9520000,-4061000,-119000,10693000,-2869000,-2869000,7824000,-16000,7808000,-2779000,5029000,5029000,5029000,5029000,147168000,147168000,25089000,25089000,14483000,8263000,186740000,25568000,304555000,164887000,71494000,54894000,330123000,516863000,20633000,2478000,17006000,4740000,4740000,25373000,214055000,21090000,2821000,18269000,235145000,260518000,258355000,-34961000,33566000,-615000,256345000,256345000,516863000,5029000,4061000,4248000,-5076000,8262000,-735000,-735000,0,-30482000,-22955000,-22955000,-22955000,14754000,214055000,11722000,0.69633,0.30524,0.14356,0.01962,0.00973,2.33088,7.35979,1.01628,0.41414,0.1182,0.11748,0.82337,6.02513,0.27551,0.01023,0.02385,4.53348,6.25521
"14","2016_Q4",11.8060317460317,"Down",33116000,-9826000,23290000,-13720000,-8999000,-4083000,-638000,9570000,-2954000,-2954000,6616000,9000,6625000,-2276000,4349000,4349000,4349000,4349000,150560000,150560000,24370000,24370000,16538000,7556000,191468000,25842000,303393000,164887000,68151000,54254000,329235000,520703000,21741000,2337000,19347000,3206000,3206000,24947000,213722000,20839000,2871000,17968000,234561000,259508000,258885000,-34990000,37915000,-615000,261195000,261195000,520703000,4349000,4083000,580000,-4586000,4426000,-1005000,-1005000,0,-29000.0000000037,3392000,3392000,3392000,13653000,213722000,10338000,0.70329,0.28898,0.13133,0.01665,0.00835,2.3771,7.67499,0.99354,0.41045,0.10743,0.10603,0.81802,6.45197,0.25537,0.00877,0.02085,4.62624,6.6
"15","2017_Q1",11.3548387096774,"Down",39407000,-10646000,28761000,-16158000,-10558000,-4108000,-1492000,12603000,-2872000,-2872000,9731000,0,9731000,-3809000,5922000,5922000,5922000,5922000,163090000,163090000,25566000,25566000,14859000,6955000,203515000,25501000,301425000,164887000,64849000,53051000,326926000,530441000,26345000,3525000,21201000,3706000,3706000,30051000,210377000,20673000,2844000,17829000,231050000,261101000,261055000,-35069000,43837000,-483000,269340000,269340000,530441000,5922000,4108000,3050000,105000,13185000,-465000,-576000,0,-79000,12530000,12530000,12530000,16711000,210377000,20160000,0.72984,0.31982,0.15028,0.02199,0.01116,3.40426,6.77232,0.96941,0.39661,0.14625,0.14513,0.97318,6.65152,0.49786,0.01183,0.04029,2.82969,3.75204
"16","2017_Q2",11.5222222222222,"Up",33159000,-10245000,22914000,-15857000,-9492000,-4115000,-2250000,7057000,-2628000,-2628000,4429000,709810.053593843,4429000,-1684000,2745000,2745000,2745000,2745000,164372000,164372000,24132000,24132000,15932000,9127000,204436000,24820000,298258000,164887000,61499000,53234000,323078000,527514000,20272000,2773000,14632000,4159000,4159000,26564000,207415000,20380000,2551000,17829000,227795000,254359000,262125000,-35069000,46582000,-483000,273155000,273155000,527514000,2745000,4115000,4715000,-8562000,3013000,-84000,-84000.0000000005,-533000,-1647000,1282000,1282000,1282000,11172000,209548000,4210000,0.69103,0.21282,0.08278,0.01005,0.0052,1.5337,7.69598,0.93119,0.39724,0.06775,0.06735,0.81846,6.74224,0.10391,0.00546,0.00837,4.04368,6.40159
"17","2017_Q3",12.5253968253968,"Up",35180000,-10298000,24882000,-14384000,-9843000,-4067000,-474000,10498000,-2598000,-2598000,7900000,119000,8019000,-2838000,5181000,5181000,5181000,5181000,155520000,155520000,22925000,22925000,20728000,9531000,199173000,24816000,295340000,164887000,58209000,53169000,334506000,533679000,19178000,2923000,16199000,5251000,5251000,26562000,207181000,21179000,2573000,18266000,228360000,254922000,263181000,-35364000,51763000,-823000,278757000,278757000,533679000,5181000,4067000,4447000,-6718000,6977000,-775000,-15004000,-530000,-825000,-8852000,-8852000,-8852000,14565000,209314000,9910000,0.70728,0.29841,0.14727,0.01859,0.00971,1.91276,7.49842,0.9145,0.39221,0.1275,0.12696,0.86578,6.86019,0.24388,0.01017,0.01946,3.69337,5.12421
"18","2017_Q4",11.7865079365079,"Down",32173000,-9883000,22290000,-13883000,-9510000,-4041000,-332000,8407000,-2863000,-2863000,5544000,-3104000,2440000,-1758000,682000,682000,681999.999999999,681999.999999999,140321000,140321000,25243000,25243000,18497000,9811000,184061000,24603000,292700000,164887000,54967000,54016000,341709000,525770000,21061000,5034000,15991000,5207000,5207000,28401000,206702000,20632000,2595000,17829000,227334000,255735000,264370000,-46089000,52445000,-691000,270035000,270035000,525770000,682000,4041000,6830000,-1954000,9599000,-1120000,-13747000,-326000,-11051000,-15199000,-15199000,-15199000,12448000,208835000,11132000,0.69282,0.26131,0.0212,0.00253,0.0013,16.32258,6.48079,0.94704,0.3972,0.01688,0.01666,0.79642,6.68453,0.27557,0.00137,0.02229,5.50402,8.14964
"19","2018_Q1",11.2160655737705,"Down",23952000,-9539000,14413000,-15042000,-10592000,-4005000,-445000,-629000,-2816000,-2816000,-3445000,-6173000,-9618000,-12426000,-22044000,-22044000,-22044000,-22044000,124299000,124299000,20007000,20007000,22409000,9892000,166715000,24433000,275831000,164887000,51661000,53708000,331171000,497886000,21861000,3465000,18396000,7611000,7611000,31605000,206610000,20767000,2004000,18763000,227377000,258982000,265334000,-57303000,30401000,472000,238904000,238904000,497886000,-22044000,4005000,24889000,-728000,6122000,-517000,-10397000,-533000,-11747000,-16022000,-16022000,-16022000,3376000,208743000,14557000,0.60175,-0.02626,-0.92034,-0.09227,-0.04428,-0.66036,5.27496,1.08404,0.41926,-0.56363,-0.57763,0.61241,6.10836,0.3722,-0.04706,0.03108,25.01303,-134.25119
