"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",52.05046875,"Down",2038440,-920682,-831951,-831951,-88731,-580665,1361,-10305,-10305,11666,-579304,-659521,-1238825,-1238825,-1238825,-1238825,-1238825,7991808.74684792,7991808.74684792,62393.3580478391,62393.3580478391,-115956.229211449,-811681.822606815,7938245.87568431,-178224.023167825,1496702.85431948,-850259.53872386,1318478.83115166,9256724.70683597,1384373.5192217,1070932.61794437,313440.901277324,85610.9074483144,85610.9049815844,1466896.03692001,-322645.715549649,-97054.078705613,-334594.493717855,1132301.54320215,100512233.694721,-92288580.5820637,-99229.9130761444,8124423.19958105,8124423.19958105,9256724.7427832,0,-0.28486,-0.60773,-0.829679967459483,-0.786047449315537,5.30768846396469,0.0607168939873942,-0.00175514574538983,-2.14504,-2.14504,3.52959,14.1065675426908,-0.849615868645056,5.44893591739767
"2","2011_Q1",34.0712903225806,"Down",1802554,-1403587,-1344108,-1344108,-59479,-1045900,2848,10833.3390942539,10833.3390942539,2848,-1043052,-744084,-1787136,-1665898,-1665898,-1665898,-1665898,4843893,4843893,42741,42741,1225118,566174,6111752,306460,3469564,481000,3776024,9887776,905899,382515,523384,85745,85745,991644,120250,0,120250,1111894,100706731,-91969380,38531,8775882,8775882,9887776,0,-0.58023,-0.92419,-0.18983,-0.16848,6.16325,0.1267,0,-2.88453,-2.88453,3.12115,15.19557,-0.18726,4.63132
"3","2011_Q2",48.0966666666667,"Up",1546074,-1677354,-1609087,-1609087,-68267,-1207154,-15377,-11195,-11195,-4182,-1222531,-430717,-1653248,-1653248,-1653248,-1653248,-1653248,3410321.83438403,3410321.83438403,30506.4639840536,30506.4639840536,1520274.57640382,892532.524202271,4961102.8747719,449785.507722608,3779364.29856017,816836.512907953,4229149.80628278,9190252.68105468,715949.660259434,93343.0440185424,622606.616240892,85789.6975172285,85789.6983394719,802768.821026664,300984.071849883,105141.026235204,304966.997905952,1107735.81893262,100928022.185093,-92918504.8059787,72999.4710253815,8082516.85013965,8082516.85013965,9190252.66907227,0,-0.78079,-1.06932,-0.0278375108468392,-0.0151633502281543,6.06691717867844,0.150718535337535,0.000585048581796611,-2.86262,-2.86262,2.67705,13.9819958191031,-0.0200713771183146,3.90863136086744
"4","2011_Q3",47.32,"Down",1281158,-3286139,-1069216,-1052202,-60923,-929107,-32769,-38173,-38173,5404,-961876,-50734,-1012610,-1012610,-1012610,-1012610,-1012610,3032243,3032243,23008,23008,1203711,631084,4258962,405226,3083113,576000,3488339,7747301,687024,51243,635781,85745,85745,772769,355541,235291,355541,1128310,101205436,-94635238,48793,6618991,6618991,7747301,0,-0.72521,-0.79039,-0.15299,-0.1307,5.5113,0.17047,0,-1.75335,-1.75335,2.21834,11.46088,-0.14519,3.26361
"5","2011_Q4",29.5336507936508,"Down",1210278,-2287077,-1286361,-1288858,-73973,-1076799,-36917,-37075,-37075,158,-1113716,-1117123,-2230839,-2135589,-2135589,-2135589,-2135589,2572435,2572435,21403,21403,793589,318442,3387427,325520,1970990,2e+05,2296510,5683937,706297,101882,604415,85745,85745,792042,302025,277025,302025,1094067,101344897,-96770827,15800,4589870,4589870,5683937,0,-0.88971,-1.76454,-0.46528,-0.37572,4.27683,0.23837,0,-3.6978,-3.6978,2.09561,7.94743,-0.43656,2.38896
"6","2012_Q1",57.2340322580645,"Up",954416,-2077132,-1955332,-1950624,-17164,-1122716,-31648,-37037,-37037,5389,-1154364,-848709,-2003073,-2003073,-2003073,-2003073,-2003073,1531502,1531502,21730,21730,696118,393989,2249350,364386,1122281,1e+05,1486667,3736017,641375,93806,547569,85745,85745,727120,315714,290714,315714,1042834,101450202,-98773900,16881,2693183,2693183,3736017,0,-1.17634,-2.09874,-0.74376,-0.53615,3.09351,0.38721,0,-3.46835,-3.46835,1.65259,4.66329,-0.66572,1.3641
"7","2012_Q2",37.9338095238095,"Down",24111,-1498241,-1145550,-1121852,-25467,-1474130,-21493,-24684,-24684,3191,-1495623,1389610,-106013,-106013,-106013,-106013,-106013,4174076,4174076,17524,17524,258698,258698,4450298,597283,2396156,2e+05,2993439,7443737,485156,148226,336930,85745,85745,570901,1419543,1394543,1419543,1990444,104322058,-98879913,11148,5453293,5453293,7443737,0,-61.13931,-4.39687,-0.01944,-0.01424,7.79522,0.365,0,-0.18356,-0.18356,0.04175,9.44246,-0.01542,2.83155
"8","2012_Q3",21.7861904761905,"Down",33003,-1614634,-1215786,-1132324,-27057,-1581631,1475,-2441,-2441,3916,-1580156,-13473.9999999998,-1593630,-1593630,-1593630,-1593630,-1593630,2327465,2327465,146291,146291,294427,294427,2768183,814287,5306070,248686,6120357,8888540,1005104,682938,322166,85745,85745,1199970,864158,839158,1219245,2419215,106930540,-100473543,12327,6469324,6469324,8888539,464208,-47.92386,-48.28743,-0.24634,-0.17929,2.30688,0.37395,0.05223,-2.48856,-2.48856,0.0515400000000002,10.10229,-0.20437,1.17806
"9","2012_Q4",14.2164516129032,"Down",263119,-2195159,-1437226,-1328844,-149689,-1932040,-26381,-11505,-11505,-14876,-1958421,-469852,-2428273,-2428273,-2428273,-2428273,-2428273,692675,692675,156020,156020,165528,165528,1014223,858312,4392484,195000,5250796,6265019,901013,564998,336015,71844,71844,1084651,572748,547748,908046,1992697,107160439,-102901816,13699,4272322,4272322,6265019,447092,-7.34284,-9.2288,-0.56837,-0.38759,0.93507,0.46642,0.07136,-3.9876,-3.9876,0.43208,7.01582,-0.45884,0.12711
"10","2013_Q1",14.7943333333333,"Up",180657,-1241996,-2443174,-2567249,-30361,-1061339,-5469.00000000001,-26208,-26208,20739,-1066808,-842347,-1909155,-1910686,-1910686,-1910686,-1910686,1355332,1355332,101865,101865,503256,503256,1960453,400526,3998196,206476,4398722,6359175,976171,516623,459548,85745,85745,1179465,585437,560437,2679651,3859116,107307191,-104812502,5370,2500059,2500059,6359175,2211763,-5.87488,-10.57632,-0.76426,-0.30046,1.66215,1.54361,0.34781,-2.34337,-2.34337,0.22157,3.06621,-0.36069,-0.80693
