"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",4.805625,"Down",698152,-611772,86380,-1491853,-1393282,-98571,-1405473,-127680,-127680,-127784,-1533153,-1842270,0,-1842270,-1752227,-1752227,-1752227,-7394384.47695384,-7394384.47695384,-597934.341867328,-597934.341867328,-14045801.032549,-2874511.59577869,-22038119.8513702,962583.135163479,1371007.08328374,-408423.948120264,-9778084.89106034,-9778084.99312754,-8815513.0580576,-30853632.9094278,22142789.8797718,604623.317115963,21538166.5626558,2102036.87530036,8234876.09021782,2334328.55596234,24244826.7550628,-53475895.0660044,-29231068.3109416,19847057.2673915,19548351.605226,-69999.9999999978,-21399621.8658777,-1622564.59848617,-1622564.59848617,-30853632.9094278,-1842270,98571,413339,-132422,-1462782,-91661,-13200,-104861,12862424.9195715,925112,-642531,-386757,-386757,-1306902,0,-1530985,0.12373,-2.01313,-2.50981,86.8396739912693,-6.41764938439021,0.87374,-22.475068047878,-246.178254632327,-3.44417395424721,-0.59598,-0.59598,0.23746,-0.83211072861658,-0.52073,-27.7335340025727,-25.454792891192,39.1277819413394,33.946758281468
"2","2013_Q3",3.29921875,"Down",727641,-412052,315589,-1149750,-1044043,-105707,-834161,-228896,-228896,-229349,-1063057,-1256256,0,-1256256,-1271123,-1271123,-1271123,-3259968.23847692,-3259968.23847692,-86016.6709336641,-86016.6709336641,-5237350.5162745,-914666.797889346,-8583335.42568509,1134776.56758174,1616780.54164187,-482003.974060132,-4177037.44553017,-4177037.49656377,-3042266.5290288,-11625601.9547139,11453499.4398859,575799.658557981,10877699.7813279,1434356.43765018,4269933.54510891,1398612.53357741,12887855.8775314,-24397027.5330022,-11509171.6554708,15943511.6336958,15781170.802613,-69999.9999999989,-15989941.9329388,-116430.299243085,-116430.299243085,-11625601.9547139,-1256256,105707,303019,-563740,-1411270,-67335,-228947,-296282,2451053,2417193,709641,922047,922047,-728454,0,-1359529,0.43372,-1.14639,-1.74691,44.4282369956347,-2.87227469219511,1.06955,-9.77126902393898,-130.549422316163,-1.98241197712361,-0.43234,-0.43234,0.24749,-0.22696536430829,-0.46241,-12.9959220012863,-12.232971445596,18.4392759706697,16.098574140734
"3","2013_Q4",2.39546875,"Down",831561,-555989,275572,-1222023,-1110160,-111863,-946451,-2915,-2915,-6395,-949366,-949366,0,-949366,-1034590,-1034590,-1034590,-696357.079492307,-696357.079492307,268535.776355445,268535.776355445,-688221.838758167,63391.0673702182,-1116043.14189503,1238519.85586058,1800779.84721396,-562259.991353377,-966493.815176724,-966493.832187924,272024.1569904,-844018.984904628,5001835.14662863,507765.55285266,4494069.59377597,1105761.47921673,2011420.5150363,779940.766788703,6107596.6258438,-7174641.51100073,-1067044.88515693,14076644.2112319,13988606.2675377,-69999.9999999996,-13783618.3109796,223025.900252305,223025.900252305,-844018.984904628,-949366,111863,392762,-163175,-607916,-169609,65885,-103724,467186,692972,-18668,-641227,-641227,-834588,0,-1167372,0.33139,-1.13816,-1.24415,18.8041756652116,-0.995168230731702,1.12834,-2.51869967464633,-58.6710641053878,-0.807487325707869,-0.17949,-0.17949,0.14427,-0.00668512143609669,-0.20253,-4.71366733376211,-4.68334381519866,6.27067532355656,5.52637138024467
"4","2014_Q2",1.64920634920635,"Down",901199,-455759,445440,-1586202,-1476767,-109435,-1140762,-15871,-15871,-16160,-1156633,-1156633,1.03397576569128e-25,-1156633,-1134370,-1134370,-1134370,641009,641009,493587,493587,872654,350022,2007250,1289160,1937789,-648629,473783,473783,1762943,3770193,1758808,431855,1326953,1008900,997662,419225.255596234,2767708,1196570,3964278,13721577,13662387,-70000,-13845662,-194085,-194085,3770193,-1156633,109435,188253,-154323,-1013268,-104385,-636.999999999971,-105022,1e+06,947242,-171048,-83972.9999999998,-83972.9999999998,-1031327,245482,-1290035,0.49427,-1.26583,-1.25873,5.84471,-0.30088,1.13723,0.72524,-20.42547,0.06511,-0.23267,-0.23267,0.18485,-0.03981,-0.2646,-1.13156,-1.28684,0.38351,0.34672
"5","2014_Q3",2.0459375,"Up",914132,-434373,479759,-1756667,-1637016,-119651,-1276908,-122370,-122983,-122694,-1399278,-1399278,0,-1399278,-1366628,-1366628,-1366628,1096690,1096690,617001,617001,716346,235586,2430037,1302044,2042592,-740548,764030,764030,2066074,4496111,695429,379402,316027,1036420,766983,257378,1731849,3721914,5453763,14353432,14294242,-70000,-15241084,-957652,-957652,4496111,-1399278,119651,328852,-187488,-1138263,-104802,-1134,-105936,-1e+06,1638298,394099,455681,455681,-1157257,2787079,-1449547,0.52482,-1.39685,-1.495,1.42706,-0.30396,1.06067,1.40315,-5.69493,0.61989,-0.2781,-0.2781,0.18602,-0.19488,-0.29498,-0.49439,-0.52439,-1.46069,-1.32381
"6","2014_Q4",2.6475,"Up",1002166,-500312,501854,-1874619,-1752715,-121904,-1372765,-259925,-260062,-260062,-1632690,-1756337,1.65436122510606e-24,-1756337,-1726587,-1726587,-1726587,850627,850627,659814,659814,308249,37420,1818690,1294118,2131545,-837427,561493,561493,1855611,3674301,710239,376600,333639,1054350,806160,235311,1764589,3534340,5298929,15413043,15343576,-70000,-16967671,-1624628,-1624628,3674301,-1756337,121904,844764,-99598,-889267,-88953,-3134,-92087,804049,803742,-177612,-246063,-246063,-1250861,2911115,-1439412,0.50077,-1.3698,-1.72286,1.06276,-0.46991,0.83367,1.03066,-3.26163,0.79229,-0.34675,-0.34675,0.20126,-0.32627,-0.28908,-0.90411,-0.75373,-1.64726,-1.50098
"7","2015_Q1",2.26295081967213,"Down",1164225,-469320,694905,-1557493,-1433731,-123762,-862588,-260175,-261081,-261081,-1122763,-1122763,0,-1122763,-1122763,-1122763,-1122763,247380,247380,649890,649890,919432,45884,1816702,1280729,2219432,-938703,486409,486409,1767138,3583840,774249,454783,319466,955338,653518,288121,1729587,3639155,5368742,16375532,16302118,-70000,-18090434,-1784902,-1784902,3583840,-1122763,123762,393272,-18437,-624166,-87887,-604720,-692607,750000,725001,-591772,-603247,-603247,-738826,2031404,-845150,0.59688,-0.74091,-0.96439,0.62903,-0.31328,0.75274,1.05037,-3.00786,0.56682,-0.19029,-0.19029,0.19732,-0.30252,-0.14324,-0.60551,-0.45579,-2.41467,-2.06822
"8","2015_Q2",2.24603174603175,"Down",1169860,-449098,720762,-1325823,-1200216,-125607,-605061,-259200,-260871,-260871,-864261,-864261,-1.32348898008484e-23,-864261,-864261,-864261,-864261,1416407,1416407,671723,671723,996725,93250,3084855,1258203,2302301,-1044098,448580,448580,1706783,4791638,882355,536659,345696,995391,624152,356720,1877746,3759352,5637098,18179235,18091032,-70000,-18954695,-845460,-845460,4791638,-864261,125607,383497,-30550,-385707,-82869,-68750,-151619,1781500,1706353,1169027,1169027,1169027,-479454,2155600,-592873,0.61611,-0.51721,-0.73877,1.02224,-0.18037,0.68599,1.64285,-6.66749,0.44987,-0.14055,-0.14055,0.19025,-0.13749,-0.09642,-0.2966,-0.20346,-1.54174,-1.22168
"9","2015_Q3",1.864375,"Down",1214247,-442698,771549,-1389070,-1258937,-130133,-617521,-90540,-93750,-93750,-708061,-1160564,0,-1160564,-1160564,-1160564,-1160564,2101157,2101157,680386,680386,1032361,94136,3813904,1245955,2399898,-1153943,306872,306872,1552827,5366731,591601,275330,316271,1057768,610653,433474,1649369,1845479,3494848,22027771,21915210,-70000,-20085888,1871883,1871883,5366731,-1160564,130133,591938,-185855,-624348,-97597,-67656,-165253,3766326,1469101,679500,684750,684750,-487388,244028,-770840,0.63541,-0.50856,-0.95579,-0.62,-0.21625,0.66419,2.31234,1.86702,0.04547,-0.13516,-0.13516,0.14142,0.21801,-0.08977,-0.3122,-0.20736,3.81037,3.00739
"10","2015_Q4",1.87484375,"Up",1286138,-632997,653141,-1835791,-1701825,-133966,-1182650,-32256,-34532,-34532,-1214906,-1214906,-2.11758236813575e-22,-1214906,-1214906,-1214906,-1214906,1158339,1158339,888499,888499,954244,66019,3001082,1228063,2496565,-1268502,331789,331789,1559852,4560934,732069,458997,273072,1101553,716642,373161,1833622,1843989,3677611,22283488,22170190,-70000,-21330165,883323,883323,4560934,-1214906,133966,135313,92341,-853286,-96667,7174.00000000003,-89493,0,-39,-942818,-942818,-942818,-1048684,243989,-1053010,0.50783,-0.91954,-0.94462,-1.37538,-0.26637,0.86674,1.6367,4.16338,0.0535,-0.12936,-0.12936,0.13694,0.09405,-0.11212,-0.44546,-0.3861,0.8719,0.77314
