"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.72015625,"Up",19356000,-13086000,-5099000,-2678000,-2421000,-5572000,-2415000,6270000,-7607000,-7607000,-1337000,-5038000,-6375000,-6375000,-4491000,390000,-4101000,-2679000,-6780000,8039588.84205096,8039588.84205096,-22996119.5613032,1545190980.84458,1530234450.12533,-204657908.126879,-233141144.792249,28483236.6653701,127554720.538714,68444143.9315962,-77103187.5881643,1453131262.53716,53616361.8032153,131827180.130928,131827180.130928,185443541.934143,8793283.45639756,758219212.085819,943662754.019962,159669662.728829,709482223.74819,-9132294.30271735,-407015520.83633,453004071.337972,56464437.1790926,509468508.517064,1453131262.53703,-4491000,11891000,3460000,-7373000,3487000,-5362000,4162000,-7897000,-43502000,42098000,-9301000,-1652000,-1652000,-1652000,18161000,0,0.32393,-0.35028,-0.542045182501301,-0.200739102117485,2.10287888951613,1.90646639321055,0.0079114315535552,-0.7033,-0.7033,2.00782,34.2882951807491,0.81917,-0.380480929821516,-1.16475,-0.328188462049423,-11.5255585988439
"2","2011_Q1",15.0211290322581,"Down",31870000,-21047000,-9305000,-6506000,-2799000,-7793000,-3949000,10823000,-9824000,-9824000,999000,-877000,122000.000000001,122000.000000001,-35986000,2601000,-33385000,-3579000,-36964000,14166000,14166000,7048000,368104000,389318000,1132313000,1290116000,-157803000,100856000,48390000,1233169000,1622487000,29026000,690693000,690693000,719719000,40253000,197244000,916963000,158575000,716539000,-10367000,-227628000,637119000,68405000,705524000,1622487000,-35986000,10820000,41918000,4705000,21457000,-9281000,-3327000,-9525000,14513000,-21094000,-16106000,2024000,2024000,2024000,21643000,40253000,0.3396,-1.15984,-0.05239,-0.02278,0.54093,1.29969,0.02481,-3.83432,-3.83432,3.30592,49.63999,0.98804,-0.03039,-0.25768,1.20533,2.41033
"3","2011_Q2",14.1149206349206,"Down",34510000,-23995000,-11120000,-8426000,-2694000,-8720000,-4155000,10515000,-10443000,-10443000,72000,-350000,-278000,-278000,-9093000,285000,-8808000,-3501000,-12309000,15172803.7193163,15172803.7193163,13704039.8537677,-10590660.2815266,18286183.2915575,1549952469.37563,1768768381.59742,-218815912.22179,95379926.4870952,47049702.0228013,1645332395.86272,1663618579.15428,24450712.7322616,881806689.956357,881806689.956357,906257402.688619,48846072.1812008,29473179.3047272,935730581.993346,158210112.423724,720362175.41727,-10873485.2324276,-210072326.38789,657626476.220676,70261520.9403025,727887997.160979,1663618579.15432,-9093000,10459000,11907000,-9043000,4230000,-53583000,-43416000,-9601000,47699000,2391000,40489000,1303000,1303000,1303000,20974000,0,0.30469,-0.35668,0.0529742275004335,0.0163613673724949,0.0193070368279565,1.24484536892982,0.0295020228154816,-1.27683,-1.27683,3.57977,50.2892582730836,0.99592,0.0442328099405053,-0.78,1.61768365401647,5.28933453294798
"4","2011_Q3",10.6425,"Down",32578000,-21722000,-8369000,-5858000,-2511000,-9310000,-4043000,10856000,-10047000,-10047000,809000,-14530000,-13721000,-13721000,-24729000,601000,-24128000,-3540000,-27668000,13426000,13426000,8914000,76483000,98823000,1426839000,1634734000,-207895000,99753000,53693000,1526592000,1625415000,30446000,852631000,852631000,883077000,44092000,87043000.0000001,970120000,158575000,722095000,-10856000,-281072000,588742000,66553000,655295000,1625415000,-24729000,11007000,22113000,944999.999999996,9336000,-9575000,-8829000,-9646000,11330000,-4234000,-2550000,-2043000,-2043000,-2043000,21863000,44092000,0.33323,-0.84928,-0.0422200000000001,-0.01702,0.11191,1.48043,0.02713,-2.76564,-2.76564,3.25643,42.99863,0.96419,-0.0242799999999999,-0.34863,1.40264,2.8248
"5","2011_Q4",9.42238095238095,"Down",33405000,-22871000,-8968000,-6403000,-2565000,-9794000,-4109000,10534000,-10430000,-10430000,104000,-7262000,-7158000,-7158000,-71265000,4740000,-66525000,-3580000,-70105000,11642000,11642000,9456000,262556000,283654000,1177029000,1360303000,-183274000,98184000,53097000,1275213000,1558867000,36080000,764205000,764205000,800285000,36409000,184523000,984808000,158575000,722576000,-10692000,-358728000,511731000,62328000,574059000,1558867000,-71265000,11451000,72267000,-4652000,7801000,-12906000,-10642000,-9830000,11227000,-340000,1057000,-1784000,-1784000,-1784000,21985000,36409000,0.31534,-2.09864,-0.12212,-0.04497,0.35444,1.71552,0.02336,-7.00755,-7.00755,3.3391,35.30076,0.98259,-0.07946,-0.14022,1.12654,2.35115
"6","2012_Q1",13.3504838709677,"Up",29495000,-26957000,-9070000,-6100000,-2970000,-14038000,-3849000,2538000,-10043000,-10043000,-7505000,523000.000000001,-6982000,-6982000,-3427000,-673000,-4100000,-3579000,-7679000,12070000,12070000,25660000,226386000,264116000,1167275000,1363936000,-196661000,80772000,36029000,1248047000,1512163000,32404000,759466000,759466000,791870000,35017000,159905000,951775000,158575000,723050000,-10528000,-372638000,498459000,61929000,560388000,1512163000,-3427000,15689000,1206000,4263000,17731000,-15940000,3094000,-9828000,-8149000,-2420000,-20397000,428000,428000,428000,18227000,35017000,0.08605,-0.26035,-0.0137,-0.00508,0.33353,1.69842,0.02316,-0.76142,-0.76142,2.9246,33.70147,0.9745,0.00298,-1.27985,1.25896,9.04137
"7","2012_Q2",13.4898412698413,"Up",34384000,-30073000,-9995000,-6370000,-3625000,-15698000,-4380000,4311000,-10094000,-10094000,-5783000,-2162000,-7945000,-7945000,-4868000,-941000,-5809000,-3531000,-9340000,10805000,10805000,6576000,216577000,233958000,1159521000,1372056000,-212535000,90953000,47819000,1250474000,1484432000,31200000,757607000,757607000,788807000,33727000,147887000,936694000,158575000,730628000,-11511000,-389111000,488581000,59157000,547738000,1484432000,-4868000,15747000,1244000,-926000,11197000,-4482000,8711000,-7076000,-8373000,-5724000,-21173000,-1265000,-1265000,-1265000,20058000,33727000,0.12538,-0.27164,-0.01705,-0.00629,0.2966,1.71011,0.02272,-0.91589,-0.91589,3.37171,32.36056,0.69388,-0.00325,-0.7576,1.14279,5.3171
"8","2012_Q3",14.7763492063492,"Up",36898000,-23251000,-9233000,-5496000,-3737000,-9769000,-4249000,13647000,-9658000,-9658000,3989000,655000,4644000,4644000,5895000,-670000,5225000,-3989000,1236000.00000001,7594000,7594000,5650000,212109000,225353000,1156621000,1378064000,-221443000,83356000,40183000,1239977000,1465330000,25989000,748087000,748087000,774076000,32318000,145702000,919778000,159564000,742912000,-21280000,-391552000,489644000,55908000,545552000,1465330000,5895000,9796000,41999.9999999963,1094000,16827000,-7091000,-449000,-7282000,-10295000,-11776000,-19589000,-3211000,-3211000,-3211000,23443000,32318000,0.36986,0.0334999999999999,0.00227,0.00084,0.29113,1.68596,0.02206,0.1203,0.1203,3.59143,32.12805,0.70879,0.01232,5.89159,1.05464,1.81168
"9","2012_Q4",14.8467741935484,"Up",33489000,-22573000,-8933000,-5296000,-3637000,-9254000,-4386000,10916000,-9540000,-9540000,1376000,-318000,1058000,1058000,2298000,-2547000,-249000,-4050000,-4299000,7416000,7416000,25414000,207262000,240092000,1155040000,1384870000,-229830000,75290000,33367000,1230330000,1470422000,32227000,659372000,659372000,691599000,31113000,125284000,816883000,275294000,739765000,-21116000,-399103000,594840000,58699000,653539000,1470422000,2298000,9282000,312000,-3234000,8658000,-10496000,-6072000,-6534000,-107928000,-2908000,-2764000,-178000,-178000,-178000,20198000,31113000,0.32596,-0.12837,-0.00658,-0.00292,0.34715,1.24994,0.02116,-0.41732,-0.41732,3.25088,31.0193,0.63428,0.00287,-1.51989,1.17323,2.17085
"10","2013_Q1",15.5935,"Up",30955000,-21056000,-8459000,-5181000,-3278000,-8568000,-4029000,9899000,-8997000,-8997000,902000,25435000,26337000,26337000,30690000,-151000,30539000,-8247000,22292000,7522000,7522000,17846000,131425000,156793000,1183867000,1413402000,-229535000,29243000,29243000,1213110000,1369903000,28179000,750166000,750166000,778345000,30502000,69808000,848153000,163669000,752503000,-21702000,-380191000,514279000,7470999.99999999,521750000,1369903000,30690000,9849000,-27116000,257000.000000001,13680000,-9202000,48150000,-8292000,-8358000,-45074000,-61724000,106000,106000,106000,19748000,30502000,0.31979,0.72014,0.04273,0.01627,0.20144,1.62559,0.02227,2.16237,2.16237,3.0027,34.00985,0.80434,0.0517,0.37197,1.16366,2.32145
