"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.1546031746032,"Up",17288000,-37118000,-5794000,-31439000,-19830000,-11584000,-11584000,-31414000,-35402000,-35729000,-35729000,-35729000,-35729000,1194354834.79304,1194989705.63376,-634870.840717364,-588943246.385187,-588943246.385187,-4761654.42757732,-23069446.2587165,600659625.783808,11406054.0793246,-214211966.26482,-432164512.44426,-202805912.955944,397853712.827864,18406822.0305335,72916437.997649,219626540.228137,68062109.7974886,84667277.6476423,221413313.755541,221413297.439045,500901632.354326,585568910.001969,1559762399.12012,-1745005726.21935,-2471870.07486573,-187715197.174105,-187715197.174105,397853712.827864,-35729000,6396000,6994000,125162000,102823000,-306000,6822000,6516000,4227000,4227000,-154417000,-45078000,-45078000,-45078000,-13434000,0,-1.14704,-2.06669,-8.03950024899174,0.856278901209718,5.34501236683193,-1.94603233392901,0.665290913819809,-0.29842,-0.29842,0.1444,-1.3118647270692,1.13767405821388,-408.174000307862,-257.427524191323
"2","2010_Q3",13.1171875,"Down",49847000,-36224000,-7486000,-28883000,13623000,-10248000,-10248000,3374999.99999999,3375000,3044000,3044000,3044000,3044000,780887417.396522,777208352.81688,3679064.57964132,-257690123.192594,-257690123.192594,12696672.7862113,-5969223.12935825,535898812.891904,7615027.0396623,-74336983.1324102,-183313256.22213,-66721956.4779721,469176856.413932,40124411.0152668,40609718.9988245,117582770.114069,67521054.8987443,106744638.823821,204686156.877771,204686148.719523,488402816.177163,595147455.000984,1420684699.56006,-1546609863.10968,-45435.0374328641,-125970598.587053,-125970598.587053,469176856.413932,3044000,5885000,3410000,-15105000,-2766000,-598000,10272000,9674000,2434000,2434000,2434000.00000003,9342000.00000001,9342000.00000001,9341999.99999999,19508000,-1.49011611938477e-08,0.273299999999999,0.0610699999999995,-4.23091012449587,0.514429450604859,4.57720618341597,-5.4023661669645,0.601745456909904,0.02503,0.0237300000000001,0.40982,-0.932817363534599,0.67563202910694,-186.541760153931,-119.519887095662
"3","2010_Q4",16.135,"Up",16873000,-38928000,-8283000,-30784000,-22055000,-10305000,-10305000,-32360000,-32360000,-31702000,-31702000,-31702000,-31702000,540373472.465507,534608117.605627,5765354.85988044,-72598707.7308645,-72598707.7308645,22020890.9287371,3137258.95688058,489797270.963968,5556009.01322077,908672.289196603,-42371418.74071,6464681.17400929,496261952.137977,47547803.6717556,20803906.3329415,58183256.7046895,67156018.2995814,114403546.274607,187954718.959257,187954716.239841,476319272.059054,590722818.333661,1351516899.85335,-1447335287.70323,1357521.65418905,-94460866.1956842,-94460866.1956842,496261952.137977,-31702000,5378000,4054000,-7252000,-29522000,-466000,1321000,855000,3383000,3383000,3383000,-25284000,-25284000,-25284000,-16677000,0,-1.30712,-1.87886,-1.76792004149862,0.254166483534953,4.18978206113866,-6.72253538898817,0.581451818969968,-0.25945,-0.25945,0.13809,-0.743462454511533,0.331147343035647,-59.6086300513103,-39.7273790318872
"4","2011_Q1",14.6740322580645,"Down",85870000,-43559000,-10765000,-32774000,42311000,-9770000,-9770000,32541000,32541000,32541000,32541000,32541000,32541000,424168000,417912000,6256000,5701000,5701000,25585000,6600000,455454000,4804000,29323000,18891000,34127000,489581000,46600000,10773000,31077000,66973000,113573000,171220000,171220000,464652000,578225000,1332400000,-1423030000,1986000,-88644000,-88644000,489581000,32541000,6826000,3824000,-15788000,27403000,-2739000,898000.000000001,-1841000,3546000,3546000,3546000,29108000,29108000,29108000,49137000,293432000,0.49273,0.37896,-0.3671,0.06647,4.01023,-6.523,0.59935,0.26463,0.27979,0.69832,-0.72088,0.08654,-2.66064,-3.08988
"5","2011_Q2",18.1231746031746,"Up",31973000,-47798000,-10825000,-36282000,-15825000,-10687000,-10687000,-26512000,-26512000,-26512000,-26512000,-26512000,-26512000,383626000,377843000,5783000,16579000,16579000,25763000,6769000,425968000,4934000,28704000,28704000,33638000,459606000,43204000,7791000,25913000,66978000,110182000,154483000,154483000,453402000,563584000,1343475000,-1449542000,2089000,-103978000,-103978000,459606000,-26512000,6430000,6837000,-30977000,-44222000,-552000,576000,24000,4129000,4129000,4129000,-40069000,-40069000,-40069000,-9395000,298919000,-0.49495,-0.8292,0.25498,-0.05768,3.86604,-5.42022,0.65038,-0.21473,-0.21473,0.25896,-0.84215,-0.07587,9.01618,5.35273
"6","2011_Q3",16.1353125,"Down",16811000,-57926000,-11858000,-46047000,-41115000,-10756000,-10756000,-51871000,-51871000,-51871000,-51871000,-51871000,-51871000,364110000,359074000,5036000,2376000,2376000,25437000,6447000,391923000,5500000,19240000,19240000,24740000,416663000,43691000,8788000,30153000,66976000,110667000,137746000,137746000,442280000,552947000,1363178000,-1501413000,1951000,-136284000,-136284000,416663000,-51871000,6647000,7320000,7168000,-30736000,-1075000,530000,-545000,12512000,12512000,12512000,-18769000,-18769000,-18769000,-34468000,304534000,-2.44572,-3.08554,0.38061,-0.12449,3.54146,-4.05731,0.73089,-0.41388,-0.41388,0.13413,-1.0874,-0.16952,1.72844,1.44901
"7","2011_Q4",13.88,"Down",16781000,-58885000,-14384000,-44501000,-42104000,-10974000,-10974000,-53078000,-53078000,-53078000,-53078000,-53078000,-53078000,316975000,312328000,4647000,2462000,2462000,26981000,7984000,346418000,6077000,18729000,18729000,24806000,371224000,53984000,11038000,33446000,66973000,120957000,121010000,121010000,431287000,552244000,1371650000,-1554491000,1821000,-181020000,-181020000,371224000,-53078000,6871000,7399000,-8170000,-46978000,-1180000,339000,-841000,1073000,1073000,1073000,-46746000,-46746000,-46746000,-35233000,310277000,-2.50903,-3.16298,0.29322,-0.14298,2.86398,-3.05073,0.83582,-0.42039,-0.42039,0.13291,-1.43371,-0.21209,0.190110000000001,0.15908
"8","2012_Q1",17.518064516129,"Up",28890000,-73029000,-21152000,-51877000,-44139000,-10940000,-10940000,-55079000,-55079000,-55079000,-55079000,-55079000,-55079000,277594000,273164000,4430000,6415000,6415000,26769000,7475000,310778000,6431000,11753000,3536000,18184000,328962000,66311000,14939000,46622000,69303000,135614000,104272000,104272000,420425000,556039000,1380851000,-1609570000,1642000,-227077000,-227077000,328962000,-55079000,7042000,7524000,734000.000000004,-39779000,-992000,-147000,-1139000,1754000,1754000,1754000,-39164000,-39164000,-39164000,-37097000,316153000,-1.52783,-1.90651,0.24256,-0.16743,2.29164,-2.44868,0.96106,-0.43578,-0.43578,0.22858,-1.79662,-0.28487,-1.03941,-0.87358
"9","2012_Q2",21.4673015873016,"Up",36179000,-70356000,-21396000,-48960000,-34188000,-11238000,-11238000,-45426000,-45426000,-45426000,-45426000,-45426000,-45426000,236411000,231855000,4556000,13010000,13010000,26741000,7446000,276162000,6232000,11199000,3513000,17431000,293593000,59770000,13174000,37096000,72983000,142299000,87535000,87535000,400151000,542450000,1404204000,-1654996000,1935000,-248857000,-248857000,293593000,-45426000,7234000,9932000,-26141000,-54401000,-496000,167000,-329000,13421000,13421000,13421000,-41309000,-41309000,-41309000,-26954000,322162000,-0.94497,-1.25559,0.18254,-0.15472,1.94072,-2.17977,1.09731,-0.35711,-0.35711,0.28442,-1.95638,-0.28243,-3.18138,-2.50822
"10","2012_Q3",20.9631746031746,"Down",86543000,-71307000,-19719000,-51588000,15220000,-11116000,-11116000,4104000.00000001,4104000,4037000.00000001,4037000.00000001,4037000.00000001,4037000.00000001,261807000,257563000,4244000,13841000,13841000,18322000,8823000,294158000,6515000,11298000,4144000,17813000,311971000,54082000,11102000,38230000,75969000,139731000,70798000,70798000,389428000,529159000,1432051000,-1650959000,1720000,-217188000,-217188000,311971000,4037000.00000001,7404000,9911000,-12628000,8724000.00000001,-1007000,97000.0000000001,-910000,17894000,17894000,17894000,25708000,25708000,25708000,22624000,328310000,0.17587,0.0466500000000001,-0.01859,0.01294,2.10517,-2.43641,1.05237,0.03124,0.02926,0.66971,-1.68071,0.02219,2.93949,4.36945
