"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.0330158730159,"Up",81915000,-35180000,46735000,-29103000,-14011000,-15092000,17632000,260000,228000,32000,17892000,17757000,-155000,17602000,17602000,17602000,17602000,934199379.933622,-80218814.3848695,1014418194.31849,-50671094.3995173,-50671094.3995173,-112273441.138033,-27459673.3079881,-144170342.82607,743795171.088084,10967976.7569602,292347160.737,-36744831.9211332,-98157714.1769025,137797472.292699,-198972971.583242,266570305.572827,1010365476.66091,104757018.004706,-46758276.2123344,151515294.217041,-51684711.706762,53072306.2979445,-7605997.73951079,45466308.5584337,1006989294.33725,-36907817.036371,-5182309.1983971,964899168.102477,964899168.102477,1010365476.66091,17602000,1921000,1416000,-9036000,11903000,-4027000,10406000,5891000,12255000,12255000,12255000,30049000,30049000,30049000,19553000,0,6645000,0.57053,0.21525,0.21488,5.68374535829038,5.02102540515901,0.37751,13.9677255587559,-0.0182478006540186,2.87249831419445e-07,0.26414,0.24877,1.22924,18.0178303057495,0.09972,5.60576045933345,-3.15162314981108,-57.138160519153,-65.5757484791803
"2","2010_Q3",17.60078125,"Up",100598000,-43818000,56780000,-31223000,-15773000,-15450000,25557000,219000,233000,-14000,25776000,29276000,1597999.99999999,30874000,30874000,30874000,30874000,557522689.966811,-16178407.1924348,573701097.159246,-600047.199758627,-600047.199758627,-29586220.5690164,13876663.3460059,-59867671.4130349,541213085.544042,18603488.3784801,143491580.3685,56927584.0394334,-35421857.0884513,120864736.146349,-89809485.7916211,219022652.786414,760235738.330456,71091509.0023532,-6385638.10616717,77477147.1085204,-20970855.853381,50120653.1489722,-158998.869755397,49961654.2792168,996610647.168623,-283703908.518185,-2632654.59919855,710274084.051239,710274084.051239,760235738.330456,30874000,1972000,1207999.99999999,-9834000,24220000,-12768000,-47514000,-59656000,9115000,9115000,9115000,-26321000,-26321000,-26321000,27529000,0,3329000,0.56442,0.25405,0.3069,2.85421267914519,2.5213127025795,0.10783,10.5225327793779,0.0445260996729907,1.43624915709723e-07,0.45063,0.42185,1.46831,11.9830751528748,0.0485900000000001,2.81504522966672,-1.69133657490554,-35.0790002595765,-40.5423442395901
"3","2010_Q4",15.10515625,"Down",95625000,-43163000,52462000,-29384000,-13036000,-16348000,23078000,181000,212000,-31000,23259000,23289000,1332000,24621000,24621000,24621000,24621000,322275563.32227,20361864.2691884,301913699.053082,27115984.2667471,27115984.2667471,18177593.1436612,35266887.782002,-12146890.4710116,402836028.514681,26538829.4594934,55182193.4561667,108791528.013144,1906380.97051625,109508912.048783,-27073161.9305404,190512550.928805,593348579.443485,52293503.0007844,16784787.2979443,35508715.7028401,-2427951.951127,49865551.0496574,4176000.3767482,54041551.4264056,992082549.056208,-451506302.839395,-1269218.19973285,539307028.01708,539307028.01708,593348579.443485,24621000,2042000,-382000,4150000,30431000,-2134000,647000,-1602000,-20175000,2592000,-20175000,8654000,8654000,8654000,25120000,0,25804000,0.54862,0.24134,0.25747,1.14994755971506,1.01575090085983,1.04805,7.94597425979264,0.0945986998909969,4.78749719032409e-08,0.36186,0.34357,1.4054,8.29044505095825,0.37924,1.13413840988891,-0.75493219163518,-20.9536100865255,-24.4064914131967
"4","2011_Q1",21.226935483871,"Up",91433000,-45415000,46018000,-32958000,-15914000,-17044000,13060000,227000,187000,40000,13287000,13892000,116514000,130406000,130406000,130406000,130406000,196567000,37039000,159528000,39098000,39098000,40497000,43308000,9054000,319470000,34563000,12702000,129886000,20125000,102136000,1598000,177151000,496621000,45210000,27639000,17571000,6844000,52054000,6188000,58242000,991947000,-552814000,-754000,438379000,438379000,496621000,130406000,2210000,-114170000,1940000,20386000,-2658000,-16212000,-18882000,7044000.00000001,7043000,7044000.00000001,8548000,8548000,8548000,15270000,-2.22044604925031e-16,-101962000,0.5033,0.14284,1.42625,0.29747,0.26259,-0.78188,6.13728,0.13286,0,1.91113,1.79109,1.33997,6.42455,-1.49428,0.29333,-0.22935,-12.87276,-15.05107
"5","2011_Q2",16.0636507936508,"Down",92242000,-44533000,47709000,-33373000,-14606000,-18767000,14336000,137000,154000,-17000,14473000,14473000,-5295000,9178000,9178000,9178000,9178000,148506000,41490000,107016000,41967000,41967000,46851000,44597000,13797000,281921000,42465000,1334000,131250000,25532000,97152000,8566000,175049000,456970000,46688000,31063000,15625000,9745000,56433000,6666000,63099000,994746000,-600126000,-749000,393871000,393871000,456970000,9178000,2262000,7425000,-8248000,10617000,-14257000,63885000,49967000,-56133000,360000,-56133000,4451000,4451000,4451000,16598000,0,-612000,0.51722,0.15542,0.0995,0.0233,0.02008,-0.06668,4.99568,0.1602,0,0.13678,0.13029,1.37471,5.87,-0.00912,0.0229099999999999,-0.00152999999999998,-8.94722,-10.35896
"6","2011_Q3",15.14953125,"Down",101602000,-47247000,54355000,-36442000,-16760000,-19682000,17913000,85000,112000,-27000,17998000,17998000,-6751000,11247000,11247000,11247000,11247000,139398000,39268000,100130000,44898000,44898000,49552000,44566000,13763000,278414000,50102000,8703000,123444000,24932000,90995000,7517000,182249000,460663000,56303000,35256000,21047000,9334000,65637000,6505000,72142000,998572000,-609167000,-884000,388521000,388521000,460663000,11247000,2394000,9671000,3134000,26446000,-10528000,-618999.999999985,-8691000,-19977000,312000,-19977000,-2222000,-2222000,-2222000,20307000,3.5527136788005e-15,19664000,0.53498,0.17631,0.1107,0.02895,0.02441,1.74838,4.24172,0.18568,0,0.17457,0.16819,1.57701,6.03041,0.30521,0.02847,0.04978,-6.86453,-7.78195
"7","2011_Q4",16.1720634920635,"Up",122368000,-56338000,66030000,-39631000,-16488000,-23143000,26399000,41000,112000,-71000,26440000,26440000,-9709000,16731000,16731000,16731000,16731000,137352000,38010000,99342000,54512000,54512000,58079000,49812000,19014000,299755000,57263000,20092000,117507000,24623000,82071000,10813000,194862000,494617000,70902000,45104000,25798000,8511000,79413000,6494000,85907000,1001967000,-592436000,-821000,408710000,408710000,494617000,16731000,2606000,11703000,-16192000,14848000,-6893000,-10538000,-16734000,628000,628000,628000,-1258000,-1258000,-1258000,29005000,0,15629000,0.5396,0.21573,0.13673,0.04094,0.03383,0.93413,3.77463,0.21019,-1.32348898008484e-23,0.2616,0.24978,1.91329,6.39039,0.24437,0.0403,0.03764,-4.73546,-5.20292
"8","2012_Q1",21.7772580645161,"Up",110631000,-48284000,62347000,-41459000,-17354000,-24105000,20888000,184000,139000,45000,21072000,21072000,29755000,50827000,50827000,50827000,50827000,181874000,65997000,115877000,44153000,44153000,55915000,69645000,16508000,351587000,66978000,2914000,122983000,24268000,89071000,9644000,192875000,544462000,65757000,38108000,27649000,7228000,72985000,5620000,78605000,1008228000,-541609000,-762000,465857000,465857000,544462000,50827000,2710000,-26752000,4499000,31284000,-10874000,701999.999999998,-7878000,2808000,2808000,4581000,27987000,27987000,27987000,23598000,0,-12532000,0.56356,0.18881,0.45943,0.1091,0.09335,-0.24656,4.81725,0.16873,0,0.79104,0.74795,1.7218,7.25035,-0.19504,0.1078,-0.02658,-7.70718,-8.7071
"9","2012_Q2",26.3365079365079,"Up",99006000,-45566000,53440000,-42969000,-18059000,-24910000,10471000,104000,127000,-23000,10575000,10575000,-3648000,6927000,6927000,6927000,6927000,166671000,84312000,82359000,49262000,49262000,96790000,67713000,14574000,380436000,85337000,-1.86264514923096e-09,119505000,24484000,85721000,9300000,204842000,585278000,95961000,75507000,20454000,7158000,103119000,4159000,107278000,1013442000,-534682000,-760000,4.78e+08,4.78e+08,585278000,6927000,2958000,8670000,-19142000,-587000,-18429000,36434000,17860000,1042000,1042000,1042000,18315000,18315000,18315000,13429000,0,-20494000,0.53977,0.10576,0.06997,0.01449,0.01184,-2.95857,3.68929,0.22443,0,0.10745,0.10108,1.53569,7.4143,-0.31788,0.01437,-0.0425,-12.41127,-15.91739
"10","2012_Q3",36.3822222222222,"Up",193774000,-93687000,100087000,-49662000,-20194000,-29468000,50425000,91000,131000,-40000,50516000,50516000,-15067000,35449000,35449000,35449000,35449000,134577000,67846000,66731000,130870000,130870000,144881000,72989000,19845000,483317000,86992000,0,104787000,11235000,72150000,21402000,191779000,675096000,133178000,103366000,29812000,12384000,145562000,4238000,149800000,1025272000,-499233000,-743000,525296000,525296000,675096000,35449000,4192000,19793000,-107660000,-48226000,9224000,15645000,25492000,6268000,6268000,6268000,-16466000,-16466000,-16466000,54617000,0,-28752000,0.51651,0.26023,0.18294,0.06748,0.05251,-0.81108,3.32035,0.28517,0,0.54601,0.51145,2.98463,8.09094,-0.44286,0.06694,-0.0543,-2.46401,-2.66885
"11","2012_Q4",32.7964516129032,"Down",310133000,-152083000,158050000,-51921000,-22313000,-29608000,106129000,45000,76000,-31000,106174000,106174000,-38312000,67862000,67862000,67862000,67862000,148169000,87452000,60717000,170683000,170683000,135023000,74915000,21775000,528790000,100534000,0,63174000,10947000,36466000,15761000,163708000,692498000,123237000,95493000,27744000,11383000,134620000,4327000,138947000,1033549000,-479225000,-773000,553551000,553551000,692498000,67862000,2890000,42429000,-33991000,79190000,-19980000,5984000,-13981000,-45603000,2253000,-45603000,19606000,19606000,19606000,109019000,0,93360000,0.50962,0.3422,0.21882,0.12259,0.098,1.37573,3.92802,0.25101,0,1.0411,0.98354,4.75788,8.49226,1.43228,0.12164,0.16735,-1.35911,-1.39612
"12","2013_Q1",26.3655,"Down",206873000,-123259000,83614000,-49809000,-19724000,-30085000,33805000,120000,106000,14000,33925000,33925000,-7565000.00000001,26360000,26360000,26360000,26360000,171637000,66402000,105235000,69289000,69289000,119300000,84308000,19371000,444534000,100623000,64910000,41280000,10677000,16671000,13932000,206813000,651347000,81699000,60827000,20872000,11380000,93079000,10094000,103173000,1041834000,-492741000,-919000,548174000,548174000,651347000,26360000,3522000,15889000,84676000,130447000,-4506000,-109574000,-114573000,-35758000,2445000,-36924000,-21050000,-21050000,-21050000,37327000,0,125062000,0.40418,0.16341,0.12742,0.04809,0.04047,4.74439,4.77588,0.18821,0,0.41354,0.39356,3.24542,8.59975,1.96197,0.04722,0.22402,-4.5982,-5.07727
"13","2013_Q2",19.56484375,"Down",155125000,-75627000,79498000,-47298000,-18768000,-28530000,32200000,141000,158000,-17000,32341000,31646000,-11004000,20642000,20642000,20642000,20642000,232710000,67170000,165540000,63642000,63642000,110624000,75584000,20810000,482560000,99169000,39408000,38762000,10741000,16732000,11289000,177339000,659899000,70349000,47341000,23008000,4419000,74768000,9706000,84474000,1048497000,-472180000,-892000,575425000,575425000,659899000,20642000,3367000,17229000,-4526000,36712000,-1872000,-34776000,-36648000,720000,720000,704000,768000,768000,768000,35567000,0,40173000,0.51248,0.20757,0.13307,0.03587,0.03128,1.94618,6.4541,0.1468,5.42101086242752e-20,0.32577,0.31187,2.4482,9.0814,0.63401,0.03528,0.06866,-6.54286,-7.22702
"14","2013_Q3",20.64953125,"Up",190671000,-91223000,99448000,-48783000,-19061000,-29722000,50665000,163000,201000,-38000,50828000,50828000,-17461000,33367000,33367000,33367000,33367000,268309000,68886000,199423000,97640000,97640000,91247000,62376000,23978000,519572000,101885000,40254000,37450000,10761000,16638000,10051000,179589000,699161000,80075000,56868000,23207000,4858000,84933000,11231000,96164000,1055256000,-451532000,-727000,602997000,602997000,699161000,33367000,3545000,23352000,-5875000,54389000,-6361000,-34564000,-40925000,916000,916000,-11748000,1716000,1716000,1716000,54210000,-1.16415321826935e-10,59435000,0.52157,0.26572,0.175,0.05534,0.04772,1.78125,6.11743,0.15948,0,0.52717,0.5039,3.01242,9.52677,0.93902,0.05432,0.09676,-4.94944,-5.29575
"15","2013_Q4",21.5725,"Up",218883000,-115034000,103849000,-51063000,-18637000,-32426000,52786000,177000,222000,-45000,52963000,52963000,-11463000,41500000,41500000,41500000,41500000,290482000,74690000,215792000,109535000,109535000,69985000,58817000,25662000,528819000,102542000,37115000,53964000,29762000,17354000,6848000,193621000,722440000,87311000,60493000,26818000,4998000,92309000,5108000,97417000,1069113000,-443322000,-768000,625023000,625023000,722440000,41500000,3934000,13094000,13396000,71924000,-4552000,-13271000,-38255000,-43273000,-882000,-27865000,5804000,5804000,5804000,56720000,0,77027000,0.47445,0.24116,0.1896,0.0664,0.05744,1.85607,5.72879,0.15586,-4.33680868994202e-19,0.66028,0.63576,3.48251,9.94436,1.22553,0.06586,0.12224,-5.12133,-5.50301
"16","2014_Q1",19.0396721311475,"Down",149659000,-76291000,73368000,-53308000,-17797000,-35511000,20060000,240000,267000,-27000,20300000,20300000,-7698000,12602000,12602000,12602000,12602000,295267000,31850000,263417000,63220000,63220000,69743000,47103000,10017000,475333000,103650000,89243000,56518000,11999000,25065000,3087000,249411000,724744000,69869000,51932000,17937000,12654000,82523000,4863000,87386000,1078878000,-440634000,-886000,637358000,637358000,724744000,12602000,4037000,3241000,45133000,65013000,-4569000,-99871000,-104410000,-5181000,4566000,-3443000,-42840000,-42840000,-42840000,24097000,3.72529029846191e-09,72359000,0.49023,0.13404,0.0842,0.01977,0.01739,5.74187,5.76001,0.13711,0,0.20262,0.19551,2.40633,10.2479,1.16344,0.01962,0.11267,-12.25327,-14.71919
"17","2014_Q2",21.887619047619,"Up",152565000,-77190000,75375000,-59460000,-19683000,-39777000,15915000,34000,-467000,501000,15949000,15949000,-5701000,10248000,10248000,10248000,10248000,343742000,268544000,75198000,77219000,77219000,92002000,60390000,40469000,573353000,102765000,39952000,53749000,27708000,25034000,1007000,196466000,769819000,101373000,75695000,25678000,7398000,108771000,4039000,112810000,1088493000,-430663000,-821000,657009000,657009000,769819000,10248000,4097000,7087000,-8666000,12766000,-3386000,237575000,223094000,852000,852000,834000,236694000,236694000,236694000,20012000,0,13661000,0.49405,0.10432,0.06717,0.0156,0.01331,1.33304,5.27119,0.1717,0,0.16521,0.15842,2.45946,10.59145,0.22023,0.0155,0.02067,-17.17679,-21.59862
"18","2014_Q3",23.1659375,"Up",210214000,-109647000,100567000,-67557000,-2.3e+07,-44557000,33010000,-14664000,-2670000,-11994000,18346000,3409000,-2557000,851999.999999996,851999.999999996,851999.999999996,851999.999999996,134010000,48214000,85796000,126161000,126161000,121169000,45524000,29089000,426864000,133458000,9228000,495096000,187030000,24998000,17658000,637782000,1064646000,134201000,81549000,52652000,5218000,139419000,251815000,391234000,1104379000,-430144000,-823000,673412000,673412000,1064646000,851999.999999996,7012000,28518000,-50822000,-14440000,-8343000,20124000,-433238000,944000,944000,227348000,-220330000,-220330000,-220330000,40022000,226439000,-16586000,0.4784,0.15703,0.00405000000000001,0.00127,8e-04,-19.46714,3.06173,0.58097,0.21269,0.01369,0.01309,3.37737,10.81925,-0.26648,0.00092,-0.01793,2.30945,2.80003
"19","2014_Q4",20.1453125,"Down",298606000,-167775000,130831000,-83257000,-27783000,-55474000,47574000,-2113000,-1042000,-1071000,45461000,42261000,-19532000,22729000,22729000,22729000,22729000,172668000,66607000,106061000,148386000,148386000,73896000,41224000,27081000,436174000,137291000,3404000,488199000,181675000,24991000,16654000,628894000,1065068000,124761000,77195000,47566000,5417000,130178000,221512000,351690000,1135719000,-421514000,-827000,713378000,713378000,1065068000,22729000,10869000,11709000,16083000,61390000,-9544000,-14445000,-23989000,-9877000,658000,-19008000,18393000,18393000,18393000,58443000,200439000,84514000,0.43814,0.15932,0.07612,0.03186,0.02134,3.71833,3.3506,0.49299,0.18819,0.36144,0.34813,4.74852,11.34435,1.34397,0.02431,0.0904,0.47518,0.583740000000003
"20","2015_Q1",29.0285245901639,"Up",255183000,-136208000,118975000,-88568000,-30498000,-58070000,30407000,-477000,-869000,392000,29930000,29930000,-8581000,21349000,21349000,21349000,21349000,200647000,76401000,124246000,112608000,112608000,84196000,54462000,8810000,451913000,144346000,60072000,492447000,175743000,25593000,27996000,696865000,1148778000,151762000,112213000,39549000,24816000,176578000,215429000,392007000,1159494000,-400613000,-2110000,756771000,756771000,1148778000,21349000,12877000,8858000,60677000,103761000,-15425000,-74843000,-90268000,2874000,2873000,-3699000.00000003,9793999.99999997,9793999.99999997,9793999.99999997,43284000,180439000,97117000,0.46623,0.11916,0.08366,0.02821,0.01858,4.54902,2.55928,0.518,0.15707,0.33966,0.32412,4.05993,12.04014,1.54512,0.02196,0.09989,-0.46687,-0.66458
"21","2015_Q2",35.244126984127,"Up",282633000,-150179000,132454000,-94954000,-29119000,-65835000,37500000,-502000,-745000,243000,36998000,49498000,-16144000,33354000,33354000,33354000,33354000,222757000,102531000,120226000,120838000,120838000,126195000,38258000,8963000,508048000,152018000,50629000,482958000,169158000,25639000,24578000,685605000,1193653000,178689000,146370000,32319000,24433000,203122000,190759000,393881000,1170436000,-367691000,-2973000,799772000,799772000,1193653000,33354000,13388000,25097000,-28657000,43182000,-12417000,13368000,951000,2661000,2661000,-18003000,26130000,26130000,26130000,50888000,160439000,25958000,0.46864,0.13268,0.11801,0.0417,0.02794,0.77826,2.5012,0.49249,0.13441,0.52714,0.50224,4.46681,12.63982,0.41025,0.03367,0.02621,-1.22461,-1.66181
"22","2015_Q3",30.62390625,"Down",306756000,-164535000,142221000,-97361000,-30103000,-67258000,44860000,-1125000,-709000,-416000,43735000,42983000,-8103000,34880000,34880000,34880000,34880000,230404865.831093,135939360.377439,94465505.453654,139760483.612269,139760483.612269,140233834.462078,45772080.8446411,7988820.80538468,556171264.750082,155909599.028689,29769242.7521312,491799684.205278,170252969.5368,27148870.375216,19906779.7411679,677478525.986099,1233649790.73618,183547243.305485,148973202.612728,34574040.6927573,23620005.9607666,207167249.266252,188529025.673219,395696274.93947,1185366835.12674,-344212086.430031,-3201232.89999838,837953515.79671,837953515.79671,1233649790.73618,34880000,14633000,8228000,-100952000,-43211000,-12457000,62046000,12373000,-17920000,1284000,-15360000,-46198000,-46198000,-46198000,59493000,-2.98023223876953e-08,-45813000,0.46363,0.14624,0.11371,0.0562165417891986,0.0384278841170857,-1.31345,2.61994391251552,0.47100418468899,0.125693091351742,0.55063,0.52573,4.84255,13.1952625046148,-0.72322,0.0456768833803745,0.0955407758718746,-1.04841396540649,-1.21945671907519
