"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",3.66387096774194,"Up",65991000,-34097000,31894000,-29701000,-29701000,2193000,-1769000,-4475000,424000,1847000,94000,1941000,1941000,1941000,1941000,11071000,11071000,31621000,31621000,41810000,6969000,6969000,91471000,46250000,44485000,44485000,105846000,197317000,43139000,24893000,18246000,9171000,9171000,61831000,24886000,24886000,29181000,91012000,58273000,48459000,-427000,106305000,106305000,197317000,1941000,1542000,-65000,2673000,6091000,-2e+05,234000,-130000,-214386082.211546,-524000,35000,35000,17741852.3364797,-489000,5472000,5472000,5472000,3735000,13816000,6114000,0.48331,0.03323,0.02941,0.01826,0.00984,3.14992,1.47937,0.85614,0.07002,0.16938,0.16938,5.75875,9.27678,0.53354,19.2160957740746,0.01339,0.04216,-400.159252320246,0.73494,1.25171
"2","2011_Q2",4.54936507936508,"Up",64264000,-32416000,31848000,-30508000,-30508000,1340000,-959000,-959000,381000,-8208000,-47000.0000000009,-8255000,-8255000,-8255000,-8255000,47195598.983237,38637673.1384546,24400288.7593142,24400288.7593142,40640243.7781081,467377.841044242,1333630.54129037,112703509.361704,47263793.9419879,39036675.1187401,40717234.6229118,94018252.5742558,206721761.935959,21797096.0217341,12572015.0034298,21819547.9986787,8527263.60979795,8527263.60979795,38271154.8423635,18476893.7392834,18476893.7392834,23425800.4643106,61696955.3066741,57933637.4983493,87579761.4647724,-488592.333836385,145024806.629285,145024806.629285,206721761.935959,-8255000,1465000,8817000,-5787000,-3760000,-460000,1409000,-420000.000000015,-90434541.1057727,-585000,35000,35000,5189284.11215991,-549999.999999999,-4729999.99999999,-4729999.99999999,-4729999.99999999,2805000,0,-3395000,0.49558,0.02085,-0.12845,-0.00266251246971552,-0.00290796241982355,0.411269999999998,3.08130181392381,0.478381365495749,0.0614556681850528,-0.720380000000001,-0.720380000000001,5.60804,12.8530899580296,-0.29627,8.10469788703729,0.0220038926288153,-0.175666462956112,-168.120706160123,-88.7546015353464,9042.03117037342
"3","2011_Q3",4.2209375,"Down",66261000,-33064000,33197000,-37326000,-30879000,-4129000,-4814000,-4814000,-8943000,66475000,-3928000,62547000,62547000,62547000,62547000,65854998.983237,57899073.1384546,19525988.7593142,19525988.7593142,41449943.7781081,2373577.84104424,3043330.54129037,129204509.361704,48261193.9419879,35821275.1187401,37118334.6229118,87266952.5742558,216471461.935959,23448296.0217341,11362015.0034298,21761847.9986787,8239763.60979795,8239763.60979795,36737554.8423635,15687493.7392834,15687493.7392834,20456900.4643106,57194455.3066741,57541337.4983493,102188761.464772,-453092.333836385,159277006.629285,159277006.629285,216471461.935959,62547000,1442000,-65957000,1107000,-861000,-504000,5151000,70185000,-24732847.0352576,-5333000,-420000,53000,-473000,-5753000,63571000,63571000,63571000,-2687000,0,1844000,0.501,-0.06231,0.94395,-0.00527351246971552,-0.00387996241982355,0.02948,3.40210381392381,0.369985365495749,0.0450766681850528,5.46052,5.40164,5.78476,14.0392109580296,0.16099,2.21564596234576,0.0143748926288153,-0.165820462956112,-44.9222720533744,-92.9214655353464,9043.05414337342
"4","2011_Q4",4.28650793650794,"Up",59417000,-30166000,29251000,-29266000,-29266000,-15000,303000.000000001,303000.000000001,288000,75000,342000.000000001,416999.999999993,416999.999999993,416999.999999993,416999.999999993,72038000,68889000,16504000,16504000,43285000,7760000,7760000,139587000,49166000,34131000,34131000,84129000,223716000,35461000,15637000,19824000,8363000,8363000,45779000,15123000,15123000,19304000,65083000,57138000,101930000,-435000,158633000,158633000,223716000,416999.999999993,1243000,-1279000.00000001,-8094000,-7713000,-1306000,11488000,11260000,-348000,-2659000,-1563000,48000,-1611000,-4570000,-1023000,-1023000,-1023000,1228000,6136000,-8514000,0.4923,-0.00025,0.00702000000000003,0.00263,0.00186,-20.41727,3.04915,0.41027,0.02743,0.0364100000000009,0.0360100000000001,5.18726,13.84908,-0.74329,0.03038,0.00425000000000002,-0.0473300000000001,0.83453,-53.66612,4393.46667
"5","2012_Q1",4.88354838709677,"Up",63266000,-29996000,33270000,-31370000,-31280000,1900000,3489000,2561000,5389000,1409000,-776000,633000,633000,633000,633000,69601000,69601000,14756000,14756000,45129000,10717000,10324000,140203000,49946000,33025000,32258000,82971000,223174000,42589000,18821000,17705000,9238000,9238000,51827000,15250000,15250000,18912000,70739000,56712000,96331000,-608000,152435000,152435000,223174000,633000,1364000,920000,3986000,6903000,-1687000,372000,-1522000,-347000,-3476000,-844000,36000,-880000,-4669000,712000,712000,712000,3264000,3662000,6339000,0.52587,0.03003,0.01001,0.00415,0.00284,10.01422,2.70521,0.46406,0.01641,0.05535,0.05483,5.53155,13.32789,0.55424,0.0303400000000001,0.00572,0.037,0.548180000000001,-20.2019,-34.70474
"6","2012_Q2",5.99460317460317,"Up",60968000,-29297000,31671000,-31028000,-31028000,643000,-1247000,-1247000,-604000,-1068000,472000,-595999.999999998,-595999.999999998,-595999.999999998,-595999.999999998,64099000,61089000,13830000,13830000,46059000,6808000,6808000,130796000,50503000,31912000,31912000,82415000,213211000,33508000,15763000,17182000,10776000,10776000,44489000,14743000,14743000,18353000,62842000,56332000,95094000,-1057000,150369000,150369000,213211000,-595999.999999998,1316000,933000,-2947000,-1294000,-1913000,399999.999999999,-499000,-6063000,-49000,-607000,39000,-646000,-6719000,-8512000,-8512000,-8512000,1959000,3815000,-3373000,0.51947,0.01055,-0.00978000000000006,-0.00396,-0.0028,5.6594,2.93996,0.41792,0.01789,-0.0534100000000004,-0.05341,5.46309,13.47395,-0.30224,0.54328,0.03236,-0.01997,-10.17282,-30.77284,-93.75428
"7","2012_Q3",7.11095238095238,"Up",67454000,-31793000,35661000,-33435000,-33435000,2226000,-677000,-677000,1549000,9953000,-1911000,8042000,8042000,8042000,8042000,70167000,67133000,14165000,14165000,47915000,6532000,6532000,138779000,51343000,31502000,31502000,82845000,221624000,36129000,16457000,19109000,9918000,9918000,46255000,14262000,14262000,17818000,64073000,56160000,102417000,-1026000,157551000,157551000,221624000,8042000,1299000,1246000,-1031000,9556000,-2439000,488000,-2412000,-563000,-51000,-486000,118000,-604000,-1100000,6044000,6044000,6044000,3525000,3764000,1966000,0.52867,0.033,0.11922,0.05104,0.03629,0.24447,3.0003,0.40668,0.01698,0.72337,0.71675,6.06743,14.17157,0.17684,0.0506399999999999,0.04901,0.0112,0.0700099999999999,-18.83773,-29.83064
"8","2012_Q4",7.66838709677419,"Up",64438000,-30620000,33818000,-33052000,-33052000,766000,-315000,-315000,451000,451000,1920000,2371000,2371000,2371000,2371000,61173000,57967000,14468000,14468000,54544000,7614000,7614000,137799000,55431000,28509000,28509000,83940000,221739000,38345000,19170000,18630000,11072000,11072000,49629000,13212000,13212000,16714000,66343000,54411000,101961000,-976000,155396000,155396000,221739000,2371000,1316000,537000,-5555000,-1331000,-2489000,382000,-3038000,-564000,-49000,-4184000,138000,-4322000,-4797000,-9166000,-9166000,-9166000,2082000,3714000,-7882000,0.52481,0.01189,0.0368,0.01526,0.01069,-3.32434,2.77658,0.42693,0.01675,0.21661,0.21419,5.88702,14.19688,-0.72009,0.05153,0.01703,-0.04574,0.23787,-27.59798,-75.01175
"9","2013_Q1",9.4495,"Up",76812000,-36640000,40172000,-37657000,-37286000,2515000,969000,917000,3484000,2678000,14218000,16896000,16896000,16896000,16896000,45566000,45566000,15755000,15755000,57916000,13271000,6439000,132508000,56624000,38048000,27563000,94672000,227180000,40327000,22405000,17380000,12253000,12253000,52580000,14267000,14267000,17320000,69900000,54184000,104319000,-1223000,157280000,157280000,227180000,16896000,1542000,-16032000,-1381000,1025000,-2140000,4824000,2142000,-14251000,-421000,-880000,563000,-1443000,-15568000,-12401000,-12401000,-12401000,4057000,3053000,-13682000,0.52299,0.03274,0.21997,0.10743,0.07437,-0.80978,2.52012,0.44443,0.01344,1.57247,1.54557,7.14869,14.63764,-1.27335,1.3263,0.17839,-0.07836,0.843449999999999,-10.47893,-16.90378
"10","2013_Q2",9.594375,"Up",79849000,-38489000,41360000,-38996000,-38834000,2364000,-668000,-668000,1696000,1696000,-716000,979999.999999998,979999.999999998,979999.999999998,979999.999999998,47159000,47159000,14838000,14838000,57807000,12203000,5251000,132007000,56738000,38242000,27962000,94980000,226987000,36276000,18427000,17849000,15955000,15955000,52231000,13792000,13792000,16783000,69014000,54420000,104757000,-1204000,157973000,157973000,226987000,979999.999999998,1434000,-45000,-401000,1968000,-1666000,1999.99999999907,684000,-1084000,-58999.9999999999,84000,320000,-236000,-1059000,1593000,1593000,1593000,3798000,2991000,2447000,0.51798,0.02961,0.01227,0.0062,0.00432,2.49694,2.52737,0.43687,0.01318,0.0915999999999999,0.0902700000000001,7.46348,14.76573,0.22872,0.10132,0.01181,0.014,1.10612,-11.62928,-18.68359
"11","2013_Q3",10.725625,"Up",81223000,-39397000,41826000,-38416000,-38361000,3410000,-129000,-129000,3281000,3281000,-1328000,1953000,1953000,1953000,1953000,44696000,43571000,15444000,15444000,55994000,15696000,8580000,131830000,57922000,35851000,25877000,93773000,225603000,35665000,18883000,16782000,14341000,14341000,50006000,13259000,13259000,16186000,66192000,54429000,106167000,-1185000,159411000,159411000,225603000,1953000,1456000,-375000,-2179000,855000,-2563000,3000,-3685000,-543000.000000002,-67000,-148000,142000,-290000,-758000,-3588000,-3588000,-3588000,4866000,2927000,1452000,0.51495,0.04198,0.02404,0.01225,0.00866,0.74347,2.63628,0.41523,0.01297,0.18231,0.17941,7.58192,14.88054,0.13554,0.0506900000000002,0.01421,0.00827,0.27803,-8.58385,-12.24897
"12","2013_Q4",9.988125,"Down",77152000,-38429000,38723000,-37900000,-37822000,823000,-229000,-229000,594000,594000,-38000,556000.000000001,556000.000000001,556000.000000001,556000.000000001,37029000,8904000,16219000,16219000,58475000,16991000,10304000,128714000,60809000,36049000,26484000,96858000,225572000,34984000,19048000,15936000,15040000,15040000,50024000,13090000,13090000,15952000,65976000,54695000,106067000,-1166000,159596000,159596000,225572000,556000.000000001,1555000,667000,-5181000,-2403000,-4360000,83000,-31277000,-656000,-53000,-52000,181000,-233000,-987000,-34667000,-34667000,-34667000,2378000,2862000,-7125000,0.50191,0.01067,0.00721,0.00348,0.00246,-12.81475,2.57304,0.41339,0.01269,0.05176,0.05098,7.18186,14.85633,-0.66325,0.06107,0.0069,-0.04059,1.17986,-14.36796,-41.51519
"13","2014_Q1",10.135737704918,"Up",83062000,-38977000,44085000,-40677000,-40301000,3408000,-792000,-1307000,2616000,2616000,-1009000,1607000,1607000,1607000,1607000,40858000,12733000,16080000,16080000,53069000,16367000,11949000,126374000,64271000,35204000,24470000,99475000,225849000,35227000,19892000,13163000,16214000,16214000,51441000,14532000,14532000,16999000,68440000,54297000,104526000,-1414000,157409000,157409000,225849000,1607000,1753000,2671000,4502000,10533000,-4755000,1000,-4754000,-652000,-370000,-928000,63000,-991000,-1950000,3829000,3829000,3829000,5161000,2467000,5917000,0.53075,0.04103,0.01935,0.01021,0.00712,3.68202,2.45668,0.43479,0.01092,0.14973,0.14821,7.7392,14.66638,0.55131,0.06075,0.01295,0.03393,0.40572,-7.43867,-11.26496
"14","2014_Q2",9.36619047619048,"Down",75647000,-35394000,40253000,-39167000,-38580000,1086000,285000,285000,1371000,1371000,-528000,843000,843000,843000,843000,37651000,14526000,14598000,14598000,53845000,15729000,11280000,121823000,69297000,34917000,24226000,104214000,226037000,32633000,18638000,13995000,19110000,19110000,51743000,14221000,14221000,16615000,68358000,54354000,104713000,-1388000,157679000,157679000,226037000,843000,1692000,-752000,3555000,5338000,-5492000,5048000,-444000,-2828000,-68000,-205000,82000,-287000,-3101000,1793000,1793000,1793000,2778000,2394000,1369000,0.53212,0.01436,0.01114,0.00535,0.00373,1.62396,2.35439,0.43353,0.01059,0.07885,0.07775,7.07534,14.74787,0.12804,0.26451,0.02106,0.00785000000000001,3.35469,-12.6915,-32.46501
"15","2014_Q3",10.29609375,"Up",85185000,-39872000,45313000,-41422000,-40901000,3891000,-272000,-272000,3619000,3619000,-1068000,2551000,2551000,2551000,2551000,40007000,16882000,14957000,14957000,52702000,15069000,10476000,122735000,72881000,31242000,20522000,104123000,226858000,32907000,18473000,14434000,19336000,19336000,52243000,15001000,15001000,17321000,69564000,53360000,105297000,-1363000,157294000,157294000,226858000,2551000,1746000,1940000,2244000,8481000,-5310000,140000,-2822000,-652000,-73000,-2578000,65000,-2643000,-3303000,2356000,2356000,2356000,5637000,2320000,3639000,0.53194,0.04568,0.02995,0.01622,0.01124,1.4265,2.34931,0.44225,0.01023,0.24017,0.23666,8.0199,14.80873,0.3426,0.06138,0.01834,0.02084,0.25559,-6.68565,-9.68568
"16","2014_Q4",12.595,"Up",85186000,-40168000,45018000,-41619000,-41510000,3399000,-65000,-64999.9999999999,3334000,3334000,-1078000,2256000,2256000,2256000,2256000,42567000,19442000,15897000,15897000,54220000,13303000,8612000,125987000,74169000,30630000,21051000,104799000,230786000,36169000,20437000,15732000,20084000,20084000,56253000,15107000,15107000,17352000,73605000,52661000,105858000,-1338000,157181000,157181000,230786000,2256000,1990000,220999.999999999,241000,4708000,749000.000000001,58000,807000,-836000,-67000,-1563000,128000,-1691000,-2955000,2560000,2560000,2560000,5389000,2245000,7457000,0.52847,0.0399,0.02648,0.01435,0.00978,3.30541,2.23965,0.46828,0.00973,0.21535,0.21261,8.13158,15.00399,0.71182,0.0798,0.01772,0.04273,0.37057,-7.48228,-11.8629
"17","2015_Q1",17.0424590163934,"Up",94720000,-42883000,51837000,-45082000,-45082000,6755000,-472000,-945000,6283000,6283000,-2634000,3649000,3649000,3649000,3649000,49798000,26673000,15228000,15228000,57272000,7796000,7796000,130094000,74812000,35840000,19141000,110652000,240746000,44255000,22251000,19902000,22202000,22202000,66773000,15239000,15239000,17141000,83914000,52467000,106339000,-1974000,156832000,156832000,240746000,3649000,1888000,948000,5249000,11734000,-2770000,74000,-2696000,-839000,-320000,-648000,333000,-981000,-1807000,7231000,7231000,7231000,8643000,2218000,13756000,0.54727,0.07132,0.03852,0.02327,0.01516,3.7698,1.9483,0.53506,0.00921,0.35017,0.34624,9.08973,15.05026,1.32008,0.08051,0.02575,0.07893,0.22993,-5.50503,-7.04367
"18","2015_Q2",20.3520634920635,"Up",92807000,-41930000,50877000,-47475000,-47475000,3402000,-622000,-622000,2780000,9467000,-3511000,5956000,5956000,5956000,5956000,35381000,12256000,17683000,17683000,61676000,18737000,13449000,133477000,94574000,32364000,8611000,126938000,260415000,38940000,19715000,19225000,25325000,25325000,68851000,15145000,15145000,25853000,94704000,56174000,111474000,-1937000,165711000,165711000,260415000,5956000,2146000,-1624000,-6927000,-449000,-3918000,-177612.681939367,-12637000,-2923000,288000,1304000,1495000,-191000,-1331000,-14417000,-14417000,-14417000,5548000,15294000,-1786000,0.5482,0.03666,0.06418,0.03594,0.02287,-0.29987,1.93864,0.5715,0.05873,0.56829,0.55891,8.85508,15.81113,-0.17041,0.27889,0.04527,-0.00910999999999998,0.49077,-3.62058,-5.90447
"19","2015_Q3",22.9284375,"Up",111553000,-46921000,64632000,-57469000,-57425000,7163000,-598000,-598000,6565000,7182000,-2653000,4529000,4529000,4529000,4529000,45592000,22467000,20346000,20346000,62978000,15753000,10414000,144669000,95864000,31450000,8190000,127314000,271983000,46926000,24776000,22150000,22965000,22965000,74319000,15154000,15154000,25902000,100221000,58513000,115149000,-1900000,171762000,171762000,271983000,4529000,2583000,1309000,2255000,10676000,-1072000,-188143.60444399,-1021000,-854000,-195000,1605000,1669000,-64000,556000,10211000,10211000,10211000,9746000,15176000,13582000,0.57938,0.06421,0.0406,0.02637,0.01665,2.9989,1.9466,0.58349,0.0558,0.42413,0.41764,10.4467,16.08515,1.27193,0.07998,0.02664,0.06721,0.18856,-3.12087,-4.24627
"20","2015_Q4",21.3603125,"Down",111012000,-44825000,66187000,-58495000,-58303000,7692000,-472000,-472000,7220000,7220000,-2954000,4266000,4266000,4266000,4266000,43725000,20600000,19545000,19545000,65437000,13691000,8313000,142398000,96579000,31640000,8065000,128219000,270617000,45357000,21609000,23748000,19006000,19006000,68839000,15339000,15339000,25699000,94538000,59557000,118386000,-1864000,176079000,176079000,270617000,4266000,2573000,1572000,-5303000,3108000,-3341000,-86102.7247266178,-3341000,-1029000,-416000,-11000,1108000,-1119000,-1634000,-1867000,-1867000,-1867000,10265000,14836000,4574999.99999999,0.59621,0.06929,0.03843,0.02423,0.01576,1.07243,2.06857,0.53691,0.05482,0.3944,0.3902,10.26341,16.27905,0.42297,0.09513,0.02567,0.02218,0.24121,-2.81432,-3.75572
"21","2016_Q1",21.3668852459016,"Up",115555000,-45615000,69940000,-61234000,-60847000,8706000,-615000,-228000,8091000,7999000,-2317000,5682000,5682000,5682000,5682000,59393000,36268000,21197000,21197000,59896000,6798000,6798000,147284000,96104000,39155000,8002000,135259000,282543000,50578000,20916000,27478000,23999000,23999000,79850000,16827000,16827000,25327000,105177000,59140000,120904000,-2678000,177366000,177366000,282543000,5682000,2835000,-2869000,15413000,21061000,-2662000,4.65661287307739e-10,-2662000,-980000,-1138000,-613000,84000,-697000,-2731000,15668000,15668000,15668000,11541000,13773000,26609000,0.60525,0.07534,0.04917,0.03204,0.02011,4.68303,1.84451,0.59299,0.04875,0.52455,0.51945,10.66786,16.37416,2.4565,0.09047,0.03203,0.12795,0.17247,-3.95286,-5.24006
"22","2016_Q2",21.0265625,"Down",106873000,-41986000,64887000,-59096000,-58957000,5791000,-657000,-657000,5134000,5134000,-1900000,3234000,3234000,3234000,3234000,48238000,25113000,19741000,19741000,57539000,8124000,8124000,133642000,101810000,38202000,7967000,140012000,273654000,41897000,20234000,21663000,23284000,23284000,71036000,16592000,16592000,24385000,95421000,57678000,123176000,-2621000,178233000,178233000,273654000,3234000,2817000,1097000,-4727999.99999999,2420000,-8548000,0,-8548000,-3146000,-191000,-1690000,84000,-1774000,-5027000,-11155000,-11155000,-11155000,8608000,13648000,-2768000,0.60714,0.05419,0.03026,0.01814,0.01182,-0.85591,1.88133,0.53537,0.04987,0.29999,0.29712,9.9138,16.53332,-0.25677,0.29183,0.0306,-0.01328,0.97279,-4.01836,-5.97306
"23","2016_Q3",18.3746875,"Down",106667000,-42419000,64248000,-58395000,-58088000,5853000,-6e+05,-6e+05,5253000,5253000,-1868000,3385000,3385000,3385000,3385000,52851000,29726000,18987000,18987000,54834000,8249000,8249000,134921000,104075000,37251000,7525000,141326000,276247000,42719000,20198000,22521000,20132000,20132000,69289000,16805000,16805000,26025000,95314000,57934000,125563000,-2564000,180933000,180933000,276247000,3385000,2794000,1429000,982000,8590000,-4991000,3.63797880709171e-12,-4991000,-999000,1963000,50000,206000,-156000,1014000,4613000,4613000,4613000,8647000,15658000,6506000,0.60232,0.05487,0.03173,0.01871,0.01225,1.92201,1.94722,0.52679,0.05668,0.31438,0.31019,9.90677,16.80427,0.60425,0.09278,0.02054,0.03049,0.29513,-4.30126,-6.35452
"24","2016_Q4",19.8368253968254,"Up",104712000,-40091000,64621000,-57081000,-56800000,7540000,-647000,-647000,6893000,6893000,-2728000,4165000,4165000,4165000,4165000,51176000,28051000,19302000,19302000,53413000,11519000,11519000,135410000,105595000,34494000,8048000,140089000,275499000,42573000,19569000,23004000,20132000,20132000,67708000,16549000,16549000,25626000,93334000,56038000,128635000,-2508000,182165000,182165000,275499000,4165000,3255000,2680000,-2145000,7955000,-4784000,0,-4784000,-1093000,-1623000,-2053000,6000,-2059000,-4846000,-1675000,-1675000,-1675000,10795000,14080000,6594000,0.61713,0.07201,0.03978,0.02286,0.01512,1.58319,1.99991,0.51236,0.05111,0.38784,0.38286,9.75062,16.96293,0.61402,0.10178,0.02471,0.03099,0.26242,-3.43641,-4.91989
"25","2017_Q1",20.3296774193548,"Up",113786000,-43023000,70763000,-61754000,-61333000,9009000,-512000,-80000,8497000,8497000,-3452000,5045000,5045000,5045000,5045000,58269000,35144000,18358000,18358000,53215000,10727000,10727000,140569000,104655000,33043000,7612000,137698000,278267000,48542000,21281000,24043000,25181000,25181000,77013000,16728000,16728000,20549000,97562000,53870000,129388000,-2553000,180705000,180705000,278267000,5045000,3383000,2087000,9582000,20097000,-2511000,-2.91038304567337e-11,-2511000,-1073000,-7016000,-2404000,0,-2404000,-10493000,7093000,7093000,7093000,12392000,7111000,22915000,0.6219,0.07917,0.04434,0.02792,0.01813,4.54212,1.82526,0.5399,0.02555,0.47404,0.46827,10.69161,16.97948,2.15315,0.10082,0.02991,0.11203,0.21269,-4.12831,-5.67854
"26","2017_Q2",22.2934920634921,"Up",105892000,-41898000,63994000,-59330000,-58524000,4664000,-733000,-733000,3931000,3931000,-1070000,2861000,2861000,2861000,2861000,46643000,23518000,18470000,18470000,55473000,9572000,9572000,130158000,106840000,32651000,7127000,139491000,269649000,40386000,18416000,21970000,26158000,26158000,69864000,16544000,16544000,17277000,87141000,53825000,131178000,-2495000,182508000,182508000,269649000,2861000,3351000,516000,-4651000,2077000,-5607000,223000,-6039000,-4290000,-3095000,195000,221000,-26000,-7664000,-11626000,-11626000,-11626000,8015000,4053000,-1173000,0.60433,0.04404,0.02702,0.01568,0.01061,-0.41,1.86302,0.47746,0.01503,0.26956,0.2669,9.97697,17.19561,-0.11052,0.4042,0.03521,-0.00577999999999997,1.49948,-5.31379,-9.13165
"27","2017_Q3",27.5934920634921,"Up",114125000,-44981000,69144000,-61544000,-61075000,7600000,-678000,-678000,6922000,9105000,-3263000,5842000,5842000,5842000,5842000,52923000,29798000,19486000,19486000,58093000,8599000,8599000,139101000,106900000,31095000,5471000,137995000,277096000,45594000,20858000,24736000,22649000,22649000,71589000,17891000,17891000,18522000,90111000,54033000,135947000,-2995000,186985000,186985000,277096000,5842000,3355000,-706000,-1076000,7415000,-3502000,3592000,90000,-1073000,-96000,-56000,0,-56000,-1225000,6280000,6280000,6280000,10955000,3977000,9640000,0.60586,0.06659,0.05119,0.03124,0.02108,1.65012,1.94305,0.48192,0.01435,0.54865,0.54484,10.71794,17.56052,0.90533,0.10077,0.03311,0.04616,0.18367,-4.46791,-6.44026
"28","2017_Q4",28.7728571428571,"Up",114261000,-45320000,68941000,-61681000,-61373000,7260000,-583000,-583000,6677000,6677000,-2098000,4579000,4579000,4579000,4579000,59622000,36497000,19514000,19514000,57748000,8808000,8808000,145692000,101988000,32076000,6410000,134064000,279756000,46185000,19047000,27138000,20757000,20757000,70315000,18188000,18188000,18715000,89030000,54303000,139345000,-2922000,190726000,190726000,279756000,4579000,3354000,-1395000,-1332000,5206000,2766000,0,2766000,-1181000,-96000,171000,172000,-1000,-1273000,6699000,6699000,6699000,10614000,3900000,14146000,0.60336,0.06354,0.04007,0.02401,0.01637,3.08932,2.07199,0.4668,0.01394,0.42949,0.4267,10.71723,17.88934,1.32684,0.11077,0.02707,0.06647,0.25792,-5.24986,-7.67521
"29","2018_Q1",25.7296721311475,"Down",118225000,-45380000,72845000,-65351000,-64521000,7494000,-285000,-281000,7209000,8163000,-3189000,4974000,4974000,4974000,4974000,77074000,53949000,19640000,19640000,54476000,8192000,8192000,159382000,103244000,31122000,5378000,134366000,293748000,52844000,21760000,27325000,27107000,27107000,83356000,18603000,18603000,18932000,102288000,54652000,139378000,-2570000,191460000,191460000,293748000,4974000,3252000,-56000,13516000,21686000,-4683000,1731000,-2952000,-1181000,-186000,85000,85000,0,-1282000,17452000,17452000,17452000,10746000,3734000,22768000,0.61616,0.06339,0.04207,0.02598,0.01693,4.5774,1.91206,0.53425,0.01271,0.466,0.46246,11.07619,17.93739,2.13307,0.11064,0.02879,0.10649,0.23743,-6.82487,-9.7865
"30","2018_Q2",21.62015625,"Down",110272000,-43269000,67003000,-64953000,-64251000,2050000,-627000,-627000,1423000,1423000,-2336000,-912999.999999999,-912999.999999999,-912999.999999999,-912999.999999999,47435000,24310000,21543000,21543000,63669000,9610000,9610000,142257000,103766000,40642000,5619000,144408000,286665000,50877000,25551000,25326000,26943000,26943000,78245000,19134000,19134000,19354000,97599000,54275000,137827000,-3036000,189066000,189066000,286665000,-912999.999999999,3304000,3234000,-7024000,-1399000,-3958000,0,-19514000,-4942000,-3102000,-160000,84000,-244000,-8726000,-29639000,-29639000,-29639000,5354000,645000,-3292000,0.60762,0.01859,-0.00828000000000001,-0.00482999999999999,-0.00318,3.6057,1.8181,0.51622,0.00225,-0.08544,-0.08544,10.31884,17.69208,-0.30805,0.46245,0.01929,-0.01576,-5.41292,-8.73926,-22.82439
"31","2018_Q3",18.1995238095238,"Down",116980000,-45660000,71320000,-65657000,-65456000,5663000,-233000,-233000,5430000,5430000,-1141000,4289000,4289000,4289000,4289000,45674000,22549000,20619000,20619000,62086000,10539000,10539000,138918000,101658000,40772000,5946000,142430000,281348000,47305000,21787000,25518000,22093000,22093000,69830000,19313000,19313000,19422000,89252000,54118000,140934000,-2956000,192096000,192096000,281348000,4289000,3384000,467000,-6911000,1229000,-1241000,2.3283064365387e-10,-1241000,-1182000,-104000,-463000,116000,-579000,-1749000,-1761000,-1761000,-1761000,9047000,541000,2036000,0.60968,0.04841,0.03666,0.02233,0.01524,0.4747,1.98937,0.46462,0.00192,0.4008,0.3993,10.93153,17.95096,0.19026,0.11046,0.02581,0.00961,0.275589999999999,-4.98873,-7.9698
