"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.4690625,"Up",72349000,-48342000,24007000,-21885000,-1665000,2122000,-80000,-269000,189000,2042000,-2060000,-10979000,-13039000,-13039000,-13039000,-13039000,24949524.3031783,23826127.319618,1532234.60623582,1532234.60623582,39502605.6520951,8933058.57390473,8933058.57390473,74917423.1354139,33192050.8852003,57502993.2957294,-55661.8276527002,89185840.8802128,164103264.015627,50007501.4520723,19071672.2727779,30935829.1792944,18066.5827990894,21272673.6461612,21272673.6461612,71298241.6810326,18607313.5211382,5595475.17930494,229225.021600713,24202788.7004432,95501030.3814757,152984272.301493,-84600559.4799746,218518.790325576,68602233.7967084,68602233.634151,164103264.015627,-13039000,3468000,12324000,-10462000,-7709000,-3507000,-6153000,24995000,130000,130000,-1945000,23180000,9318000,9318000,25000,9343000,5590000,0,2600000,0.33182,0.02933,-0.18022,-0.127859812112169,-0.0610669026454181,-0.1994,1.00257694437748,1.34977195947865,0.113488798621123,-0.42951,-0.47887,2.38319,2.2707524957857,0.08564,-0.0961783971983398,0.0843394390654954,-4.3243961853355,23.9850699039546
"2","2011_Q1",8.36887096774194,"Down",80449000,-53051000,27398000,-25302000,-2061000,2096000,-251000,-257000,6000,1845000,-2832000,-64000,-2896000,-2896000,-2896000,-2896000,18657000,17595000,5339000,5339000,48100000,5646000,5646000,77742000,33140000,38514000,790000,75795000,153537000,47147000,31660000,15487000,132000,11647000,11647000,58926000,18060000,3747000,701000,21807000,80733000,153992000,-81437000,249000,72804000,72804000,153537000,-2896000,4623000,1010000,-6054000,-3317000,-2279000,-2047000,-1072000,168000,168000,-844000,-1748000,-7112000,-7112000,167000,-6945000,6719000,18192000,-1550000,0.34056,0.02605,-0.036,-0.03978,-0.01886,0.535219999999992,1.31932,1.10891,0.11849,-0.0952600000000001,-0.09526,2.64631,2.39484,-0.0509899999999999,-0.03057,-0.01636,-0.06921,-0.22185
"3","2011_Q2",7.42253968253968,"Down",86978000,-56562000,30416000,-25386000,-1938000,5030000,-250000,-281000,31000,4780000,-227000,-18000,-245000,-245000,-245000,-245000,16982075.2322739,15927957.5601273,7689505.13125473,7689505.13125473,48723548.1159683,4473147.14203176,4473147.14203176,77868275.6215287,33656566.3715999,32986002.2347569,1093053.9425509,71880719.7065957,149748995.328124,46272582.8493092,34668359.2424074,11604223.6069019,163727.805733637,9269525.45127962,9269525.45127962,55705836.1063225,16809728.8262873,3631008.27356502,908091.659466429,20440737.0998523,76146573.2061748,154863992.566169,-81541896.8400085,280327.069891475,73602422.0677639,73602422.1219497,149748995.328124,-245000,4630000,736000,1664000,6785000,-3688000,-3650000,-2020000,122000,122000,51000,-1847000,1288000,1288000,1000,1289000,9660000,0,7654000,0.3497,0.05783,-0.00282,-0.0183908959626103,-0.00881853245152732,-31.24082,1.39025018520751,1.03799684684045,0.113407067126292,-0.00805,-0.00805,2.85642,2.41347666807143,0.25136,-0.01482803426722,-0.0238114796884985,0.696427895111835,-5.61065413465154
"4","2011_Q3",6.3384375,"Down",84268000,-55854000,28414000,-26053000,-1917000,2361000,-139000,-186000,47000,2222000,-2370000,-195000,-2565000,-2565000,-2565000,-2565000,17361000,16249000,8839000,8839000,45804000,4448000,4448000,76452000,34346000,34558000,1073000,72670000,149122000,46755000,33014000,13741000,149000,11431000,11431000,58335000,14844000,4230000,963000,19074000,77409000,155651000,-84247000,309000,71713000,71713000,149122000,-2565000,4435000,868000,-2102000,635999.999999998,-3581000,-2394000,-1054000,133000,133000,34999.9999999999,-886000,-2644000,-2644000,9000,-2635000,6796000,14993000,1308000,0.33719,0.02802,-0.03044,-0.03577,-0.0172,-0.509940000000004,1.31057,1.07943,0.10054,-0.08398,-0.08398,2.759,2.34794,0.04282,-0.02821,0.01438,-0.348440000000001,-1.00296000000001
"5","2011_Q4",4.86142857142857,"Down",78593000,-54248000,24345000,-25112000,-1676000,-767000,-90000,-291000,201000,-857000,-5306000,-2000,-5308000,-5308000,-5308000,-5308000,16268000,15151000,8805000,8805000,45717000,4444000,4444000,75234000,34800000,35651000,981000,72555000,147789000,49313000,33833000,15480000,128000,13704000,13704000,63145000,13255000,4216000,983000,17471000,80616000,156403000,-89555000,325000,67173000,67173000,147789000,-5308000,3465000,624000,4198000,2979000,-3934000,-2234000,-1610000,69000,69000,-279000,-1820000,-1075000,-1075000,-23000,-1098000,2698000,13383000,2964000,0.30976,-0.00976,-0.06754,-0.07902,-0.03592,-0.5584,1.19145,1.20013,0.09055,-0.17362,-0.17363,2.57068,2.19714,0.09695,-0.06262,0.03496,-1.06931,3.76141
"6","2012_Q1",4.4258064516129,"Down",77233000,-53408000,23825000,-22142000,-1743000,1683000,-175000,-260000,85000,1508000,-8746000,1727000,-7019000,-7019000,-7019000,-7019000,11460000,10335000,7922000,7922000,52245000,3548000,3548000,75175000,34627000,30310000,1026000,67041000,142216000,52868000,41303000,11565000,135000,13952000,13952000,66955000,11662000,2675000,1079000,14337000,81292000,157171000,-96574000,327000,60924000,60924000,142216000,-7019000,3838000,4115000,-955999.999999999,-22000,-3174000,-2674000,-1585000,60000,60000,-594000,-2119000,-4815000,-4815000,-1000,-4816000,5521000,11797000,-335999.999999999,0.30848,0.02179,-0.09088,-0.11521,-0.04935,0.0478700000000003,1.12277,1.33432,0.08295,-0.22924,-0.22923,2.52247,1.98981,-0.01097,-0.0931,-0.00445999999999999,0.0610399999999998,0.200240000000001
"7","2012_Q2",3.74698412698413,"Down",87436000,-60808000,26628000,-21196000,-1536000,5432000,-178000,-209000,31000,5254000,-664000,-124000,-788000,-788000,-788000,-788000,10727000,8834000,9189000,9189000,46109000,3472000,3472000,69497000,33764000,30001000,1037000,64062000,133559000,44016000,33907000,10109000,132000,25579000,25579000,69727000,7000,2958000,1236000,2965000,72692000,157850000,-97362000,379000,60867000,60867000,133559000,-788000,4087000,753000,-4272000,-220000,-2373000,-1302000,-33000,43000,43000,-21000,-11000,-1533000,-1533000,32000,-1501000,9519000,139000,2998000,0.30454,0.06213,-0.00901,-0.01295,-0.0059,-3.80457,0.9967,1.19428,0.00104,-0.02572,-0.02572,2.85384,1.98665,0.09785,-0.01232,0.04687,-1.1123,-1.94919
"8","2012_Q3",3.81460317460317,"Up",80719000,-56378000,24341000,-19733000,-1700000,4608000,-177000,-181000,4000,4431000,-1568000,-128000,-1696000,-1696000,-1696000,-1696000,1501000,1405000,9488000,9488000,49229000,4093000,4093000,64311000,32872000,29959000,1334000,62831000,127142000,45851000,37182000,8669000,117000,18181000,18181000,64149000,90999.9999999991,3240000,1391000,3331000,67480000,158340000,-99058000,380000,59662000,59662000,127142000,-1696000,4342000,905000,-4996000,-1445000,-3003000,-1069000,-5002000,0,-5.82076609134674e-11,105000,-4897000,-7411000,-7411000,-18000,-7429000,8950000,208000,1079000,0.30155,0.05709,-0.02101,-0.02843,-0.01334,-0.636200000000001,1.00253,1.13104,0.00164,-0.05533,-0.05533,2.63357,1.94656,0.0352,-0.02687,0.0171,-0.14447,-0.2806
"9","2012_Q4",2.38629032258065,"Down",73014000,-50121000,22893000,-19756000,-1590000,3137000,-122000,-121000,-1000,3015000,-2670000,-41000,-2711000,-2711000,-2711000,-2711000,1175000,1076000,8583000,8583000,48658000,4370000,4370000,62786000,32191000,29655000,1358000,61846000,124632000,41668000,32994000,8674000,84000,21170000,21170000,62922000,89000,3521000,1551000,3610000,66532000,159477000,-101769000,392000,58100000,58100000,124632000,-2711000,4116000,6e+05,-4037000,-2032000,-2479000,-2479000,4182000,620000,620000,-626000,4176000,-335000,-335000,6000,-329000,7253000,173000,778000,0.31354,0.04296,-0.03713,-0.04666,-0.02175,-0.28698,0.99784,1.14513,0.00139,-0.08785,-0.08787,2.36598,1.8827,0.02521,-0.04387,0.01259,-0.13815,-0.31941
"10","2013_Q1",1.61133333333333,"Down",62848000,-45072000,17776000,-18051000,-1448000,-275000,-288000,-274000,-14000,-563000,-32013000,1230000,-30783000,-30783000,-30783000,-30783000,1140000,1030000,7431000,7431000,42727000,4176000,4176000,55474000,28559000,4844000,1578000,33403000,88877000,38510000,28025000,10485000,70000,20960000,20960000,59540000,70000.0000000001,1623000,1309000,1693000,61233000,159812000,-132552000,384000,27644000,27644000,88877000,-30783000,3848000,25488000,4744000,3297000,-2320000,-2320000,-937000,-27000,-27000,-48000,-1012000,-35000.0000000009,-35000.0000000009,-11000,-46000,3573000,140000,4767000,0.28284,-0.00438,-0.4898,-1.11355,-0.34636,-0.15486,0.93171,2.21506,0.00158,-0.98904,-0.98888,2.01928,0.88819,0.15316,-1.04679,0.1621,-0.27988,3.63636
