"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",50.5459375,"Down",286969000,-124273000,162696000,-163448000,-115866000,-31690000,-752000,-979000,-979000,-1192000,-1731000,-37188000,-38919000,1258000,-2717000,-40378000,-40378000,-40378000,-40378000,94456000,87468000,288537000,288537000,210762000,89914000,38560000,51354000,683669000,253750000,1680291000,674737000,764540000,157811000,5521000,1934041000,2617710000,226340000,118855000,107485000,75539000,79669000,79669000,381548000,96058000,314871000,250531000,31809000,410929000,792477000,1826503000,7836000,-9106000,1825233000,1825233000,2617710000,-40378000,23568000,38373000,-11963000,9600000,-8137000,-811000,-8948000,-16076000,-13534000,-27069000,-26417000,-26417000,1272000,-25145000,22816000,171597000,1458000,0.56695,-0.00262,-0.14071,-0.02212,-0.01542,-0.03611,1.79183,0.43418,0.06555,-0.82542,-0.82542,5.86633,37.31209,0.0298,-0.01747,0.00063,3.381,-102.58112
"2","2016_Q3",57.501875,"Up",321047000,-131502000,189545000,-157148000,-120645000,-30211000,32397000,-1657000,-1657000,-1978000,30740000,-9829000,20911000,-8418000,-3536000,8957000.00000001,8957000,8957000,8957000,70885000,63886000,299633000,299633000,192730000,99090000,51797000,47293000,662338000,245006000,1617521000,659285000,731174000,8300000,146546000,1862527000,2524865000,204503000,121151000,83352000,68871000,70539000,70539000,343913000,83266000,273855000,212351000,29609000,357121000,701034000,1831943000,16793000,-24905000,1823831000,1823831000,2524865000,8957000,18099000,-3976000,-20096000,2984000,-8519000,1418000,-7101000,-16616000,-4672000,-19107000,-23224000,-23224000,-358000,-23582000,50496000,152137000,30299000,0.5904,0.10091,0.0279,0.00491,0.00355,3.38272,1.92589,0.38437,0.06026,0.18259,0.18219,6.5445,37.17855,0.61764,0.00398,0.01347,1.60908,2.50800999999998
"3","2016_Q4",49.1339682539683,"Down",295268000,-107143000,188125000,-153183000,-109233000,-32175000,34942000,-2910000,-2910000,-3495000,32032000,-10741000,21291000,-9731000,-13129000,-1569000,-1569000,-1569000,-1569000,63632000,63632000,284345000,284345000,197649000,101704000,51850000,49854000,647330000,245120000,1604510000,650366000,731144000,6010000,149555000,1849630000,2496960000,183250000,104549000,78701000,53617000,80028000,80028000,316895000,90938000,272240000,213062000,27170000,363178000,680073000,1827004000,15224000,-25341000,1816887000,1816887000,2496960000,-1569000,22485000,31176000,-15328000,36764000,-12050000,-8264000,-20314000,5484000,-14417000,-16820000,-370000,-370000,116000,-254000,57427000,144555000,39780000,0.63713,0.11834,-0.00531,-0.00086,-0.00063,-25.35373,2.04273,0.37431,0.05789,-0.03197,-0.03197,6.01667,37.02266,0.8106,-7e-04,0.01781,1.40915,2.31592
"4","2017_Q1",48.6433870967742,"Down",61574000,-42461000,19113000,5502000,-9420000,11998000,24615000,-3372000,-3372000,-3951000,21243000,1140000,22383000,11778000,703000,34864000,-29799000,-29799000,-29799000,39789000,39789000,213256000,213256000,133017000,426628000,51652000,50577000,812690000,203708000,1326233000,441608000,691712000,6017000,130670000,1529941000,2342631000,161362000,71934000,89428000,47650000,140878000,57635000,349890000,75215000,210617000,152532000,35071000,285832000,635722000,1794471000,-14575000,-68487000,1706909000,1706909000,2342631000,-29799000,21211000,22790000,26601000,40803000,-8511000,358000,-8153000,-10449000,-1604000,-55043000,-22393000,-22393000,-1450000,-23843000,45826000,122865000,52138000,0.31041,0.39976,-0.48395,-0.01746,-0.01272,-1.74966,2.3227,0.37244,0.05245,-0.6158,-0.60937,1.27243,35.27327,1.07743,-0.0146,0.02555,1.81286,3.37502
"5","2017_Q2",56.5519047619048,"Up",226825000,-79176000,147649000,-115686000,-87340000,-20386000,31963000,-2042000,-2042000,-2315000,29921000,-9043000,20878000,-5655000,-1996000,13227000,11271000,11271000,11271000,62719000,62719000,271534000,271534000,192388000,134036000,56047000,60367000,660677000,205121000,1504849000,605780000,698276000,9401000,132664000,1709970000,2370647000,197052000,101954000,95098000,45456000,81320000,81320000,323828000,76068000,235823000,166960000,37759000,311891000,635719000,1795850000,-3304000,-54966000,1734928000,1734928000,2370647000,11271000,20192000,3962000,-2218000,33207000,-7566000,-2505000,-10071000,0,-1566000,-690000,22446000,22446000,484000,22930000,52155000,121524000,48026000,0.65094,0.14091,0.04969,0.0065,0.00475,4.26102,2.04021,0.36642,0.05126,0.23449,0.23394,4.71893,36.09395,0.99915,0.00539,0.02295,1.1275,1.83978
"6","2017_Q3",63.3709523809524,"Up",255843000,-85746000,170097000,-136213000,-94264000,-33833000,33884000,-1326000,-1326000,-1578000,32558000,30482000,63040000,-3259000,-14102000,45679000,47498000,47498000,47498000,42690000,42690000,305355000,305355000,204680000,118656000,49213000,55584000,671381000,211164000,1651140000,713176000,763525000,11981000,121445000,1862304000,2533685000,217809000,105109000,112700000,55776000,68863000,68863000,342448000,69741000,277976000,169208000,75666000,347717000,690165000,1800887000,44194000,870000,1843520000,1843520000,2533685000,47498000,20901000,-23083000,-46963000,-1647000,-2187000,-1282000,-17663000,8694000,-12937000,-2677000,-21987000,-21987000,1958000,-20029000,54785000,125517000,8894000,0.66485,0.13244,0.18565,0.02576,0.01875,0.18725,1.96053,0.37437,0.04954,0.98666,0.98333,5.31456,38.29497,0.18475,0.02114,0.00396,1.51186,2.44443
"7","2017_Q4",79.385873015873,"Up",251253000,-89394000,161859000,-128644000,-97201000,-22903000,33215000,-1222000,-1222000,-1421000,31993000,-2666000,29327000,-1905000,-407000,27015000,27830000,27830000,27830000,65158000,65158000,314041000,314041000,214593000,128262000,55176000,58969000,722054000,213769000,1667307000,717646000,781070000,4356000,117855000,1881076000,2603130000,223817000,102651000,121166000,52074000,80466000,80466000,356357000,71853000,260494000,152133000,74404000,332347000,688704000,1806262000,72024000,38469000,1914426000,1914426000,2603130000,27830000,22232000,5779000,-13736000,42105000,-8905000,-5158000,-14063000,-309000,-7103000,-6633000,21409000,21409000,1059000,22468000,55447000,123927000,34711000,0.64421,0.1322,0.11076,0.01454,0.01069,1.24725,2.02621,0.35974,0.04761,0.57761,0.57341,5.21477,39.73404,0.72043,0.01211,0.0151,1.05991,1.76935
"8","2018_Q1",85.1708196721311,"Up",278356000,-106130000,172226000,-142217000,-101295000,-32394000,30009000,-1889000,-1889000,-2483000,28120000,-20227000,7893000,-39135000,-214000.000000002,-31456000,-111688000,-111688000,-111688000,93615000,93615000,282145000,282145000,144470000,349628000,39037000,46274000,869858000,192359000,1441674000,535397000,784242000,11559000,75984000,1634033000,2503891000,177683000,85915000,91768000,84034000,144299000,66224000,406016000,61958000,220603000,123342000,69084000,282561000,688577000,1809798000,-39664000,45313000,1815314000,1815314000,2503891000,-111688000,19610000,135895000,-26143000,17674000,-9514000,-1544000,-11058000,-9092000,28634000,21294000,27910000,27910000,547000,28457000,49619000,145992000,53097000,0.61873,0.10781,-0.40124,-0.06153,-0.04461,-0.4754,2.14242,0.37932,0.05831,-2.31526,-2.27986,5.77023,37.63089,1.10068,-0.05119,0.02434,1.05558,1.74538
"9","2018_Q2",90.78234375,"Up",250398000,-88313000,162085000,-144714000,-104161000,-31752000,17371000,-1664000,-1664000,-2111000,15707000,6370000,22077000,-3893000,-362000,17822000,13273000,13273000,13273000,64964000,64964000,279828000,279828000,154326000,348953000,31100000,47061000,848071000,191701000,1665104000,691994000,875564000,68901000,6561000,1856805000,2704876000,183794000,89922000,93872000,119708000,155973000,70980000,459475000,63651000,362768000,149700000,183978000,426419000,885894000,1813268000,-48821000,54910000,1818982000,1818982000,2704876000,13273000,17136000,-1826000,-8190000,20393000,-5723000,0,-83352000,19746000,10694000,32047000,-30912000,-30912000,2261000,-28651000,34507000,183359000,24487000,0.64731,0.06937,0.05301,0.0073,0.00491,1.84487,1.84574,0.48703,0.06779,0.27467,0.26985,5.18165,37.64138,0.50673,0.00561,0.01035,3.43104,6.81567
"10","2018_Q3",117.937142857143,"Up",287498000,-93535000,193963000,-167471000,-123439000,-34215000,26492000,-2774000,-2774000,-3006000,23718000,-4955000,18763000,1030000,-265000,19528000,15066000,15066000,15066000,47380000,47380000,261915000,261915000,157831000,87565000,35621000,51944000,554691000,186156000,1856289000,798434000,965697000,65539000,5489000,2042445000,2597136000,196156000,86914000,109242000,110588000,61276000,61276000,368020000,50413000,395669000,154404000,211937000,446082000,814102000,1819531000,-33755000,-2633000.00000001,1783034000,1783034000,2597136000,15066000,18097000,-4068000.00000001,-952000,28143000,5714000,0,-9838000,18014000,-50258000,-31120000,-12815000,-12815000,-4769000,-17584000,44589000,161001000,48321000,0.67466,0.09215,0.0524,0.00844999999999999,0.0058,3.20729,1.50723,0.45658,0.06199,0.31072,0.30536,5.92938,36.77344,0.99658,0.00644,0.02065,2.54818,4.28888
