"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",12.3628125,"Down",276813000,-260039000,-72632000,-9135000,-178272000,16774000,-2003000,-2115000,112000,14771000,14771000,-5724000,9047000,9047000,9047000,9047000,18274000,4020000,14254000,146795000,146795000,36888000,22452000,14436000,201957000,207707000,127329000,40915000,74484000,7144000,4786000,335036000,536993000,110131000,70643000,39488000,148757000,49102000,45969000,3133000,244853000,393610000,34096000,-50020000,162291000,-2984000,143383000,143383000,536993000,9047000,9135000,2830000,-13370000,7642000,-8326000,-5000,-8331000,-4528000,-6787000,-7476000,-7476000,-235000,-7711000,25909000,228984000,9937000,0.0606,0.03268,0.0631,0.01685,1.09838,1.35763,2.74517,0.42642,0.3184,0.3184,9.74213,5.04621,0.34972,0.02618,0.02358,8.1327,12.5617
"2","2016_Q4",12.5922222222222,"Up",271493000,-261466000,-73592000,-9076000,-178798000,10027000,-1908000,-2078000,170000,8119000,8119000,-3122000,4997000,4997000,4997000,4997000,15330000,1544000,13786000,149096000,149096000,39191000,23193000,15998000,203617000,236499000,118115000,39046000,74484000,63000,4522000,354614000,558231000,113193000,73027000,40166000,154806000,43390000,40155000,3235000,257482000,412288000,34096000,-50044000,165299000,-3408000,145943000,145943000,558231000,4997000,9076000,628000,150000,14851000,-32303000,284000,-32019000,16531000,14419000,-2749000,-2749000,273000,-2476000,19103000,246533000,-9928000,0.03693,0.01841,0.03424,0.00895,-1.98679,1.3153,2.82499,0.44163,0.17587,0.17587,9.55524,5.13649,-0.34942,0.01603,-0.02278,12.10297,23.05804
"3","2017_Q1",12.7453225806452,"Up",264051000,-258202000,-76838000,-9945000,-171419000,5849000,-1439000,-1953000,514000,4410000,4410000,-1687000,2723000,2723000,2723000,2723000,16114000,1755000,14359000,144712000,144712000,46625000,28674000,17951000,207451000,246277000,116729000,37189000,74484000,164000,4892000,363006000,570457000,105464000,65945000,39519000,144516000,51397000,47819000,3578000,278209000,422725000,34370000,-50044000,166033000,-2627000,147732000,147732000,570457000,2723000,9945000,9104000,-14085000,7687000,-18499000,504000,-17995000,12227000,10238000,-70000,-70000,281000,211000,15794000,261267000,-15103000,0.02215,0.01031,0.01843,0.00477,-5.54646,1.43549,2.86143,0.458,0.09583,0.09583,9.29266,5.19908,-0.53152,0.01023,-0.0328,15.52191,41.91366
"4","2017_Q2",12.5598412698413,"Down",284442000,-275273000,-83502000,-10327000,-181444000,9169000,-2168000,-2236000,68000,7001000,7001000,-2683000,4318000,4318000,4318000,4318000,17971000,3353000,14618000,155001000,155001000,39501000,23564000,15937000,212473000,255237000,115363000,35382000,74484000,163000,5334000,370600000,583073000,124038000,85706000,38332000,163029000,47197000,44838000,2359000,268518000,431547000,34616000,-50044000,168360000,-1406000,151526000,151526000,583073000,4318000,10327000,-2119000,13312000,25838000,-17475000,522862.276803692,-17475000,-5084000,-7075000,1288000,1288000,310000,1598000,19496000,256290000,18016000,0.03224,0.01518,0.0285,0.00741,4.1723,1.30328,2.84801,0.43955,0.15186,0.15186,10.00324,5.32886,0.63359,0.01387,0.03959,12.22399,25.99182
"5","2017_Q3",14.6250793650794,"Up",305199000,-298782000,-87733000,-11541000,-199508000,6417000,-2017000,-2481000,464000,4400000,4400000,-1661000,2739000,2739000,2739000,2739000,16156000,2039000,14117000,154976000,154976000,50474000,30488000,19986000,221606000,260776000,114097000,33764000,74484000,164000,5685000,374873000,596479000,132368000,89127000,43241000,178765000,52976000,50064000,2912000,266508000,445273000,34616000,-50044000,169108000,-2474000,151206000,151206000,596479000,2739000,11541000,5544000,1383000,21207000,-15472000,536000,-14936000,-6165000,-8156000,-1885000,-1885000,571000,-1314000,17958000,250234000,5530000,0.02103,0.00897,0.01811,0.00459,2.01899,1.23965,2.94481,0.41952,0.0963,0.0963,10.7302,5.31611,0.19442,0.01041,0.01217,13.03475,36.47779
"6","2017_Q4",20.5246031746032,"Up",313001000,-316485000,-86538000,-11795000,-218152000,-3484000,-1787000,-2508000,721000,-5271000,-5271000,1966000,-3305000,-3305000,-3305000,-3305000,17545000,2897000,14648000,170182000,170182000,40405000,23198000,17207000,228132000,263441000,112282000,32522000,74484000,164000,5112000,375723000,603855000,161079000,100793000,60286000,206866000,46327000,43308000,3019000,250681000,457547000,34616000,-50561000,163812000,-1559000,146308000,146308000,603855000,-3305000,11795000,-7147000,22041000,23384000,-13016000,324000,-12692000,-6796000,-9304000,1388000,1388000,-530000,858000,8311000,243540000,15370000,-0.01113,-0.01056,-0.02259,-0.00547,-4.65053,1.1028,3.12729,0.40331,-0.11621,-0.11619,11.00527,5.14426,0.54042,-0.00301,0.03524,27.19228,-64.86653
"7","2018_Q1",21.0031147540984,"Up",314023000,-300911000,-88109000,-13332000,-199470000,13112000,-2101000,-2221000,120000,11011000,11011000,13390000,24401000,24401000,24401000,24401000,16816000,1672000,15144000,171036000,171036000,40814000,20618000,20196000,228666000,267195000,114731000,31259000,74484000,4154000,4834000,381926000,610592000,146236000,84380000,61856000,199070000,35649000,32361000,3288000,242757000,441827000,34784000,-51532000,186226000,-713000,168765000,168765000,610592000,24401000,13332000,-13957000,-10356000,13420000,-16186000,1.16415321826935e-10,-16186000,4334000,1376000,-1390000,-1390000,165000,-1225000,26444000,247978000,-13488000,0.04175,0.0777,0.14459,0.03996,-0.55276,1.14867,2.618,0.40613,0.85977,0.85949,11.06455,5.94641,-0.47525,0.05833,-0.02981,8.74157,17.6298
"8","2018_Q2",21.93015625,"Up",335113000,-318009000,-93943000,-12218000,-211848000,17104000,-2948000,-2553000,-395000,14156000,14156000,-3722000,10434000,10434000,10434000,10434000,14077000,2145000,11932000,197489000,197489000,41920000,18916000,23004000,253486000,272665000,136317000,41995000,84827000,4154000,5341000,408982000,662468000,169585000,103856000,65729000,224258000,36046000,33388000,2658000,258805000,483063000,35029000,-51532000,198723000,-2815000,179405000,179405000,662468000,10434000,12218000,-1020000,-5524000,16108000,-6081000,2692000,-38239000,13902000,20890000,-1241000,-1241000,1714000,473000,29322000,270963000,21439000,0.05104,0.03114,0.05816,0.01575,2.05472,1.13033,2.69258,0.40902,0.36758,0.36748,11.80557,6.32019,0.75527,0.02554,0.04408,8.76086,15.01906
"9","2018_Q3",30.8165079365079,"Up",365925000,-339673000,-95021000,-13246000,-231406000,26252000,-2618000,-2954000,336000,23634000,23634000,-5965000,17669000,17669000,17669000,17669000,14190000,1664000,12526000,213681000,213681000,41260000,21074000,20186000,269131000,284374000,134406000,41203000,84827000,3584000,4792000,418780000,687911000,176862000,113451000,61263000,236068000,38446000,34899000,3547000,259065000,495133000,35029000,-51532000,213411000,-4130000,192778000,192778000,687911000,17669000,13246000,2199000,-5848000,27266000,-23914000,-380000,-24549000,730000,-1830000,887000,887000,-1368000,-481000,39498000,272224000,15701000,0.07174,0.04829,0.09165,0.02569,0.88862,1.14006,2.56841,0.39573,0.62226,0.6221,12.88695,6.78915,0.55295,0.04102,0.03119,6.53284,9.82912
"10","2018_Q4",24.368253968254,"Down",374292000,-351762000,-94938000,-13984000,-242840000,22530000,-2556000,-4303000,1747000,19974000,19974000,-4919000,15055000,15055000,15055000,15055000,12978000,2545000,10433000,214712000,214712000,46708000,25825000,20883000,274398000,298633000,195929000,75844000,114097000,2616000,3372000,494562000,768960000,170160000,106999000,60335000,270290000,49644000,45317000,4327000,293949000,564239000,35029000,-52364000,225485000,-3429000,204721000,204721000,768960000,15055000,13984000,2914000,-1426000,30527000,-22080000,2690000,-82489000,54045000,52373000,411000,411000,470000,881000,36514000,329261000,17927000,0.06019,0.04022,0.07354,0.01958,1.19077,1.0152,2.75614,0.42819,0.53044,0.53026,13.18765,7.21306,0.63163,0.0309,0.03072,8.66197,14.0383
