"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q2",22.5503174603175,"Up",183700000,-99500000,84200000,-80200000,-7.4e+07,-6200000,4e+06,-7800000,-7700000,-1e+05,-3800000,525142711.401265,-3800000,-2100000,-5900000,-5900000,-7400000,-7400000,316604000,316604000,141384000,141384000,79870000,21347000,21347000,-9263460490.97828,559205000,135743000,1699282000,665577000,1001748000,31957000,1835025000,2394230000,99215000,54230000,40329000,7911000,107126000,742327000,240746000,21532000,135287000,83927000,983073000,1090199000,1402855000,-201639000,5484000,1206720000,97311000,1304031000,2394230000,21100000,-2e+06,-1100000,2800000,-2e+06,-2e+05,170300000,194200000,194200000,-6e+05,193600000,750238000,0.45836,0.02177,-0.04028,-0.00567,-0.00309,5.22007,0.83602,0.31335,-0.06903,-0.06903,1.71362,11.25653,-0.00322,108.4085
"2","2014_Q3",25.59671875,"Up",189100000,-92400000,96700000,-91100000,-85200000,-5900000,5600000,-8200000,-7700000,-5e+05,-2600000,134114237.133755,-2600000,4e+06,1400000,1400000,-400000.000000007,-399999.99999997,642760000,642760000,142011000,142011000,80511000,24262000,24262000,-2414184163.65943,889544000,133641000,1743504000,699443000,1004354000,39707000,1877145000,2766689000,107372000,56990000,46948000,7953000,115325000,740497000,284666000,23812000,166298000,94556000,1025163000,1140488000,1704836000,-202016000,24372000,1527212000,98989000,1626201000,2766689000,28100000,-2600000,1100000,-2600000,-1800000,4e+05,299700000,325200000,325200000,9e+05,326100000,748450000,0.51137,0.02961,-0.00211999999999992,-0.000250000000000005,-0.000139999999999999,7.71337,0.70132,0.27052,-0.0031099999999999,-0.00311000000000002,1.47045,11.87552,-0.000149999999999997,18.87321
"3","2014_Q4",23.98953125,"Down",196800000,-93600000,103200000,-79900000,-73500000,-6400000,23300000,-7400000,-8e+06,6e+05,15900000,-3600000,12300000,1700000,1.4e+07,1.4e+07,11900000,11900000,281676000,281676000,145095000,145095000,79325000,405608000,26754000,378854000,911704000,133942000,1683974000,664920000,971678000,47376000,1817916000,2729620000,133406000,58217000,63348000,7904000,141310000,738474000,270254000,30510527.4176438,151845000,118409000,1008728000,1150038000,1704760000,-190145000,-33440000,1481195000,98387000,1579582000,2729620000,30300000,-2200000,-3.15e+08,-3.81e+08,-2e+06,-4200000,-6400000,-357100000,-357100000,-3900000,-3.61e+08,746378000,0.52439,0.11839,0.06047,0.00753,0.00436,6.4518,0.72806,0.27344,0.08667,0.07793,1.43336,10.78787,0.00458,19.94429
"4","2015_Q1",23.3424590163934,"Down",273600000,-161100000,112500000,-135900000,-128200000,-7700000,-23400000,-14700000,-14500000,-2e+05,-38100000,1300000,-36800000,3100000,-33700000,-33700000,-3.4e+07,-266700000,397300000,397300000,327300000,327300000,205800000,646100000,14500000,631600000,1576500000,178600000,2792200000,1341500000,1405300000,45400000,2970800000,4547300000,227500000,106700000,104100000,13200000,240700000,1392400000,361600000,38800000,202300000,120500000,1.754e+09,1994700000,2814300000,-224100000,-130600000,2459600000,9.3e+07,2552600000,4547300000,18700000,-11100000,-2.88e+08,-1601900000,675500000,-9400000,1705300000,122100000,122100000,-6500000,115600000,1405600000,0.41118,-0.08553,-0.97478,-0.10448,-0.05865,6.54965,0.78144,0.30911,-1.58656,-1.74656,1.6276,14.63177,-0.06174,-43.08974
"5","2015_Q2",26.1884126984127,"Up",534800000,-327700000,207100000,-204900000,-1.92e+08,-12900000,2200000,-37700000,-39400000,1700000,-35500000,33900000,-1600000,-24700000,-26300000,-26300000,-26700000,-26700000,297300000,297300000,1054100000,1054100000,460900000,1.69e+08,1.69e+08,0,1981300000,2.8e+08,5806600000,2769600000,2908900000,128100000,6086600000,8067900000,714400000,389500000,297400000,194100000,998400000,3424400000,872500000,45600000,647200000,179700000,4296900000,5295300000,2816200000,-250800000,-547800000,2663500000,109100000,2772600000,8067900000,2800000,-20800000,591800000,-2291100000,2238300000,-40400000,2198900000,-89400000,-89400000,-10600000,-1e+08,3618500000,0.38725,0.00411,-0.04993,-0.00963,-0.00331,1.98448,1.90987,0.44851,-0.13913,-0.13913,2.78687,10.51381,-0.00368,1509.63636
"6","2015_Q3",19.98203125,"Down",675100000,-406500000,268600000,-224600000,-206200000,-18400000,4.4e+07,-36800000,-51100000,14300000,7200000,-16500000,-9300000,200000.000000004,-9100000.00000001,-9100000,-12200000,-12200000,672200000,672200000,1050100000,1050100000,4.7e+08,1.95e+08,1.95e+08,0,2387300000,280600000,5878500000,2777300000,3012800000,88400000,6159100000,8546400000,748800000,386700000,360600000,39200000,8.58e+08,3401600000,892400000,45200000,675600000,171600000,4.294e+09,5.152e+09,3.29e+09,-2.63e+08,-387600000,3285300000,109100000,3394400000,8546400000,97500000,-8500000,-6299999.99999988,-9400000,-158800000,-24600000,2.85e+08,373100000,373100000,1800000,374900000,3440800000,0.39787,0.06518,-0.01807,-0.00359,-0.00142999999999999,2.7824,1.51779,0.4026,-0.06328,-0.0632799999999998,3.50156,13.68983,-0.00158,62.92273
"7","2015_Q4",11.82046875,"Down",597400000,-354600000,242800000,-211500000,-1.95e+08,-16500000,31300000,-48900000,-52700000,3800000,-17600000,-86600000,-104200000,-35300000,-139500000,-139500000,-1.4e+08,-1.4e+08,6.82e+08,6.82e+08,943400000,943400000,466900000,220400000,220100000,3e+05,2312700000,266900000,5496200000,2577900000,2.842e+09,76300000,5763100000,8075800000,8.7e+08,386100000,381200000,36100000,965100000,3401400000,795100000,44200000,567100000,183800000,4196500000,5161600000,3289400000,-385200000,-741400000,2808700000,105500000,2914200000,8075800000,30800000,9300000,-13400000,-5300000,-4700000,1700000,-2900000,22600000,22600000,-12800000,9800000,3437500000,0.40643,0.05239,-0.23435,-0.04804,-0.01734,2.39633,1.77119,0.42565,-0.66382,-0.66382,2.83262,10.2551,-0.01959,88.03514
"8","2016_Q1",7.63967213114754,"Down",7.35e+08,-461600000,273400000,-279300000,-264300000,-1.5e+07,-5900000,-134100000,-70700000,-63400000,-1.4e+08,25800000,-114200000,-15300000,-129500000,-129500000,-129700000,-129700000,432200000,432200000,1.023e+09,1.023e+09,484600000,297800000,72200000,225600000,2237600000,491600000,7.461e+09,3314300000,4021900000,124800000,7952600000,10190200000,1007700000,450300000,492300000,54700000,1062400000,5173600000,1.035e+09,80500000,678800000,275700000,6208600000,7.271e+09,3522700000,-532700000,-886100000,2749800000,169400000,2919200000,10190200000,189800000,-2100000,-206200000,-1950700000,1550900000,-30700000,1520200000,-240700000,-240700000,-9100000,-249800000,5228300000,0.37197,-0.00802999999999999,-0.17646,-0.04443,-0.01273,2.10617,2.49075,0.51307,-0.59715,-0.59715,3.38398,9.68646,-0.01412,-812.89831
"9","2016_Q2",9.03203125,"Up",823800000,-467800000,3.56e+08,-303900000,-2.84e+08,-19900000,52100000,-9.7e+07,-93800000,-3200000,-44900000,-71100000,-1.16e+08,-18400000,-134400000,-134400000,-134800000,-134800000,329700000,329700000,1172800000,1172800000,612500000,181100000,180300000,8e+05,2296100000,496500000,7800100000,3453600000,4247900000,98600000,8296600000,10592700000,986700000,419800000,497100000,188900000,1175600000,5218400000,1102700000,81800000,723800000,297100000,6321100000,7496700000,3.524e+09,-667500000,-587700000,2914700000,181300000,3.096e+09,10592700000,-210400000,-11600000,-8300000,-19900000,123800000,-3100000,120700000,-109600000,-109600000,7100000,-102500000,5407300000,0.43214,0.06324,-0.16363,-0.04354,-0.01273,1.95313,2.42141,0.51047,-0.58736,-0.58736,3.58954,9.88584,-0.01403,97.45873
"10","2016_Q3",8.6559375,"Down",921600000,-5.41e+08,380600000,-285700000,-265200000,-20500000,94900000,-100900000,-97400000,-3500000,-6e+06,24900000,18900000,-26900000,-7999999.99999999,-8e+06,-8800000,-8799999.99999999,341700000,341700000,1181700000,1181700000,572700000,172200000,171300000,9e+05,2268300000,480300000,7923400000,3454100000,4.37e+09,99300000,8403700000,1.0672e+10,974500000,393900000,504600000,161500000,1.136e+09,5187200000,1.135e+09,75600000,733700000,325700000,6322200000,7458200000,3526500000,-676300000,-473700000,3022400000,191400000,3213800000,1.0672e+10,97100000,1100000,-11400000,-10300000.0000002,-37099999.9999998,-36100000,-73200000,13600000,13600000,-1600000,1.2e+07,5348700000,0.41298,0.10297,-0.00955,-0.00274,-0.00082,1.99674,2.32068,0.50119,-0.0383299999999999,-0.0383300000000001,4.01394,10.35061,-0.000909999999999999,52.7607999999998
