"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",1544.16125,"Down",790551,-834948,-44397,-4679713,-3726490,-953223,-4724110,-394373,-465007,-5118483,-6503458,-6503458,-6503458,-6503458,-6870808,29627611,11171021,554181,554181,2412093,767735,236000,33361620,1473483,15950567,49312187,3227935,1192786,2035149,210003,181250,3437938,9669319,8718117,8718117,18387436,21825374,106270993,-78709180,27486813,27486813,49312187,-6452343,147916,1875190,-1353133,-5782370,-100626,-32978434,1713951,606,606,48367581,9606777,9606777,9606777,-4576194,9669319,-0.05616,-5.97572,-8.69116,-0.24997,-0.13933,9.70396,0.79403,0.19608,-311.25218,-311.25218,35.81249,1245.17094,-0.14977,4.36133,4.22477
"2","2015_Q4",981.43921875,"Down",1010955,-809015,201940,-5026974,-3717402,-1309572,-4825034,-332628,-340867,-5157662,-5157662,-5157662,-5157662,-5157662,-5157662,31309902,2598143,696827,696827,2266182,616599,223472,34889510,1828145,9654679,44544189,4392563,966853,3425710,395216,362500,4787779,8738683,8581038,8581038,17319721,22107500,106373777,-83866842,22436689,22436689,44544189,-5157662,174390,293170,201088,-4489014,-505949,-4102098,-7311,28470,28470,18234.0000000075,-8572878,-8572878,-8572878,-4650644,8738683,0.19975,-4.77275,-5.10177,-0.22988,-0.11579,7.2872,0.98533,0.19618,-135.91934,-135.91934,26.64159,591.27175,-0.12973,4.85335,4.67794
"3","2016_Q1",558.98737704918,"Down",1215754,-796921,418833,-5761958,-4111249,-1650709,-5343125,-346338,-348443,-5689463,-5689463,-5699652,-5699652,-5699652,-5699652,31495490,3293983,716246,716246,2201301,445217,445217,34858254,1932213,4536114,39394368,5699141,724805,4974336,620469,572993,6319610,7737586,8443774,8443774,16181360,22500970,106576249,-89566494,16893398,16893398,39394368,-5699652,188763,234608,719251,-4557030,-387846,5239346,-7309,20833,20833,13524,695840,695840,695840,-5154362,7737586,0.3445,-4.39491,-4.68816,-0.33739,-0.14468,5.51589,1.33194,0.19641,-147.86073,-147.86073,31.53917,438.24959,-0.17233,4.60928,4.44644
"4","2016_Q2",507.6565625,"Down",865232,-843470,21762,-6687809,-4693708,-1994101,-6666047,-356978,-356978,-7023025,-7023025,-7026424,-7026424,-7026424,-7026424,30154066,4922696,574566,574566,2365962,325679,264671,33420273,3712294,6332970,39753243,9475646,2231788,7243858,1003242,977794,10478888,9784163,8926449,8926449,18710612,29189500,107233667,-96592918,10563743,10563743,39753243,-7026424,357023,324697,221287,-6123417,-220570,2779430,5027300,198548.454476605,198548.454476605,4972700,1628713,1628713,1628713,-6309024,9784163,0.02515,-7.70435,-8.12086,-0.66515,-0.17675,3.1893,2.76318,0.24612,-183.6651,-183.6651,22.61647,276.12779,-0.24002,3.22869,3.05577
"5","2016_Q3",447.0709375,"Down",1895816,-932976,962840,-7324228,-4712637,-2611591,-6361388,-489355,-507797,-6850743,-6850743,-6851603,-6851603,-6851603,-6851603,22915907,7510493,1911394,1911394,2213108,673940,256564,27714349,3957952,3957952,31672301,9369028,1607044,7761984,1210785,1027078,10579813,8368215,8706623,8706623,17074838,27654651,107534655,-103444521,4017650,4017650,31672301,-6851603,371805,584689,-913115,-6808224,-1400376,10918353,-1725832,148900,148900,-1522332,2587797,2587797,2587797,-5989583,8368215,0.50788,-3.35549,-3.61407,-1.70538,-0.21633,2.61955,6.88329,0.26421,-175.70209,-175.70209,48.61619,103.02837,-0.32484,2.42883,2.28687
"6","2016_Q4",398.732222222222,"Down",913901,-1125009,-211108,-5847716,-3937600,-1910116,-6058824,-429618,-464629,-6488442,-6488442,-6488442,-6488442,-6488442,-6488442,16620964,5523824,591861,591861,1867685,441306,226070,19521816,3666947,3666947,23188763,8664803,1117830,7546973,1136318,852655,9801121,6902379,8700020,8700020,15602399,25403520,107793526,-109932963,-2214757,-2214757,23188763,-6488442,357924,687928,1061490,-4381100,-238209,4061791,-1696313,28953,28953,-1667360,-1986669,-1986669,-1986669,-5700900,6902379,-0.231,-6.62963,-7.09972,2.92964,-0.27981,1.99179,-11.47012,0.29766,-165.57513,-165.57513,23.32136,-56.51721,-0.48466,1.70475,1.60404
"7","2017_Q1",481.238709677419,"Up",1457781,-1234429,223352,-5468335,-4083832,-1384503,-5244983,-422239,-425649,-5667222,-5667222,-5673081,-5673081,-5673081,-5673081,11812560,7507659,1377441,1377441,1511053,433328,433328,15134382,3270197,3319827,18454209,8821731,761663,8060068,1199260,863601,10020991,5389137,8636943,8636943,14026080,24047071,110089272,-115606044,-5592862,-5592862,18454209,-5673081,387026,1026949,-662361,-4921467,-87360,6662640,271620,20672.0000000001,20672.0000000001,242662,1983835,1983835,1983835,-4857957,5389137,0.15321,-3.59792,-3.89159,1.01434,-0.30741,1.51027,-4.2996,0.29203,-136.22634,-136.22634,35.00535,-134.30006,-0.67271,1.32225,1.22468
"8","2017_Q2",757.514285714286,"Up",1371169,-1295302,75867,-5505530,-4238467,-1267063,-5429663,-386331,-386331,-5815994,-5815994,-5816274,-5816274,-5816274,-5816274,5378608,2767780,1196129,1196129,1255428,368563,368563,8198728,3083793,3198855,11397583,9002959,1193217,7809742,1054385,798908,10057344,3827095,8475369,8475369,12302464,22359808,110460829,-121422318,-10962225,-10962225,11397583,-5816274,296045,735595,148928,-4635706,-65385,1634615,-1773811,35023,35023,-1738788,-4739879,-4739879,-4739879,-5133618,3827095,0.0553299999999999,-3.95988,-4.24184,0.530570000000001,-0.51031,0.8152,-2.03971,0.33578,-131.32758,-131.32758,30.96008,-247.51971,-4.33973,0.30223,0.28575
"9","2017_Q3",379.714285714286,"Down",1760756,-1236904,523852,-6032326,-4413437,-1618889,-5508474,-332428,-332428,-5840902,-5840902,-5840902,-5840902,-5840902,-5840902,13398036,13398036,1550868,1550868,1313507,468431,468431,16730842,2880487,2880487,19611329,9226312,1343912,7882400,1372422,734493,10598734,2214820,8345672,8345672,10560492,21159226,125715323,-127263220,-1547897,-1547897,19611329,-5840902,291421,617924,-25841,-4957398,-86954,2513046,-1777614,14852222,14852222,13074608,10630256,10630256,10630256,-5217053,2214820,0.29752,-3.12847,-3.31727,3.77344,-0.29783,1.57857,-13.66966,0.11294,-107.60802,-107.60802,32.43874,-28.51719,-0.64808,2.14359,2.03018
"10","2017_Q4",381.64,"Up",3723484,-1088987,2634497,-7736766,-4258347,-3478419,-5102269,-277834,-277834,-5380103,-5380103,-5380846,-5380846,-5380846,-5380846,9047401,9047401,3159223,3159223,1250763,527623,527623,13985010,3255438,3255438,17240448,12054470,2693238,9361232,1470442,689477,13524912,653185.891495195,8232477,8232477,8232477,21757389,128127125,-132644066,-4516941,-4516941,17240448,-5380846,305868,538792,382361,-4153825,-373098,-373098,-1833162,2240925,2240925,176288,-4350635,-4350635,-4350635,-4796401,0,0.70754,-1.37029,-1.44511,1.19126,-0.31211,1.03402,-4.81684,1.38777878078145e-17,-83.46153,-83.46153,57.75443,-70.06162,-1.4482,1.88629,1.77321
