"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.06578125,"Up",26809000,-16278000,10531000,-3809000,-3347000,-462000,6722000,442000,-3147418.31178412,442000,7164000,7190000,-871000,6319000,6319000,-680000,5639000,5639000,66837570.0932843,37396038.1629028,29441531.9303815,26184654.6385164,26184654.6385164,44208334.61342,-9043508.28684898,-8344695.99281858,128187051.058372,23021392.9971341,18535598.6655127,18535598.6655127,31353499.7702082,159540550.82858,32825261.1756944,28146940.7928608,4678320.38283353,32825261.1756944,5486090.47820576,5486090.47820576,5486090.47820576,38311351.6539001,3532000,189381345.785342,-80174489.73663,3719840.87122644,116458696.919938,4770502.25474154,121229199.17468,159540550.82858,6319000,711000,164000,-2547000,4647000,-2847000,1070000,-1781000,653000,653000,-141000,2725000,2725000,274000,2999000,7433000,0,2910000,0.39282,0.25074,0.21034,0.0438256960091187,0.0336410448200132,0.51605,-2.34790492774044,0.305800743017962,5.09359479200887e-20,0.18223,0.18483,0.86637,3.74127019245338,0.09404,0.0451509288758754,0.0709080089061581,-7.07722379259818,-6.54644164959657
"2","2011_Q1",9.03048387096774,"Up",26866000,-16169000,10697000,-5078000,-4167000,-911000,5619000,385000,259000,126000,6004000,6041000,-646000,5395000,5395000,-496000,4899000,4899000,33803000,23724000,10079000,23076000,23076000,35986000,4090000,4090000,96955000,24240000,11884000,11884000,43296000,140251000,14839000,7094000,7745000,14839000,5608000,5608000,5608000,20447000,3532000,190053000,-82477000,4652000,115760000,4044000,119804000,140251000,5395000,794000,381000,-5065000,1505000,-2346000,240000,-2106000,678000,678000,679000,78000,78000,253000,331000,6413000,0,-352000.000000001,0.39816,0.20915,0.18235,0.04089,0.03493,-0.0718500000000001,6.5338,0.17067,0,0.15799,0.15068,0.86642,3.61932,-0.01135,0.03906,-0.00281,-5.27101,-6.01584
"3","2011_Q2",7.43888888888889,"Down",24566000,-13906000,10660000,-4195000,-3690000,-505000,6465000,-363000,1851050.98707047,-363000,6102000,6189000,-902000,5287000,5287000,-1079000,4208000,4208000,22449809.9689052,19450987.2790324,2998822.68987282,22612948.4538279,22612948.4538279,35693555.12886,8899502.76228299,8769565.33093953,89655816.3138761,26292702.3342886,11475467.1114958,11475467.1114958,50729583.4099306,140385399.723807,9625412.94143521,1255853.06904638,8369559.87238882,9625412.94143521,5326303.17393141,5326303.17393141,5326303.17393141,14951716.1153666,3532000,190584468.071553,-78366836.7544567,5137553.04292452,120887184.360021,4546499.24841949,125433683.60844,140385399.723807,5287000,815000,309000,-4885000,1526000,-2787000,1921000,-866000,357000,357000,-1279000,-619000,-619000,168000,-451000,7280000,0,510000,0.43393,0.26317,0.17129,0.0468331013302938,0.0417079850599956,0.1212,9.14740414258014,0.121548085660679,-1.69786493066962e-20,0.13267,0.12675,0.77451,3.71932410251554,0.01608,0.0439121903747082,-0.0131385029687194,-3.34115456913394,-4.02155028346781
"4","2011_Q3",7.305625,"Down",30031000,-16005000,14026000,-4413000,-3714000,-699000,9613000,450000,2128734.6494273,450000,10063000,10132000,-1064000,9068000,9068000,-2006000,7062000,7062000,24554000,21078000,3476000,22958000,22958000,39653000,8699000,8699000,95864000,28814000,14263000,14263000,54798000,150662000,11426000,3745000,7681000,11426000,4868000,4868000,4868000,16294000,3532000,191008000,-71207000,5366000,128699000,5669000,134368000,150662000,9068000,848000,313000,-6845000,3384000,-3190000,-88999.9999999998,-5928000,176000,176000,176000,-2368000,-2368000,173000,-2195000,10461000,0,1490000,0.46705,0.3201,0.23516,0.05256,0.04687,0.21099,8.38999,0.12126,0,0.22186,0.2134,0.94345,3.93224,0.04681,0.05072,0.0107,-2.34719,-2.55425
"5","2011_Q4",4.51873015873016,"Down",28305000,-16068000,12237000,-4167000,-3555000,-612000,8070000,356000,1592050.98707047,356000,8426000,8529000,-667000,7862000,7862000,-1378000,6484000,6484000,30175000,24401000,5774000,21990000,21990000,44335000,7155000,7155000,103655000,31619000,16781000,16781000,57384000,161039000,13675000,6598000,7077000,13675000,4545000,4545000,4545000,18220000,3532000,191328000,-64723000,5530000,135667000,7152000,142819000,161039000,7862000,849000,273000,-1866000,7118000,-3573000,155000,-4190000,104000,104000,104000,3032000,3032000,291000,3323000,8919000,0,4147000,0.43233,0.28511,0.22908,0.0454,0.04026,0.63957,7.57989,0.12757,0,0.20298,0.19574,0.88608,4.13646,0.12982,0.044,0.02814,-3.38323,-3.73916
"6","2012_Q1",5.42709677419355,"Up",21219000,-13360000,7859000,-4534000,-3877000,-657000,3325000,253000,741000,-488000,3578000,3768000,-162000,3606000,3606000,-1040000,2566000,2566000,31661000,26156000,5505000,17966000,17966000,46012000,7464000,7052000,103103000,34282000,16122000,16122000,59385000,162488000,10883000,3286000,7597000,10883000,4556000,4556000,4556000,15439000,3532000,191586000,-62157000,5818000,138779000,8270000,147049000,162488000,3606000,898000,383000,1217000,6104000,-3519000,241000,-4446000,2.91038304567337e-11,2.91038304567337e-11,0,1658000,1658000,97000,1755000,4223000,-3.23117426778526e-27,2083000,0.37038,0.1567,0.12093,0.01745,0.01579,0.81177,9.47377,0.10499,1.20370621524202e-35,0.0802,0.07817,0.6632,4.22713,0.0651,0.01693,0.01374,-7.49728,-9.52211
"7","2012_Q2",4.57412698412698,"Down",23486000,-15292000,8194000,-4620000,-3785000,-835000,3574000,-335000,154000,-489000,3239000,3327000,-375000,2952000,2952000,-1317000,1635000,1635000,42255000,31156000,11099000,16628000,16628000,42028000,6987000,6573000,107898000,34566000,16017000,16017000,54378000,162276000,11332000,4177000,7155000,11332000,4044000,4044000,4044000,15376000,3532000,192086000,-60522000,6189000,141285000,5615000,146900000,162276000,2952000,907000,381000,5311000,9551000,-1124000,-379000,-1503000,219000,219000,-3165000,4883000,4883000,117000,5e+06,4481000,0,9043000,0.34889,0.15218,0.06962,0.01113,0.01008,5.53089,9.52153,0.10467,0,0.05104,0.04952,0.73316,4.30021,0.28229,0.03325,0.05991,-9.42981,-11.82289
"8","2012_Q3",3.38444444444444,"Down",25153000,-17645000,7508000,-4888000,-3974000,-914000,2620000,157000,284000,-127000,2777000,2839000,-412000,2427000,2427000,-1128000,1299000,1299000,42746000,31281000,11465000,22367000,22367000,40869000,6100000,5685000,112082000,35316000,15954000,15954000,55592000,167674000,14220000,5860000,8360000,14220000,3856000,3856000,3856000,18076000,3532000,192378000,-59223000,6163000,142850000,6748000,149598000,167674000,2427000,934000,510000,-784999.999999999,3086000,-1854000,-959000,-2813000,0,2.91038304567337e-11,-167000,106000.000000001,106000.000000001,19000,125000,3554000,-5.16987882845642e-26,1327000,0.29849,0.10416,0.05164,0.00868,0.00775,1.02156,7.882,0.12083,3.85185988877447e-34,0.04042,0.03943,0.78266,4.33499,0.04129,0.00955,0.00865,-12.02757,-16.31527
"9","2012_Q4",3.03516129032258,"Down",20808000,-15342000,5466000,-4794000,-3950000,-844000,672000,492000,348000,144000,1164000,1216000,228000,1444000,1444000,-512000,932000,932000,46080000,35503000,10577000,16888000,16888000,39932000,5539000,5125000,108439000,36201000,16214000,16214000,57782000,166221000,11370000,4570000,6800000,11370000,3682000,3682000,3682000,15052000,3532000,192735000,-58291000,6006000,143982000,7187000,151169000,166221000,1444000,991000,378000,4115000,6928000,-1973000,-227000,-2200000,57000,57000,-478000,4250000,4250000,-28000,4222000,1663000,0,3577000,0.26269,0.0323,0.04479,0.00617,0.00561,3.83798,9.53729,0.09957,0,0.02896,0.02844,0.64655,4.36411,0.11115,0.00947,0.0231,-27.70896,-68.57143
"10","2013_Q1",2.92983333333333,"Down",18927000,-15243000,3684000,-4585000,-3710000,-875000,-901000,206000,495000,-289000,-695000,-379000,-294000,-673000,-673000,-83000.0000000001,-756000,-756000,40904000,30634000,10270000,17912000,17912000,40352000,7304000,5268000,106472000,37235000,14691000,14691000,61117000,167589000,13096000,5894000,7202000,13096000,3579000,3579000,3579000,16675000,3532000,193095000,-59047000,6033000,143613000,7301000,150914000,167589000,-673000,1095000,464000,851000.000000001,1737000,-2126000,-3651000,-6652000,18000,18000,18000,-4897000,-4897000,28000,-4869000,194000,0,-787000,0.19464,-0.0476,-0.03994,-0.00501,-0.00451,1.04101,8.13012,0.11049,0,-0.02346,-0.0231,0.58741,4.34751,-0.02443,-0.00489,-0.00509,-210.84536,45.39845
