"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",17.6771428571429,"Up",287900000,-163500000,124400000,-98600000,-50600000,-4.8e+07,25800000,-1.3e+07,-12500000,-5e+05,12800000,9e+05,13700000,-5900000,6e+05,8400000,8400000,8400000,8400000,113900000,113900000,155200000,155200000,168700000,19600000,124500000,437800000,733600000,2.287e+09,349500000,1863200000,74300000,3020600000,3458400000,136100000,59200000,76900000,61500000,3e+07,31500000,197600000,1.598e+09,377300000,279500000,97800000,1975300000,2172900000,1351300000,7300000,-73100000,1285500000,1285500000,3458400000,8400000,4.8e+07,-1600000,-4.7e+07,7800000,-15200000,0,-15200000,0,1.598e+09,-1.506e+09,9.2e+07,84600000,84600000,-5e+05,84100000,73800000,1.598e+09,17500000,0.43209,0.08961,0.02918,0.00653,0.00243,2.08333,2.21559,1.69032,0.46206,0.0866,0.0866,2.96804,13.25258,0.18041,0,0.00258,0.00537,0,20.10976,57.52326
"2","2014_Q3",18.5603125,"Up",334400000,-171600000,162800000,-104500000,-55400000,-49100000,58300000,-18500000,-18500000,-1.16415321826935e-10,39800000,0,39800000,-17600000,2e+05,22399999.9999999,22399999.9999999,22400000,22400000,223400000,223400000,169600000,169600000,157500000,22700000,110200000,550500000,721300000,2272200000,335200000,1864800000,72200000,2993500000,3.544e+09,1.44e+08,60400000,83600000,59100000,26300000,32800000,203100000,1598100000,373700000,275700000,9.8e+07,1971800000,2174900000,1454100000,-15200000,-69800000,1369100000,1369100000,3.544e+09,22399999.9999999,49100000,-499999.99999994,-3800000,67200000,-13600000,0,-13600000.0000001,-44400000,4.76837158203125e-07,1e+08,55600000,109200000,109200000,3e+05,109500000,107400000,1598100000,107600000,0.48684,0.17434,0.0669900000000001,0.01636,0.00632000000000002,4.80357,2.71049,1.58856,0.45093,0.18713,0.18682,2.79365,11.43776,0.89891,0.37093,0.01999,0.03221,1.98214,12.79981,23.57976
"3","2014_Q4",17.7225,"Down",336500000,-177200000,159300000,-104600000,-55100000,-49500000,54700000,-26300000,-26300000,0,28400000,-7100000,21300000,226400000,6e+05,248300000,248300000,248300000,248300000,272200000,272200000,175600000,175600000,1.13e+08,22700000,88300000,560800000,704400000,2257600000,320100000,1860400000,77100000,2.962e+09,3522800000,171800000,54300000,117500000,66100000,25700000,40400000,237900000,1598200000,119700000,22800000,96900000,1717900000,1955800000,1457800000,188400000,-79200000,1.567e+09,1.567e+09,3522800000,248300000,49500000,-218300000,3e+07,109500000,-12500000,0,-12500000,-44400000,0,-2800000,-47200000,49800000,49800000,-1e+06,48800000,104200000,1598200000,-104700000,0.4734,0.16256,0.73789,0.15846,0.07048,-0.42167,2.35729,1.24812,0.45367,2.06917,2.05717,2.80417,13.05833,-0.8725,0.37,0.0891,-0.03187,0.17882,12.72553,24.24132
"4","2015_Q1",19.642131147541,"Up",3.95e+08,-214200000,180800000,-118800000,-63200000,-55600000,6.2e+07,-27300000,-27500000,2e+05,34700000,-11500000,23200000,3100000.00000006,1500000,27800000,27800000,27800000,27800000,28500000,28500000,217500000,217500000,109300000,26100000,80900000,355300000,782900000,2885400000,633200000,2154200000,9.8e+07,3668300000,4023600000,209600000,75200000,134400000,45600000,18600000,2.7e+07,255200000,2198300000,124600000,17200000,107400000,2322900000,2578100000,1912600000,-3.77e+08,-90100000,1445500000,1445500000,4023600000,27800000,55600000,6200000,-11300000,78300000,-18400000,-735700000,-757100000,-153900000,599300000,-9200000,436200000,-242600000,-242600000,-1100000,-243700000,117600000,2198300000,84800000,0.45772,0.15696,0.07038,0.01923,0.00691000000000001,3.05036,1.39224,1.78354,0.54635,0.23071,0.22862,3.27801,11.99585,0.70373,1.27718,0.04822,0.0225,5.53597,18.45068,34.99677
"5","2015_Q2",19.257619047619,"Down",343900000,-198800000,145100000,-118200000,-61700000,-56500000,26900000,-27700000,-27800000,1e+05,-8e+05,-3e+05,-1100000,1400000,8e+05,1100000,1100000,1100000,1100000,5.6e+07,5.6e+07,2.01e+08,2.01e+08,168900000,30700000,136500000,425900000,770400000,2860900000,620400000,2146200000,94300000,3631300000,4057200000,191700000,6.9e+07,122700000,57600000,33200000,24400000,249300000,2301700000,118200000,14600000,103600000,2419900000,2669200000,1.922e+09,-430800000,-103200000,1.388e+09,1.388e+09,4057200000,1100000,56500000,5700000,-57500000,5800000,-12400000,-9900000,-22300000,-54900000,103800000,-5600000,45300000,28800000,28800000,-1300000,27500000,83400000,2301700000,12100000,0.42192,0.07822,0.0032,0.00079,0.00027,11,1.70838,1.92305,0.56731,0.00804,0.00799,2.51205,10.13879,0.08839,0.40102,0.01471,0.00318,49.90909,26.92686,83.48327
"6","2015_Q3",16.6396875,"Down",384700000,-206400000,178300000,-120800000,-63600000,-57200000,57500000,-2.9e+07,-28900000,-1e+05,28500000,-2900000,25600000,-4500000.00000001,1100000,22200000,22200000,22200000,22200000,68400000,68400000,224400000,224400000,146400000,28300000,116400000,439200000,747800000,2842300000,606800000,2.144e+09,91500000,3590100000,4029300000,1.79e+08,6.6e+07,1.13e+08,57300000,30500000,26800000,236300000,2301700000,1.21e+08,15200000,105800000,2422700000,2.659e+09,1926500000,-455300000,-100900000,1370300000,1370300000,4029300000,22200000,57200000,8399999.99999999,-19500000,68300000,-6500000,-3e+05,-6800000,-47100000,0,-2100000,-49200000,12300000,12300000,1e+05,12400000,114700000,2301700000,93200000,0.46348,0.14947,0.05771,0.0162,0.00551,4.1982,1.85865,1.94045,0.57124,0.16157,0.1611,2.79985,9.97307,0.67831,0.34279,0.01827,0.02457,2.12162,19.47079,38.84
"7","2015_Q4",16.1675,"Down",386700000,-209300000,177400000,-124700000,-67200000,-57500000,52700000,-29300000,-28900000,-4e+05,23400000,0,23400000,-3900000,1700000,21200000,21200000,21200000,21200000,106400000,106400000,227100000,227100000,129800000,32300000,9.6e+07,463300000,731200000,2815800000,587600000,2137500000,90700000,3.547e+09,4010300000,204400000,71200000,133200000,48900000,26400000,22500000,253300000,2301700000,121300000,15100000,106200000,2.423e+09,2676300000,1930700000,-480800000,-115900000,1.334e+09,1.334e+09,4010300000,21200000,57500000,5600000,1.8e+07,102300000,-15300000,-9e+05,-16200000,-46700000,0,-2e+05,-46900000,39200000,39200000,-1200000,3.8e+07,110200000,2301700000,116800000,0.45875,0.13628,0.05482,0.01589,0.00529,5.50943,1.82906,2.00622,0.57395,0.15418,0.15373,2.81236,9.70182,0.84945,0.33964,0.01807,0.03109,2.20283,19.92105,41.65655
"8","2016_Q1",14.8513114754098,"Down",398500000,-218600000,179900000,-123700000,-65800000,-57900000,56200000,-29200000,-29200000,5.82076609134674e-11,2.7e+07,-103700000,-76700000,1600000,1200000,-73900000,-73900000,-73900000,-73900000,101600000,101600000,209500000,209500000,101100000,21900000,7.4e+07,412200000,701700000,2701600000,570500000,2074700000,56400000,3403300000,3815500000,206600000,83600000,1.23e+08,5.9e+07,20700000,38300000,265600000,2.222e+09,115300000,10900000,104400000,2337300000,2602900000,1935700000,-602200000,-120900000,1212600000,1212600000,3815500000,-73900000,57900000,76600000,56100000,116700000,-16100000,-1e+06,-17100000,-47600000,-5e+07,-2e+05,-97800000,1799999.99999999,1799999.99999999,-9e+05,899999.999999993,114100000,2.222e+09,152500000,0.45144,0.14103,-0.18545,-0.06094,-0.01937,-2.0636,1.55196,2.14654,0.58236,-0.53785,-0.54378,2.90029,8.82533,1.1099,0.34643,-0.00741,0.04296,-0.64411,18.5837,37.72954
"9","2016_Q2",16.2971875,"Up",348400000,-199800000,148600000,-122700000,-65300000,-57400000,25900000,-28800000,-28600000,-2e+05,-2900000,-1700000,-4600000,1300000,1e+06,-2300000,-2300000,-2300000,-2300000,43200000,43200000,1.89e+08,1.89e+08,128300000,27300000,96200000,360500000,691700000,2747100000,585900000,2101900000,59300000,3438800000,3799300000,190700000,63800000,126900000,66100000,3.1e+07,35100000,292100000,2222900000,114100000,11100000,1.03e+08,2.337e+09,2629100000,1936400000,-651300000,-114900000,1170200000,1170200000,3799300000,-2300000,57400000,-2800000,-18500000,33800000,-14100000,-60500000,-74600000,-47100000,3.5e+07,-5700000,-17800000,-58600000,-58600000,2e+05,-58400000,83300000,2258200000,49400000,0.42652,0.07434,-0.0066,-0.00197,-0.00061,-21.47826,1.23417,2.24671,0.59437,-0.01672,-0.01672,2.53198,8.50436,0.35901,0.3423,0.01265,0.01394,-20.47826,26.59064,85.52124
"10","2016_Q3",16.9821875,"Up",385300000,-201600000,183700000,-124100000,-65200000,-58900000,59600000,-28500000,-28700000,2e+05,31100000,-6e+05,30500000,-3400000,1400000,28500000,28500000,28500000,28500000,6.1e+07,6.1e+07,213600000,213600000,94600000,2.2e+07,72600000,369200000,681100000,2730800000,5.77e+08,2090700000,63100000,3411900000,3781100000,179800000,70600000,109200000,45600000,30200000,15400000,225400000,2184300000,115800000,1e+07,105800000,2300100000,2525500000,1940700000,-670200000,-14900000,1255600000,1255600000,3781100000,28500000,58900000,-1200000.00000001,-15300000,70900000,7.2e+07,-8e+05,71200000,-47600000,-7.5e+07,-1700000,-124300000,17800000,17800000,1.16415321826935e-10,17800000,118500000,2184300000,178600000,0.47677,0.15468,0.07397,0.0227,0.00754,6.26667,1.63798,2.01139,0.57769,0.20667,0.20607,2.79405,9.10515,1.29514,0.34518,0.0214,0.05023,1.67018000000001,17.91814,35.62584
