"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.4314285714286,"Up",150113000,100840000,110019000,-9179000,49273000,17986000,25224000,6063000,-10745000,139368000,-98576000,-12098000,-86478000,40792000,40792000,40792000,-11582000,29210000,29210000,-10653000,18557000,18557000,6711081200.58042,8103173312.39541,5093827159.57265,-90836632.988771,5184663792.56142,33203063.9949756,-55920111.1326773,17308286234.4098,16330912889.6986,14464122902.2026,1866789987.49604,-97490271.9749206,-334364569.919822,-85702432.2214959,15833762714.8084,1.40256220438241e-12,399644542.3456,679094428.68339,43824548.2116549,1122563519.24064,351960000.360729,1474523519.60137,17308286234.4098,29210000,5599000,10745000,-18380000,20679000,47853000,-6763000,-408098000,331688000,-76917000,1140000,5065000,1181357000,20352000,1207914000,1178850000,1178850000,1178850000,46391000,0,71889000,0.27174,0.12362,-0.0619817235934435,-0.0068055805419611,3.87396,10.3773772234886,-0.0356408271163241,0.54739,0.54287,4.42798,27.8531806114357,2.12056,-0.0068055805419611,-0.0266437113023762,-315.948776559508,-374.036405233282
"2","2010_Q3",40.88359375,"Down",146593000,106436000,116245000,-9809000,40157000,6131000,26563000,7463000,-7408000,139185000,-104180000,-12642000,-91538000,35005000,35005000,35005000,-13819000,21186000,21186000,-66000.0000000037,21120000,21120000,4146737000,5954572000,4378400000,-71789000,4450189000,38123000,342548000,14903986000,12140413000,3127945000,9012468000,44735000,869810000,222073000,13277031000,0,404563000,772592000,59948000,1237103000,389852000,1626955000,14903986000,21186000,5589000,7408000,-3667000,16623000,47139000,-6457000,-952839000,-241513000,-1197566000,4840000,1319000,627119000,15789000,649067000,-501360000,-501360000,-501360000,40594000,914545000,64579000,0.23879,0.14407,0.01298,0.00142,3.05772,8.16066,0.06136,0.50821,0.49882,3.52743,29.76811,1.55395,0.00142,0.00433,-79.62241,-92.33515
"3","2010_Q4",47.1678125,"Up",192577000,106341000,116758000,-10417000,86236000,47868000,26987000,11381000,-10971000,181606000,-104171000,-12618000,-91553000,77435000,77435000,77435000,-24996000,52439000,52439000,-14652000,37787000,37787000,3387204000,6659265000,4784836000,-74369000,4859205000,41917000,395682000,15660069000,12414945000,2860110000,9554835000,59735000,1225810000,263283000,13963773000,0,410632000,810379000,47600000,1268611000,427685000,1696296000,15660069000,52439000,6366000,10971000,-50899000,30993000,49870000,-7811000,-704664000,-412702000,-1121279000,359294000,2006000,274532000,23603000,659435000,-411974000,-411974000,-411974000,83801000,1285545000,131979000,0.4021,0.19622,0.02228,0.00241,3.49271,8.23192,0.08209,0.90139,0.88862,4.59381,30.26195,3.14828,0.00241,0.00843,-25.07916,-27.14094
"4","2011_Q1",54.0548387096774,"Up",176382000,104518000,118709000,-14191000,71864000,30897000,30232000,10735000,-15504000,160878000,-115891000,-18765000,-97126000,44987000,44987000,44987000,-11005000,33982000,33982000,-16495000,17487000,17487000,3076432000,8639487000,5439110000,-82627000,5521737000,44545000,328187000,17527761000,14336941000,5325403000,9011538000,37245000,1209260000,196037000,15779483000,0,422376000,827831000,24143000,1274350000,473928000,1748278000,17527761000,33982000,5670000,15504000,-34477000,-2313000.00000001,18366000,-6025000,-1992657000,-660354000,-2656945000,-24269000,8809000,1921996000,30106000,1936642000,-701937000,-701937000,-701937000,50657000,1246505000,53324000,0.25505,0.09914,0.01,0.001,3.04935,9.02573,0.07112,0.41577,0.40945,4.19368,30.2991,1.26784,0.001,0.00304,-36.12387,-40.6768
"5","2011_Q2",58.0420634920635,"Up",210253000,120299000,134101000,-13802000,89954000,51888000,27802000,10264000,3047000,213300000,-117435000,-12987000,-104448000,95865000,95865000,95865000,-22770000,73095000,73095000,-40088000,33007000,33007000,2073848000,10298892000,5569119000,-82051000,5651170000,46161000,354034000,18618266000,15330319000,3365559000,11964760000,35415000,1204733000,200768000,16771235000,0,443496000,860838000,9240000,1313574000,533457000,1847031000,18618266000,73095000,6519000,-3047000,-56059000,-14385000,6123000,-5611000,-1637291000,-123975000,-1760084000,-1830000,14434000,993378000,21607000,1027589000,-726372000,-726372000,-726372000,102384000,1240148000,105158000,0.45595,0.15699,0.01787,0.00177,3.18593,9.0801,0.06661,0.77696,0.76007,4.94923,30.92072,2.47535,0.00177,0.00565,-8.14287,-8.69659999999999
"6","2011_Q3",49.5109375,"Down",254161000,130453000,140161000,-9708000,123708000,85331000,28365000,10012000,-134000,254027000,-121032000,-13891000,-107141000,132995000,132995000,132995000,-43263000,89732000,89732000,-23982000,65750000,65750000,2100462000,10456099000,5896491000,-82155000,5978646000,49452000,399474000,19366735000,16278474000,5594529000,10683945000,-269298422.533368,609596000,462614000,17350684000,0,462928000,926588000,47377000,1436893000,579158000,2016051000,19366735000,89732000,7315000,134000,-90639000,159141000,165683000,-7232000,-11725000,-325139000,-339833000,-631858000,11696000,948155000,61316000,389309000,215159000,215159000,215159000,140310000,609596000,335482000,0.52327,0.25869,0.03261,0.00339,5.10239,8.60627,0.03148,1.53171,1.50485,5.92091,33.47372,7.81536,0.00339,0.01732,-10.62551,-11.20994
"7","2011_Q4",44.5019047619048,"Down",231066000,135455000,143324000,-7869000,95611000,62213000,30290000,3108000,-769000,230297000,-127451000,-16122000,-111329000,102846000,102846000,102846000,-26770000,76076000,76076000,-38505000,37571000,37571000,1742144000,10591349000,6243342000,-85246000,6328588000,53458000,265242000,19195363000,16139222000,4976446000,11162776000,-484658070.047583,609557000,254256000,17003035000,-6.46234853557053e-27,472486000,964159000,99453000,1536098000,656230000,2192328000,19195363000,76076000,6165000,769000,-58053000,-106575000,-81618000,-8757000,-4733000,-343055000,-345975000,0,4141000,-139252000,39457000,-95654000,-523247000,-523247000,-523247000,109011000,609557000,20449000,0.44509,0.1626,0.01714,0.00196,0.54428,7.7557,0.03176,0.86904,0.85796,5.34467,35.53068,0.473,0.00196,0.00107,-10.38966,-11.01246
"8","2012_Q1",59.2459677419355,"Up",213129000,140070000,147802000,-7732000,73059000,32400000,42813000,-2154000,-8245000,204884000,-134710000,-17807000,-116903000,70174000,70174000,70174000,-26284000,43890000,43890000,-8316000,35574000,35574000,1114948000,11540486000,6880135000,-89947000,6970082000,56471000,376854000,19968894000,16709536000,4847648000,11861888000,0,603648000,405321000,17718505000,0,484260000,999733000,85399000,1569392000,680997000,2250389000,19968894000,43890000,7491000,8245000,-22034000,38612000,76204000,-9256000,-949772000,-637533000,-1593064000,-4179000.00000012,6602000,570314000,17099000,589836000,-927024000,-927024000,-927024000,77665000,603648000,133305000,0.32926,0.16691,0.01581,0.00178,3.74726,7.87353,0.03023,0.82015,0.81519,4.91364,36.18195,3.07331,0.00178,0.00668,-6.5834,-7.28617
"9","2012_Q2",60.288253968254,"Up",210230000,150937000,158774000,-7837000,59293000,13815000,32400000,13078000,-14529000,195701000,-132012000,-14607000,-117405000,63689000,63689000,63689000,-23756000,39933000,39933000,-5143000,34790000,34790000,850624000,12549482000,7020367000,-100922000,7121289000,59320000,338544000,20818337000,16716882000,4879282000,11837600000,849380000,601835000,307537000,18475634000,-1.03397576569128e-25,515658000,1034523000,89309000,1639490000,703213000,2342703000,20818337000,39933000,6454000,14529000,-12717000,-59071000,-10872000,-8054000,-998605000,-144957000,-1148180000,849380000,17900000,7346000,20102000,894728000,-264324000,-264324000,-264324000,70143000,1451215000,26774000,0.30295,0.16549,0.01485,0.00167,0.76959,7.88646,0.06971,0.79466,0.7825,4.80196,37.44838,0.61156,0.00167,0.00129,8.56238,9.43006
"10","2012_Q3",58.5155555555556,"Down",232360000,151934000,159818000,-7884000,80426000,34522000,33240000,12664000,-7999000,224361000,-135766000,-16514000,-119252000,88595000,88595000,88595000,-31517000,57078000,57078000,-9475000,47603000,47603000,1411725000,11753263000,7691586000,-98166000,7789752000,64773000,368425000,21289772000,18068812000,5226562000,12842250000,5880000,458232000,312523000,18845447000,0,529157000,1082126000,104077000,1715360000,728965000,2444325000,21289772000,57078000,7140000,7999000,-24146000,-43301000,4769999.99999997,-11962000,845082000,-672644000,166721000,-986151000,6403000,1351930000,17428000,389610000,561101000,561101000,561101000,95735000,464112000,71989000,0.38128,0.20487,0.01947,0.00224,1.51228,7.70988,0.0218,1.07682,1.06466,5.25618,38.8029,1.62845,0.00224,0.00338,-9.89829,-10.69601
