"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",18.2325396825397,"Up",209365000,-193326000,16039000,-52011000,-52011000,-35972000,-2898000,-2507000,-391000,-38870000,-38870000,-38870000,-38870000,24328000,-14542000,-14542000,144433000,144433000,13759000,13759000,174369000,44302000,44302000,376863000,106127000,1893000,1893000,108020000,484883000,35124000,35124000,1873000,166840000,166840000,203837000,10279000,5337000,5337000,15616000,219453000,34278000,-3039000,31239000,234191000,265430000,484883000,-38870000,2584000,3622000,24259000,-8405000,-24020000,-24020000,-40297000,1376000,167402000,134977000,134977000,134977000,-33388000,12152000,0.07661,-0.17181,-0.06946,-0.05479,-0.02999,1.84884,0.82678,0.02506,-0.96779,-0.96779,13.93352,2.079,-0.0514,3.96193,3.67733
"2","2017_Q4",16.5480952380952,"Down",225379000,-204963000,20416000,-58676000,-58676000,-38260000,-1509000,-838000,-671000,-39769000,-39769000,-39769000,-39769000,35389000,-4380000,-4380000,103454000,103454000,11639000,11639000,192242000,58872000,58872000,366207000,125996000,2969000,2969000,128965000,495172000,45955000,45955000,3375000,195083000,195083000,244413000,16363000,6920000,6920000,23283000,267696000,35580000,-7419000,28161000,199315000,227476000,495172000,-39769000,3101000,-11625000,-6430000,-54723000,-16832000,-16832000,32363000,-399000,31992000,-39563000,-39563000,-39563000,-35159000,19738000,0.09059,-0.16976,-0.01943,-0.01925,-0.00885,1.49831,1.17681,0.03986,-0.29111,-0.29111,14.97933,1.87166,-0.01724,2.38107,2.18808
"3","2018_Q1",19.9716393442623,"Up",265053000,-243163000,21890000,-66805000,-66805000,-44915000,-2323000,-2255000,-68000,-47238000,-48475000,-48475000,-48475000,41758000,-6717000,-7130000,172680000,172680000,14105000,14105000,227446000,75487000,75487000,489718000,148681000,2738000,2738000,151419000,641137000,52108000,52108000,5131000,248792000,248792000,306031000,48469000,7093000,7093000,55562000,361593000,41508000,-12899000,125736000,153808000,279544000,641137000,-47238000,3822000,-6490000,-34004000,-83910000,-19082000,-23259000,176371000,-1360000,174906000,67737000,67737000,67737000,-41093000,53600000,0.08259,-0.16946,-0.0269,-0.02551,-0.01112,1.60022,1.29351,0.0836,-0.44865,-0.44865,16.67839,1.80021,-0.02096,2.89782,2.65123
"4","2018_Q2",30.10625,"Up",360422000,-326188000,34234000,-83186000,-83186000,-48952000,-3720000,-3541000,-179000,-52672000,-54052000,-54052000,-54052000,45629000,-8423000,-9768000,121497000,121497000,20969000,20969000,299780000,99077000,99077000,541323000,176259000,3152000,3152000,179411000,720734000,65085000,65085000,6138000,348533000,348533000,419756000,66788000,7250000,7250000,74038000,493794000,41736000,-19942000,120301000,106639000,226940000,720734000,-52672000,4605000,-15596000,-67786000,-131449000,-28011000,-28011000,114040000,-313000,112262000,-47198000,-47198000,-47198000,-44347000,72926000,0.09498,-0.13582,-0.0271,-0.04304,-0.01355,1.28961,2.17588,0.10118,-0.53243,-0.53243,19.64581,1.18794,-0.02683,1.09525,0.99222
"5","2018_Q3",53.5312698412698,"Up",475286000,-426251000,49035000,-95652000,-95652000,-46617000,-4633000,-4165000,-468000,-51250000,-51250000,-51250000,-51250000,41285000,-9965000,-11340000,199192000,199192000,23573000,23573000,302989000,117739000,117739000,643493000,217414000,20856000,4372000,238270000,881763000,85073000,85073000,6664000,347087000,347087000,438824000,76873000,6957000,6957000,83830000,522654000,95148000,-29907000,163748000,195361000,359109000,881763000,-51250000,5257000,-12642000,10599000,-48036000,-45414000,-52084000,7073000,-347000,177743000,77623000,77623000,77623000,-41360000,83537000,0.10317,-0.09808,-0.02386,-0.03158,-0.01286,1.4664,1.45542,0.09474,-0.40821,-0.40821,17.10893,2.34849,-0.02216,2.7963,2.48096
"6","2018_Q4",42.0877777777778,"Down",534921000,-477615000,57306000,-115768000,-115768000,-58462000,-5957000,-5649000,-308000,-64419000,-64419000,-64419000,-64419000,48377000,-16042000,-17272000,439794000,439794000,23498000,23498000,339005000,133068000,133068000,935365000,251942000,24796000,6200000,276738000,1212103000,100373000,100373000,7838000,349392000,349392000,457603000,438660000,9072000,9072000,447732000,905335000,130428000,-45949000,109106000,197662000,306768000,1212103000,-64419000,6439000,2416999.99999994,-28826999.9999999,-84390000,-33803000,-33803000,366849000,-7037000,358910000,240717000,240717000,240717000,-52023000,446498000,0.10713,-0.10929,-0.03229,-0.0563,-0.01425,2.04405,2.9512,0.36837,-0.4984,-0.4984,15.43561,2.43771,-0.02085,-0.12887,-0.11467
"7","2019_Q1",42.0767213114754,"Down",584838000,-528704000,56134000,-130652000,-130652000,-74518000,-11886000,-11663000,-223000,-86404000,-85024000,-85024000,-85024000,63978000,-21046000,-22682000,78861000,78861000,33120000,33120000,412243000,138630000,138630000,662854000,296839000,31320000,13098000,328159000,991013000,121415000,121415000,11133000,196963000,196963000,329511000,425349000,8725000,8725000,434074000,763585000,148061000,-74653000,73408000,154020000,227428000,991013000,-86404000,7238000,1249058000,-1320357000,-150465000,-36440000,-36440000,-176262000,-6202000,-182651000,-369556000,-369556000,-369556000,-67280000,436482000,0.09598,-0.12742,-0.03878,-0.09973,-0.02289,2.01163,3.35748,0.44044,-0.57582,-0.57582,14.847,1.86357,-0.03322,-5.31541,-4.79912
"8","2019_Q2",64.2090476190476,"Up",755234000,-666702000,88532000,-155241000,-155241000,-66709000,-15887000,-15648000,-239000,-82596000,-82596000,-82596000,-82596000,54047000,-28549000,-28549000,85321000,85321000,38179000,38179000,525694000,227592000,227592000,876786000,353486000,108129000,90280000,461615000,1338401000,170763000,170763000,15331000,443936000,443936000,630030000,479039000,76485000,76485000,555524000,1185554000,157975000,-103202000,54773000,98074000,152847000,1338401000,-82596000,7943000,-56068000,-83787999.9999998,-214509000,-43199000,-43199000,276628000,-999999.999999999,276054000,18345999.9999999,18345999.9999999,18345999.9999999,-58766000,494370000,0.11722,-0.08833,-0.0378,-0.18678,-0.02133,1.39166,7.75648,0.36937,-0.69039,-0.69039,18.26354,1.32456,-0.03945,-6.96064,-6.13184
"9","2019_Q3",71.841875,"Up",986221000,-848428000,137793000,-181843000,-181843000,-44050000,-20009000,-19315000,-694000,-64059000,-64059000,-64059000,-64059000,37449000,-26610000,-26610000,40200000,40200000,42128000,42128000,606534000,268680000,268680000,957542000,392240000,124622000,107173000,516862000,1474404000,178032000,178032000,60413000,11390000,11390000,249835000,743132000,87620000,87620000,830752000,1080587000,263560000,-129812000,133748000,260069000,393817000,1474404000,-64059000,8887000,61782000,-86935000,-80325000,-44938000,-43830000,-230463000,-8024000,59496000,-64659000,-64659000,-64659000,-35163000,803545000,0.13972,-0.04467,-0.02698,-0.06757,-0.01805,3.8327,2.74388,0.545,-0.578,-0.578,21.42189,2.90517,-0.02071,-21.70876,-17.32906
"10","2019_Q4",83.6675,"Up",1094854000,-957311000,137543000,-207970000,-207970000,-70427000,-21817000,-20990000,-827000,-92244000,-92244000,-92244000,-92244000,73877000,-18367000,-18367000,94943000,94943000,59043000,59043000,629798000,314174000,314174000,1097958000,457157000,129206000,112173000,586363000,1684321000,191598000,191598000,302437000,13418000,13418000,507453000,776580000,89110000,89110000,865690000,1373143000,274361000,-168829000,105532000,205646000,311178000,1684321000,-92244000,10675000,-24696999.9999999,-33574999.9999999,-139841000,-63243000,-61774000,567561000,-2951000,267693000,66078000,66078000,66078000,-59752000,1079017000,0.12563,-0.06433,-0.01678,-0.0590200000000001,-0.0109,2.16366,4.41273,0.64062,-0.3689,-0.3689,21.99032,2.11963,-0.01242,-16.46931,-13.97296
