"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",36.8596666666667,"Up",405405,-6969648,-2183008,-4786640,-6564243,61223,61223,-6503020,-30690403,-30690403,-30690403,-30690403,-30820838,110193911,45511641,64682270,1584308,1584308,111778219,148838,251540,251540,400378,112178597,3745773,3745773,12964054,33302678,33302678,46266732,184116666,-118183350,-21451,65911865,65911865,112178597,-30690403,22854,26285902,-27659,-4409306,-14683,-64821901,-64836584,78786145,78786145,78786145,9540255,9540255,9540255,-6541389,0,-16.19182,-76.02481,-0.46761,-0.27475,8.62217,0.70195,0,-2.03503,-2.03503,0.02677,4.35201,-0.31065,16.84564,16.78699
"2","2013_Q2",34.164375,"Down",405405,-7229410,-2396854,-4832556,-6824005,296362,296362,-6527643,-10210148,-10210148,-10210148,-10210148,-10210148,104220096,31711264,72508832,1572450,1572450,105792546,134852,268707,268707,403559,106196105,3225749,3225749,9633407,35762328,35762328,45395735,189439349,-128393498,-245481,60800370,60800370,106196105,-10210148,22650,5289686,-737861,-5635673,-8664,-8243468,-8252132,87428,87428,87428.0000000298,-13800377,-13800377,-13800377,-6801355,0,-16.83256,-25.18506,-0.16793,-0.09614,10.98184,0.74664,0,-0.61662,-0.61662,0.02448,3.6719,-0.10574,15.32343,15.27257
"3","2013_Q3",49.3696875,"Up",405407,-8023476,-2890505,-5132971,-7618069,-286767,-286767,-7904836,-13476917,-13476917,-13476917,-13476917,-13476917,161799137,52140970,109658167,1664818,1664818,163463955,136210,268792,268792,405002,163868957,3671695,3671695,7164465,40432583,40432583,47597048,258251615,-141870415,-109291,116271909,116271909,163868957,-13476917,29834,7990815,-51914,-5508182,-31193,-37541607,-37572800,63502587,63502587,63510688,20429706,20429706,20429706,-7588235,0,-18.79116,-33.24293,-0.11591,-0.08224,22.81593,0.40936,0,-0.79414,-0.79414,0.02389,6.85141,-0.086,21.32237,21.23886
"4","2013_Q4",57.7878125,"Up",405407,-11507723,-3115095,-8392628,-11102316,121329,121329,-10980987,-31737073,-31737073,-31737073,-31737073,-31737073,156752792,33492017,123260775,1601213,1601213,158354005,190673,346611,346611,537284,158891289,5079581,5079581,7511070,60417803,60417803,67928873,264538798,-173607488,31106,90962416,90962416,158891289,-31737073,26886,24284674,988264,-6437249,-81348.0000000001,-14009908,-14091256,1879551.99999999,1879551.99999999,1879552,-18648953,-18648953,-18648953,-11075430,-7.105427357601e-15,-27.38561,-78.28447,-0.3489,-0.19974,21.08275,0.74678,-6.61744490042422e-24,-1.65307,-1.65307,0.02112,4.73789,-0.20965,14.1532,14.11893
"5","2014_Q1",337.438360655738,"Up",405781,-14313391,-4729546,-9583845,-13907610,-30924,-30924,-13938534,-12368862,-12368862,-12368862,-12368862,-12368862,144831982,13363185,131468797,2732556,2732556,147564538,1672295,1081747,1081747,2754042,150318580,7259805,7259805,8881427,59031053,59031053,67912480,268322007,-185975760,59853,82406100,82406100,150318580,-12367862,26630,1936825,-20489,-10424896,-1507795,-8789017,-10296812,593433,593433,593332,-20128376,-20128376,-20128376,-13880980,0,-34.27368,-30.48162,-0.1501,-0.08228,16.61496,0.82412,0,-0.63799,-0.63799,0.02093,4.25054,-0.08745,10.43384,10.41387
"6","2014_Q2",263.564444444444,"Down",405403,-19943820,-5651127,-14292693,-19538417,136257,136257,-19402160,-246028828,-246028828,-246028828,-246028828,-246028828,134105128,11210833,122894295,4796328,4796328,138901456,1910442,1082209,1082209,2992651,141894107,8763999,8763999,287124424,8513515.99999999,8513516,295637940,289854261,-443641578,43484,-153743833,-153743833,141894107,-246028828,61661,234614233,-965442,-12318376,-299808,8006220,7706411.99999999,2798428.00000001,2798428.00000001,2459612,-2152352,-2152352,-2152352,-19476756,5.6843418860808e-14,-48.19505,-606.87471,1.60025,-1.73389,0.483769999999996,-1.92293,0,-12.61379,-12.61379,0.02078,-7.88238,1.69406,6.88539,6.86366
"7","2014_Q3",254.95390625,"Down",445597,-22874180,-7954873,-14919307,-22428583,103743,103743,-22324840,33469828,33469828,33469828,33469828,33469828,299030674,44961233,254069441,7617610,7617610,306648284,2163449,1957034,1957034,4120483,310768767,10138885,10138885,11920505,8908111,8908111,20828616,688507651,-398534363,-33137,289940151,289940151,310768767,33469828,68339,-51182233,-1766558,-19410624,-322192,-132070220,-132392412,185213572,185213572,185552388,33749352,33749352,33749352,-22360244,0,-50.33378,75.11233,0.11544,0.1077,25.72444,0.07184,0,1.59584,1.59584,0.02125,13.82434,0.112,13.37332,13.33257
"8","2014_Q4",184.70109375,"Down",445000,-36517000,-9136000,-27381000,-36072000,229000,229000,-35843000,-35843000,-35843000,-35843000,-35843000,-35843000,272806243,18059045,254747198,6282505,6282505,279088748,5131360,1800683,1800683,6932043,286020791,14714346,14714346,16495966,8462705,8462705,24958671,695642835,-434377637,-203078,261062120,261062120,286020791,-35843000,80000,6275999.99999997,5622000,-23865000,-3068000,-1868000,-4935999.99999997,1901000.00000003,1901000,1901000,-26900000,-26900000,-26900000,-35992000,0,-81.06067,-80.5460700000001,-0.1373,-0.12532,16.91861,0.0956,0,-1.68502,-1.68502,0.02092,12.27284,-0.13299,7.57964,7.56283
"9","2015_Q1",216.557868852459,"Up",446000,-35577000,-11859000,-23718000,-35131000,307000,307000,-34824000,-34824000,-34824000,-34824000,-34824000,-34824000,239724000,20023000,219701000,6104000,6104000,245828000,5852000,2469000,2469000,8321000,254149000,13459000,13459000,15241000,8017000,8017000,23258000,700376000,-469202000,-284000,230890000,230890000,254148000,-34824000,233000,4637000,-2190000,-32144000,-953000,33990000,33037000,1070000,1070000,1070000,1963000,1963000,1963000,-34898000,0,-78.76906,-78.08072,-0.15083,-0.13702,16.12939,0.10073,0,-1.62831,-1.62831,0.02085,10.79603,-0.14576,6.86928,6.82372
"10","2015_Q2",266.303492063492,"Up",1445000,-41104000,-13138000,-27966000,-39659000,272000,272000,-39387000,-39387000,-39387000,-39387000,-39387000,-39387000,401992378,104366238,297626140,8392121,8392121,410384499,7531251,3726964,3726964,11258215,421642714,16371058,16371058,18152678,7571896,7571896,25724574,904736848,-508587835,-230873,395918140,395918140,421642714,-39386000,250000,10622000,-1079000,-29593000,-1930000,-78594000,-80524000,194623000,194623000,194623000,84506000,84506000,84344000,-39409000,0,-27.44567,-27.25744,-0.09948,-0.09341,22.60738,0.06497,-1.35525271560688e-20,-1.77643,-1.77643,0.06517,17.85668,-0.09762,10.20052,10.13622
"11","2015_Q3",219.98015625,"Down",446000,-49268000,-20974000,-28294000,-48822000,929000,929000,-47893000,-47893000,-47893000,-47893000,-47893000,-47893000,732319000,88257000,644062000,8637000,8637000,740956000,9383000,3517000,3517000,12900000,753856000,22006000,22006000,23788000,7126000,7126000,30914000,1280211000,-556481000,-788000,722942000,722942000,753856000,-47894000,396000,8342000,5154000,-34002000,-2247000,-349042000,-351289000,368843000,368843000,368843000,-16448000,-16448000,-16110000,-48426000,0,-109.46637,-107.38341,-0.06625,-0.06353,31.14831,0.04276,0,-1.99318,-1.99318,0.01856,30.08691,-0.0656,15.12243,14.99977
"12","2015_Q4",169.27546875,"Down",445000,-52229000,-24742000,-27487000,-51784000,889000,889000,-50895000,-50895000,-50895000,-50895000,-50895000,-50895000,695708000,72354000,623354000,6830000,6830000,702538000,10207000,4002000,4002000,14209000,716747000,30401000,30401000,32183000,6681000,6681000,38864000,1286764000,-607377000,-1504000,677883000,677883000,716747000,-50895000,413000,7591000,9272000,-33619000,-1237000,18760999.9999999,17524000,885000,885000,885000,-15210000,-15210000,-15900000,-51371000,2.3283064365387e-10,-116.36854,-114.37079,-0.07508,-0.07101,21.82948,0.05733,0,-2.10175,-2.10175,0.01838,27.9937,-0.07435,13.54282,13.43481
"13","2016_Q1",118.075901639344,"Down",446000,-89337000,-60388000,-28949000,-88891000,637000,637000,-88254000,-88254000,-88254000,-88254000,-88254000,-88254000,628055000,32742000,595313000,13638000,13638000,641693000,10047000,4018000,4018000,14065000,655758000,45591000,45591000,47373000,6236000,6236000,53609000,1300032000,-695630000,-2253000,602149000,602149000,655758000,-88254000,632000,13936000,7998000,-65688000,-521000,25338000,24817000,1118000,1118000,1118000,-39753000,-39753000,-39615000,-88259000,0,-199.30717,-197.87892,-0.14657,-0.13458,13.54554,0.08903,0,-3.62291,-3.62291,0.01831,24.71876,-0.14506,7.11604,7.06545
"14","2016_Q2",146.090625,"Up",445000,-127845000,-95865000,-31980000,-127400000,726000,726000,-126674000,-126674000,-126674000,-126674000,-126674000,-126674000,556860000,49205000,507655000,18087000,18087000,574947000,11770000,6658000,6658000,18428000,593375000,42470000,42470000,99252000,5790000,5790000,105042000,1311764000,-822305000,-1126000,488333000,488333000,593375000,-126674000,684000,11787000,44346000,-69857000,-2407000,87688000,85281000,1486000,1486000,1486000,16910000,16910000,16463000,-126716000,-3.72529029846191e-09,-286.29213,-284.66067,-0.2594,-0.21348,5.7928,0.2151,6.93889390390723e-18,-5.17142,-5.17142,0.01817,19.93603,-0.25636,4.39455,4.37096
"15","2016_Q3",157.65703125,"Up",5521000,-83615000,-48715000,-34900000,-78094000,795000,795000,-77299000,-77299000,-77299000,-77299000,-77299000,-77299000,439487000,51701000,387786000,65781000,20781000,505268000,12530000,6377000,6377000,18907000,524175000,42693000,42693000,102155000,5345000,5345000,107500000,1317437000,-899603000,-1160000,416674000,416674000,524174000,-77299000,860000,5374000,45000,-71020000,-1780000,119111000,72331000,1420000,1420000,1420000,2731000,2731000,2496000,-77234000,0,-14.1449,-14.00091,-0.18551,-0.14747,4.94609,0.258,0,-3.14083,-3.14083,0.22433,16.9304,-0.18316,5.69033,5.62767
"16","2016_Q4",119.127777777778,"Down",5177000,-88214000,-52802000,-35412000,-83037000,-5779000,1286000,-88816000,-88816000,-88816000,-88816000,-88816000,-88816000,779959000,105216000,674743000,14622000,14622000,794581000,11865000,5821000,5821000,17686000,812267000,50592000,46854000,54527000,4899000,342797000,397324000,1406285000,-988418000,-2924000,414943000,414943000,812267000,-88816000,643000,16995000,-40924000,-112102000,182000,-289103000,-243921000,449238000,449238000,410874000,54851000,54851000,53515000,-82394000,337898000,-16.0396,-17.15588,-0.21404,-0.10934,14.57225,0.95754,0.41599,-3.59056,-3.59056,0.20929,16.77486,-0.11721,5.36521,5.32366
"17","2017_Q1",116.740322580645,"Down",13808000,-127815000,-76214000,-51601000,-114007000,-6034000,1097000,-120041000,-120041000,-120041000,-120041000,-120041000,-120041000,689385000,43675000,645710000,9354000,9354000,707865000,11295000,20093000,20093000,31388000,739253000,72818000,65551000,78512000,4453000,345809000,424321000,1426193000,-1108460000,-2801000,314932000,314932000,739253000,-120041000,1644000,23963000,4972000,-89462000,-1074000,27248000,26174000,602000,602000,602000,-62686000,-62686000,-61541000,-112363000,341356000,-8.25659,-8.69358,-0.38116,-0.16238,9.01601,1.34734,0.46176,-4.83841,-4.83841,0.55655,12.69375,-0.18168,3.09736,3.0527
"18","2017_Q2",115.834444444444,"Down",21048000,-104914000,-61082000,-43832000,-83963000,-5967000,1240000,-89930000,-89930000,-89930000,-89930000,-89930000,-89930000,608013000,66950000,541063000,16348000,16348000,634986000,14518000,18516000,18516000,33034000,668020000,66661000,62923000,72680000,10277000,355102000,427782000,1441526000,-1199106000,-2182000,240238000,240238000,668020000,-89930000,802000,18552000,-6924000.00000001,-77500000,-4025000,104039000,100014000,556000,555999.99999994,556000.00000006,23070000,23070000,23275000,-83161000,344825000,-3.98912,-4.27261,-0.37434,-0.13462,8.73674,1.78066,0.51619,-3.60716,-3.60716,0.84425,9.63612,-0.15106,3.1648,3.13457
"19","2017_Q3",107.710793650794,"Down",30887000,-111117000,-66925000,-44192000,-80509000,-6055000,1224000,-86564000,-86564000,-86564000,-86564000,-86564000,-86564000,550305000,62031000,488274000,15025000,15025000,578560000,17659000,19526000,19526000,37185000,615745000,80735000,73260000,87571000,10103000,358470000,446041000,1456903000,-1285670000,-1529000,169704000,169704000,615745000,-86564000,1072000,18732000,11455000,-55305000,-4213000,52176000,48933000,1091000,1091000,1091000,-5281000,-5281000,-4919000,-79437000,348367000,-2.60657,-2.8026,-0.51009,-0.14058,6.60675,2.62835,0.56577,-3.45855,-3.45855,1.23405,6.78029,-0.16389,2.54212,2.50827
"20","2017_Q4",63.0620634920635,"Down",41334000,-107333000,-61356000,-45977000,-66171000,-6430000,924000,-72601000,-72601000,-72601000,-72601000,-72601000,-72601000,492750000,120244000,372506000,14278000,14278000,521515000,18141000,20770000,20770000,38911000,560426000,85807000,82070000,87589000,9186000,361170000,448759000,1470570000,-1358271000,-632000,111667000,111667000,560426000,-72601000,1382000,17705000,-2624000,-56138000,-1864000,115326000,113433000,430000.000000004,430000,430000,57725000,57725000,58213000,-64789000,351984000,-1.60089,-1.75645,-0.65016,-0.12955,5.95412,4.01873,0.62807,-2.89212,-2.89212,1.64658,4.44835,-0.15354,2.17268,2.12731
"21","2018_Q1",60.2659016393443,"Down",37687000,-141833000,-84335000,-57498000,-104969000,-6303000,1128000,-111272000,-111272000,-111272000,-111272000,-111272000,-111272000,414917000,70013000,344904000,16889000,16889000,448307000,16184000,19856000,19856000,36040000,484347000,102252000,94777000,104034000,8250000,363927000,467961000,1486715000,-1469543000,-786000,16386000,16386000,484347000,-111272000,1345000,20729000,12739000,-76459000,-290000,26626000,25395000,761000,761000,761000,-50303000,-50303000,-50231000,-103624000,355677000,-2.78528,-2.95253,-6.79067,-0.22974,4.30924,28.55859,0.73434,-4.42381,-4.42381,1.49831,0.65145,-0.29258,0.57168,0.56436
"22","2018_Q2",73.21921875,"Up",35963000,-111139000,-62467000,-48672000,-75456000,-6134000,1375000,-81590000,-81590000,-81590000,-81590000,-81590000,-81590000,326092000,48871000,277221000,20809000,20809000,363845000,14074000,15899000,15899000,29973000,393818000,77824000,74087000,79446000,7198000,366647000,446093000,1499501000,-1551133000,-643000,-52275000,-52275000,393818000,-81590000,1290000,17480000,-26046000,-88866000,-89000.0000000001,66807000,66718000,481000,480999.999999993,481000,-21667000,-21667000,-21142000,-74166000,359449000,-2.09816,-2.26872,1.56078,-0.20718,4.57978,-8.53358000000001,0.91273,-3.22375,-3.22375,1.42096,-2.06547,-0.25953,-0.44976,-0.44207
"23","2018_Q3",105.823015873016,"Up",43575000,-112639000,-65224000,-47415000,-69777000,-5416000,2173000,-75193000,-75193000,-75193000,-75193000,-75193000,-75193000,538338000,77720000,460618000,19893000,19893000,577740000,12453000,14721000,14721000,27174000,604914000,87081000,79606000,88703000,6335000,369635000,458338000,1774984000,-1626326000,-2082000,146576000,146576000,604914000,-75193000,1138000,18677000,7923000,-47455000,44000,-183303000,-183259000,261362000,261362000,261362000,30648000,30648000,28849000,-68639000,363300000,-1.60131,-1.7256,-0.513,-0.1243,6.5132,3.12696,0.60058,-2.57325,-2.57325,1.49122,5.01612,-0.14566,2.55012,2.50853
