"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.061746031746,"Down",172037000,-96076000,75961000,-63608000,-6427000,-57181000,12353000,4461000,-114000,4575000,16814000,16814000,-6407000,10407000,10407000,10407000,8239000,102147000,27789000,74358000,67915000,67915000,7641000,124708000,2679000,122029000,302411000,425847000,613703000,-187856000,61656000,5978000,12900000,26672000,487503000,789914000,178600000,11986000,5740000,160874000,24501000,15154000,203101000,1e+07,43569000,25259000,53569000,256670000,131703000,201807000,29179000,533244000,533244000,789914000,10407000,6427000,-7060000,-11387000,-1613000,-5001000,-5001000,-46824000,47374000,-4451000,-5729000,662000,662000,-102000,-5169000,-11233000,-11233000,-11233000,18780000,1e+07,8799000,0.44154,0.0718,0.04789,0.01545,0.01043,1.06797,1.48897,0.48134,0.01266,0.60747,0.6068,12.68443,26.74136,0.64876,0.4224,0.0238,0.01499,0.69535,-4.90666,-7.45948
"2","2010_Q3",24.14171875,"Up",178209000,-97680000,80529000,-65765000,-6663000,-59102000,14764000,4813000,-146000,4959000,19577000,19577000,-7727000,11850000,11850000,11850000,9682000,95819000,22563000,73256000,70021000,70021000,8356000,126084000,2167000,123917000,300280000,425545000,620290000,-194745000,75398000,20320000,12506000,26356000,500943000,801223000,186143000,10603000,6026000,169514000,23334000,14044000,209477000,1e+07,41959000,25128000,51959000,261436000,132296000,207631000,29312000,539787000,539787000,801223000,11850000,6663000,531000,2134000,21178000,-6664000,-6664000,-2027000,1741000,-21292000,-5739000,346999.999999998,347000,280000,-5112000,-5226000,-5226000,-5226000,21427000,1e+07,24624000,0.45188,0.08285,0.05433,0.01794,0.01208,2.54328,1.43347,0.48433,0.01248,0.70496,0.70484,12.97566,26.88484,1.79291,0.41787,0.02606,0.04161,0.59275,-4.00518,-5.81272
"3","2010_Q4",28.54984375,"Up",178551000,-98531000,80020000,-65614000,-6800000,-58814000,14406000,5288000,-136000,5424000,19694000,19694000,-4611000,15083000,15083000,15083000,12914000,112217000,28868000,83349000,64169000,64169000,7700000,126813000,1531000,125282000,310899000,425697000,622398000,-196701000,73732000,20320000,13110000,26118000,499429000,810328000,185331000,10079000,5983000,169269000,27063000,13425000,212394000,1e+07,37945000,22396000,47945000,260339000,126473000,216739000,36229000,549989000,549989000,810328000,15083000,6800000,2462000,1889000,26234000,-7254000,-7254000,-616000,-71000,-7941000,-6019000,-5941000,3000,-28000,-11988000,6305000,6305000,6305000,21206000,1e+07,20452000,0.44816,0.08068,0.07233,0.02348,0.01594,1.58371,1.46378,0.47335,0.01234,0.9462,0.94608,13.08235,27.80146,1.49851,0.44101,0.03166,0.0342,0.46608,-4.82019,-7.09545
"4","2011_Q1",32.0809677419355,"Up",191856000,-107983000,83873000,-67256000,-7251000,-60005000,16617000,8265000,-117000,8382000,24882000,24882000,-9527000,15355000,15355000,15355000,13187000,113594000,28478000,85116000,77049000,77049000,7853000,124120000,1251000,122869000,322616000,436392000,640150000,-203758000,70497000,20320000,14204000,23973000,506889000,829505000,192215000,10947000,5997000,175271000,32081000,17895000,224296000,1e+07,34063000,20073000,44063000,268359000,128197000,226114000,36287000,561146000,561146000,829505000,15355000,7251000,655000,-5699000,17562000,-13374000,-13374000,10999.9999999995,-293000,-12667000,-5966000,1643000,1643000,-962000,-5285000,-389999.999999998,-389999.999999998,-389999.999999998,23868000,1e+07,14322000,0.43717,0.08661,0.06873,0.0235,0.0159,1.08607,1.43835,0.47823,0.01206,0.97193,0.97084,14.14056,28.78864,1.05559,0.43972,0.03165,0.02366,0.45242,-4.34029,-6.23422
"5","2011_Q2",33.1349206349206,"Up",192948000,-108762000,84186000,-58216000,-6962000,-51254000,25970000,4472000,-89000,4561000,30442000,30442000,-11718000,18724000,18724000,18724000,16556000,124385000,33504000,90881000,68242000,68242000,7699000,132093000,2970000,129123000,332419000,435287000,646312000,-211025000,72034000,20320000,15462000,23774000,507321000,839740000,168366000,11099000,6058000,151209000,39935000,23231000,208301000,1e+07,36921000,19805000,46921000,255222000,135446000,238805000,39726000,584518000,584518000,839740000,18724000,6962000,-5618000,-8674000,11394000,-6160000,-6160000,1350000,-1691000,-6501000,-5972000,5953000,5953000,152000,133000,5026000,5026000,5026000,32932000,1e+07,29816000,0.43631,0.1346,0.08581,0.02832,0.01972,1.80092,1.59586,0.43664,0.01191,1.21022,1.01401,14.10425,30.26118,2.17951,0.43655,0.03568,0.04722,0.36072,-3.47337,-4.40451
"6","2011_Q3",27.43859375,"Down",190783000,-104793000,85990000,-68842000,-7075000,-61767000,17148000,5047000,-108000,5155000,22195000,22195000,-8584000,13611000,13611000,13611000,11443000,122458000,37331000,85127000,66078000,66078000,7639000,130723000,2465000,128258000,326898000,435101000,653501000,-218400000,71564000,20320000,1.6e+07,22934000,506665000,833563000,165936000,11847000,6344000,147745000,31964000,17608000,197900000,1e+07,35158000,19509000,45158000,243058000,137255000,246098000,36637000,590505000,590505000,833563000,13611000,7075000,2678000,-7600000,15764000,-7192000,-7192000,-7841000,8061000,-6972000,-6032000,1199000,1199000,-132000,-4965000,3827000,3827000,3827000,24223000,1e+07,18015000,0.45072,0.08988,0.05998,0.01938,0.01373,1.57432,1.65183,0.41161,0.012,0.82936,0.69604,13.8275,30.43988,1.30568,0.43719,0.02749,0.02834,0.52713,-4.64261,-6.55808
"7","2011_Q4",27.9584126984127,"Up",197064000,-106870000,90194000,-72114000,-7307000,-64807000,18080000,5004000,-136000,5140000,23084000,23084000,-5873000,17211000,17211000,17211000,15044000,133247000,53158000,80089000,66875000,66875000,7242000,136005000,2201000,133804000,343369000,432020000,654498000,-222478000,70938000,20320000,17175000,22510000,502958000,846327000,179854000,9449000,6351000,164054000,26513000,14313000,206367000,1e+07,30964000,17257000,40964000,247331000,137595000,256992000,33894000,598996000,598996000,846327000,17211000,7307000,-3835000,5933000,26616000,-4529000,-4529000,-5884000,6104000,-4309000,-6309000,0,0,-171000,-6480000,15827000,15827000,15827000,25387000,1e+07,32664000,0.45769,0.09175,0.07634,0.02512,0.01778,2.17123,1.66388,0.41291,0.01182,1.08945,0.91478,14.27095,31.02966,2.36546,0.45688,0.03337,0.05104,0.41937,-4.85473,-6.81676
"8","2012_Q1",32.58,"Up",192447000,-108247000,84200000,-66104000,-7557000,-58547000,18096000,5567000,-110000,5677000,23663000,23663000,-8219000,15444000,15444000,15444000,13276000,146059000,61008000,85051000,71696000,71696000,7419000,143024000,1082000,135472000,368198000,429651000,659523000,-229872000,72575000,20320000,20502000,21586000,502226000,870424000,185798000,9834000,6362000,169602000,34861000,20335000,220659000,1e+07,28029000,16244000,38029000,258688000,139321000,265198000,36702000,611736000,611736000,870424000,15444000,7557000,7103000,-1520000,28584000,-5491000,-5491000,1044000,-2017000,-13964000,-6310000,1240000,1240000,-1700000,-6770000,7850000,7850000,7850000,25653000,1e+07,26861000,0.43752,0.09403,0.06899,0.0217,0.01525,2.02328,1.66863,0.42288,0.01149,0.96118,0.80739,13.93306,31.94416,1.94472,0.45684,0.03014,0.04134,0.47529,-5.30382,-7.51873
"9","2012_Q2",31.8014285714286,"Down",190050000,-106471000,83579000,-68755000,-7380000,-61375000,14824000,5750000,-118000,5868000,20574000,20574000,-7920000,12654000,12654000,12654000,10486000,152788000,59714000,93074000,70360000,70360000,6938000,141172000,2779000,138393000,371258000,424715000,661702000,-236987000,78309000,17600000,27601000,22734000,503024000,874282000,170623000,10108000,6411000,154104000,34228000,16990000,204851000,1e+07,30399000,16104000,40399000,245250000,145445000,271511000,41561000,629032000,629032000,874282000,12654000,7380000,-5885000,-10603000,3546000,-2972000,-2972000,-949000,407000,-3514000,-6314000,5578000,5578000,-590000,-1326000,-1294000,-1294000,-1294000,22204000,1e+07,16549000,0.43977,0.078,0.05517,0.01667,0.01199,1.5782,1.81233,0.38988,0.01144,0.75765,0.75394,13.73186,33.12965,1.19573,0.45621,0.0251,0.02472,0.60214,-6.43073,-9.63222
"10","2012_Q3",33.4287301587302,"Up",187668000,-104713000,82955000,-66457000,-7386000,-59071000,16498000,5799000,-108000,5907000,22297000,22297000,-8742000,13555000,13555000,13555000,11387000,166811000,69209000,97602000,63607000,63607000,6794000,142660000,2285000,140375000,379872000,420599000,664754000,-244155000,85722000,17600000,33935000,22706000,506321000,886193000,171681000,6168000,6404000,159109000,35224000,15844000,206905000,1e+07,29316000,16587000,39316000,246221000,146033000,278762000,44663000,639972000,639972000,886193000,13555000,7386000,824000,5964000,27729000,-3270000,-3270000,-1408000,683000,-11495000,-6370000,5000,4999.99999999907,-374000,-6739000,9495000,9495000,9495000,23884000,1e+07,35320000,0.44203,0.08791,0.06068,0.01779,0.01285,3.10178,1.83597,0.38474,0.01128,0.82243,0.81481,13.55443,33.90686,2.55101,0.46008,0.02614,0.052,0.55941,-6.56553,-9.50485
