"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",31.2621875,"Up",325309000,-267095000,58214000,-37291000,-31621000,-1743000,20923000,-835000,-835000,20088000,20088000,-6730000,13358000,13358000,13358000,13358000,19055183.2225831,19055183.2225831,218669713.499336,218669713.499336,163445396.572328,57808494.2448678,46599606.7142125,458978787.539115,261467315.727517,701041587.224539,-439574271.497022,76099581.5706156,40690338.7821543,54199490.7302905,-14040105.2867743,-4750142.65505489,337566897.298133,796545684.837248,186163354.834993,9719266.53164354,166306076.523535,98802858.3711008,-85387619.1759875,-3124123.70506772,199578594.030106,92893797.2888052,81874436.1290709,-28076752.0209101,50506362.7998826,36312026.8940161,23040573.4137553,174768233.417876,374346827.447982,422198857.389265,796545684.837248,13358000,8678000,5470000,7970000,35476000,-12679000,-9754000,4132030.50375692,-22933000,9000,-26426000,-704000,-704000,47000,-657000,29601000,0,31622000,0.17895,0.06432,0.04106,0.0769272089851856,0.0403667456119372,2.36727,2.07009623960212,0.898734338578933,0.241353853169415,0.65891,0.64993,16.04642,1.55981,-0.202298179905819,0.046364887643927,-0.333580483561959,-0.535934739973703,2.62402539464914,-107.60906918863
"2","2011_Q1",34.3151612903226,"Up",355977000,-296710000,59267000,-39662000,-33906000,-1887000,19605000,-520000,-520000,19085000,18487000,-5858000,12629000,12629000,12629000,12629000,16104000,16104000,139374000,139374000,154467000,45780000,31743000,355725000,265868000,719953000,-454085000,113817000,36849000,72936000,2042000,1990000,379685000,735410000,62207000,33375000,24911000,47835000,37318000,2378000,147360000,38305000,165389000,82502000,57154000,4912000,20821000,203694000,351054000,384356000,735410000,12629000,9616000,2661000,-8686999.99999999,16219000,-8789000,-4639000,0,-12162000,-272000,-10679000,901000,901000,-221000,680000.000000001,29221000,86140000,17603000,0.16649,0.05507,0.03548,0.03286,0.01717,1.39386,2.41399,0.91336,0.11713,0.62267,0.61336,17.55138,0.86791,0,0.01986,0.02768,0,2.39677,3.57235
"3","2011_Q2",34.3369841269841,"Up",374805000,-319005000,55800000,-37723000,-31642000,-2410000,18077000,-585000,-585000,17492000,17492000,-5674000,11818000,11818000,11818000,11818000,12430355.5924723,12430355.5924723,128132012.166888,128132012.166888,164735284.475891,45188918.5850441,31067631.0952625,350486570.820295,263131728.090828,728176554.258487,-465044826.167659,122303889.476461,34883053.7392819,76406503.0899032,5006451.7622581,6007880.8850183,385435617.567289,735922188.387584,37290798.3883357,40358911.1561188,-3936525.5078451,33200463.8762997,57652789.7253292,3723457.90168924,128144051.989965,34894567.5703982,182415354.623643,104225334.00697,59539712.4000391,-1868425.63133869,20549475.5287482,217309922.194041,345453974.184006,390468214.203578,735922188.387584,11818000,11893000,1087000,-45552000,-20754000,-3965000,-2853000,-1704218.30225415,18304000,376000,19317000,-4290000,-4290000,193000,-4097000,29970000,0,-13873000,0.14888,0.04823,0.03153,0.0249742636716048,0.0133227514626876,-1.17389,2.76816792013263,0.883846887140356,0.0943895489435283,0.58057,0.56828,18.41251,-0.68152,0.0834439079434912,0.0152875374520243,0.106631827853986,0.223820843984222,2.39572986845029,25.1665805628767
"4","2011_Q3",28.39859375,"Down",424710000,-362038000,62672000,-41827000,-34049000,-2714000,20845000,-613000,-613000,20232000,20232000,-6360000,13872000,13872000,13872000,13872000,9461000,9461000,149386000,149386000,182389000,50388000,37468000,391624000,257984000,731727000,-473743000,117106000,34207000,72936000,2042000,7921000,375090000,766714000,64617000,37912000,26705000,39331000,25272000,2835000,129220000,55693000,166319000,81588000,59724000,4010000,20997000,222012000,351232000,415482000,766714000,13872000,10532000,-4677000,-6110000,13617000,-7288000,-5817000,-1755624.40300554,-9878000.00000001,-623000,-10440000,-2640000,-2640000,93999.9999999999,-2546000,31377000,95024000,24339000,0.14756,0.04908,0.03266,0.03339,0.01809,1.75454,3.03068,0.84536,0.12394,0.67933,0.66603,20.79873,1.19192,0.0859685439246549,0.0205,0.0359600000000001,0.233267791978962,2.72693,4.10473
"5","2011_Q4",22.2690476190476,"Down",392794000,-335444000,57350000,-40160000,-32321000,-2822000,17190000,-807000,-807000,16383000,16383000,-2856000,13527000,13527000,13527000,13527000,8965000,8965000,156557000,156557000,193605000,55033000,42588000,414160000,256666000,738066000,-481400000,117506000,34465000,72936000,2042000,8063000,374172000,788332000,88565000,35411000,53154000,46657000,2005000,2005000,137227000,65640000,157128000,68049000,60071000,8393000,20615000,222768000,359995000,428337000,788332000,13527000,9930000,4350000,-32388000,-4581000,-7738000,-7391000,-929218.302254152,17122000,-1918000,11450000,-522000,-522000,26000,-496000,27120000,112297000,-10150000,0.14601,0.04376,0.03444,0.03158,0.01716,-0.75035,3.01806,0.84045,0.14245,0.66377,0.65184,19.27445,-0.49806,0.0455089079434911,0.01939,-0.01455,0.126080843984222,3.81018,6.01117
"6","2012_Q1",25.8977419354839,"Up",334421000,-294922000,39499000,-38533000,-33376000,-3135000,966000,-807000,-807000,159000,159000,603000,762000,762000,762000,762000,12255000,12255000,117761000,117761000,187176000,53709000,39739000,370901000,263398000,752726000,-489328000,137804000,34995000,84036000,11627000,7146000,401202000,772103000,65278000,39385000,25893000,40944000,33449000,3033000,139671000,40463000,185987000,105115000,62540000,51000.0000000019,18281000,226450000,366121000,405982000,772103000,762000,11280000,7634000,48848000,68524000,-9702000,-33968000,0,-31153000,186000,-30952000,3604000,3604000,-314000,3290000,12246000,81407000,50789000,0.11811,0.00289,0.00228,0.00188,0.000990000000000001,66.65223,2.65553,0.90182,0.10544,0.0375299999999998,0.0369200000000001,16.46988,2.50131,0,0.00113,0.07542,-2.22044604925031e-16,5.64691,71.58592
"7","2012_Q2",21.6588888888889,"Down",353630000,-304212000,49418000,-39534000,-32654000,-3092000,9884000,-698000,-698000,9186000,9186000,-3068000,6118000,6118000,6118000,6118000,15146000,15146000,139372000,139372000,188972000,52135000,40644000,395625000,262265000,761471000,-499206000,138420000,32923000,84641000,12857000,7999000,400685000,796310000,78324000,30380000,45827000,58055000,2252000,2252000,138631000,60320000,185256000,103505000,63104000,855000,17792000,245576000,384207000,412103000,796310000,6118000,11951000,-239000,-40802000,-22972000,-9441000,-11091000,0,36827000,67000,37022000,2959000,2959000,-68000,2891000,21835000,118375000,-25340000,0.13974,0.02795,0.0173,0.01485,0.00768,-4.14188,2.8538,0.93231,0.14865,0.30034,0.29546,17.36033,-1.24399,0,0.00855,-0.0354,0,4.72768,10.44405
"8","2012_Q3",19.4180952380952,"Down",325088000,-272064000,53024000,-40579000,-33453000,-3198000,12445000,-820000,-820000,11625000,11625000,-3696000,7929000,7929000,7929000,7929000,15430000,15430000,123042000,123042000,209092000,51002000,41042000,398566000,264971000,770766000,-505795000,136577000,31783000,86527000,12930000,5337000,401548000,800114000,82745000,31121000,51624000,57250000,1558000,1558000,141553000,58176000,179851000,102207000,59296000,2561769.1575867,18348000,238027000,379580000,420534000,800114000,7929000,8489000,2193000,-4686000,13925000,-9338000,-8908000,-1550000,-3174999.99999999,6000,-4708000,309000,309000,-25000,284000,20934000,115426000,10606000,0.16311,0.03828,0.02439,0.01885,0.00991,1.33762,2.81567,0.90261,0.14426,0.38811,0.38366,15.91229,0.51914,0.07587,0.01324,0.01482,0.19548,4.77673,8.03503
"9","2012_Q4",20.2388709677419,"Up",290601000,-238231000,52370000,-38981000,-32831000,-3020000,13389000,-779000,-779000,12610000,12610000,-4496000,8114000,8114000,8114000,8114000,10894000,10894000,138877000,138877000,211443000,54918000,44610000,416132000,268603000,769985000,-501382000,133624000,30131000,86467000,11627000,5399000,402227000,818359000,87412000,31831000,55581000,57455000,1717000,1717000,146584000,65028000,176620000,98421000,57859000,2193000,18147000,241648000,388232000,430127000,818359000,8114000,8483000,2609000,-17533000,1673000,-11548000,-11489000,-1533000,6838000,4000,5195000,-4621000,-4621000,85000,-4536000,21872000,122483000,-2713000,0.18021,0.04607,0.02792,0.01886,0.00991,-0.33436,2.83886,0.9026,0.14967,0.39577,0.39498,14.17428,-0.13233,0.07477,0.01323,-0.00372,0.18893,5.10191,8.33438
"10","2013_Q1",25.6395,"Up",303759000,-259788000,43971000,-42913000,-34955000,-3195000,1058000,-837000,-837000,221000.000000002,221000.000000002,2282000,2503000,2503000,2503000,2503000,16056000,16056000,126482000,126482000,206125000,52326000,41685000,400989000,272542000,779785000,-507243000,141386000,28869000,88753000,19946000,3818000,413928000,814917000,69269000,42281000,26988000,49432000,30366000,1543000,149067000,44880000,205975000,125978000,61184000,1130000,17683000,250855000,399922000,414995000,814917000,2503000,8123000,2856000,32512000,45994000,-14334000,-11875000,-1532000,-28228000,740000,-29006000,5113000,5113000,49000,5162000,9181000,94312000,25077000,0.14476,0.00348000000000001,0.00824,0.00603,0.00307,10.01878,2.68999,0.96368,0.11573,0.12288,0.12034,14.91208,1.23108,0.07521,0.00564,0.03506,0.61207,8.52369,73.96597
