"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.1525396825397,"Up",42269000,-16878000,25391000,-22011000,-17482000,-2989000,3380000,-513000,-8000,-505000,2867000,2867000,-803000,2064000,2064000,2064000,2064000,215549800.912772,150479608.017095,84390245.5450805,84390245.5450805,19469292.9016147,59936872.3005623,39303320.6216006,379346211.660029,23897934.7190867,38755670.0750036,3406277.12762494,22802074.5573096,2964743.06307029,9582575.32699877,62653604.7940903,441999816.45412,172568537.257071,65657484.0948201,80231975.7013687,-79723176.3761751,4995867.50871129,-84719043.8848864,93152580.8961996,5424882.04368773,1290728.90062213,4134153.33782687,5305645.25925116,98458226.1554508,227365251.787855,-9075000.01113086,42726351.6266236,82524986.8953213,343541590.298669,343541590.298669,441999816.45412,2064000,1540000,940000,-3508000,1036000,-818000,-818000,2471000,275000,275000,6000,2752000,2970000,2970000,283000,3253000,4920000,0,1397000,0.6007,0.07996,0.04883,0.181687740857576,0.144583320562761,0.67684,3.33157531509446,0.327811367149253,0.000159943431193802,0.128,0.12688,2.62135,19.3054906937646,0.08664,0.175398636306113,0.27982397898902,113.046099850429,222.079863562902
"2","2010_Q3",19.63109375,"Down",45705000,-18617000,27088000,-22567000,-18055000,-2997000,4521000,-1815000,24000,-1839000,2706000,2706000,-869000,1837000,1837000,1837000,1837000,155794400.456386,90772804.0085474,70844622.7725403,70844622.7725403,17137646.4508074,32209436.1502811,20554160.3108003,275986105.830015,18446967.3595433,39868335.0375018,5389638.56381247,19719537.2786548,2562371.53153514,12196787.6634994,58315302.3970451,334301408.22706,92970768.6285355,36796242.0474101,43009487.8506843,-25787088.1880875,8828433.75435564,-34615521.9424432,67388790.4480998,6201941.02184387,1189364.45031107,5012576.66891343,6208322.62962558,73597113.0777254,183787625.893927,-9075000.00556543,49942675.8133118,36048993.4476607,260704295.149334,260704295.149334,334301408.22706,1837000,1515000,1333000,102000.000000001,4787000,-817000,-817000,-2510000,88000.0000000001,88000,10000,-2412000,1558000,1558000,2040000,3598000,6036000,0,6190000,0.59267,0.09892,0.04019,0.100248870428788,0.0797266602813805,3.36962,3.76600765754723,0.296925683574627,0.000574971715596901,0.11376,0.11261,2.83038,15.3173253468823,0.38333,0.0967393181530563,0.15295198949451,45.2882099252144,93.8676467814508
"3","2010_Q4",27.0228125,"Up",45286000,-18903000,26383000,-23537000,-18908000,-2850000,2846000,580000,36000,544000,3426000,3426000,-1098000,2328000,2328000,2328000,2328000,125365133.485462,60369601.3361825,59817207.5908468,59817207.5908468,20852882.1502691,17653145.383427,11045386.7702668,223688368.610005,15852655.7865144,41167778.3458339,6600879.52127082,18725845.7595516,2455457.17717838,13385595.8878331,57020434.1323484,280708802.742353,47898922.8761785,19904747.3491367,22920829.2835614,4293303.93730415,11551477.9181185,-7258173.9808144,52327263.4826999,7050980.34061462,1154454.81677036,5896525.55630448,7134440.87654186,59461704.3592418,162226208.631309,-9075000.00185514,54624891.9377706,13470997.8158869,221247098.383111,221247098.383111,280708802.742353,2328000,1779000,2347000,-2492000,3962000,-1472000,-1472000,-21000,17000,17000,11000,7000,2497000,2497000,199000,2696000,4625000,0,1759000,0.58259,0.06285,0.05141,0.0492929568095961,0.0392155534271268,0.75558,4.19855588584908,0.271218561191542,0.000768323905198967,0.14406,0.14283,2.80232,13.4740617822941,0.10885,0.0475364393843521,0.0709839964981699,4.65142664173814,17.6994155938169
"4","2011_Q1",32.9893548387097,"Up",58515000,-23979000,34536000,-28356000,-23010000,-3854000,6180000,-964000,19000,-983000,5216000,5216000,-377000,4839000,4839000,4839000,4839000,115708000,50722000,51862000,51862000,28242000,12500000,8045000,208312000,15240000,42467000,7204000,19015000,2522000,13726000,57707000,266019000,28371000,12025000,15208000,17036000,13357000,3679000,45498000,7919000,1161000,6758000,8044000,53542000,156327000,-9075000,57983000,7242000,212477000,212477000,266019000,4839000,1492000,-646000,-489000,5196000,-1919000,-1919000,-24000,1025000,1025000,106000,1107000,4384000,4384000,1713000,6097000,7672000,216000,5641000,0.59021,0.10561,0.0827,0.02277,0.01819,1.16574,4.57849,0.25199,0.00081,0.29903,0.29178,3.616,13.13027,0.34859,0.02193,0.02557,-15.0537,-18.68803
"5","2011_Q2",41.0584126984127,"Up",52566000,-22294000,30272000,-25988000,-20742000,-3632000,4284000,126000,-3000,129000,4410000,4410000,-1167000,3243000,3243000,3243000,3243000,118269000,53282000,47533000,47533000,36932000,12982000,8821000,215716000,15734000,43579000,7363000,19781000,2640000,13795000,59313000,275029000,25405000,10199000,15113000,18959000,14437000,4522000,44431000,8753000,1184000,7569000,8897000,53328000,159736000,-9075000,61227000,9813000,221701000,221701000,275029000,3243000,1614000,1025000,-3660000,2222000,-1477000,-1477000,-22000,2529000,2529000,237000,2744000,3489000,3489000,-929000,2560000,5898000,211000,1928000,0.57589,0.0815,0.06169,0.01463,0.01179,0.59451,4.85508,0.24054,0.00077,0.19953,0.19538,3.23421,13.64052,0.11862,0.01406,0.00836,-20.01662,-27.55789
"6","2011_Q3",38.96109375,"Down",59711000,-26195000,33516000,-27762000,-22226000,-3814000,5754000,-87000,37000,-124000,5667000,5667000,-1434000,4233000,4233000,4233000,4233000,122331000,57339000,46951000,46951000,44742000,15092000,10621000,229116000,16304000,44212000,7233000,20044000,2680000,14255000,60516000,289632000,28499000,11059000,17174000,16941000,14924000,2017000,45487000,9446000,1192000,8254000,9596000,55083000,165581000,-9075000,65459000,12584000,234549000,234549000,289632000,4233000,1722000,394000,-6507000,-158000,-1482000,-1482000,-95000,4346000,4346000,776000,5027000,3387000,3387000,670000,4057000,7476000,197000,921000,0.5613,0.09636,0.07089,0.01805,0.01462,0.21758,5.03696,0.23485,0.00068,0.2574,0.25123,3.63089,14.26241,0.056,0.01733,0.00377,-16.33681,-21.22593
"7","2011_Q4",42.9688888888889,"Up",64807000,-28418000,36389000,-26422000,-21120000,-3591000,9967000,-763000,17000,-780000,9204000,9204000,-2775000,6429000,6429000,6429000,6429000,119340000,54345000,50670000,50670000,49299000,15062000,10713000,234371000,16075000,44179000,6978000,18998000,2520000,15683000,60254000,294625000,28671000,11647000,16633000,17500000,15010000,2490000,46196000,9945000,1160000,8785000,10101000,56297000,167508000,-9075000,71889000,8006000,238328000,238328000,294625000,6429000,1711000,942000,-12540000,-3458000,-1057000,-1057000,-23000,852000,852000,399000,1228000,-3287000,-3287000,293000,-2994000,11678000,181000,856000,0.5615,0.1538,0.0992,0.02698,0.02182,0.13315,5.0734,0.23622,0.00061,0.38711,0.38,3.90224,14.35051,0.05154,0.02588,0.00345,-10.20372,-11.95535
"8","2012_Q1",55.0095161290323,"Up",77080000,-33568000,43512000,-30659000,-24835000,-4159000,12853000,-429000,13000,-442000,12424000,12424000,-2952000,9472000,9472000,9472000,9472000,129537000,64540000,57512000,57512000,49934000,14504000,9207000,251487000,16233000,45071000,6849000,18610000,2296000,17316000,61304000,312791000,34154000,13396000,18076000,19710000,15638000,4072000,53948000,10688000,1148000,9540000,10945000,64893000,169797000,-9075000,81360000,5816000,247898000,247898000,312791000,9472000,1665000,270000,-1324000,10083000,-1348000,-1348000,-23000,1423000,1423000,181000,1581000,10316000,10316000,-121000,10195000,14518000,341000,14798000,0.5645,0.16675,0.12289,0.03821,0.03028,1.56229,4.66166,0.26177,0.00109,0.56688,0.55367,4.61306,14.83612,0.88563,0.03658,0.05715,-8.89902,-10.05182
"9","2012_Q2",49.5455555555556,"Down",65229000,-28043000,37186000,-28753000,-22666000,-4408000,8433000,228000,88000,140000,8661000,8661000,-1911000,6750000,6750000,6750000,6750000,138581000,73588000,48731000,48731000,56342000,16721000,11426000,260375000,15980000,46578000,6790000,18962000,2349000,18477000,62558000,322933000,28244000,10745000,16753000,20408000,16475000,3933000,48709000,10734000,1159000,9575000,11126000,59835000,176915000,-9075000,88110000,7148000,263098000,263098000,322933000,6750000,1679000,-277000,-3818000,4334000,-896000,-896000,-131000,5288000,5288000,1056000,6213000,9651000,9651000,-603000,9048000,10112000,449000,7309000,0.57008,0.12928,0.10348,0.02566,0.0209,1.08281,5.34552,0.22742,0.00139,0.40207,0.39329,3.8854,15.67156,0.43536,0.02461,0.02665,-13.66021,-16.37994
"10","2012_Q3",39.404126984127,"Down",66762000,-29702000,37060000,-30189000,-23975000,-4525000,6871000,-388000,13000,-401000,6483000,6483000,-1749000,4734000,4734000,4734000,4734000,139737000,74748000,53246000,53246000,54057000,16807000,10617000,263847000,16139000,45409000,6670000,18339000,2240000,18160000,61548000,325395000,27417000,9295000,15674000,21090000,16751000,4339000,48545000,10511000,1279000,9232000,10576000,59121000,178379000,-9075000,92844000,4126000,266274000,266274000,325395000,4734000,1689000,201000,-4261000,2363000,-2080000,-2080000,33000,313000,313000.000000002,58000.0000000001,403999.999999999,687000,687000,473000,1160000,8560000,103000,3968000,0.55511,0.10292,0.07091,0.01778,0.01455,0.83819,5.4351,0.22203,0.00032,0.27955,0.27601,3.94244,15.72404,0.23432,0.0171,0.01433,-16.31238,-20.32222
