"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",24.2064516129032,"Up",668903000,-474425000,194478000,-161132000,-154918000,-6551000,33346000,-14279000,-14281000,19067000,-6270000,12797000,-1269000,11528000,11528000,-9942000,1586000,1586000,114196000,114196000,58488000,58488000,902711000,50767000,21755000,29012000,1126162000,130760000,198855000,3386000,153105000,24433000,17931000,329615000,1455777000,146699000,68655000,78044000,626409000,95314000,71128000,24186000,868422000,621144000,110348000,57659000,52689000,731492000,1599914000,-29811000,71000,-29740000,-114397000,-144137000,1455777000,11528000,6551000,7616000,-106341000,-80646000,-5800000,-10916000,-16716000,-1515000,-110385000,-25799000,96492000,-870000,-870000,-870000,39897000,1247553000,-70975000,0.29074,0.04985,0.00237,-0.011,0.00109,-44.75095,1.29679,-11.09995,0.85697,0.08451,0.01897,35.64441,-1.58478,-3.78211,0.08073,0.00255,-0.05848,0.95523,28.40707,33.98779
"2","2017_Q2",21.915873015873,"Down",881635000,-629706000,251929000,-182025000,-175490000,-6853000,69904000,-14706000,-14706000,55198000,17000,55215000,-5592000,49623000,49623000,-42101000,7522000,7522000,174734000,174734000,62774000,62774000,992445000,88649000,19640000,69009000,1318602000,141936000,243925000,3043000,198937000,23596000,18349000,385861000,1704463000,202755000,108700000,94055000,696650000,95751000,67474000,28277000,995156000,712388000,115462000,58758000,56704000,827850000,1823006000,-29585000,4690000,-24895000,-93648000,-118543000,1704463000,49623000,6853000,2858000,-72352000,-13018000,-15674000,-75448000,-91122000,-2903000,190695000,-23114000,164678000,60538000,60538000,60538000,76757000,1409038000,-5677000,0.28575,0.07929,0.00853,-0.0634499999999999,0.00441,-0.754719999999992,1.32502,-15.37844,0.82668,0.40083,0.08997,46.98044,-1.3266,-0.302519999999999,0.15469,0.00741,-0.00404,0.38593,16.08067,17.65713
"3","2017_Q3",25.8501587301587,"Up",1279026000,-906446000,372580000,-236059000,-228444000,-7584000,136521000,-17144000,-17144000,119377000,0,119377000,-14284000,105093000,105093000,-85749000,19344000,19344000,252161000,252161000,73164000,73164000,1100383000,110303000,24189000,86114000,1536011000,151965000,435992000,21785000,289884000,106452000,17871000,587957000,2123968000,257610000,142236000,115374000,781890000,111273000,72592000,38681000,1150773000,711038000,191288000,62473000,128815000,902326000,2053099000,12312000,19603000,31915000,38954000,70869000,2123968000,105093000,7584000,7093000,-18548000,101222000,-9849000,-176612000,-186461000,-4431000,92023000,-47470000,162666000,77427000,77427000,77427000,144105000,1492928000,129992000,0.2913,0.10674,0.01512,0.27295,0.00911,6.72002,1.33476,28.97034,0.7029,1.0308,0.23138,68.15656,1.70068,6.927,0.23612,0.01355,0.07407,0.22906,8.61016,9.08847
"4","2017_Q4",32.5685714285714,"Up",1235602000,-880387000,355215000,-244551000,-236174000,-8382000,110664000,-18426000,-18426000,92238000,-95999.9999999963,92142000,-8390000,83752000,83752000,-64163000,19589000,19589000,163225000,163225000,73700000,73700000,1197683000,107184000,27685000,79499000,1541792000,183485000,508102000,37972000,328402000,123788000,17940000,691587000,2233379000,283375000,158026000,125349000,800590000,123322000,81722000,41600000,1207287000,709714000,212090000,63550000,148491000,921804000,2129091000,14230000,34652000,48882000,55406000,104288000,2233379000,83752000,8382000,-407000.000000002,-6578999.99999999,85148000,-30662000,-93080000,-123742000,-4540000,10997000,-55700000,-50342000,-88936000,-88936000,-88936000,119046000,1510304000,90195000,0.28748,0.08956,0.01585,0.18784,0.00877,4.60437,1.27707,20.41549,0.67624,0.73582,0.73582,46.41282,1.83615,3.38799,0.17054,0.01321,0.04938,0.23176,11.31562,12.17269
"5","2018_Q1",30.5567213114754,"Down",888992000,-622377000,266615000,-221937000,-213052000,-8726000,44678000,-20373000,-20373000,24305000,98917000,123222000,-128716000,-5494000,-5494000,-12599000,-18093000,-18093000,224163000,224163000,79881000,79881000,1415915000,78948000,32721000,46227000,1798907000,198022000,564548000,38707000,348387000,155551000,21903000,762570000,2561477000,227545000,125616000,101929000,974887000,117737000,77669000,40068000,1320169000,907460000,243011000,64061000,178950000,1150471000,2470640000,50313000,6192000,56505000,34332000,90837000,2561477000,-5494000,8726000,26767000,-212445000,-182446000,-26535000,-47816000,-74351000,-10367000,354895000,-28471000,317735000,60938000,60938000,60938000,53404000,1882347000,-56860000,0.29991,0.05026,-0.02035,-0.19918,-0.00706,3.14265,1.36263,27.19861,0.73487,-0.67963,-0.67963,33.39313,2.12249,-2.13583,0.38941,-0.00349,-0.02566,-0.57298,31.04981,37.11411
"6","2018_Q2",18.8596875,"Down",1061566000,-756790000,304776000,-254599000,-245114000,-9400000,50177000,-23582000,-23582000,26595000,-2100000.00000001,24495000,-7218999.99999997,17276000,17276000,-14095000,3181000,3181000,331301000,331301000,84328000,84328000,1574059000,132446000,34668000,97778000,2122134000,281712000,570668000,37707000,353958000,154553000,24450000,852380000,2974514000,380652000,246215000,134437000,940367000,120241000,73440000,46801000,1441260000,1177909000,265368000,65530000,199838000,1443277000,2884537000,52484000,5025000,57509000,32468000,89977000,2974514000,17276000,9400000,9317000,-84211000,-48218000,-75934000,-12484000,-88418000,-5658000,272390000,-23095000,243774000,107138000,107138000,107138000,59577000,2118276000,-93349000,0.2871,0.04727,0.003,0.0353500000000001,0.00107,-29.3458,1.47242,32.0586,0.71214,0.0864,0.08524,28.83437,1.56207,-2.53556,0.15368,0.00357,-0.03774,1.77869,29.99438,35.61343
"7","2018_Q3",16.7606349206349,"Down",1445176000,-1029012000,416164000,-295982000,-284295000,-11628000,120182000,-26309000,-26309000,93873000,44000,93917000,-12102000,81815000,81815000,-53784000,28031000,28031000,212442000,212442000,96507000,96507000,1486736000,171268000,46841000,124427000,1966953000,363212000,593885000,36789000,388545000,147077000,21474000,957097000,2924050000,384015000,233398000,150617000,854977000,134760000,82433000,52327000,1373752000,1172850000,259376000,68047000,191329000,1432226000,2805978000,43527000,27387000,70914000,47158000,118072000,2924050000,81815000,11628000,-2286000,63056000,154213000,-85340000,-67719000,-153059000,-5669000,-73310000,-41043000,-120013000,-118859000,-118859000,-118859000,131810000,2027827000,121628000,0.28797,0.08316,0.0194,0.23741,0.00959,4.33905,1.43181,23.76497,0.6935,0.75833,0.75665,39.09685,1.91846,3.29044,0.15337,0.01401,0.05057,0.20224,13.77274,15.1053
"8","2018_Q4",13.6107936507937,"Down",1312727000,-936473000,376254000,-292351000,-278329000,-13179000,83903000,-24609000,-24609000,59294000,0,59294000,-11385000,47909000,47909000,-33893000,14016000,14016000,125366000,125366000,100071000,100071000,1495041000,123370000,36637000,86733000,1843848000,391579000,591671000,36410000,389087000,145751000,20423000,983250000,2827098000,368757000,224965000,143792000,734245000,146306000,92391000,53915000,1249308000,1173801000,265437000,69223000,196214000,1439238000,2688546000,50546000,35730000,86276000,52276000,138552000,2827098000,47909000,13179000,12743000,71232000,145063000,-43315000,-1991999.99999999,-45307000,-5673000,-144213000,-36953000,-186832000,-87076000,-87076000,-87076000,97082000,1908046000,136384000,0.28662,0.06392,0.01068,0.10116,0.00496,9.73059,1.4759,19.4046,0.67491,0.37862,0.37826,35.4609,2.33059,3.68416,0.15325,0.00852,0.05899,0.40475,18.36262,21.24692
"9","2019_Q1",10.8614754098361,"Down",972548000,-706810000,265738000,-275749000,-261621000,-15115000,-10011000,-27144000,-27144000,-37155000,-44180000,-81335000,-84000,-81419000,-81419000,46589000,-34830000,-34830000,138557000,138557000,85711000,85711000,1558970000,104924000,51710000,53214000,1888162000,359855000,558670000,35284000,359117000,145943000,18326000,918525000,2806687000,269427000,144808000,124619000,885980000,149711000,88054000,61657000,1305118000,1191627000,277025000,67157000,209868000,1468652000,2773770000,47908000,-3370000,44538000,-11621000,32917000,2806687000,-81419000,15115000,51166000,-99628000,-114766000,11140000,-17045000,-5905000,-5697000,144376000,-4817000,133862000,13191000,13191000,13191000,5104000,2077607000,-83300000,0.27324,-0.01029,-0.03581,-1.05812,-0.01241,2.39162,1.44674,84.26558,0.74023,-0.93778,-0.14269,26.18529,1.19916,-2.2428,0.15339,-0.0122,-0.03489,-0.16357,379.90792,-193.69194
"10","2019_Q2",10.1495238095238,"Down",1064769000,-766442000,298327000,-281445000,-268065000,-13594000,16882000,-29253000,-29253000,-12371000,8477000,-3894000.00000001,-22913000,-26807000,-26807000,7412000,-19395000,-19395000,69985000,69985000,87006000,87006000,1622964000,163564000,46338000,117226000,1943519000,343946000,1374958000,34144000,371098000,128695000,841021000,1718904000,3662423000,355770000,224821000,130949000,882346000,200275000,81463000,118812000,1438391000,2015758000,200640000,57393000,143247000,2216398000,3654789000,48950000,-24759000,24191000,-16557000,7634000,3662423000,-26807000,13594000,25547000,-86354000,-74020000,-1747000,-21169000,-22916000,-5699000,39611000,-5548000,28364000,-68572000,-68572000,-68572000,30476000,2898104000,-34712000,0.28018,0.01586,-0.01822,-2.54061,-0.0053,1.78974,1.35118,478.75151,0.79131,-0.52144,-0.52144,28.62667,0.65038,-0.93324,0.15322,-0.00441,-0.01117,-0.29384,92.79823,167.52275
