"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",6.2653125,"Up",4468675,-1368243,3100432,-2247811,-1524762,-723049,852621,-466927,-555975,385694,13292,398986,-679059,-679059,-679059,-679059,7727350,7727350,3585262,3585262,1046892,338147,171147,12697651,16403656,30397744,14696111,8606633,46801400,59499051,1984548,738459,1145370,6048749,11010623,17729179,17736679,28747302,30710834,40915,30751749,30751749,59499051,-679059,723049,1206695,-4563,1246122,-376901,-12876901,-197729,18038628,6407849,6407849,6407849,1575670,23777928,0.69381,0.1908,-0.15196,-0.02208,-0.01141,1.15322,0.93482,0.39964,-0.05757,-0.05757,0.37884,2.60703,-0.01245,10.18651,18.82499
"2","2014_Q4",4.99984375,"Down",5747541,-1799802,3947739,-4234939,-3145150,-1089789,-287200,-598861,-698336,-886061,-297468,-1183529,-657707,-657707,-657707,-657707,5961705,5961705,4259777,4259777,1128560,357422,212666,11707464,15357149,30649667,14084444,8762320,46006816,57714280,2737563,811263,1924693,10389406,15537875,12074864,12082364,27620239,30710834,-616793,30094041,30094041,57714280,-657707,1089789,-144785,-317839,-30542,-421445,-421445.000000002,-1313658,-1313658,-1765645,-1765645,-1765645,802589,22464270,0.68686,-0.04997,-0.11443,-0.02186,-0.0114,0.75348,0.9178,0.38923,-0.03804,-0.03804,0.33239,1.74038,-0.01251,20.56166,-57.4601799999997
"3","2015_Q1",3.33475409836066,"Down",6087012,-2614305,3472707,-3485028,-2377988,-1107040,-12321,-446410,-541132,-458731,230889,-227842,-149898,-149898,-149898,-149898,5792388,5792388,4403001,4403001,1219079,480232,163934,11894700,15963629,29685004,13472778,8409323,45648633,57543333,2861467,893376,1967091,11013222,15111718,11247584,12365404,27477122,30832901,-766690,30066211,30066211,57543333,-149898,1107040,181516,523851,1662509,-1231685,-1231685,-1261603,-600141,-169317,-169317,-169317,1094719,22260806,0.57051,-0.00202,-0.02463,-0.00499,-0.0026,0.78712,0.91389,0.38685,-0.01084,-0.01084,0.44009,2.17379,-0.0028,15.04351,-1336.61375
"4","2015_Q2",3.35349206349206,"Up",4074617,-1921430,2153187,-3205876,-2057380,-1148496,-1052689,-415091,-487151,-1467780,-55220,-1523000,-1043088,-1043088,-1043088,-1043088,5772966,5772966,3543425,3543425,1475039,443003,100252,11234433,15595032,29018787,12861111,8354773,44613819,55848252,2750189,750061,1998128,5810081,9329627,16458063,17442925,26772552,30885478,-1809778,29075700,29075700,55848252,-1043088,1148496,-147115,616493,574786,-223452,-223452,-338231,-370756,-19422.0000000005,-19422.0000000005,-19422.0000000005,95807.0000000001,22268144,0.52844,-0.25835,-0.256,-0.03587,-0.01868,1.20417,0.92079,0.39873,-0.06032,-0.06032,0.23564,1.68149,-0.01993,172.17091,-15.66956
"5","2015_Q3",1.78875,"Down",2881373,-1582620,1298753,-2953248,-1783043,-1170205,-1654495,-336935,-393960,-1991430,-27666,-2019096,-2235695,-2235695,-2235695,-2235695,2456108,2456108,2128531,2128531,1478495,355611,211612,6418745,15356949,28380383,12249445,8328035,43737332,50156077,1971687,515220,1454467,3323992,6016491,16390048,17247003,23263494,30938056,-4045473,26892583,26892583,50156077,-2235695,1170205,482812,430173,-152505,-334903,-334903,-2861975,-2829450,-3316858,-3316858,-3316858,-484290,19714040,0.45074,-0.5742,-0.77591,-0.08313,-0.04457,1.06686,0.86505,0.39305,-0.12929,-0.12929,0.16663,1.55524,-0.0471,-35.63553,-10.43094
"6","2015_Q4",1.16234375,"Down",3017719,-1521971,1495748,-3073335,-1866008,-1207327,-1577587,-305301,-362027,-1882888,-10202,-1893090,-1940313,-1940313,-1940313,-1940313,1928207,1928207,1935827,1935827,1457940,407367,190175,5729341,15081140,27767367,11637778,8326686,42848507,48577848,2188754,522768,1664986,2921086,5888856,16682529,17405225,23294081,31269553,-5985786,25283767,25283767,48577848,-1940313,1207327,494599,393139,154752,-343272,-343272,-339381,-339381,-527901,-527901,-527901,-370260,19603615,0.49566,-0.52277,-0.64297,-0.07674,-0.03994,0.97291,0.92131,0.40355,-0.1117,-0.1117,0.17373,1.4556,-0.04254,-47.73783,-11.20408
"7","2016_Q1",1.4827868852459,"Up",2732663,-1592309,1140354,-2599742,-1307222,-1292520,-1459388,-231091,-285566,-1690479,-7802193,-9492672,-9236483,-9236483,-9236483,-9236483,1297002,1297002,1861002,1861002,1410794,179450,179450,4748248,14655502,19342193,11026111,8316082,33997695,38745943,1450358,638593,809765,2855056,4860807,16559203,17710425,22571232,31396980,-15222269,16174711,16174711,38745943,-9236483,1292520,7498385,493171,47593,-321155,-321155,-357643,-357643,-631205,-631205,-631205,-166868,19414259,0.41731,-0.53405,-3.38003,-0.57104,-0.23839,0.97684,1.39546,0.50107,-0.52974,-0.52974,0.15673,0.92767,-0.2514,-108.57239,-12.41428
"8","2016_Q2",1.745625,"Up",1444626,-1020614,424012,-2525030,-1290606,-1234424,-2101018,-228374,-285100,-2329392,86852,-2242540,-2242540,-2242540,-2242540,-2242540,767023,767023,830952,830952,1478763,219999,96564,3296737,14252931,18728716,10414445,8314271,32981647,36278384,1019396,558355,459041,5066430,7061884,14146989,15027021,22088905,31654288,-17464809,14189479,14189479,36278384,-2242540,1246880,205341,445002,-345317,-145791,-145791,11682.9999999999,-38871,-529979,-529979,-529979,-854138,19213419,0.29351,-1.45437,-1.55233,-0.15804,-0.06181,0.46684,1.55671,0.52961,-0.12844,-0.12844,0.08274,0.8127,-0.06541,-21.59651,-8.77974
"9","2016_Q3",1.30796875,"Down",1114469,-1331983,-217514,-2751364,-1538821,-1212543,-2968878,-234431,-286656,-3203309,104598,-3098711,-3098711,-3098711,-3098711,-3098711,211917,211917,473799,473799,1280507,265731,81245,2231954,13430075,18117049,9802778,8314271,31547124,33779078,1585050,776662,806388,4005559,6614406,15074395,15954427,22568833,31773766,-20563521,11210245,11210245,33779078,-3098711,1200087,411665,960560,-526399,124932,124932,-170539,-153639,-555106,-555106,-555106,-1768791,19079954,-0.19517,-2.66394,-2.78044,-0.27642,-0.09173,0.33744,2.01323,0.56485,-0.17743,-0.17743,0.06381,0.64189,-0.09941,-10.66719,-6.35528
"10","2016_Q4",1.02063492063492,"Down",2261310,-972378,1288932,-2251957,-1319709,-932248,-963025,-244712,-294687,-1207737,32304,-1175433,-1173433,-1173433,-1173433,-1173433,332248,332248,1212456,1212456,1547783,5646931,84612,8739418,12713465,17503782,9191111,8312671,30217247,38956665,1944989,1243631,701358,3886709,7216250,14562222,15442254,22658504,38035113,-21736952,16298161,16298161,38956665,-1173433,932248,146366,-515037,-609856,188975,188975,832086,541212,120331,120331,120331,-30777,18448931,0.56999,-0.42587,-0.51892,-0.072,-0.03012,1.21107,1.39025,0.47358,-0.06557,-0.06557,0.12637,0.91077,-0.03294,-588.64356,-18.81227
