"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.80484375,"Down",72785000,-65021000,7764000,-3910000,-3785000,-125000,3854000,-1474000,-1474000,2380000,-3009000,-629000,0,-629000,-629000,-629000,-629000,1700951.0640361,1700951.0640361,-3979703.098062,-3979703.098062,21582427.6601302,2200745.89508809,2200745.89508809,21504421.5211923,24117304.4235205,32839080.4326152,20625516.8816339,7015639.62620605,5328678.93908883,56956384.8561357,78460806.3773281,27940683.2715978,19774427.679957,8166255.59164081,122626970.217804,-79612434.4344256,9184701.18606241,7850930.57218165,-70427733.2483632,52199236.9694411,52587644.8674867,-24522023.4935042,-1804051.9660955,26261569.407887,26261569.407887,78460806.3773281,-629000,1229000,549000,2517000,3666000,-94000,-3676000,-3800000,708000,0,-23000,685000,551000,551000,551000,5083000,0,7506000,0.10667,0.05295,-0.00864,-0.172431628904324,-0.011933190343861,-11.93323,-3.85761650356441,1.96011022272105,0.259459756529695,-0.02974,-0.02974,3.44101,1.23817443841741,0.35486,0.00563124993816917,1.52906845173742,9.94370597329278,16.8806504354686
"2","2011_Q1",0.889677419354839,"Up",58082000,-52422000,5660000,-2832000,-2645000,-187000,2828000,-1174000,-1174000,1654000,-2674000,-1020000,81000,-939000,-939000,-939000,-939000,1957000,1957000,10190000,10190000,22723000,2258000,2258000,37128000,23172000,14517000,7901000,2966000,3650000,37689000,74817000,13832000,8204000,5628000,50065000,0,6616000,5290000,6616000,56681000,53946000,-34980000,-830000,18136000,18136000,74817000,-939000,1250000,644000,6724000,7679000,-283000,-86000,-423000,-5848000,0,-354000,-6202000,1054000,1054000,1054000,4078000,36233000,10438000,0.09745,0.04869,-0.01617,-0.05178,-0.01255,-11.11608,0.7416,3.12533,0.48429,-0.04463,-0.04231,2.76058,0.86199,0.49611,-0.0154,0.17116,8.4051,12.12023
"3","2011_Q2",0.961269841269841,"Up",69485000,-61595000,7890000,-4029000,-3857000,-172000,3861000,-1737000,-1737000,2124000,-3359000,-1235000,0,-1235000,-1235000,-1235000,-1235000,1457932.97865463,1457932.97865463,20253484.3660207,20253484.3660207,23578190.7799566,2024001.36830397,2024001.36830397,47313609.4929359,22661398.5254932,10060139.8557949,5138327.70612202,2052536.79126465,2825690.35363706,32721538.3812881,80035147.874224,15078605.5761341,9809524.10668101,5269081.46945306,23185593.2607319,33514644.8114752,5451432.9379792,4132523.14260612,38966077.7494544,62151671.0101863,54540535.0441711,-36328492.1688319,-328566.011301499,17883476.8640377,17883476.8640377,80035147.874224,-1235000,1189000,1294000,-245000,1003000,-170000,0,-177000,1050000,2762000,-1745000,2067000,2893000,2893000,2893000,5050000,0,4635000,0.11355,0.05557,-0.01777,0.0734688763014412,0.0120002301146203,-3.75304,2.37208383452147,3.35736492575965,0.509350081156768,-0.05807,-0.05807,3.26727,0.837973520527531,0.21794,0.0130095833539436,-0.182295317245806,6.24557134223574,7.93795985484381
"4","2011_Q3",0.8446875,"Down",82620000,-70603000,12017000,-4245000,-4074000,-171000,7772000,-1075000,-1075000,6697000,-3e+06,3697000,-2.91038304567337e-11,3697000,3697000,3697000,3697000,706000,706000,25913000,25913000,24435000,1722000,1722000,52776000,22504000,13519000,7987000,2966000,2566000,36023000,88799000,23268000,17149000,6119000,23268000,38222000,5208000,3882000,43430000,66698000,54772000,-32518000,-153000,22101000,22101000,88799000,3697000,1194000,8000,-7238000,-2339000,-929000,-522000,-1509000,1461000,21000.0000000005,-1778000,-296000,-4144000,-4144000,-4144000,8966000,38222000,798999.999999999,0.14545,0.09407,0.04475,0.16728,0.04163,0.21612,2.26818,3.01787,0.43043,0.16945,0.16133,3.78674,1.01296,0.03662,0.05642,0.01219,4.18425,4.82707
"5","2011_Q4",1.09634920634921,"Up",77439000,-64248000,13191000,-4421000,-4226000,-195000,8770000,-777000,-777000,7993000,-3457000,4536000,0,4536000,4536000,4536000,4536000,240000,240000,23624000,23624000,25656000,1708000,1708000,51228000,22639000,18202000,11496000,4128000,2578000,40841000,92069000,26997000,19539000,7458000,27997000,32004000,5242000,3916000,37246000,65243000,54961000,-27982000,-153000,26826000,26826000,92069000,4536000,1203000,27000,5096000,10862000,-457000,-5691000,-6202000,-4974000,-26000,-126000,-5126000,-466000,-466000,-466000,9973000,33004000,14612000,0.17034,0.11325,0.05858,0.16909,0.04927,3.22134,1.82977,2.43208,0.35847,0.20436,0.19409,3.48883,1.20858,0.65831,0.06971,0.22455,3.28527,3.73592
"6","2012_Q1",2.89629032258065,"Up",78278000,-67068000,11210000,-4737000,-4446000,-291000,6473000,-880000,-880000,5593000,-4284000,1309000,163000,1472000,1472000,1472000,1472000,550000,550000,14171000,14171000,27503000,2161000,2161000,44385000,22978000,18407000,11515000,4319000,2573000,41385000,85770000,18850000,10618000,8232000,19850000,31954000,5124000,3780000,37078000,56928000,55535000,-26510000,-183000,28842000,28842000,85770000,1472000,1330000,4823000,-5336000,2289000,-779000,-1101000,-1852000,-97000,25999.9999999999,-56000,-127000,310000,310000,310000,7803000,32954000,1525000,0.14321,0.08269,0.0188,0.05104,0.01716,1.03601,2.23602,1.97379,0.38421,0.06533,0.06172,3.47416,1.28007,0.06768,0.022,0.02279,4.15276,5.00603
"7","2012_Q2",4.93174603174603,"Up",102688000,-86254000,16434000,-5234000,-4918000,-316000,11200000,-845000,-845000,10355000,-5344000,5011000,0,5011000,5011000,5011000,5011000,1244000,1244000,30645000,30645000,29562000,1974000,1974000,63425000,23111000,21041000,12862000,5759000,2420000,44152000,107577000,29724000,23491000,6233000,30724000,35433000,5619000,4275000,41052000,71776000,57483000,-21499000,-183000,35801000,35801000,107577000,5011000,1428000,1960000,-6630000,1769000,-835000,-3691000,-4532000,3430000,0,27000,3457000,694000,694000,694000,12628000,36433000,5163000,0.16004,0.10907,0.0488,0.13997,0.04658,1.03033,2.06435,2.00486,0.33867,0.21794,0.20801,4.4661,1.55706,0.22455,0.06436,0.06632,2.78659,3.14188
"8","2012_Q3",5.53206349206349,"Up",115605000,-97766000,17839000,-6274000,-5940000,-334000,11565000,-790000,-790000,10775000,-4112000,6663000,6650000,13313000,13313000,13313000,13313000,1395000,1395000,25672000,25672000,34034000,3088000,3088000,64189000,23707000,24976000,12528000,5759000,2259000,48683000,112872000,33724000,24968000,8756000,34724000,24373000,3414000,3414000,27787000,62511000,58730000,-8186000,-183000,50361000,50361000,112872000,13313000,1111000,501000,-2379000,12546000,-1355000,4.65661287307739e-10,-1362000,-11109000,116000,-40000,-11033000,151000,151000,151000,12676000,25373000,2292000,0.15431,0.10004,0.11516,0.26435,0.11795,0.17216,1.84855,1.24126,0.22479,0.56212,0.54179,4.88125,2.12642,0.09678,0.1682,0.02896,1.89161,2.07332
"9","2012_Q4",7.11564516129032,"Up",112946000,-96043000,16903000,-5740000,-5398000,-342000,11163000,-830000,-830000,10333000,-3779000,6554000,0,6554000,6554000,6554000,6554000,888000,888000,31650000,31650000,40978000,3074000,3074000,76590000,28602000,26585000,13280000,6753000,2122000,55187000,131777000,37584000,27005000,10579000,38584000,32089000,3438000,3438000,35527000,74111000,59481000,-1632000,-183000,57666000,57666000,131777000,6554000,1154000,87000,-7480000,315000,-3033000,-5532000,-8594000,7667000,105000,0,7772000,-507000,-507000,-507000,12317000,33089000,1804000,0.14966,0.09883,0.05803,0.11365,0.04974,0.27525,1.98502,1.28518,0.2511,0.27292,0.26702,4.70329,2.40132,0.07512,0.06958,0.01915,2.61435,2.88462
"10","2013_Q1",6.2865,"Down",106128000,-91560000,14568000,-5912000,-5381000,-531000,8656000,-1572000,-1572000,7084000,-4040000,3044000,172999.999999999,3217000,3217000,3217000,3217000,434000,434000,17858000,17858000,46992000,3237000,3237000,68521000,37069000,37879000,19219000,10362000,2473000,74948000,143469000,29152000,17336000,11816000,29152000,49716000,3193000,3193000,52909000,82061000,59806000,1585000,17000,61408000,61408000,143469000,3217000,1893000,9665000,-8408000,6367000,-2638000,-20039000,-22734000,15942000,215000,-244000,15913000,-454000,-454000,-454000,10549000,49716000,-670000,0.13727,0.08156,0.03031,0.05239,0.02242,-0.20827,2.35047,1.33632,0.34653,0.13222,0.14282,4.36175,2.52381,-0.02754,0.02814,-0.00586,4.67172,5.69339
