"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",24.293125,"Up",44457000,-22983000,21474000,-20641000,-10465000,-7569000,-2607000,833000,365000,-342000,707000,1198000,1968000,3166000,-1024000,2142000,2142000,2142000,2142000,289791269.094076,339346416.184729,-7618531.29984128,-7618531.29984128,-18118838.1112194,264053899.683015,36098034.3188543,-27615317.3162931,-22572949.0187291,-39038049.2352594,1792588.59467148,-17383796.4331404,246670103.249875,11359572.4074373,-3042775.40109697,14402347.8085343,1860999.65948588,-22701890.2300837,13220572.0705962,90674.2041794152,90674.3955532438,9281214.75557811,22501786.8261743,230875984.894556,50603178.3396788,-1135609.2472038,224168316.441011,224168316.4237,246670103.249875,2142000,2607000,3691000,-5933000,2507000,-1991000,-31650000,-259000,295000,36000,-29107000,-29107000,55000,-29052000,3440000,0,-3460000,0.48303,0.01874,0.04818,-0.0697830878188553,-0.0583325344118187,-1.61531,9.18753174282881,0.126524856168513,0.0333678999451026,0.06849,0.06653,1.42144,7.88336692932621,-0.11063,-0.067479288458136,0.215600731151314,-45.3382256551656,-88.9396422086153
"2","2011_Q1",31.6543548387097,"Up",49231000,-23579000,25652000,-22625000,-10433000,-9248000,-2944000,3027000,-237000,386000,-623000,2790000,-6263000,-3473000,-481000,-3954000,-3954000,-3954000,-3954000,182133000,180367000,34940000,34940000,8606000,225679000,32622000,74596000,33231000,19063000,2598000,114720000,340399000,20012000,7013000,12999000,22058000,5143000,42070000,1101000,1101000,10306000,52376000,255660000,56258000,-182000,288023000,288023000,340399000,-3954000,2944000,2811000,10218000,12019000,-8113000,-7914000,-265000,7033000,113405000,117510000,117510000,-259000,117251000,5971000,9205000,8557000,0.52105,0.06149,-0.08032,-0.01373,-0.01162,-2.16414,5.36437,0.18185,0.02704,-0.1161,-0.11152,1.44559,8.45733,0.25126,-0.01325,0.02868,-28.96131,-57.12851
"3","2011_Q2",31.1830158730159,"Down",52878000,-24611000,28267000,-23608000,-10147000,-10103000,-3358000,4659000,-127000,-118000,-9000,4532000,-2916000,1616000,-1477000,139000,139000,139000,139000,154016493.635308,138430611.271757,48575093.7666138,48575093.7666138,17164696.0370731,219756283.438995,32596238.5603819,98825355.7720977,43251316.3395764,34883516.4117531,2678220.46844284,151857432.14438,371613715.583375,21554725.8641876,9586508.46703232,11968217.3971552,25108916.7801714,15430380.0766946,46663642.6431346,1296191.93194019,1296191.86814892,10513345.081474,57176987.7246086,275824505.035148,58416273.8867737,121953.082401267,314436727.852996,314436727.858767,371613715.583375,139000,3358000,1277000,1910000,6684000,-3221000,-13209000,-263000,10810000,10547000,4022000,4022000,186000,4208000,8017000,0,8183000,0.53457,0.08811,0.00263,0.00800936260628511,0.00671667813727289,58.8705,4.79613858572373,0.181440881277162,0.0248807000182991,0.00377,0.00362,1.43468,8.5827101902246,0.22202,0.00776809615271198,-0.0183552437171047,-21.4961089482781,-41.3108392637949
"4","2011_Q3",28.52015625,"Down",54817000,-25878000,28939000,-24425000,-10648000,-10055000,-3722000,4514000,75000,-101000,176000,4589000,84999.9999999995,4674000,-1470000,3204000,3204000,3204000,3204000,165806000,153408000,46768000,46768000,15361000,227935000,34212000,85511000,32202000,29627000,2402000,141589000,369524000,20153000,8023000,12130000,19564000,14828000,39717000,1060000,1060000,10287000,50004000,291418000,59601000,8999.99999999977,319520000,319520000,369524000,3204000,3722000,1713000,-2695000,5944000,-4135000,-27088000,-233000,-1989000,-10018000,-31162000,-31162000,-5000,-31167000,8236000,9227000,2876000,0.52792,0.08235,0.05845,0.01003,0.00867,0.89763,5.73898,0.1565,0.02497,0.08535,0.08252,1.46019,8.51123,0.07661,0.00971,0.00872,-19.01153,-34.68742
"5","2011_Q4",29.1503174603175,"Up",59238000,-27781000,31457000,-25946000,-11118000,-10879000,-3949000,5511000,-9000,18000,-27000,5502000,-480000,5022000,-1447000,3575000,3575000,3575000,3575000,166756000,148611000,45488000,45488000,12566000,224810000,35599000,86199000,31629000,29717000,2228000,144660000,369470000,22480000,6360000,16120000,15891000,10457000,38371000,821000,821000,10056000,48427000,301928000,63176000,-349000,321043000,321043000,369470000,3575000,3949000,3942000,3792000,15258000,-4686000,-11745000,-225000,4391000,-8037000,-4524000,-4524000,-273000,-4797000,9460000,9235000,10013000,0.53103,0.09303,0.06035,0.01114,0.00968,2.80084,5.85885,0.15084,0.025,0.09515,0.0925,1.57661,8.54451,0.26649,0.0108,0.03024,-16.65127,-28.58302
"6","2012_Q1",32.6285483870968,"Up",62151000,-28325000,33826000,-27187000,-12973000,-10504000,-3710000,6639000,51000,94000,-43000,6690000,357000,7047000,1161000,8208000,8208000,8208000,8208000,120934000,69430000,57387000,57387000,16061000,194382000,34969000,137625000,63969000,54617000,2495000,204236000,398618000,31865000,7712000,24153000,22001000,8834000,53866000,948000,948000,10189000,64055000,307590000,71384000,-699000,334563000,334563000,398618000,8208000,3710000,14431000,-11650000,14699000,-2690000,-93082000,-224000,-462000.000000002,-686000,-79069000,-79069000,-112000,-79181000,10349000,9241000,-5152000,0.54426,0.10682,0.13207,0.02453,0.02059,-0.627679999999999,3.60862,0.19146,0.02318,0.21878,0.2128,1.65661,8.91764,-0.13732,0.02381,-0.01494,-10.79264,-16.82377
"7","2012_Q2",23.5457142857143,"Down",64560000,-28621000,35939000,-28437000,-10390000,-12876000,-5171000,7502000,173000,159000,14000,7675000,780000,8455000,-2972000,5483000,5483000,5483000,5483000,130487000,75098000,58701000,58701000,13268000,202456000,36561000,134039000,62382000,55007000,2347000,197442000,399898000,22515000,5290000,17225000,17705000,8420000,40220000,1072000,1072000,10320000,50540000,316634000,76867000,-431000,349358000,349358000,399898000,5483000,5171000,7499000,-11528000,6625000,-4873000,-4134000,-224000,3258000,3034000,5525000,5525000,143000,5668000,12673000,9248000,-756000,0.55668,0.1162,0.08493,0.01569,0.01371,-0.13788,5.03371,0.14467,0.02313,0.14391,0.13967,1.69453,9.16974,-0.01984,0.01524,-0.0021,-9.56672,-16.16089
"8","2012_Q3",21.4352380952381,"Down",66990000,-26631000,40359000,-29592000,-11060000,-12570000,-5962000,10767000,868000,89000,779000,11635000,4628000,16263000,-4314000,11949000,11949000,11949000,11949000,100256000,35081000,61417000,61417000,17472000,179145000,49539000,161251000,76722000,66646000,2334000,233579000,412724000,23555000,3698000,19857000,11273000,7773000,34828000,1044000,1044000,10298000,45126000,327117000,88816000,-850000,367598000,367598000,412724000,11949000,5962000,-835999.999999999,-7417000,9658000,-16990000,-49606000,-256000,4250000,221000,-39727000,-39727000,-290000,-40017000,16729000,9254000,-3364000,0.60246,0.16073,0.17837,0.03251,0.02895,-0.28153,5.14371,0.12276,0.02242,0.31155,0.3058,1.74667,9.5846,-0.08771,0.03162,-0.0089,-5.43978,-8.45194
"9","2012_Q4",20.126935483871,"Down",68961000,-29136000,39825000,-28991000,-10278000,-12645000,-6068000,10834000,-134000,73000,-207000,10700000,327000,11027000,-4825000,6202000,6202000,6202000,6202000,117996000,52736000,65985000,65985000,15022000,199003000,49419000,158912000,73770000,67841000,2118000,222930000,421933000,27962000,5549000,22413000,10218000,6624000,38180000,856000,856000,10113000,48293000,336102000,95018000,-279000,373640000,373640000,421933000,6202000,6066000,-5306000,11552000,18514000,-3514000,4240000,-270000,4146000,-5637000,17117000,17117000,538000,17655000,16900000,9257000,29763000,0.5775,0.1571,0.08993,0.0166,0.0147,4.79894,5.21223,0.12925,0.02194,0.16275,0.15955,1.80967,9.80502,0.78104,0.01616,0.07756,-6.43426,-10.03683
"10","2013_Q1",27.3235,"Up",73181000,-31282000,41899000,-35779000,-14952000,-14216000,-6611000,6120000,299000,-4000,303000,6419000,5e+05,6919000,-3470000,3449000,3449000,3449000,3449000,56216000,36028000,74980000,74980000,24012000,155208000,58162000,252639000,110760000,127322000,3482000,311454000,466662000,50638000,8980000,41658000,29333000,20954000,79971000,2494000,2494000,12034000,92005000,344473000,98467000,-365000,374657000,374657000,466662000,3449000,6613000,7779000,3236000,21077000,-7857000,-27723000,-265000,947000,-10035000,-16681000,-16681000,-26999.9999999998,-16708000,12733000,9540000,11582000,0.57254,0.08363,0.04713,0.00921,0.00739,3.35807,1.9408,0.24557,0.02044,0.09024,0.08776,1.91468,9.80239,0.30303,0.00892,0.02995,-3.66575,-7.6268
