"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",32.5303125,"Up",502100000,-305700000,196400000,-92900000,-92900000,103500000,1600000,-2e+05,-2e+05,1800000,105100000,105100000,-29600000,75500000,75500000,-5200000,70300000,70300000,744044114.087298,744044114.087298,372122966.732704,372122966.732704,281478229.969541,281478229.949191,1397645310.78954,24624832.5063735,1720384531.92856,78150981.2385888,1275933912.42387,366299638.2661,1745009364.43493,3142654675.22448,551898226.673827,18655499.0875774,533242727.586251,-68009728.0496545,207581280.572316,207581280.554344,691469779.196488,-2993685076.83712,318576901.195624,211137580.138468,92043105.2680702,15396215.7890855,-2675108175.6415,-1983638396.44501,-1962371010.42534,65839892.9718981,6991373081.91879,5094389769.96103,5126293071.66949,3142654675.22448,75500000,6100000,-7900000,-18300000,55400000,-5600000,0,5100000,0,-1600000,0,0,-7800000,-9400000,51100000,51100000,-6700000,44400000,109600000,0,115300000,0.39116,0.20613,0.14001,-0.058596308840576,0.0284369453271465,1.64011,2.11154120917124,-5.39248834756684,-1.26377448386111,0.43773,0.43773,3.1264,31.7070170086771,0.71793,0,-2.47107646353615,0.164080306561302,0,-36.7227069080611,-37.5527050942925
"2","2015_Q1",41.9981967213115,"Up",505600000,-3.04e+08,201600000,-108400000,-108400000,93200000,1300000,-3e+05,-3e+05,1600000,94500000,85200000,-30500000,54700000,54700000,-2800000,51900000,51900000,402800000,402800000,310700000,310700000,204700000,204700000,918200000,82600000,1597800000,133800000,1230900000,233100000,1680400000,2598600000,302700000,17200000,285500000,0,194800000,194800000,497500000,0,291800000,182800000,76500000,32500000,291800000,789300000,0,0,1797900000,1797900000,1809300000,2598600000,54700000,12700000,9e+06,26900000,103300000,-10800000,0,-59200000,2.38418579101562e-07,2.38418579101562e-07,4.65661287307739e-10,-2.3283064365387e-10,-10100000,-10099999.9999999,3.4e+07,3.4e+07,8800000,42800000,105900000,0,152500000,0.39873,0.18434,0.10265,0.02869,0.01997,2.93834,1.84563,0.43625,0,0.32316,0.32316,3.14819,11.19489,0.94956,1.77635683940025e-15,0.0247,0.07258,0,-3.80359,-4.32189
"3","2015_Q2",47.3374603174603,"Up",5.17e+08,-311500000,205500000,-110500000,-110500000,9.5e+07,2e+05,-1100000,-1100000,1300000,95200000,64500000,-23500000,4.1e+07,4.1e+07,-2e+06,3.9e+07,3.9e+07,355300000,355300000,298100000,298100000,171500000,171500000,824900000,108500000,1536900000,128900000,1207200000,200800000,1645400000,2470300000,254600000,15200000,239400000,17300000,186800000,186800000,458700000,982700000,293800000,179700000,70700000,43400000,1276500000,1735200000,646900000,-6163297.65729936,88200000,735100000,735100000,2470300000,4.1e+07,13900000,6200000,-40200000,20900000,33700000,0,-207100000,-8.25e+08,978100000,0,0,-4300000,148800000,-37400000,-37400000,-10100000,-47500000,108900000,1e+09,125900000,0.39749,0.18375,0.07544,0.05305,0.01579,3.22821,1.79834,2.3605,0.40481,0.24284,0.24284,3.21918,4.57721,0.78394,5.13699,0.42585,0.06205,21.15385,5.92011,6.78632
"4","2015_Q3",46.9403125,"Down",5.17e+08,-323300000,193700000,-105900000,-105900000,87800000,-7400000,-9e+06,-9e+06,1600000,80400000,77100000,-32700000,44400000,44400000,-2e+06,42400000,42400000,402200000,402200000,319500000,319500000,170400000,170400000,892100000,106500000,1516600000,105800000,1189300000,221500000,1623100000,2515200000,284100000,15700000,268400000,12500000,183100000,183100000,479700000,984400000,300300000,184300000,71300000,44700000,1284700000,1764400000,658900000,23100000,68800000,750800000,750800000,2515200000,44400000,29500000,4600000,5600000,84100000,-8700000.00000001,4.65661287307739e-10,-8700000,-19400000,-3100000.00000012,3100000,3100000,-3300000,-22700000,52700000,52700000,-5800000,46900000,117300000,996900000,146900000,0.37466,0.16983,0.08201,0.05647,0.01686,3.46462,1.8597,2.35003,0.39635,0.26385,0.26205,3.21717,4.67206,0.91413,0.12072,0.03018,0.07173,0.457549999999998,5.06991,6.77335
"5","2015_Q4",45.0078125,"Down",526400000,-321800000,204600000,-105500000,-105500000,99100000,-7500000,-9300000,-9300000,1800000,91600000,9.1e+07,-32800000,58200000,58200000,-1900000,56300000,56300000,368500000,368500000,352800000,352800000,185100000,185100000,906400000,85300000,1517600000,103100000,1169100000,245400000,1602900000,2509300000,279700000,20900000,258800000,12500000,183500000,183500000,475700000,981300000,288300000,179400000,73300000,35600000,1269600000,1745300000,678800000,59900000,45600000,752100000,7.64e+08,2509300000,58200000,13700000,4100000,-20800000,55200000,-18200000,-14600000,-32800000,-19400000,-3100000,-28400000,3800000,1800000,-49100000,-26700000,-26700000,-7e+06,-33700000,112800000,993800000,106600000,0.38868,0.18826,0.10695,0.07369,0.02244,1.89343,1.9054,2.28442,0.39605,0.35056,0.34775,3.27771,4.68306,0.66376,0.1208,0.0369999999999999,0.0521,0.34458,5.54344,6.30979
"6","2016_Q1",41.4227868852459,"Down",503100000,-316600000,186500000,-109200000,-109200000,77300000,-7600000,-9400000,-9400000,1800000,69700000,67300000,-24600000,42700000,42700000,-2e+06,40700000,40700000,408200000,408200000,314600000,314600000,162400000,162400000,885200000,1e+08,1533300000,99300000,1209900000,224100000,1633300000,2518500000,299300000,21700000,277600000,1.3e+07,186100000,186100000,498400000,971100000,264900000,162900000,58200000,43800000,1.236e+09,1734400000,688100000,81200000,51600000,770200000,784100000,2518500000,42700000,19400000,-21600000,67200000,107700000,-29200000,-8300000,-3.3e+07,-19400000,-3300000.00000006,-14900000,2900000,1500000,-36100000,38600000,38600000,1100000,39700000,96700000,984100000,159300000,0.3707,0.15365,0.0809,0.05191,0.01616,3.914,1.77608,2.21196,0.39075,0.25358,0.25108,3.13458,4.79875,0.99252,0.12087,0.02956,0.07835,0.47666,5.95553,7.45019
"7","2016_Q2",48.17453125,"Up",514600000,-310800000,203800000,-97400000,-97400000,106400000,-8700000,-9300000,-9300000,6e+05,97700000,95800000,-34600000,61200000,61200000,-2200000,5.9e+07,5.9e+07,359600000,359600000,333700000,333700000,185400000,185400000,878700000,99700000,1510100000,92800000,1197300000,2.2e+08,1609800000,2488500000,267800000,19100000,248700000,13300000,175100000,175100000,456200000,968600000,259400000,158100000,59200000,42100000,1.228e+09,1684200000,677200000,121400000,34800000,788200000,804300000,2488500000,61200000,1.4e+07,18800000,-88800000,5200000,-9200000,-6700000,-15900000,-19200000,-3300000,-9500000,1500000,-2100000,-34100000,-44800000,-44800000,-3800000,-48600000,120400000,981900000,5.7e+07,0.39604,0.20676,0.11465,0.07336,0.02371,0.9661,1.92613,2.09399,0.39458,0.3706,0.36714,3.23241,4.95101,0.35804,0.1206,0.03823,0.02786,0.32542,5.1686,5.84868
"8","2016_Q3",53.77484375,"Up",520100000,-301200000,218900000,-105800000,-105800000,113100000,-4500000,-9500000,-9500000,5e+06,108600000,106800000,-37100000,69700000,69700000,-1500000,68200000,68200000,347500000,347500000,378900000,378900000,190700000,190700000,917100000,101400000,1497500000,86900000,1187300000,223300000,1598900000,2.516e+09,243600000,13400000,230200000,26400000,173400000,173400000,443400000,1202200000,274600000,157700000,71800000,45100000,1476800000,1920200000,631200000,167800000,19800000,578200000,595800000,2.516e+09,69700000,14700000,8e+06,-71800000,20600000,-1.1e+07,0,-3300000,-21600000,246600000,-248600000,1400000,-6e+05,-24200000,-6900000,-6900000,-5200000,-12100000,127800000,1228600000,82100000,0.42088,0.21746,0.13113,0.11447,0.02711,1.20381,2.06834,3.22289,0.48831,0.42974,0.42705,3.27725,3.64335,0.51733,0.13611,0.04278,0.03911,0.31672,6.89437,7.79045
"9","2016_Q4",53.5865079365079,"Down",537700000,-315800000,221900000,-1.25e+08,-1.25e+08,96900000,-10600000,-10700000,-10700000,1e+05,86300000,78600000,-22900000,55700000,55700000,-1900000,53800000,53800000,464100000,464100000,381500000,381500000,178100000,178100000,1023700000,108800000,1540300000,112100000,1202200000,2.26e+08,1649100000,2672800000,326500000,31400000,295100000,26400000,183700000,183700000,536600000,1196100000,289200000,159700000,6.2e+07,67500000,1485300000,2021900000,638700000,200500000,26200000,631400000,650900000,2672800000,55700000,16900000,2e+06,106500000,181100000,-24400000,0,-41400000,-21100000,-6600000,2400000,2400000,-2900000,-28200000,111500000,111500000,5100000,116600000,113800000,1222500000,218800000,0.41268,0.18021,0.10006,0.08265,0.02013,4.06691,1.90775,3.10631,0.45739,0.3462,0.34421,3.4601,4.06306,1.40798,0.13578,0.03463,0.10117,0.39219,6.66432,7.82663
"10","2017_Q1",60.1579032258065,"Up",542200000,-315600000,226600000,-120300000,-120300000,106300000,-9600000,-10700000,-10700000,1100000,96700000,87900000,-27700000,60200000,60200000,-1900000,58300000,58300000,219100000,219100000,365500000,365500000,154100000,154100000,738700000,118600000,1507700000,107800000,1182700000,217200000,1626300000,2.365e+09,319400000,38800000,280600000,26800000,177200000,177200000,523400000,1190300000,275100000,157700000,46900000,70500000,1465400000,1988800000,642300000,238300000,5800000,359800000,376200000,2.365e+09,60200000,18400000,-1600000,36200000,113200000,-18600000,-3300000,-2.1e+07,-20400000,-6700000.00000003,-298600000,1400000,-7100000,-332800000,-240600000,-240600000,-4400000,-2.45e+08,124700000,1217100000,1.7e+08,0.41793,0.19605,0.10752,0.15497,0.02465,2.91595,1.41135,5.28655,0.51463,0.37686,0.3754,3.50485,2.32579,1.0989,0.13187,0.04212,0.09099,0.34991,8.00321,9.38852
