"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",36.1503174603175,"Up",90764000,-62469000,-36843000,-5792000,-19834000,28295000,-854000,-854000,27441000,27441000,-10484000,16957000,16957000,17176000,17176000,27634898.3632175,-20552391.1805689,48187289.5437864,314357710.58529,314357710.58529,61006780.9743406,61006780.9743406,402999389.922849,154124282.217511,88895664.2782694,57469994.2006016,31425670.0776678,243019946.495781,646019336.418629,141683361.099898,141683356.590083,91461810.4706638,86479429.6468641,86479429.6468641,319624601.217426,54859494.5670432,53746781.9806808,38623631.2821781,15123150.6985028,108606276.547724,428230877.76515,175929467.594034,-748322036.894069,793379482.557478,-2027900.44662657,218959012.810816,217788458.65348,646019336.418629,16957000,5792000,1482000,-122000,24109000,-22184000,-193000,-23614000,-2262000,2780000,-4348000,159000,9000,-3821000,-3326000,-3326000,1e+05,-3226000,34087000,0,22265000,0.31174,0.18924,0.185905026205772,0.0666893634881108,1.29629,1.21550115318796,1.93597787911431,0.226224424597113,0.3421,0.34135,1.8078,4.41022506259074,0.44346,0.04505,0.10537465363658,-0.228659497193388,0.1317,2.13750402027426,2.32403451610005
"2","2010_Q3",33.019375,"Down",104950000,-64968000,-36973000,-6196000,-21799000,39982000,-810000,-810000,39172000,39172000,-14962000,24210000,24210000,24437000,24437000,78237000,45081000,33156000,338877000,338877000,44351000,44351000,461465000,143505000,124132000,57470000,66662000,267637000,729102000,159548000,159548000,55179000,82082000,82082000,296809000,93956000,53390000,23368000,30022000,147346000,444155000,166957000,-685506000,803126000,681000,285258000,284947000,729102000,24210000,6196000,4499000,-32767000,2138000,-2159000,-30387000,-29579000,-2265000,10393000,-19204000,1349000,1148000,-9928000,-37369000,-37369000,-43000,-37412000,46178000,149135000,26214000,0.38096,0.23284,0.08576,0.03352,1.07272,1.55475,1.55873,0.20455,0.48754,0.48679,2.09385,5.69116,0.52299,0.04519,0.05478,0.05378,0.09269,1.53532,1.77325
"3","2010_Q4",32.80171875,"Down",101340000,-65454000,-41070000,-6456000,-17928000,35886000,-1035000,-1035000,34851000,34851000,-13315000,21536000,21536000,21802000,21802000,79318000,55075000,24243000,320188000,320188000,42081000,42081000,441587000,137101000,134952000,57470000,77482000,272053000,713640000,146707000,146707000,45985000,86396000,86396000,279088000,103643000,54372000,21261000,33111000,158015000,437103000,168574000,-715093000,822452000,1181000,277114000,276537000,713640000,21536000,6456000,267000,13777000,42036000,-183000,860000,-904000,-2476000,493000,-29568000,19000,399000,-31152000,9980000,9980000,14000,9994000,42342000,149628000,69251000,0.35411,0.21514,0.07884,0.03055,3.17636,1.58225,1.58063,0.20967,0.44104,0.44087,2.05005,5.60585,1.40091,0.05009,0.05052,0.14411,0.11357,1.66053,1.95926
"4","2011_Q1",36.8329032258065,"Up",98961000,-63153000,-38194000,-6360000,-18599000,35808000,-924000,-924000,34884000,34884000,-11005000,23879000,23879000,24099000,24099000,67972000,44706000,23266000,307350000,307350000,45595000,45595000,420917000,132649000,130316000,57470000,72846000,262965000,683882000,137297000,137297000,47049000,9.4e+07,9.4e+07,278346000,99439000,55130000,23662000,31468000,154569000,432915000,169933000,-763182000,844132000,881000,251764000,250967000,683882000,23879000,6360000,4239000,5997000,40475000,-1293000,3089000,3377000,-2419000,-3981000,-47956000,133000,24000.0000000005,-54332000,-10480000,-10480000,111000,-10369000,42168000,146488000,57877000,0.36184,0.24352,0.09602,0.03524,2.40163,1.51221,1.72499,0.2142,0.49864,0.49843,2.04765,5.20938,1.19756,0.05005,0.05859,0.12788,0.10038,1.86198,2.19269
"5","2011_Q2",39.4639682539683,"Up",96965000,-62873000,-37264000,-6399000,-19210000,34092000,-828000,-828000,33264000,33264000,-12707000,20557000,20557000,20619000,20619000,75986000,45230000,30756000,344459000,344459000,46190000,46190000,466635000,127957000,119843000,57470000,62373000,247800000,714435000,160704000,160704000,43285000,98099000,98099000,302088000,95710000,54200000,22573000,31627000,149910000,451998000,162209000,-763223000,862357000,1094000,262437000,262437000,714435000,20557000,6399000,1481000,-11833000,16604000,-1508000,3220000,1712000,-2394000,-7493000,70000,70000,-8181000,-17998000,318000,318000,206000,524000,40491000,138995000,39857000,0.35159,0.21264,0.07857,0.02886,1.93302,1.5447,1.72231,0.19455,0.43073,0.43046,2.02559,5.48229,0.83261,0.05001,0.05051,0.08748,0.11611,1.55612,1.8482
"6","2011_Q3",35.96296875,"Down",111968000,-63298000,-35782000,-6388000,-21128000,48670000,-777000,-777000,47893000,47893000,-18295000,29598000,29598000,29598000,29598000,70033000,39544000,30489000,385540000,385540000,46501000,46501000,502074000,123895000,118343000,57470000,60873000,242238000,744312000,175325000,175325000,43607000,97519000,97519000,316451000,93894000,51487000,20214000,31273000,145381000,461832000,164021000,-772489000,889561000,1387000,282480000,282480000,744312000,29598000,6388000,354000,-29477000,6863000,-592000,2161000,1569000,-2394000,-3009000,-8781000,485000,59000,-14125000,-5693000,-5693000,7000,-5686000,55058000,137501000,43284000,0.43468,0.26434,0.10478,0.03977,1.4624,1.58658,1.63492,0.18474,0.61944,0.61773,2.34331,5.91185,0.90586,0.0501,0.06786,0.09181,0.08088,1.2254,1.38623
"7","2011_Q4",38.5792063492064,"Up",111096000,-61563000,-39206000,-6549000,-15808000,49533000,-735000,-735000,48798000,48798000,-18640000,30158000,30158000,30158000,30158000,97586000,69409000,28177000,388235000,388235000,72588000,72588000,558409000,128388000,116560000,57470000,59090000,244948000,803357000,180488000,180488000,39609000,143779000,143779000,363876000,110526000,50414000,20078000,30336000,160940000,524816000,165432000,-805189000,917100000,1198000,278541000,278541000,803357000,30158000,6549000,1962000,22258000,60927000,1103000,1986000,3089000,-2619000,1111000,-32599000,101000,0,-34107000,29909000,29909000,-44000,29865000,56082000,150135000,98083000,0.44586,0.27146,0.10827,0.03754,3.2523,1.53461,1.88416,0.18688,0.63681,0.63637,2.34588,5.8816,2.0711,0.0553,0.06842,0.20473,0.08684,0.937,1.06089
"8","2012_Q1",45.3379032258064,"Up",92467000,-43935000,-24589000,-4569000,-14777000,48532000,-769000,-769000,47763000,47763000,-16533000,31230000,32694000,32632000,32632000,108844000,80900000,27944000,368377000,368377000,74571000,74571000,551792000,142146000,114511000,57470000,57041000,256657000,808449000,163307000,163307000,43117000,124689000,124689000,331113000,115130000,61629000,34135000,27494000,176759000,507872000,166378000,-813684000,947156000,727000,300577000,300577000,808449000,31230000,4569000,18856000,-24886000,29769000,1758000,1394000,3152000,-2576000,-12916000,-8115000,369000,-663000,-24270000,8651000,11831000,-340000,11491000,53101000,158247000,46506000,0.52486,0.3529,0.10856,0.04036,1.42517,1.66648,1.68966,0.19574,0.69777,0.69591,1.97723,6.42725,0.99444,0.05508,0.06765,0.08936,0.07894,0.93036,1.01795
"9","2012_Q2",46.2111111111111,"Up",106256000,-63106000,-38799000,-6740000,-17567000,43150000,-724000,-724000,42426000,42426000,-15579000,26847000,26847000,26847000,26847000,85198000,53614000,31584000,377985000,377985000,73837000,73837000,537020000,144732000,129974000,57470000,72504000,274706000,811726000,165851000,165851000,38460000,116026000,116026000,320337000,99524000,63517000,38470000,25047000,163041000,483378000,169497000,-813691000,971429000,1113000,328348000,328348000,811726000,26847000,6740000,7420000,-21095000,19912000,47000,-17302000,-17255000,-2574000,-29160000,3747000,3747000,-2160000,-30147000,-27490000,-27490000,204000,-27286000,49890000,137984000,44421000,0.40609,0.25266,0.08176,0.03307,1.6546,1.67642,1.47215,0.16999,0.57365,0.57047,2.27043,7.01598,0.94917,0.055,0.05553,0.08384,0.09588,1.05805,1.22331
"10","2012_Q3",42.2592063492064,"Down",117137000,-58348000,-37662000,-6664000,-14022000,58789000,-770000,-770000,58019000,58019000,-22164000,35855000,35855000,35855000,35855000,100996000,64395000,36601000,423059000,423059000,78027000,78027000,602082000,152059000,129157000,57470000,71687000,281216000,883298000,203919000,203919000,41009000,116140000,116140000,361068000,108617000,65854000,40557000,25297000,174471000,535539000,171590000,-829443000,1004701000,911000,347759000,347759000,883298000,35855000,6664000,2598000,-10219000,34898000,3221000,-5654000,-2433000,-2583000,-3513000,-15344000,408000,24000,-21416000,11049000,11049000,-268000,10781000,65453000,149626000,80619000,0.50188,0.30609,0.1031,0.04059,2.24847,1.6675,1.53997,0.16939,0.7643,0.76117,2.49695,7.41301,1.71852,0.05506,0.06824,0.14313,0.07204,0.74298,0.8272
