"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",62.0047619047619,"Up",6251000,-3757000,2494000,-6033000,-3539000,-182000,-182000,-3721000,50000,-3671000,-4176000,-4176000,-4176000,-4406000,-161506505.085024,-161506505.085024,-115573990.513069,-115573990.513069,452827292.130668,-37263016.2820448,137816141.198099,-3020354.05067491,-209706746.16588,-470413.053555041,-212727100.216555,-74910959.0184559,-8968556.09773574,-13509853.7230729,4541297.62533719,23600479.17989,44408963.7702031,55337001.1761238,59040886.8523574,-93370374.337775,-93370352.6289772,-131400888.69968,-72360001.8473231,37776750.0442094,-42537771.1053641,-2550957.17113335,-2550957.17113284,-74910959.0184559,-4176000,493000,1009000,-1192000,-3866000,-93000,-2899000,4071000,112000,112000,117000,-3046000,0,0.39898,-0.56615,-0.70485,-1.09042296350298,-3.58288059831855,4.78433622885425,-0.870679866899136,1.00676740035291,-8.98283,-8.98283,12.74436,-97.6626095534934,3.1301671074615,158.241859989304,78.6605270936949
"2","2014_Q3",57.8240625,"Down",6764000,-4371000,2393000,-6348000,-3955000,-146000,-146000,-4101000,2e+05,-3901000,-3893000,-3893000,-3893000,-4198000,-71445752.5425122,-71445752.5425122,-56829495.2565346,-56829495.2565346,231810646.065334,-16765508.1410224,84173070.5990493,-1929677.02533746,-103248373.08294,-77206.5267775204,-105178050.108277,-21004979.5092279,-2335278.04886787,-4731926.86153646,2396648.8126686,10907739.589945,24823481.8851015,30204000.5880619,33395943.4261787,-38955187.1688875,-38955176.3144886,-52182944.3498402,-18787000.9236615,119029875.022105,-122419885.552682,-2217978.58556667,-2217978.58556642,-21004979.5092279,-3893000,488000,956000,-942000,-3391000,-78999.9999999991,2974000,2910000,-560000,-560000,-552000,-3467000,0,0.35378,-0.584709999999999,-0.62064,-1.53005648175149,-2.00348029915928,4.02130811442712,2.66311506655043,0.660748700176454,-8.55876,-8.55876,13.79025,-41.8929897767467,1.20674855373075,80.2520699946519,40.3670885468475
"3","2014_Q4",38.76,"Down",-1420000,1237000,-183000,-4645000,-4828000,-163000,-162000,-4991000,-50000,-5041000,-3340000,-80000,-80000,-384000,-20536584.1808374,-20536584.1808374,-19704165.0855115,-19704165.0855115,96475882.021778,-4963836.04700746,49151356.8663498,-675559.008445819,-35738457.6943133,130931.157740827,-36414016.7027591,12737340.1635907,2758573.98371071,861024.379487845,1897549.60422287,3559246.52998167,12252160.6283672,14006000.1960206,18569981.1420596,-8589395.7229625,-8589392.10482953,-7473648.11661341,11096333.0254462,166787958.340702,-165755628.517561,1641007.13814444,1641007.13814453,12737340.1635907,-3340000,512000,1513000,-2360000,-3952000,3645000,10000,10000,-297000,-297000,-311000,-4316000,0,0.12887,3.4,0.27042,-1.40273216058383,-0.857700099719759,3.19776603814237,3.90089502218348,0.406002900058818,-0.78289,-0.78289,-2.89506,-6.08784992558223,0.0863128512435843,32.401346664884,16.4294628489492
"4","2015_Q1",32.3798360655738,"Down",-10355000,4716000,-5639000,7392000,1753000,-174000,-175000,1579000,255000,1834000,630000,-5793000,-5793000,-6098000,1609000,1609000,466000,466000,26491000,385000,28566000,485000,955000,204000,1440000,30006000,6320000,3898000,2422000,462000,5204000,4906000,11986000,4092000,4092000,11467000,23453000,189761000,-183588000,6553000,6553000,30006000,630000,-924000,-2991000,8048000,-2493000,152000,719000,3079000,738000,738000,729000,829000,7837000,0.54457,-0.16929,0.58889,-0.93057,-0.20323,2.38328,3.57897,0.26118,-11.5518,-11.5518,-19.61608,12.33796,-0.32994,7.51267,3.55277
"5","2015_Q2",25.7715873015873,"Down",750000,-465000,285000,-2255000,-1970000,-203000,-190000,-2173000,-145000,-2318000,-2318000,-3041000,-3041000,-3372000,5379000,5379000,8345000,8345000,1524000,1524000,18232000,1295000,14964000,192000,16259000,34491000,8356000,5008000,3348000,523000,2188000,1067000,11067000,5454000,5454000,13379000,24446000,196659000,-186960000,10045000,10045000,34491000,-2318000,41000,273000,-509000,-3513000,0,904000,7293000,3780000,3780000,3770000,-1929000,8448000,0.38,-2.62667,-4.496,-0.33569,-0.09776,1.64742,2.43365,0.24493,-5.38226,-5.38226,1.19712,15.96959,-0.14081,-1.59098,-1.55787
"6","2015_Q3",20.04625,"Down",442000,-465000,-23000,-2376000,-2399000,-186000,-186000,-2585000,-270000,-2855000,-2854000,-3275000,-3275000,-3606000,2309000,2309000,9719000,9719000,826000,826000,15473000,1320000,14616000,149000,15936000,31409000,8469000,4743000,3726000,2825000,2019000,1067000,13313000,2322000,2322000,7172000,20485000,197310000,-186774000,10924000,10924000,31409000,-2854000,115000,478000,836000,-2499000,-240000,-163000,-343000,-3082000,-3082000,-3070000,-2284000,7675000,-0.05204,-5.4276,-8.15837,-0.3301,-0.11481,1.16225,1.87523,0.24436,-4.44419,-4.44419,0.544740000000003,13.41391,-0.17236,-2.34939,-2.23677
"7","2015_Q4",14.7325,"Down",330000,-445000,-115000,-2141000,-2256000,-180000,-174000,-2436000,385000,-2051000,-2051000,-7299000,-7299000,-7630000,2787000,2787000,9252000,9252000,4065000,534000,16104000,303000,8043000,125000,8346000,24450000,6666000,3732000,2934000,6275000,3206000,3069000,16147000,1061000,1061000,1586000,17733000,200424000,-194073000,6717000,6717000,24450000,-2051000,187000,-218000,-406000,-3424000,1861000,-727000,2041000,478000,478000,478000,-2069000,6800000,-0.34848,-6.83636,-23.12121,-1.13592,-0.31207,0.99734,2.64002,0.27812,-8.29172,-8.29172,0.35862,7.25607,-0.52339,-1.93958,-1.77881
"8","2016_Q1",10.4640983606557,"Down",407000,-565000,-158000,-2136000,-2294000,-155000,-174000,-2449000,-189000,-2638000,-2639000,-19339000,-19339000,-19670000,444000,444000,264000,264000,2524000,537000,3282000,259000,1275000,105000,1534000,4816000,7836000,3781000,4055000,7596000,1549000,1332000,16981000,655000,655000,655000,17636000,200542000,-213412000,-12820000,-12820000,4816000,-2639000,146000,427000,914000,-2942000,166000,2.3283064365387e-10,0,-2776000,-2776000,-2343000,-2148000,7596000,-0.38821,-5.63636,-48.32924,1.53432,-4.0843,0.19327,-1.37566,1.57724,-21.16545,-21.16545,0.43794,-13.8377,4.3051,-3.32961,-3.1177
"9","2016_Q2",9.005625,"Down",236000,-505000,-269000,-1974000,-2243000,-169000,-169000,-2412000,321000,-2091000,-2091000,-3264000,-3264000,-3657000,222000,222000,170000.000000001,170000.000000001,1685000,503000,2121000,237000,1234000,88000,1471000,3592000,8655000,5010000,3645000,7346000,1280000,1088000,17281000,1721000,1721000,1721000,19002000,201232000,-216666000,-15410000,-15410000,3592000,-2091000,83000,-190000,886000,-1924000,-26000,-51000,1728000,-222000,-222000,-222000,-2160000,7346000,-1.13983,-9.50424,-15.49576,0.23731,-1.0181,0.12274,-1.2331,2.0451,-2.69777,-2.69777,0.1741,-11.38565,0.576540000000001,-3.29815,-3.1761
"10","2016_Q3",5.71046875,"Down",806000,26000,832000,898000,1730000,-70000,-73000,1660000,-321000,1339000,1339000,2512000,2512000,1050000,421000,421000,328000,328000,1015000,325000,1803000,204000,1087000,58000,1291000,3094000,8726000,5620000,3106000,7814000,1179000,1068000,17719000,1665000,1665000,1665000,19384000,201371000,-217663000,-16290000,-16290000,3094000,1339000,-28000,525000,-914000,1534000,26000,413000,-1376000,184000,184000,184000,1702000,7814000,1.03226,2.1464,1.30273,-0.06446,0.33937,0.10176,-1.18993,2.52553,36.84809,36.84809,28.28529,-571.74193,-0.15416,4.34371,4.27341
