"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",68.42375,"Down",-515630,-278896,-236734,-515630,-273288,-273288,-363414.575435022,-788918,41247,41247,41247,41247,41247,7036665.11191324,7036535.39517694,300494.519645019,300494.519645019,72368099.9885441,6915.19344623336,-2957757.91863164,2413702.00743933,-2954097.94854429,69414002.0399998,-3217337.81699312,-1829449.3578911,10162414.7811092,1567542.3001294,-1267932.43374551,1854269.37383622,1911073.6075781,63015544.1126301,61747611.6788846,252019231.956863,-275444686.945263,-23420509.6769091,7666390.36111517,69414002.0399998,41247,81421,-824535,289135,-412732,0,0,0,-83333,-496065,-496065,-496065,-434209,0,-1.2915271268054,-1.35561199872293,76.4745531571528,-242.41910571813,2.69849180563221,0.02264,0.02264,-22.6364559632909,-1.37234998621639,56.2374443552964,-2346.45444629382
"2","2011_Q4",3.75380952380952,"Down",-30114.9999999991,-14174.9999999998,-15940,-30115,0,0,0,-30115.0000000009,-30115,-30115,-30115,-28605,-28605,212280,212280,100759,100759,18055149,1580,7750,1337494.66914644,9330,18064479,214942,167719,2851856.54291593,538830,1515086,471104,471104,16859901,18374987,60701177,-61011685,-310508,-310508,18064479,-551739,887434,-869389,253466,-280228,0,0,0,1.86264514923096e-09,-280228,-280228,-280228,857319,17150111,0.09212,-0.00158,11.91691,-59.17718,0.94938,-0.0108700000000002,-0.0108700000000002,-0.11797,-0.00165,19.75674,-562.43835
"3","2012_Q1",8.05854838709677,"Up",-554859,-540516,-14343,-554859,-7097,-7097,0,-561956,-561956,-561956,-561956,-542364,-542364,9748491,9748491,87176,87176,13737967,0,799391,799391,799391,14537358,728581,666640,0,0,1606359,6,6,3294803,4901162,10477176,-853074.000000015,9624515,9636196,14537358,-1187176,-1043149,2974746,-664610,79811,0,10386,10386,9924682,10014879,10014879,10014879,-1598008,4172575,-0.05628,-0.0373099999999999,8.55224,0.50862,0.28702,-0.28157,-0.28157,4.99642,-0.0392799999999999,3.48929,10.04925
"4","2012_Q2",6.36666666666667,"Down",-17385354,-644001,-16741353,-17385354,-216481,-216481,0,-17601835,-17396538,-17396538,-17396538,-10256090,-10256090,20923750,20923750,79030,79030,26444619,562.620903895847,629752,629752,629752,27074371,544317,467524,3147.15236135619,-173999.299890823,1222095,6,6,4664703,5886798,22846395,-11109164,11738340,21187573,27074371,-17396538,0,16766509,-231605,-861634,-5.6843418860808e-14,-1.81898940354586e-12,0,12036893,11175259,11175259,11175259,-17385354,5342475,-0.48406,-0.37881,21.63876,0.27784,0.19733,-2.02634,-2.02634,2.31897,-0.38658,0.89623,0.89623
"5","2012_Q3",3.98634920634921,"Down",-3104930,-1458836,-1646094,-3104930,48215,-224017,272232,-3056715,-2574159,-2574159,-2574159,-1894653,-1894653,20367079,20367079,89488,89488,25898406,1399,629752,629752,631151,26529557,1671269,321725,1257600,-116409.499773558,2349047,6,6,4395106,6744153,24019494,-13003817,11015677,19785404,26529557,-2574159,0,902394,1171980,-499785,-1399,0,-1399,-55487,-556671,-556671,-556671,-3104930,5072878,-0.09576,-0.07142,11.02507,0.340870000000001,0.19122,-0.16087,-0.16087,0.935309999999999,-0.07622,4.92578,4.92578
"6","2012_Q4",2.26483870967742,"Down",-2714226,-1153424,-1560802,-2714226,-223634,-223634,0,-2937860,-2710201,-2710201,-2710201,-2462239,-2462239,17373866,17373866,1784480,1784480,24600185,1281,629752,629752,631033,25231218,2279740,372747,1799424,37480.3002304853,2957518,6,6,4380406,7337924,24837585,-15466056,9371529,17893294,25231218,-2710201,117.999999999971,803389.999999998,-1086520,-2993213,0,-1.81898940354586e-12,0,0,-2993213,-2993213,-2993213,-2714108,5058178,-0.13761,-0.09759,8.31785,0.41009,0.20047,-0.15574,-0.15574,0.59275,-0.10728,4.53766,4.53746
"7","2013_Q1",4.23366666666667,"Up",-2604937,-1525195,-1079742,-2585889,-225825,-225825,-2.91038304567337e-11,-2811714,-3172054,-3502054,-3502054,-3459737,-3459737,16455995,16455995,2019887,2019887,21273482,1164,799391,799391,800555,22074037,1385908,1117397,145000,152381,2216067,1828577,5.99999999999955,4307675,6523742,34560626,-18925793,15550295,15550295,22074037,-3502054,117,1816890,851715,-833332,0,0,0,-84539,-917871,-917871,-917871,-2585772,3156876,-0.22249,-0.15673,9.59966,0.41953,0.14301,-0.17468,-0.17468,0.78514,-0.16847,5.14319,5.14296
"8","2013_Q2",5.98578125,"Up",-3752136,-2182231,-1569905,-3714041,-229970,-229970,0,-3944011,-3673611,-3673611,-3673611,-3673611,-3673611,15188167,15188167,2600578,2600578,20586345,1049,799391,799391,800440,21386785,1642803,1387882,115500,152381,2472962,1790482,6,4214742,6687704,37383023,-22599404,14699081,14699081,21386785,-3673611,115,1830639,-361891,-2204748,-1.13686837721616e-13,1.45519152283669e-11,1.45519152283669e-11,936919.999999999,-1267828,-1267828,-1267828,-3713926,3102038,-0.24992,-0.17177,8.32457,0.45497,0.14504,-0.16733,-0.16733,0.66955,-0.18751,3.25427,3.25417
"9","2013_Q3",6.11515625,"Up",-6666860,-1639237,-5027623,-6628765,-238837,-238837,1.81898940354586e-12,-6867602,-6584552,-6584552,-6584552,-6584552,-6584552,13416952,13416952,752043,752043,16966595,2527,889449,799391,891976,17858571,2636097,2247518,232750,152381,3466256,1752387,5.99999999999997,4117203,7583459,39543606,-29183956,10275112,10275112,17858571,-6584552,194,1314324,2713675,-2556359,-1672,0,-1672,786816,-1771215,-1771215,-1771215,-6628571,3042594,-0.64083,-0.36871,4.89479,0.73804,0.17037,-0.293,-0.293,0.45722,-0.43693,1.5651,1.56505
"10","2013_Q4",4.03921875,"Down",-4685513,-1375952,-3309561,-4647417,-228155,-228155,0,-4875572,-4556195,-4556195,-4556195,-4556195,-4556195,50183397,50183397,429937,429937,53410934,3829,884512,799391,888341,54299275,4848064,4325313,350000,152381,5678223,1714292,6,3983338,9661561,78462403,-33740151,44637714,44637714,54299275,-4556195,325,900985,2500915,-1153970,-1627,0,-1627,37922042,36766445,36766445,36766445,-4647092,2946824,-0.10207,-0.08391,9.40628,0.21644,0.05427,-0.16422,-0.16422,1.60886,-0.09242,10.16476,10.16405
"11","2014_Q1",5.91868852459016,"Up",-5216261,-1460670,-3755591,-5178166,-116210,-225104,108894,-5294376,-5663852,-5663852,-5663852,-5663852,-5663852,40485466,40485466,1817797,1817797,42303263,5718,884512,799391,5809127,48112390,5487019,4764502,532500,152381,6317178,1676197,6,1740726,8057904,79692826,-39404003,40054486,40054486,48112390,-5663852,493,1541206,-701880,-4824033,-2382,-4919871,-4922253,48355,-9697931,-9697931,-9697931,-5177673,742307,-0.1414,-0.11772,6.69654,0.20117,0.01543,-0.1921,-0.1921,1.3585,-0.13335,7.67587,7.67514
