"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",35.3081967213115,"Up",14907000,-18112000,-3764000,-14348000,-3205000,0,0,-3205000,-3205000,-3205000,-3205000,-3205000,-3205000,116481000,116481000,2004000,2004000,972000,972000,119457000,5035000,1290000,1290000,6325000,125782000,6753000,3169000,3584000,22069000,20267000,1802000,28822000,18046000,7136000,10910000,18046000,46868000,254705000,-175733000,78914000,78914000,125782000,-3205000,358000,468000,1195000,-1184000,-924000,-924000,-924000,-924000,85020000,85020000,85020000,82912000,82912000,82912000,-2847000,0,-0.215,-0.215,-0.04061,-0.02548,4.14465,0.59391,0,-0.13935,-0.46804,0.64815,3.43113,-0.03305,40.91359,36.34353
"2","2014_Q2",21.022380952381,"Down",14719000,-17827000,-3258000,-14569000,-3108000,1062.33098630264,1062.33098630264,-3108000,-3108000,-3108000,-3108000,-3108000,-3108000,198721816,198721816,1745740,1745740,1936505,1936505,202404061,5084289,2684363,2684363,7768652,210172713,7868203,5133050,2735153,21516538,19665764,1850774,29384741,27568784,17160723,10408061,27568784,56953525,332060761,-178841573,153219188,153219188,210172713,-3108000,398000,612000,7984000,5886000,-447000,-447000,-447000,-447000,76801000,76801000,76801000,82240000,82240000,82240000,-2710000,0,-0.21116,-0.211160000000001,-0.02028,-0.01479,6.88807,0.37171,0,-0.11834,-0.11834,0.56046,5.83418,-0.01719,73.32908,63.93881
"3","2014_Q3",20.681875,"Down",9220000,-21480000,-4145000,-17335000,-12260000,1000,1000,-12259000,-12259000,-12259000,-12259000,-12259000,-12259000,194014000,194014000,2645000,2645000,2100000,2100000,198759000,5442000,1519000,1519000,6961000,205720000,7287000,3977000,3310000,22585000,20684000,1901000,29872000,33869000,23912000,9957000,33869000,63741000,333079000,-191100000,141979000,141979000,205720000,-12259000,437000,781000,6891000,-4150000,-795000,-795000,-795000,-795000,238000,238000,238000,-4707000,-4707000,-4707000,-11823000,0,-1.32972,-1.32961,-0.08634,-0.05959,6.65369,0.44895,0,-0.44334,-0.44322,0.33344,5.13462,-0.06971,16.40988,15.82496
"4","2014_Q4",24.92796875,"Up",18382000,-22310000,-3678000,-18632000,-3928000,0,0,-3928000,-3928000,-3928000,-3928000,-3928000,-3928000,179191000,179191000,5315000,5315000,2453000,2453000,186959000,5633000,1033000,1033000,6666000,193625000,8419000,4388000,4031000,17569000,15617000,1952000,25988000,28549000,19052000,9497000,28549000,54537000,334116000,-195028000,139088000,139088000,193625000,-3928000,482000,856000,-11741000,-14331000,-672000,-672000,-672000,-672000,180000,180000,179999.999999993,-14823000,-14823000,-14823000,-3446000,0,-0.21369,-0.21369,-0.02824,-0.02029,7.19405,0.3921,0,-0.14146,-0.14154,0.66199,5.00897,-0.02343,51.99971,45.61889
"5","2015_Q1",33.8929508196721,"Up",5476000,-24495000,-4845000,-19650000,-19019000,1000,1000,-19018000,-19018000,-19018000,-19018000,-19018000,-19018000,157591000,157591000,2935000,2935000,4211000,4211000,164737000,6785000,2364000,2364000,9149000,173886000,9599000,1669000,7930000,17495000,14248000,3247000,27094000,25506000,16472000,9034000,25506000,52600000,335351000,-214046000,121286000,121286000,173886000,-19018000,505000,1100000,-2751000,-20164000,-1658000,-1658000,-1658000,-1658000,222000,241000,222000,-21600000,-21600000,-21600000,-18514000,0,-3.47316,-3.47297,-0.1568,-0.10937,6.0802,0.43369,0,-0.68266,-0.68245,0.19656,4.35364,-0.12956,8.51199,8.28598
"6","2015_Q2",32.8626984126984,"Down",71279000,-26147000,-4683000,-21464000,45132000,-3000,-3000,45129000,45129000,45129000,45129000,45129000,45129000,263134000,263134000,1719000,1719000,3617000,3617000,268470000,7236000,2364000,2364000,9600000,278070000,8445000,1444000,7001000,15683000,12382000,3301000,24128000,22949000,14389000,8560000,22949000,47077000,399929000,-168917000,230993000,230993000,278070000,45129000,546000,1631000,-3713000,43593000,-997000,-997000,-997000,-997000,62947000,62947000,62947000,105543000,105543000,105543000,45678000,0,0.63317,0.63313,0.19537,0.16229,11.12691,0.2038,0,1.53418,1.42434,2.42316,7.85269,0.17771,-5.76062999999999,-5.83032000000001
"7","2015_Q3",31.3675,"Down",6716000,-28006000,-5346000,-22660000,-21290000,-86000,-86000,-21376000,-21376000,-21376000,-21376000,-21376000,-21376000,235027000,235027000,4334000,4334000,3066000,3066000,242427000,9412000,2364000,2364000,11776000,254203000,10158000,1853000,8305000,13689000,10186000,3503000,23847000,18667000,12722000,5945000,18667000,42514000,401982000,-190293000,211689000,211689000,254203000,-21376000,636000,1902000,-6627000,-25465000,-2812000,-2812000,-2812000,-2812000,170000,170000,170000,-28107000,-28107000,-28107000,-20654000,0,-3.17004,-3.18285,-0.10098,-0.08409,10.16593,0.20083,0,-0.71113,-0.71113,0.22342,7.04237,-0.0928,11.37925,11.03931
"8","2015_Q4",30.3778125,"Down",14681000,-30124000,-6021000,-24103000,-15443000,1000,1000,-15442000,-15442000,-15442000,-15442000,-15442000,-15442000,365767000,365767000,2744000,2744000,1984000,1984000,370495000,11530000,2064000,2064000,13594000,384089000,11661000,2541000,9120000,10726000,7163000,3563000,22387000,22376000,11889000,10487000,22376000,44763000,545061000,-205735000,339326000,339326000,384089000,-15442000,489000,2098000,5221000,-7634000.00000001,-2608000,-2608000,-2608000,-2607999.99999999,140982000,140982000,140982000,130740000,130740000,130740000,-14954000,0,-1.0519,-1.05184,-0.04551,-0.0402,16.54956,0.13192,0,-0.46318,-0.46318,0.44035,10.178,-0.04269,24.45948,23.68497
"9","2016_Q1",19.0386885245902,"Down",8178000,-36759000,-6715000,-30044000,-28581000,130000,130000,-28451000,-28451000,-28451000,-28451000,-28451000,-28451000,339049000,196172000,1224000,1224000,2111000,1806000,342384000,14841000,2044000,2044000,16885000,359269000,14675000,2967000,11708000,9527000,5866000,3661000,24202000,21730000,12631000,9099000,21730000,45932000,547528000,-234186000,313337000,313337000,359269000,-28451000,1192000,2516000,588000,-24155000,-2780000,-2780000,-2780000,-145690000,250000,279000,250000,-169595000,-169595000,-169595000,-27389000,0,-3.49486,-3.47897,-0.0908,-0.07919,14.14693,0.14659,0,-0.82725,-0.88566,0.23779,9.11067,-0.08491,12.37902,11.86274
"10","2016_Q2",22.55015625,"Up",2846000,-33479000,-6133000,-27346000,-30633000,270000,270000,-30363000,-30363000,-30363000,-30363000,-30363000,-30363000,304448000,151952000,2512000,2512000,2306000,1703000,309266000,14347000,2044000,2044000,16391000,325657000,10805000,1118000,9687000,7002000,4919000,2083000,17807000,21595000,11685000,9910000,21595000,39402000,550752000,-264549000,286255000,286255000,325657000,-30363000,1771000,3001000,-6319000,-31910000,-2831000,-2831000,-2831000,-12534000,224000.000000015,224000,223999.999999985,-44220000.0000001,-44220000.0000001,-44220000.0000001,-28862000,0,-10.76353,-10.66866,-0.10607,-0.09324,17.36766,0.13765,0,-0.87999,-0.87999,0.0824799999999999,8.29632,-0.09863,10.5484,9.93856
