"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",95.2457142857143,"Down",89082,-809060,-551044,-258016,-719978,-28340,-748318,196331,-551987,-551987,-551987,-551987,-9560,-561547,258172954.393241,258172954.196035,1133177.56324327,1133177.56324327,-617079.463932425,-617079.463932425,258689052.492551,-1438443.94401373,-3478796.17359194,-3478796.17359194,-4917240.11760567,253771812.374946,-3290365.1131635,-6293328.47186997,3002963.35870648,-3288271.58816727,-10498349.7411151,-8.40594273041977,-10483771.9347618,-13772043.522929,378540986.52292,-110997230.205218,267543855.897875,267543855.897875,253771812.374946,-551987,2555,-103660,84439,-568653,-1528,-1528,6e+05,6e+05,6e+05,29819,29819,29819,-717423,0,-8.08219,-6.30371,-31.2378111708459,8.63351418366603,168.831799124826,58.547624316979,0.00193064545068764,-4.48093,-4.48093,0.71084,1694.8321917229,-104.519393287266,195.36955935308,194.669636785156
"2","2011_Q3",280.8,"Up",79864,-727312,-584024,-143288,-647448,-28127,-675575,226418,-449157,-449157,-449157,-449157,-9560,-458717,110455317.69662,110455317.598018,568028.281621633,568028.281621633,-234399.231966213,-234399.231966213,110788946.746276,-673515.472006864,-1558357.58679597,-1558357.58679597,-2231873.05880283,108557073.687473,-762607.056581749,-2231605.23593499,1468998.17935324,-761560.294083637,-2133066.87055754,-4.20297136520988,-2125777.96738088,-2887338.26146451,183116094.76146,-71671780.6026091,111444411.948937,111444411.948937,108557073.687473,-449157,2577,-129247,127588,-448239,-1,-1,375000,375000,375000,-73240,-73240,-73240,-644871,0,-8.10688,-5.74373,-13.1975205854229,2.79660709183302,73.2076645624133,24.3757821584895,0.000965322725343819,-3.60932,-3.60932,0.62839,703.642900861452,-42.8023066436332,84.0504146765402,83.743743392578
"3","2011_Q4",237.291428571429,"Down",55000,-787157,-586233,-200924,-732157,3,-732154,741423,9269,9269,9269,9269,-9560,-291,30977172.5655401,30977172.5326726,243160.427207211,243160.427207211,-32054.4106554042,-32054.4106554042,31188278.5820919,-213320.824002288,-403065.195598657,-403065.195598657,-616386.019600945,30571892.562491,737788.981139417,22235.2546883377,715553.726451079,738137.901972121,2224204.70981415,-1.40099045506996,2226634.34420637,2964772.2461785,78492520.9204866,-50885497.2008697,27607120.3163125,27607120.3163125,30571892.562491,9269,2576,-495953,91293,-392815,0,0,535000,535000,535000,142185,142185,142185,-729581,0,-13.31195,-0.00529,-3.43909019514098,-0.215530969388995,20.9823881874711,5.87430405282983,0.000321774241781273,-0.00209,-0.00209,0.3954,172.279880287151,-9.52714554787774,23.9188448921801,23.8299611308593
"4","2012_Q1",297.250806451613,"Up",33750,-910970,-602513,-308457,-877220,-0.999999999998181,-877221,-370116,-1247337,-1247337,-1247337,-1247337,-9560,-1256897,700374,700374,99140,99140,42658,42658,842172,22504,174581,174581,197085,1039257,1429881,928364,501517,1429881,3840644,0,3840644,5270525,39367067,-43598431,-4231268,-4231268,1039257,-1247337,2577,417418,306748,-520594,1,0.999999999992724,1063500,1063500,1063500,542907,542907,542907,-874643,2.8421709430404e-14,-25.9917,-37.24139,0.29705,-1.20942,0.58898,-1.24561,0,-8.49767,-8.49767,0.22818,-28.60753,3.21766,0.80075,0.7984
"5","2012_Q2",327.503174603175,"Up",34153,-1164371,-826964,-337407,-1130218,-2353.98043046123,-1130218,-32424,-1162642,-1162642,-1162642,-1162642,-9560,-1172202,586777,586777,76533,76533,42441,42441,705751,114323,362081,362081,476404,1182155,1532727,946952,585775,1532727,3983430,0,3983430,5516157,40436535,-44770633,-4334002,-4334002,1182155,-1162642,6190,135254,116110,-905088,-98009,-98009,889500,889500,889500,-113597,-113597,-113597,-1124028,0,-33.09279,-34.32208,0.27047,-0.99158,0.46045,-1.27276,0,-7.67296,-7.67296,0.22356,-28.36999,3.34368,0.522030000000002,0.51917
"6","2012_Q3",206.635396825397,"Down",41500,-1287017,-809866,-477151,-1245517,4.31950289518863,-1245517,-2180891,-3426408,-3426408,-3426408,-3426408,-9560,-3435968,9304410,9304410,106027,106027,29738,29738,9440175,149498,362081,362081,511579,9951754,1235595,530785,704810,1235595,3226858,0,3226858,4462453,53695806,-48206601,5489301,5489301,9951754,-3426408,7785,2445594,-323483,-1296512,-42960,-42960,10057105,10057105,10057105,8717633,8717633,8717633,-1237732,2.27373675443232e-13,-30.01246,-82.79441,-0.62594,-0.34526,7.64019,0.81294,0,-20.47231,-20.47231,0.24727,32.70599,-0.39421,7.51731,7.47032
"7","2012_Q4",336.083709677419,"Up",211500,-1250475,-738836,-511639,-1038975,3360.20968480402,-1038975,388750,-650225,-650225,-650225,-650225,-9560,-659785,7815128,7815128,128188,128188,57252,57252,8000568,208393,362081,362081,570474,8571042,757543,140034,617509,757543,2838107,0,2838107,3595650,53841682,-48866386,4975392,4975392,8571042,-650225,12356,-242384,-537288,-1417541,-71251,-71251,-490,-490,-490,-1489282,-1489282,-1489282,-1026619,0,-4.91241,-3.11955,-0.13261,-0.0769799999999999,10.56121,0.72269,0,-3.35108,-3.35108,1.07422,25.26975,-0.0844399999999997,7.61249,7.52196
"8","2013_Q1",488.298,"Up",163251,-1597697,-1003596,-594101,-1434446,4000.00000000001,-1430446,-4896240,-6326686,-6326686,-6326686,-6326686,-9560,-6336246,10819781,10819781,168381,168381,60041,60041,11048203,254742,362081,362081,616823,11665026,730370,175679,554691,730370,8765628,0,8765628,9495998,57371564,-55202632,2169028,2169028,11665026,-6326686,15511,5075370,-79715.0000000001,-1315520,-57860,-57860,4378033,4378033,4378033,3004653,3004653,3004653,-1418935,-3.63797880709171e-12,-8.78675,-38.81291,-2.92124,-0.54318,15.12686,4.378,0,-30.42116,-30.42116,0.78379,10.41333,-0.57946,7.62528,7.54283
"9","2013_Q2",451.95734375,"Down",119123,-2508962,-1706717,-802245,-2389839,341.935262068853,-2389839,1279143,-1110696,-1110696,-1110696,-1110696,-5885,-1116581,9164275,9164275,58064,58064,127084,127084,9349423,330314,518775,518775,849089,10198512,1176360,323366,852994,1176360,7486485,0,7486485,8662845,57854802,-56319213,1535667,1535667,10198512,-1110696,17779,-738877,203134,-1628660,-93351,-93351,66505,66505,66505,-1655506,-1655506,-1655506,-2372060,0,-20.06194,-9.37335,-0.7271,-0.10948,7.94776,5.6411,0,-5.18428,-5.18428,0.55309,7.12973,-0.12376,3.86342,3.83468
"10","2013_Q3",569.475,"Up",49000,-2423112,-1479263,-943849,-2374112,-668,-2374780,-2895311,-5270091,-5270091,-5270091,-5270091,-9385,-5279476,8302290,8302290,56501,56501,164716,164716,8523507,570947,530612,530612,1101559,9625066,1399237,297825,1101412,1462230,10381796,0,10633971,12096201,59127476,-61598689,-2471135,-2471135,9625066,-5270091,26154,3242653,265319,-1735965,-266787,-266787,825599.000000002,825599.000000002,1140767,-861985.000000002,-861985.000000002,-861985,-2347958,315168,-48.45127,-107.74441,2.13646,-0.54851,5.82912,-4.895,0.03274,-24.39678,-24.39678,0.22643,-11.41962,-0.64182,3.40173,3.36426
"11","2013_Q4",445.055625,"Down",43756,-3121409,-2205953,-915456,-3077653,-6219,-3083872,-1317359,-4401231,-4401231,-4401231,-4401231,-5360,-4406591,27799387,27799387,69566,69566,129393,129393,27998346,740307,411912,411912,1152219,29150565,1213078,158982,1054096,1360696,6281284,1.13686837721616e-13,6651715,8012411,87143374,-66005280,21138154,21138154,29150565,-4401231,41599,2286435,-24658,-2097855,-210959,-210959,21605115,21605115,21805911,19497097,19497097,19497097,-3036054,518049,-70.33671,-100.70827,-0.208470000000001,-0.15117,20.57649,0.37905,0.01777,-17.75745,-17.75745,0.17633,85.18117,-0.15773,8.98579,8.86433
