"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",36.105625,"Down",1000783000,-523136000,477647000,-458269000,-458269000,19378000,-8709000,-5754000,-2955000,10669000,10669000,-4325000,6344000,6344000,6344000,6344000,121216000,121216000,460955000,460955000,1086749000,180265000,180265000,1849185000,712873000,864866000,70689000,118053000,95823000,1577739000,3426924000,502286000,332060000,170226000,180068000,180068000,709354000,838116000,108106000,108106000,946222000,1655576000,787237000,146000,787091000,1029371000,-45260000,1771348000,1771348000,3426924000,6344000,35716000,46197000,-58640000,29617000,-150448000,-145383000,85724000,3646000,3646000,-9343000,80027000,-35739000,-35739000,-46000,-35785000,55094000,865116000,-149669000,0.47727,0.01936,0.00634,0.00358,0.00185,-23.59221,2.60686,0.93464,0.25245,0.01463,0.01463,2.30794,4.08497,-0.34516,3,0.00231,-0.05453,13.50238,38.38889
"2","2016_Q4",27.671746031746,"Down",1471573000,-772949000,698624000,-499314000,-499314000,199310000,-8962000,-8190000,-771999.999999999,190348000,190348000,-62124000,128224000,128224000,128224000,128224000,179954000,179954000,713731000,713731000,970621000,162255000,162255000,2026561000,751286000,907490000,68248000,155592000,106747000,1658776000,3685337000,492506000,254222000,238284000,337744000,337744000,857250000,796768000,108165000,108165000,904933000,1762183000,816535000,145000,816390000,1156650000,-50031000,1923154000,1923154000,3685337000,128224000,37645000,376000,-104363000,61882000,-67503000,-67503000,58313000,5422000,5422000,0,63735000,58114000,58114000,624000,58738000,236955000,823768000,127213000,0.47475,0.13544,0.08713,0.06667,0.03479,0.99212,2.36403,0.9163,0.22353,0.2957,0.2957,3.39365,4.43505,0.29337,4,0.04491,0.04456,2.71703,3.23021
"3","2017_Q1",20.8275806451613,"Down",1313280000,-721573000,591707000,-427807000,-427807000,163900000,-9688000,-7958000,-1730000,154212000,154212000,-50981000,103231000,103231000,103231000,103231000,250470000,250470000,622685000,622685000,917491000,174507000,174507000,1965153000,804211000,874967000,64310000,136862000,110204000,1679178000,3644331000,618429000,409679000,208750000,40387000,40387000,685816000,790388000,137227000,137227000,927615000,1613431000,823629000,145000,823484000,1259414000,-52143000,2030900000,2030900000,3644331000,103231000,39388000,39772000,220265000,402656000,-65097000,-65097000,-256686000,2463000,2463000,-1936000,-256159000,81400000,81400000,-8629000,72771000,203288000,817388000,409437000,0.45056,0.1248,0.07861,0.05083,0.02833,3.96622,2.86542,0.79444,0.22429,0.23227,0.22017,2.9549,4.56955,0.92124,4,0.03458,0.13714,2.78874,3.45893
"4","2017_Q2",18.8479365079365,"Down",1119844000,-611908000,507936000,-500400000,-500400000,7536000,-5250000,-7820000,2570000,2286000,2286000,-4558000,-2272000,-2272000,-2272000,-2272000,172128000,172128000,629235000,629235000,901613000,203052000,203052000,1906028000,830539000,840593000,61986000,121108000,86118000,1671132000,3577160000,512167000,294857000,217310000,88372000,88372000,627539000,784052000,145536000,145536000,929588000,1557127000,835828000,147000,835681000,1232416000,-48211000,2020033000,2020033000,3577160000,-2272000,41013000,-2152000.00000001,-69141000.0000001,-32552000,-91790000,-91790000,43250000.0000001,2782000,2782000,-2474000,43557999.9999999,-80784000,-80784000,3452000,-77332000,48549000,811052000,-107824000,0.45358,0.00672999999999999,-0.00203,-0.00112,-0.000640000000000002,47.45775,3.03731,0.77084,0.22673,-0.00517000000000001,-0.00517000000000001,2.54881,4.59767,-0.24541,2,-0.000759999999999997,-0.03622,13.16039,84.78291
"5","2017_Q3",16.8352380952381,"Down",1091192000,-589999000,501193000,-502880000,-502880000,-1687000,-10725000,-7842000,-2883000,-12412000,-15510000,3201000,-12309000,-12309000,-12309000,-12309000,165685000,165685000,602795000,602795000,1168786000,229204000,229204000,2166470000,875005000,852769000,59866000,125358000,87099000,1727774000,3894244000,715890000,483210000,232680000,193649000,193649000,936539000,777717000,156217000,156217000,933934000,1870473000,852377000,147000,852230000,1218426000,-47032000,2023771000,2023771000,3894244000,-12309000,42354000,4593000,-62833000,-28195000,-75483000,-75483000,93250000,3856000,3856000,0,97106000,-6572000,-6572000,1141000,-5431000,40667000,804717000,-100850000,0.45931,-0.00155,-0.01128,-0.00608,-0.00316,8.19319,2.31327,0.92425,0.20664,-0.02795,-0.02795,2.4776,4.59506,-0.22898,1,-0.00412,-0.03379,15.71377,-378.79787
"6","2017_Q4",13.0942857142857,"Down",1408992000,-760265000,648727000,-501548000,-501548000,147179000,-10645000,-9575000,-1070000,136534000,51535000,2706000,54241000,54241000,54241000,54241000,258002000,258002000,733292000,733292000,1180653000,284895000,284895000,2456842000,868250000,805273000,48646000,97147000,100162000,1673523000,4130365000,748971000,482897000,266074000,324455000,324455000,1100426000,771382000,157861000,157861000,929243000,2029669000,865066000,146000,864920000,1272556000,-36926000,2100696000,2100696000,4130365000,54241000,45121000,145217000,-210005000,34574000,-60299000,-60299000,113250000,3079000,3079000,-112000,116217000,90492000,90492000,2823000,93315000,192300000,798382000,-80710000,0.46042,0.10446,0.0385,0.02582,0.01313,-1.48799,2.23263,0.96619,0.1933,0.12292,0.12096,3.193,4.76051,-0.1829,3,0.01774,-0.0264,2.81009,3.67158000000006
"7","2018_Q1",14.0937704918033,"Up",1369216000,-775658000,593558000,-594694000,-594694000,-1136000,-11532000,-9301000,-2231000,-12668000,-48620000,-39300000,-87920000,-87920000,-87920000,-87920000,312483000,312483000,609670000,609670000,1158548000,256978000,256978000,2337679000,885774000,782914000,46995000,82801000,97444000,1668688000,4006367000,857949000,561108000,296841000,175426000,175426000,1060375000,765046000,162304000,162304000,927350000,1987725000,872412000,146000,872266000,1184441000,-38211000,2018642000,2018642000,4006367000,-87920000,45259000,101564000,204730000,263633000,-55415000,-55415000,-151750000,1823000,1823000,-195000,-150122000,58096000,58096000,-3238000,54858000,44123000,792046000,232738000,0.4335,-0.00083,-0.06421,-0.04355,-0.02195,-2.64716,2.20458,0.98468,0.1977,-0.19898,-0.20226,3.09877,4.56853,0.52673,4,-0.02957,0.07828,10.86878,-422.15053
"8","2018_Q2",17.77171875,"Up",1185370000,-661917000,523453000,-514634000,-514634000,8819000,-5676000,-8564000,2888000,3143000,-34337000,4092999.99999999,-30244000,-30244000,-30244000,-30244000,283644000,283644000,805413000,805413000,1148493000,354455000,354455000,2592005000,870120000,802194000,45931000,92607000,98455000,1672314000,4264319000,747266000,470378000,276888000,542791000,542791000,1317057000,758705000,170825000,170825000,929530000,2246587000,882869000,148000,882721000,1155946000,-21083000,2017732000,2017732000,4264319000,-30244000,46098000,-256262000,262432000,22024000.0000001,-55930000,-55930000,3250000,2318000,2318000,-1769000,3799000,-30107000,-30107000,2157000,-27950000,54917000,785705000,257326000,0.44159,0.00744,-0.02551,-0.01499,-0.00709,-8.50833,1.96803,1.11342,0.18425,-0.06826,-0.06826,2.67546,4.55417,0.5808,3,-0.01017,0.08652,9.14218,56.9294699999998
"9","2018_Q3",19.2971428571429,"Up",1174859000,-648275000,526584000,-552619000,-552619000,-26035000,-16621000,-8552000,-8069000,-42656000,-121496000,26090000,-95406000,-95544000,-95544000,-95544000,196879000,196879000,724945000,724945000,1299332000,340359000,340359000,2561515000,835427000,844210000,45880000,111746000,135424000,1679637000,4241152000,949730000,691163000,258567000,361669000,361669000,1338399000,752370000,226471000,226471000,978841000,2317240000,901999000,148000,901851000,1060402000,-38489000,1923912000,1923912000,4241152000,-95544000,45173000,28395000,145959000,123983000,-70135000,-70135000,-141750000,6595000,6595000,86000,-135069000,-81221000,-81221000,-4644000,-85865000,19138000,779370000,68872000,0.44821,-0.02216,-0.08132,-0.04966,-0.02253,-0.72084,1.91386,1.20444,0.18376,-0.21489,-0.21489,2.64235,4.32703,0.1549,3,-0.03261,0.02351,30.43636,-22.37338
"10","2018_Q4",18.9261904761905,"Down",1442976000,-777769000,665207000,-527640000,-527640000,137567000,-13444000,-9150000,-4294000,124123000,105523000,-30874000,74649000,75268000,75268000,75268000,168682000,168682000,867074000,867074000,1173115000,378159000,378159000,2587030000,821078000,819061000,43792000,86436000,137625000,1640139000,4227169000,802866000,499467000,303399000,471873000,471873000,1299739000,703455000,218054000,218054000,921509000,2221248000,915597000,148000,915449000,1134684000,-44360000,2005921000,2005921000,4227169000,75268000,43758000,34119000,-180335000,-27190000,-28158000,-28158000,23500000,1826000,1826000,-765000,24561000.0000001,-30787000,-30787000,3007000,-27780000,181325000,728455000,3706000,0.461,0.09534,0.05216,0.03752,0.01781,0.0492400000000001,1.99042,1.10735,0.17233,0.16836,0.16688,3.22763,4.48682,0.00828999999999999,4,0.02549,0.00126000000000001,3.08713,4.06908999999998
"11","2019_Q1",18.9040983606557,"Down",1389980000,-764753000,625227000,-587446000,-587446000,37781000,-7030000,-7302000,272000,30751000,-17478000,21243000,3765000,4218000,4218000,4218000,557403000,557403000,652546000,652546000,1019496000,364183000,364183000,2593628000,826868000,824526000,41793000,112420000,123819000,1651394000,4245022000,901299000,560884000,340415000,389678000,389678000,1315977000,703834000,208340000,208340000,912174000,2228151000,916776000,148000,916628000,1139082000,-38987000,2016871000,2016871000,4245022000,4218000,46739000,-9585000,468041000,509413000,-9474000,-48681000,-7.5e+07,-8159000,-8159000,0,-83159000,377573000,377573000,11947000,389520000,84520000,728834000,521844000,0.44981,0.02718,0.00303,0.00209,0.00099,123.71835,1.97088,1.10476,0.17169,0.0094,0.00949,3.09909,4.4968,1.1635,6,0.00143,0.17665,2.02829,4.53749
"12","2019_Q2",20.7996825396825,"Up",1204722000,-659935000,544787000,-509528000,-509528000,35259000,-4905000,-4238000,-667000,30354000,30354000,-8131000,22223000,22477000,22477000,22477000,288726000,288726000,743677000,743677000,875252000,299053000,299053000,2206708000,810470000,1418894000,40109000,114705000,715345000,2229364000,4436072000,645588000,377401000,268187000,448424000,448424000,1094012000,590431000,701822000,701822000,1292253000,2386265000,931501000,149000,931352000,1158482000,-40176000,2049807000,2049807000,4436072000,22477000,46464000,669999.999999994,-159400000,-89789000,-35911000,-35911000,-136250000,2232000,2232000,-7617000,-141635000,-267335000,-267335000,-569000,-267904000,81723000,590431000,-105457000,0.45221,0.02927,0.01866,0.01097,0.00507,-4.69177000000003,2.01708,1.16414,0.1331,0.04998,0.04959,2.67865,4.55767,-0.23448,5,0.00672999999999999,-0.03155,3.6918,8.55682
"13","2019_Q3",19.709375,"Down",1191729000,-637408000,554321000,-565803000,-565803000,-11482000,-7116000,-5988000,-1128000,-18598000,-18598000,5740000,-12858000,-17349000,-17349000,-17349000,455726000,455726000,735181000,735181000,965711000,287829000,287829000,2444447000,795499000,1439962000,39527000,129403000,722270000,2235461000,4679908000,911445000,607382000,304063000,421196000,421196000,1332641000,591396000,707597000,707597000,1298993000,2631634000,946637000,149000,946488000,1141129000,-39492000,2048274000,2048274000,4679908000,-17349000,47257000,376000,172212000,202496000,-42132000,-42132000,-1567000,2006000,2006000,1955000,2394000,162758000,162758000,5032000,167790000,35775000,591396000,160115000,0.46514,-0.00963,-0.01456,-0.00847,-0.00371,-9.22906,1.83429,1.28481,0.12637,-0.03846,-0.0382,2.64199,4.54089,0.35496,5,-0.00518,0.04783,3.79231,-11.81589
"14","2019_Q4",17.59875,"Down",1429456000,-739558000,689898000,-550978000,-550978000,138920000,-6084000,-5655000,-429000,132836000,132836000,-29344000,103492000,102315000,102315000,102315000,416603000,416603000,843495000,843495000,906544000,292447000,292447000,2459089000,778894000,1395782000,37811000,90860000,725313000,2174676000,4633765000,792932000,483627000,309305000,406729000,406729000,1199661000,591995000,688443000,688443000,1280438000,2480099000,960600000,149000,960451000,1242437000,-49371000,2153666000,2153666000,4633765000,102315000,46722000,54010000,-213286000,-10239000.0000001,-28997000,-28997000,0,1559000,1559000,-1010000,549000,-38687000.0000001,-38687000.0000001,346000,-38341000.0000001,185642000,591995000,-27297000.0000001,0.48263,0.09718,0.07158,0.04751,0.02208,-0.26679,2.04982,1.15157,0.12776,0.22666,0.22501,3.16675,4.77113,-0.0604699999999998,5,0.02979,-0.00795000000000001,0.94479,1.26254
"15","2020_Q1",14.3438709677419,"Down",1441225000,-759698000,681527000,-607454000,-607454000,74073000,-8823000,-5359000,-3464000,65250000,65250000,-38289000,26961000,-15304000,-15304000,-15304000,788072000,788072000,708714000,708714000,892258000,313165000,313165000,2702209000,792148000,1349174000,36345000,82379000,680272000,2141322000,4843531000,992888000,618194000,374694000,429121000,429121000,1422009000,592687000,678748000,678748000,1271435000,2693444000,973866000,149000,973717000,1226986000,-50765000,2150087000,2150087000,4843531000,-15304000,45982000,48419000,327466000,406563000,-40073000,-40073000,0,1675000,1675000,-53000,1622000,368112000,368112000,291000,368403000,120055000,592687000,445737000,0.47288,0.0514,-0.01062,-0.00712,-0.00316,-29.12552,1.90028,1.25271,0.12237,-0.03389,-0.03364,3.1911,4.76063,0.98693,4,-0.00447,0.13027,-1.62746,-2.63774
"16","2020_Q2",8.49730158730159,"Down",930240000,-499256000,430984000,-552701000,-552701000,-121717000,-4426000,-5960000,1534000,-126143000,-562606000,-21547000,-584153000,-589681000,-589681000,-589681000,959318000,959318000,668409000,668409000,940236000,300044000,300044000,2868007000,726568000,1.243e+09,40490000,39576000,677262000,1969568000,4837575000,684512000,417397000,267115000,406990000,406990000,1691502000,593281000,1002612000,1002612000,1595893000,3287395000,985981000,150000,985831000,634452000,-70253000,1550180000,1550180000,4837575000,-589681000,48565000,494533000,-320129000,-366712000,-31498000,-68841000,6e+08,1649000,1649000,-2697000,598952000,163399000,163399000,8761000,172160000,-73152000,1193281000,-403232000,0.4633,-0.13084,-0.6339,-0.3804,-0.1219,0.683810000000001,1.69554,2.12065,0.24667,-1.30209,-1.30209,2.05409,3.42301,-0.89039,4,-0.15741,-0.10764,-3.19831,-1.92219
"17","2020_Q3",9.389375,"Up",707640000,-358471000,349169000,-479906000,-479906000,-130737000,-16179000,-11336000,-4843000,-146916000,-185853000,3137000,-182716000,-182895000,-182895000,-182895000,1079409000,1079409000,568430000,568430000,1198509000,242661000,242661000,3089009000,702885000,1211447000,38748000,42589000,643242000,1914332000,5003341000,930687000,664288000,266399000,437927000,437927000,1618614000,987949000,973364000,973364000,1961313000,3579927000,1044205000,150000,1044055000,450750000,-71541000,1423414000,1423414000,5003341000,-182895000,38354000,21441000,180402000,57302000,-19364000,-20211000,138753000,1210000,1210000,-52708000,87255000,124346000,124346000,-4410000,119936000,-92383000,1237949000,65518000,0.49343,-0.18475,-0.25846,-0.12849,-0.03655,-0.35823,1.90843,2.51503,0.24742,-0.40275,-0.40275,1.55826,3.13444,0.14427,5,-0.05032,0.01803,-1.71612,-1.21266
"18","2020_Q4",13.3840625,"Up",1433021000,-746701000,686320000,-553549000,-553549000,132771000,-22139000,-14955000,-7183999.99999999,110632000,36431000,3714000,40145000,38946000,38946000,38946000,865609000,865609000,806916000,806916000,1056845000,243971000,243971000,2973341000,680871000,1209339000,37274000,45995000,632439000,1890210000,4863551000,952411000,643315000,309096000,495988000,495988000,1448399000,997347000,947459000,947459000,1944806000,3393205000,1051133000,150000,1050983000,490071000,-70858000,1470346000,1470346000,4863551000,38946000,37250000,18604000,-35096999.9999999,59703000.0000001,-20777000,-21435000,-2.5e+08,996000,996000,-880000.000000007,-249884000,-211616000,-211616000,-1953000,-213569000,170021000,997347000,110433000,0.47893,0.0926499999999999,0.02718,0.02649,0.00801000000000001,2.83554,2.05285,2.30776,0.20507,0.0856800000000001,0.0856799999999999,3.15262,3.23474,0.24295,5,0.0114,0.03234,0.77483,0.99222
"19","2021_Q1",17.5816393442623,"Up",1403766000,-710144000,693622000,-585778000,-585778000,107844000,163638000,-15008000,178646000,271482000,219484000,-34691000,184793000,184453000,184453000,184453000,1517361000,1517361000,527340000,527340000,895974000,282300000,282300000,3222975000,658678000,1148975000,13295000,23930000,609536000,1807653000,5030628000,954813000,575954000,378859000,458463000,458463000,1413276000,1003556000,937803000,937803000,1941359000,3354635000,1061323000,150000,1061173000,673855000,-59185000,1675993000,1675993000,5030628000,184453000,40815000,-140429000,377732000,462571000,-20652000,176832000,0,889000,889000,-359000,530000,639933000,639933000,14047000,653980000,148659000,1003556000,540430000,0.49412,0.07682,0.1314,0.11006,0.03667,2.92991,2.2805,2.00158,0.19949,0.40556,0.40556,3.08645,3.685,1.18824,7,0.05099,0.1494,-3.45627,-4.76434
