"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q2",23.5526984126984,"Down",11130000,-11549000,-419000,-7071000,-4166000,-2680000,-225000,-7490000,-508000,75000,-7998000,6928000,-1070000,18957000,17887000,17887000,17888000,17888000,-39258961.7268414,-12912629.5354088,41973075.951145,267856491.076888,270570605.301191,-464643580.019525,1176451.74475804,438192.774955046,-365812235.37165,-95241630.0704589,76269606.1772164,237567786.599699,-234336545.005131,18763762.8224341,-234336527.986721,3231258.61297718,1366614428.39897,-1460950684.34699,-98472888.6834353,-98472888.683436,-95241630.0704589,-3959000,-59381998.9569998,-3959000,-371000,-371000,-3201479.78150509,75000,-4255000,-4255000,-4850000,0,-0.03765,-0.67296,1.60719,-11.8042853317513,-9.98171214794494,-5.73921764808762,0.218214011129931,0.320496095517414,0.60197,0.59944,0.37455,-6461.54857102982,-10.460047176986,937.125645868256
"2","2014_Q3",26.12703125,"Up",11637000,-11789000,-152000.000000001,-6296000,-3430000,-2637000,-229000,-6448000,318000,7278.68521752313,-6130000,-122926000,-129056000,25034000,-104022000,-104022000,-104022000,-104022000,-12702480.8634207,-1244814.76770441,24426037.9755725,122908245.538444,134631802.650596,-23633790.0097624,858725.872379018,489596.387477523,119484882.314175,254116684.964771,46392303.0886082,116119393.299849,-66177772.5025655,11470381.411217,-66177763.9933607,49941629.3064886,1362167214.19948,-1156388342.1735,204175055.658282,204175055.658282,254116684.964771,-3246000,109000,-3137000,-1895000,-1528000,129000,54000,-4611000,-4611000,-4322000,0,-0.0130600000000001,-0.55409,-8.9389,-5.76260266587566,-4.87158107397247,-1.72610382404381,0.205762005564965,0.136348047758707,-3.50048,-3.50049,0.3916,-2862.38134051491,-5.105203588493,400.412342934128
"3","2014_Q4",13.690625,"Down",8853000,-13408000,-4555000,-5661000,-3116000,-2306000,-239000,-10216000,-286000,347000,-10502000,-11245000,-21747000,8714000,-13033000,-13033000,-13033000,-13033000,3963839.7121931,6814061.74409853,15402679.3251908,44502415.1794813,63868934.2168652,214605736.663413,641575.290793006,518532.129159174,382265627.438058,446134561.654924,29340101.0295361,50150464.4332831,23965742.4991448,7390460.47040568,23965745.3355464,74116209.7688295,1360534404.73316,-988225780.724499,372018351.886094,372018351.886094,446134561.654924,77639000,9106000,-11730000,-386000,3947000,1253000,1253000,-6530000,2883000,2473000,0,-0.51451,-1.15396,-1.47216,-2.19746088862522,-1.85672035799082,0.579882058652063,0.194994001854988,0.0374826825862356,-0.43858,-0.43858,0.29792,-846.624826838304,-1.945897862831,112.815137644709
"4","2015_Q1",10.9411475409836,"Down",13683000,-13779000,-95999.9999999991,-5352000,-1357000,-3709000,-286000,-5448000,-13756000,-163000,-19204000,-248036000,-267240000,54465000,-212775000,-212775000,-212357000,-212357000,13462000,12380000,12404000,13835000,39701000,305708000,531000,531000,483257000,522958000,21654000,24081000,57662000,5763000,57662000,81743000,1360668000,-919577000,441215000,441215000,522958000,202673000,-1170000,-10986000,-97999.9999999999,-542000,910000,910000,-10618000,-5125000,-5242000,-5.82076609134674e-11,-0.00702000000000003,-0.39816,-15.51977,-0.4813,-0.40607,1.64864,0.18527,0,-7.08887,-7.11857,0.45676,14.72857,-0.42567,2.471
"5","2015_Q2",9.74777777777778,"Down",22882000,-10454000,12428000,-4972000,-3208000,-4234034.9819782,-272000,7456000,-2652000,-2440000,4804000,54000,4858000,1163000,6021000,6021000,6021000,6021000,18514000,16569000,12931000,12102000,43547000,305306000,533000,533000,483186000,526733000,19875000,22331000,56479000,5827000,56479000,78810000,1361520000,-913556000,447923000,447923000,526733000,5716000,-1392000,4596000,-72000,-693000,2200.84556358564,4468486.14741147,3903000,16689000,16569000,0,0.54313,0.32585,0.26313,0.0134400000000001,0.01143,1.95007,0.17595,1.73472347597681e-18,2.02553,2.02546,7.69777,150.68645,0.01194,-2.4831
"6","2015_Q3",8.12765625,"Down",16160000,-7947000,8213000,-9217000,-3277000,-3080000,-208000,-1004000,3236000,-3073456.87130817,2232000,-28669000,-26437000,12321000,-14116000,-14116000,-14116000,-14598000,23705000,22371000,13771000,17987000,55463000,276474000,531000,531000,451152000,506615000,20219000,28468000,44477000,6276000,44477000,72945000,1361865000,-927672000,433670000,433670000,506615000,164000,1479000,1371000,-361000,-854000,-987259.084088077,5764000,6281000,-6505000,-6578000,5764000,0.50823,-0.06213,-0.903339999999999,-0.03366,-0.02881,1.94826,0.1682,0.01138,-0.25566,-0.25566,0.28301,7.59489,-0.03017,17.86952
"7","2015_Q4",9.23109375,"Up",22503000,-13355000,9148000,-5958000,-2276000,-1830000,-211000,3190000,-877000,-714999.999999999,2313000,-1299000,1014000,1619000,2633000,2633000,2154000,2154000,31757000,30902000,12425000,12686000,56868000,274845000,531000,531000,447882000,504750000,19227000,26912000,43224000,6349000,43224000,70136000,1360655000,-925039000,434614000,434614000,504750000,33867000,-1791000,27305000,-89000,-1591000,-1697839.4716957,-593000,25121000,8485000,8531000,5171000,0.40652,0.14176,0.09572,0.00496,0.00427,2.11311,0.16138,0.01024,0.07167,0.07167,0.74877,14.46149,0.00446000000000002,-8.33417
"8","2016_Q1",15.3360655737705,"Up",11411000,-8356000,3055000,-1638000,-3284000,-3888000,-251000,1417000,2697000,3155000,4114000,-28559000,-24445000,9457000,-14988000,-14988000,-14509000,-14976000,26906000,25874000,14975000,12562000,54443000,253004000,531000,531000,420642000,475085000,18429000,22039000,34754000,7855000,34754000,56793000,1359144000,-940027000,418292000,418292000,475085000,-95163000,2539000,-17675000,-242000,1260000,-1769000,-5048000,-21463000,-4827000,-5028000,3395000,0.26772,0.12418,-1.31242,-0.0358,-0.03152,2.4703,0.13577,0.00715,-4.98633,-4.98633,3.79935,139.27236,-0.03281,-16.5921
"9","2016_Q2",26.1234375,"Up",21190000,-10912000,10278000,216000,-2768000,-1740000,-239000,10494000,1011000,2158567.57341898,11505000,-387000,11118000,1867000,12985000,12985000,12861000,12861000,35083000,34623000,15769000,6120000,56972000,253037000,537000,537000,423018000,479990000,17072000,24980000,25292000,278000.000000001,25292000,50272000,1357424000,-927042000,429718000,429718000,479990000,-5796000,1669000,9097000,20174000,18235000,-582000,-3977000,23355000,8647000,8749000,215000,0.48504,0.49523,0.60694,0.02993,0.02679,2.2807,0.11699,0.000449999999999999,0.43123,0.43078,0.7105,14.40837,0.02825,-3.32266
"10","2016_Q3",40.73265625,"Up",14613000,-7337000,7276000,-4547000,-2600000,-1689000,-258000,2729000,-354000,-72999.9999999981,2375000,5122000,7497000,856000,8353000,8353000,8353000,8352999.99999999,41441000,36749000,19172000,4091000,64704000,257062000,531000,531000,428400000,493104000,16849000,17064000,33737000,9096000,33737000,50801000,1359435000,-918689000,442303000,442303000,493104000,25128000,-1448000,10456000,-20426000,-24893000,1873000,1873000,-12564000,2144000,2126000,-2.3283064365387e-10,0.49791,0.18675,0.57161,0.01889,0.01694,3.79184,0.11486,0,0.280080000000001,0.278519999999999,0.48998,14.83064,0.01755,-15.18542
