"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",22.63203125,"Up",209185000,-185166000,24019000,-20119000,-15552000,-3270000,-1297000,3900000,-602000,-602000,-1964631.38859156,3298000,-1878000,641000,-1237000,-1237000,-1237000,-1237000,-14882685.4260333,-14882685.4260333,105934299.647369,105934299.647369,29564858.4464739,44882029.2813293,653869373.315807,287169157.985503,407994979.297965,-120825821.312462,301287100.746802,-37162587.996691,21699571.8729515,588456258.732305,1242325632.04811,301806260.254692,232091857.34029,69714402.9144021,336902412.507667,555711455.631094,93412288.479111,83400552.5321451,10011735.9469659,649123744.110205,986026156.617873,119136490.233896,137131517.434898,256299475.430239,256299475.430239,1242325632.04811,-1237000,3343000,635000,-32861000,-30120000,-4432000,-4432000,-4432000,-4432000,-218000,37050000,-1561000,35271000,719000,719000,719000,7243000,0,-30691000,0.11482,0.01864,-0.00591,-0.0483446388604013,-0.0471514199252919,24.81083,0.710544648450265,3.49636182213661,0.605968693152768,-0.11339,-0.11339,19.17545,23.3552475216499,-2.81337,0.01998,-0.0624500880583134,-0.0881310607507896,-0.17623,34.4065951931562,57.1114675602373
"2","2011_Q1",27.1256451612903,"Up",215201000,-191143000,24058000,-20498000,-15590000,-3528000,-1380000,3560000,-676000,-676000,-1206178.83315494,2884000,-2211000,615000,-1596000,-1596000,-1596000,-1596000,1492000,1492000,82859000,82859000,13852000,13852000,298809000,118234000,239500000,-121266000,12395000,0,5312000,130629000,429438000,102625000,81645000,20980000,102625000,55235000,9940000,5133000,4807000,65175000,167800000,118976000,142662000,261638000,261638000,429438000,-1596000,3608000,1508000,-1996000.00000001,1523999.99999999,-7055000,-7113000,-7113000,-7055000,-217000,5184999.99999999,40000,5008000.00000001,-523000,-523000,-523000,7168000,55235000,-2498000.00000001,0.11179,0.01654,-0.00742,-0.0061,-0.00372,1.56516,2.91166,0.64134,0.12862,-0.14635,-0.14618,19.73416,23.99248,-0.22907,0.0199,-0.00422,-0.00764,-0.13596,7.49763,15.09635
"3","2011_Q2",27.3571428571429,"Up",294381000,-246552000,47829000,-24308000,-19015000,-3467000,-1826000,23521000,-805000,-805000,-665089.416577467,22716000,16508000,-6185000,10323000,10323000,10323000,10323000,5135978.47534442,5135978.47534442,103451733.450877,103451733.450877,9251380.51784204,4015156.90622358,249097042.228064,84605864.0048324,208240173.567345,-123634309.562513,-50466366.9156007,22190793.9983455,2067809.37568283,34139497.0892317,283236539.317296,66824246.5817694,58455214.2199034,8369032.36186596,59150695.8307776,-39173401.8770315,-7171596.15970365,-12067100.8440484,4895504.68434471,-46344998.0367351,12805697.7940424,119095836.588701,151342827.521701,270430841.523254,270430841.523254,283236539.317296,10323000,3544000,2589000,-32941000,-16485000,-7901000,-7903000,-7903000,-7901000,-218000,25705000,11000,25498000,1112000,1112000,1112000,27065000,0,-7592000,0.16247,0.0799,0.03507,0.0185823796201338,0.0143821399750973,-0.73545,3.44505761718325,0.085359392621131,0.0460887689490774,0.94403,0.94317,26.92099,24.83637165945,-0.69428,0.01994,0.0197133626861045,0.0208495202502632,0.02112,-0.095613397718739,1.17172497992091
"4","2011_Q3",20.76015625,"Down",2.99e+08,-254989000,44011000,-23973000,-18794000,-3512000,-1667000,20038000,-826000,-826000,-305363.138859156,19212000,13073000,-5127000,7946000,7946000,7946000,7946000,2387000,2387000,140488000,140488000,10908000,6619000,361361000,127500000,254797000,-127297000,13211000,33129293.9983455,6128000,140711000,502072000,117535000,101452000,16083000,117535000,91190000.0000001,13452000,5761000,7691000,104642000,222177000,119400000,160495000,279895000,279895000,502072000,7946000,3588000,1157000,-13686000,-995000.000000004,-8503000,-8513000,-8513000,-8502999.99999999,-218000,10250000,-751000,9281000,-217000,-217000,-217000,23626000,91190000,6564000,0.14719,0.06702,0.02658,0.02839,0.01583,0.82608,3.0745,0.79379,0.18163,0.72866,0.72586,27.41862,25.66667,0.60193,0.01999,0.02123,0.01707,0.02744,3.7587,4.43173
"5","2011_Q4",20.2798412698413,"Down",348547000,-300529000,48018000,-30623000,-23670000,-4656000,-2297000,17395000,-2328000,-2237000,-91000,15067000,6987000,-851000,6136000,6136000,6136000,6136000,1211000,1211000,154588000,154588000,13794000,12526000,463178000,182768000,314288000,-131520000,93065000,36535000,10474000,275833000,739011000,162475000,135578000,26897000,172136000,240094000,40707000,30654000,10053000,280801000,452937000,119657000,166413000,286074000,286074000,739011000,6136000,4918000,4602000,-7964000,7692000,-7515000,-8202000,-8202000,-156274000,-218000,151043000,-3419000,147406000,-1176000,-1176000,-1176000,22313000,249755000,7685000,0.13777,0.04991,0.0176,0.02145,0.0083,1.25244,2.69077,1.58329,0.33796,0.56103,0.56031,31.86861,26.15653,0.70266,0.01993,0.01102,0.01333,0.03553,11.13898,14.28824
"6","2012_Q1",23.3929032258065,"Up",319944000,-278821000,41123000,-29120000,-22620000,-4411000,-2089000,12003000,-2071000,-2085000,14000,9932000,917000,-352000,565000,565000,565000,565000,7403000,7403000,122579000,122579000,13112000,13112000,420859000,193413000,329116000,-135703000,93227000,36313000,9660000,286640000,707499000,129913000,104425000,25488000,139575000,234554000,46794000,37214000,9580000,281348000,420923000,119816000,166760000,286576000,286576000,707499000,565000,4680000,7342000,13041000,25628000,-15539000,-14869000,-14869000,-13652000,-218000,-5539000.00000003,-26999.9999999995,-5783999.99999997,6192000,6192000,6192000,16683000,244216000,14537000,0.12853,0.03752,0.00177,0.00197,8e-04,25.7292,3.01529,1.4688,0.34518,0.0515,0.0515499999999999,29.1627,26.12123,1.32504,0.01987,0.00136,0.02517,0.38584,14.19487,19.72948
"7","2012_Q2",17.7863492063492,"Down",382052000,-327900000,54152000,-32830000,-25515000,-4992000,-2323000,21322000,-2074000,-2108000,34000,19248000,10189000,-3959000,6230000,6230000,6230000,6230000,4256000,4256000,167261000,167261000,9872000,9872000,499115000,196530000,3.37e+08,-140470000,97033000,36090000,13689000,293563000,792678000,160442000,137101000,23341000,170106000,280373000,48255000,36851000,11404000,328628000,498734000,121172000,172772000,293944000,293944000,792678000,6230000,5280000,-170000,-51157000,-39817000,-7967000,-7969000,-7969000,-7967000,-218000,45821000,-966000,44637000,-3147000,-3147000,-3147000,26602000,290037000,-28563000,0.14174,0.05581,0.01631,0.02119,0.00786,-4.58475,2.93414,1.6967,0.3659,0.56698,0.56652,34.76993,26.75137,-2.59947,0.01984,0.0102,-0.04518,0.03499,10.74284,13.4031
"8","2012_Q3",15.4990476190476,"Down",367365000,-316881000,50484000,-31521000,-24271000,-5135000,-2115000,18963000,-2178000,-2183000,5000,16785000,7566000,-3040000,4526000,4526000,4526000,4526000,2816000,2816000,158853000,158853000,10354000,10354000,484298000,199117000,343279000,-144162000,95392000,35868000,12154000,294509000,778807000,142833000,116682000,26151000,151800000,279539000,49296000,37806000,11490000,328835000,480635000,121496000,177079000,298172000,298172000,778807000,4526000,5473000,1003000,-2986000,8016000.00000001,-7714000,-7714000,-7714000,-7714000,-218000,-1531000,7000.00000000023,-1742000,-1440000,-1440000,-1440000,24436000,288506000,16776000,0.13742,0.05162,0.01232,0.01518,0.00581,3.70658,3.19037,1.61194,0.37045,0.41296,0.41187,33.5187,27.20547,1.53066,0.01989,0.00746,0.02638,0.04817,11.69136,15.06565
"9","2012_Q4",17.7174193548387,"Up",342560000,-298171000,44389000,-31083000,-23850000,-5176000,-2057000,13306000,-2069000,-2120000,51000,11237000,2555000,-916000,1639000,1639000,1639000,1639000,3832000,3832000,152434000,152434000,9417000,9417000,454381000,198628000,345593000,-146965000,94619000,35646000,11603000,293247000,747628000,123672000,98754000,24918000,133925000,267126000,46740000,34952000,11788000,313866000,447791000,121905000,178500000,299837000,299837000,747628000,1639000,5510000,761000,8727000,16637000,-4373000,-4607000,-4607000,-4373000,-219000,-11127000,98000,-11248000,1016000,1016000,1016000,18816000,277379000,24086000,0.12958,0.03884,0.00478,0.00547,0.00219,14.69555,3.3928,1.49345,0.37101,0.14953,0.14945,31.25262,27.35489,2.19743,0.01998,0.00298,0.0386,0.13362,14.538,20.55817
"10","2013_Q1",20.688,"Up",291724000,-255289000,36435000,-29985000,-22252000,-5557000,-2176000,6450000,-1953000,-1946000,-6999.99999999999,4497000,-10171000,53000,-10118000,-10118000,-10118000,-10118000,7782000,7782000,112841000,112841000,11731000,11731000,422377000,196327000,347935000,-151608000,87290000,35424000,11079000,283617000,705994000,127160000,101471000,25689000,142442000,226429000,47266000,35856000,11410000,273695000,416137000,122272000,168164000,289857000,289857000,705994000,-10118000,5893000,5443000,41687000,42905000,-2833000,-3083000,-3083000,-2833000,-218000,-35667000,-237000,-36122000,3950000,3950000,3950000,12343000,241711000,51144000,0.1249,0.02211,-0.03468,-0.03491,-0.01433,-5.05475,2.96526,1.43566,0.34237,-0.9159,-0.91757,26.40753,26.23853,4.62967,0.01973,-0.0171,0.08836,-0.02155,18.95236,36.26806
